search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Modelo alfanumérico
239," Par De Cascos Depredador , Modelos A Escoge Envío Gratis!!! ","1,599",NA,33,30,18 meses,88.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3,1,https://perfil.mercadolibre.com.mx/JK+MOTORS,https://articulo.mercadolibre.com.mx/MLM-623740877-par-de-cascos-depredador-modelos-a-escoge-envio-gratis-_JM?searchVariation=23364702823,0,0,1,0,0,#623740877,"Negro,Rosa claro","BLANCO,Fiusha,MEDIANO,GRANDE,EXTRA GRANDE,CHICO",JK,DEPREDADOR,Rosa,Clásico,Simple,Esponja,Fibra de vidrio,Adultos,Unisex,NA,EDP
240, Casco Integral Joe Rocket Rkt 7 Series Graphic Negro/ Plata ,"1,699",NA,102,3,12 meses,167.85,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,38,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-572173357-casco-integral-joe-rocket-rkt-7-series-graphic-negro-plata-_JM?searchVariation=40833620154,33,3,1,0,0,#572173357,Negro,S,Joe Rocket,RKT 7,Reactor,Integral,Simple,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Unisex,NA,RKT 7
241, Casco Fox Motocross Enduro V1 Mata 2019 Azul Rzr Cuatrimoto ,"4,109",NA,13,1,18 meses,228.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-656810743-casco-fox-motocross-enduro-v1-mata-2019-azul-rzr-cuatrimoto-_JM?searchVariation=32521243709,NA,NA,NA,NA,NA,#656810743,Azul,"Mate,S",Fox,V1,Mata,Cross,NA,NA,NA,Adultos,Unisex,NA,NA
242, Casco Integral Ls2 Ff352 Rookie Tech Matt Ece 22.05 ,"2,080",NA,34,12,18 meses,115.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,3,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-635846131-casco-integral-ls2-ff352-rookie-tech-matt-ece-2205-_JM?searchVariation=31226612968,1,2,0,0,0,#635846131,NA,"M,L,XL",LS2,FF352,Tech Matt,Integral,Simple,NA,NA,Adultos,NA,NA,NA
243, Casco Shaft Abatible Moto Certificado Eur Lente Sol Msi+ Env ,"2,390",NA,24,2,18 meses,132.78,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-655953824-casco-shaft-abatible-moto-certificado-eur-lente-sol-msi-env-_JM?searchVariation=41569325293,1,0,0,0,0,#655953824,NA,"S 55-56cm,M 57-58cm,L 59-60cm,XL 61-62cm",Shaft,SH-3690DV,Brexter,Rebatible,Doble,Poliestireno,ABS,Adultos,Unisex,NA,NA
244, Casco Ls2 Ff353 Rapid Poppies Rosa / Blanco De Mujer ,"2,087",NA,21,6,18 meses,115.98,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-644794894-casco-ls2-ff353-rapid-poppies-rosa-blanco-de-mujer-_JM?searchVariation=41780919782,NA,NA,NA,NA,NA,#644794894,NA,"S,M,L",LS2,FF353 Rapid,Poppies,Integral,Simple,Hipoalergénico,HPTT (High Pressure Thermoplastic Technology),Adultos,Femenino,NA,FF353
245, Casco Infantil Niño Protección Deportivo Carrito Eléctrico ,369,NA,136,20,18 meses,20.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,6,https://perfil.mercadolibre.com.mx/INNOVANDO_OFERTAS,https://articulo.mercadolibre.com.mx/MLM-550955832-casco-infantil-nino-proteccion-deportivo-carrito-electrico-_JM?searchVariation=23331319664,6,0,0,0,0,#550955832,"Azul,Rojo","NIÑOS DE 9 A 4 AÑOS,NIÑOS DE 4 A 9 AÑOS",INNOVANDO,CASCOS,NA,Integral,NA,NA,Policarbonato,NA,NA,NA,NA
246, Casco Abatible Negro Mate Lente Interno Y Envio Gratis Moto ,819,NA,303,93,18 meses,45.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.9,33,https://perfil.mercadolibre.com.mx/REMATESDELCENTROPUNTOCOM,https://articulo.mercadolibre.com.mx/MLM-581809197-casco-abatible-negro-mate-lente-interno-y-envio-gratis-moto-_JM?searchVariation=29742354827,14,9,5,3,2,#581809197,Negro mate,XL,WINMEX,abatible,6000+,Rebatible,Doble,Poliestireno,Fibra de vidrio,Adultos,Unisex,NA,NA
247, Casco Abatible Ls2 Ff399 Valiant 180º Negro Mate Pinlock ,"5,864",NA,22,12,18 meses,325.79,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,45,https://perfil.mercadolibre.com.mx/ESNAKIZAR,https://articulo.mercadolibre.com.mx/MLM-622443918-casco-abatible-ls2-ff399-valiant-180-negro-mate-pinlock-_JM?searchVariation=23091755320,43,2,0,0,0,#622443918,NA,"S,M,L,XL,XXL,XXXL",LS2,FF399,Valiant 180 Degrees,Rebatible,Doble,Hipoalergénico,KPA - Certificado ECE 22.05,Adultos,Unisex,NA,FF399
248, Casco Abatible Grex De Nolan G9.1 Evole Mate ,"3,300",NA,29,8,18 meses,183.33,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,30,https://perfil.mercadolibre.com.mx/MOTO+ACCION,https://articulo.mercadolibre.com.mx/MLM-658902051-casco-abatible-grex-de-nolan-g91-evole-mate-_JM?searchVariation=40989752651,23,6,0,0,0,#658902051,NA,"XL (61/62),M (57/58),L (59/60)",Nolan,NA,25,Rebatible,Doble,EPS,Policarbonat,Adultos,Unisex,NA,NA
249, Agv K-3 Sv Bulega Monkey Con Lentes Humo Rider One ,"6,600",NA,14,2,18 meses,366.67,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,29,https://perfil.mercadolibre.com.mx/RIDERONE1,https://articulo.mercadolibre.com.mx/MLM-588300391-agv-k-3-sv-bulega-monkey-con-lentes-humo-rider-one-_JM?searchVariation=32546793409,24,5,0,0,0,#588300391,NA,"XL,ML",AGV,casco,K-5,Integral,Doble,Mixto,ab,Adultos,Unisex,NA,NA
250, Casco Integral Joe Rocket Rkt 14 Ion Blanco Mate / Rj Iridio ,"2,599",NA,11,11,18 meses,144.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,23,https://perfil.mercadolibre.com.mx/ESNAKIZAR_GUADALAJARA,https://articulo.mercadolibre.com.mx/MLM-660222137-casco-integral-joe-rocket-rkt-14-ion-blanco-mate-rj-iridio-_JM?searchVariation=32223316088,18,4,0,0,0,#660222137,BLANCO MATE / ROJO,"rojo,S,M,L,XL,XXL",Joe Rocket,RKT 14,Ion Blanco Mate / Rj Iridio,Integral,Simple,Poliestireno,Policarbonato,Adultos,Masculino,NA,14
251, Casco Para Moto Scorpion Exo Covert Incursion Phantom 2019 ,"5,290",NA,4,4,18 meses,293.89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,19,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-700636827-casco-para-moto-scorpion-exo-covert-incursion-phantom-2019-_JM?searchVariation=40636164459,19,0,0,0,0,#700636827,NA,"S,M,L,XL",Scorpion Exo,NA,Covert,Multi-Modular,Simple,EPS,Policarbonato,Adultos,Unisex,NA,NA
252, Casco Abatible Para Moto Nolan N90-2 Euclid Hi Vis ,"6,659",NA,5,4,18 meses,369.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,2,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-679142055-casco-abatible-para-moto-nolan-n90-2-euclid-hi-vis-_JM?searchVariation=35924040125,1,1,0,0,0,#679142055,"M,L,XL,XXL",,Nolan,NA,N90-2,Abatible,Doble,EPS,Policarbonato,Adultos,Unisex,NA,NA
253, Casco Abatible Moto Nolan N90-2 Negro Brillante Solido ,"5,109",NA,6,5,18 meses,283.83,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,2,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-679151879-casco-abatible-moto-nolan-n90-2-negro-brillante-solido-_JM?searchVariation=35926709898,1,1,0,0,0,#679151879,"S,M,L,XL,XXL",,Nolan,NA,N90-2,Abatible,Doble,EPS,Policarbonato,Adultos,Unisex,NA,NA
254, Casco Para Motociclista Kov Mictlán Negro Abatible Lente Interno Certificación Auténtica De Seguridad ,"1,249",NA,35,12,18 meses,69.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,37,https://perfil.mercadolibre.com.mx/MOTOMOPED,https://articulo.mercadolibre.com.mx/MLM-637675905-casco-para-motociclista-kov-mictlan-negro-abatible-lente-interno-certificacion-autentica-de-seguridad-_JM?searchVariation=26396822938,26,6,3,0,1,#637675905,NA,"S,M,L,XL,XXL",KOV,Sthealt,Mictlan,Completo/ Abatible,Doble,NA,NA,Adultos,Unisex,NA,NA
255, Casco Motociclista Match One Azul Kov ,"1,249",NA,12,9,18 meses,69.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,3,https://perfil.mercadolibre.com.mx/MOTOMOPED,https://articulo.mercadolibre.com.mx/MLM-666557714-casco-motociclista-match-one-azul-kov-_JM?searchVariation=33472429350,3,0,0,0,0,#666557714,NA,"S,M,L,XL,XXL",KOV,NA,Veneno Match,Completo,Doble,NA,NA,Adultos,Unisex,NA,NA
256, Casco Abatible Ls2 Valiant 180 Degrees Ff399 Titanium Mate ,"5,599",NA,7,2,18 meses,311.07,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/POMISSHOP,https://articulo.mercadolibre.com.mx/MLM-683868998-casco-abatible-ls2-valiant-180-degrees-ff399-titanium-mate-_JM?searchVariation=37474905997,NA,NA,NA,NA,NA,#683868998,NA,"L,XL",LS2,NA,FF386,Rebatible,Doble,EPS,HPTT,Adultos,Unisex,NA,NA
257, Casco Cerrado Rudos Biker Predator Negro Gris Dot Tallas ,"1,049",NA,14,26,12 meses,103.63,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3,2,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-665418001-casco-cerrado-rudos-biker-predator-negro-gris-dot-tallas-_JM?searchVariation=33210376489,0,0,2,0,0,#665418001,NA,"S,M,L,XL",Rudos Biker,NA,Predator,Integral,NA,NA,NA,NA,NA,NA,NA
258, Casco 3/4 Dot Ece Doble Certificado Negro Mate ,999,NA,54,190,18 meses,55.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,3,https://perfil.mercadolibre.com.mx/REMATESDELCENTROPUNTOCOM,https://articulo.mercadolibre.com.mx/MLM-597001595-casco-34-dot-ece-doble-certificado-negro-mate-_JM?searchVariation=32220171853,2,1,0,0,0,#597001595,NA,"L (59-60),M (57-58),XL (61-62)",Alessia,WINMEX,3/4,Abierto,Simple,Poliestireno,Tricomposite,Adultos,Unisex,1.25 kg,34
259, Casco Abatible Scorpion Exo At 950 Negro Doble Proposito ,"6,210",NA,5,3,18 meses,345.00,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,12,https://perfil.mercadolibre.com.mx/OFICIAL+STORE?brandId=1722,https://articulo.mercadolibre.com.mx/MLM-645544272-casco-abatible-scorpion-exo-at-950-negro-doble-proposito-_JM?searchVariation=34160240239,11,1,0,0,0,#645544272,"M,L,XXL",,Scorpion Exo,EXO-AT950,Neocon,Integral,Doble,eps,Policarbonato,Adultos,Unisex,NA,NA
260, Casco Abatible Modular Joe Rocket Rkt 18 Negro Mate Plata ,"2,999",NA,29,9,12 meses,296.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,18,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-628603854-casco-abatible-modular-joe-rocket-rkt-18-negro-mate-plata-_JM?searchVariation=39494689040,11,6,0,0,0,#628603854,NA,"S,M,XL",Joe Rocket,RKT 18 Series,RKT 18 Series Solid Matte Black Plata,Rebatible,Doble,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Unisex,NA,RKT18
261, Casco Integral Joe Rocket Rkt 7 Negro Mate Con Mica Humo ,"1,999",NA,66,2,12 meses,197.48,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,68,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-579606799-casco-integral-joe-rocket-rkt-7-negro-mate-con-mica-humo-_JM?searchVariation=25113229272,60,6,1,0,0,#579606799,Negro Mate + MH,XXL,Joe Rocket,RKT700 + MH,Solid,Integral,Simple,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Unisex,NA,RKT700
262, Casco Integral Shiro Track Gp Negro Mate Sh-890 ,"1,799",NA,13,4,18 meses,99.94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-656976672-casco-integral-shiro-track-gp-negro-mate-sh-890-_JM?searchVariation=31042768750,NA,NA,NA,NA,NA,#656976672,NA,"M,XL",Shiro,SH-890,TRACK GP,Integral,Simple,Poliestireno,ABS,Adultos,Masculino,NA,NA
263, Casco Abatible Moto Grex G9.1 Kinetic Negro + Envio Gratis ,"3,150",NA,8,1,12 meses,311.19,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,30,https://perfil.mercadolibre.com.mx/LAMOTO52,https://articulo.mercadolibre.com.mx/MLM-672363331-casco-abatible-moto-grex-g91-kinetic-negro-envio-gratis-_JM?searchVariation=36283902966,23,6,0,0,0,#672363331,Negro brillante,XL,Grex,NA,9.1,Rebatible,Doble,poliyretano,Policarbonato,NA,NA,NA,NA
264, Casco Ls2 Ff353 Rapid Solid Blanco Ece Dot Sharp ,"1,749",NA,24,3,18 meses,97.19,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,64,https://perfil.mercadolibre.com.mx/ESNAKIZAR_GUADALAJARA,https://articulo.mercadolibre.com.mx/MLM-658362874-casco-ls2-ff353-rapid-solid-blanco-ece-dot-sharp-_JM?searchVariation=32259096255,58,5,1,0,0,#658362874,Blanco,"BLANCO,L,XL",LS2,353,Rapid Solid,Integral,Simple,Poliestireno,Policarbonato,Adultos,Masculino,NA,353
265, Casco Abatible Negro Mate Certificado Dot Deportivo Seguro ,999,NA,8,67,18 meses,55.50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/REMATESDELCENTROPUNTOCOM,https://articulo.mercadolibre.com.mx/MLM-692208350-casco-abatible-negro-mate-certificado-dot-deportivo-seguro-_JM?searchVariation=39279136205,NA,NA,NA,NA,NA,#692208350,Negro mate,XL EXTRA GRANDE 61-62,WINMEX,NA,DP802,ABATIBLE,Simple,NA,NA,Adultos,Unisex,1.4 kg,NA
266, Casco Joe Rocket Rkt 7 Solid Mate Ece22.05 Moto ,"1,499",NA,63,4,18 meses,83.28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,68,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-630752614-casco-joe-rocket-rkt-7-solid-mate-ece2205-moto-_JM?searchVariation=41179236533,60,6,1,0,0,#630752614,Negro,XXL,Joe Rocket,RKT 7- SOLID,Solid,Integral,Simple,NA,NA,Adultos,Unisex,NA,NA
267, Casco Agv K1 Negro Mate Talla S Pista Moto ,"4,400",NA,7,1,12 meses,434.68,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/DANIYCAR+ONLINE,https://articulo.mercadolibre.com.mx/MLM-651436350-casco-agv-k1-negro-mate-talla-s-pista-moto-_JM?searchVariation=29876489577,1,0,0,0,0,#651436350,Matte,S,AGV,Carrera,K1,Integral,Simple,Dry-Comfort,High Resistance Thermoplastic,Adultos,Unisex,1.52 kg,NA
268, Casco Moto Jet Ls2 Brutus Certificado Ece Con Mascara! Raw ,"2,745","2,890",7,3,18 meses,152.53,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/NINJAMOTOSHOP,https://articulo.mercadolibre.com.mx/MLM-683437582-casco-moto-jet-ls2-brutus-certificado-ece-con-mascara-raw-_JM?searchVariation=39848163456,NA,NA,NA,NA,NA,#683437582,Negro,"M, L, XL",LS2,NA,Brutus,Multi-Modular,Simple,Poliestireno,ABS,Adultos,Masculino,1400 g,NA
269, Casco Integral Ls2 Helmets Ff353 Rapid Solid Negro ,"1,749",NA,84,15,18 meses,97.19,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,64,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-634500161-casco-integral-ls2-helmets-ff353-rapid-solid-negro-_JM?searchVariation=25718191763,58,5,1,0,0,#634500161,NA,"M,L,XL",LS2,353,Rapid Alex Barros,Integral,Simple,NA,HPTT MEZCLA DE ABS,Adultos,Unisex,1250 g,FF353
270, Casco Nolan N70-2 Gt Bellavista N Com Varios Colores ,"6,199",NA,6,8,18 meses,344.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,0,1,https://perfil.mercadolibre.com.mx/SHOP+IGARTUA,https://articulo.mercadolibre.com.mx/MLM-701397840-casco-nolan-n70-2-gt-bellavista-n-com-varios-colores-_JM?searchVariation=40743999890,0,0,0,0,0,#701397840,NA,"S,M,L,XL,XXL",Nolan,NA,N70-2 GT Bellavista,Multiproposito,Doble,Poliestireno,Policarbonato,Adultos,Unisex,NA,NA
271, Casco Integral Ls2 Rookie Cian Ff352 Ecer22.05 Moto ,"2,080",NA,15,15,18 meses,115.56,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,2,https://perfil.mercadolibre.com.mx/MOTO-HELMETS,https://articulo.mercadolibre.com.mx/MLM-648082977-casco-integral-ls2-rookie-cian-ff352-ecer2205-moto-_JM,2,0,0,0,0,#648082977,NA,"L (59-60cm),XL (61-62cm),M (57-58cm)",LS2,352,Rookie,Integral,Simple,NA,NA,Adultos,Unisex,1350 g,FF352
272, Casco Cerrado Para Moto Económico Varios Colores ,380,NA,42,30,12 meses,37.54,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,3,https://perfil.mercadolibre.com.mx/RAFR509566,https://articulo.mercadolibre.com.mx/MLM-664414669-casco-cerrado-para-moto-economico-varios-colores-_JM,2,1,0,0,0,#664414669,NA,NA,Doble diamante,NA,Eco,Clásico,Simple,Poliestireno,Fibra de vidrio,Adultos,Unisex,NA,NA
273, Casco Abatible Certificado Dot Envió Gratis Lentes Y Mica ,939,NA,5,1,12 meses,92.77,NA,Llega gratis el martes,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/GRUPO+AEP,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=JfRC11w%2B5OViB8kh2IAQ4sidoEOovHjggTjKa3gcBjVnX2UB5ERgK6f3G1IzaRtZ7eX3xeGTTPFKH6lVE%2BJyLmhMVqLQcwLNHccorJFapHDF%2FSKEBK8eEPD40qbUKx6kbZHytm6H550T3kbt0RasF5FeDbu2zbd%2BD%2BOHuuS1mgyxRB6XsnYoACQQGq%2BCORb10dzYvbaNDtb%2BvBXZcLZLbARl7zc4c5uyryp15NSS%2B5BtxbI0Qhxp1g%2Bt7wEWzAxHN4v3U1qdZDMphiP1ijWgVfgXP6WJQ5hKQ14Z29DGiNkKyLk0Dzb0YImon0iKk0ImQ9e31qWKvmEblc1%2FnKeUfK%2B4uA9eMUOh5jXOf4fRjKDXGCVnLjiFCW%2Bws3Z97QfSrEo24bdpS5%2FUlhMDX0Ec4welgCPo6JmiZOr7JypXGB5ZNBYb0ncBYPb4VQcRamtZ8cJ%2FYwC%2BNkwjOi0Vo6kJCnv4xON7%2FVOKkvdtQE2zH%2B2HYA3Y3skmkvVe7a0iQLASVxpoMeUgqga48vftvdYyFUg7jBnvc8d7T3GKcTnRh9%2FqathmWfE%2BIbkxKDthbj0D3XPL57qcyCq5oH1lZCWOpWllMVAsjtiPORoEzqHUxQd1DEZCcfsh6UtT1o2BDRtKmBSaWLzGKK2Lm2vGvsCpFEWhdEJasDDV8fl7Ei9U6Efdb17vGF44TGKNnrXsyJ10oKN8pkdu%2B0HQO7BrPJ2yVMRFhpKFX6tK%2BzA52%2FbO%2BVgNsAGIfH1tohqmf73oy7d2iuXOS4O0DePTVwJ%2B1JmXxZj1mDz%2BiXqWoW6vUUp920B9yxhD%2F2QO1SMtmlZ72XO8uOU2R4Niz2THMHp%2FtutxnsBqwNgRIKE0Cg9orV8VXbfBAhhVnEBXyDFUdact0xOhIyy7%2B82ZMTSbGWrVIWBUMEQZErV8iHPkejk3WPG0KSW2JvoYWSmkYd2ip8oCh5j6fAEFIcIjPfeCN8VSYgLTDGA9y%2FpBFMBCuFQlvu%2FnDDdeYftRfqQrM%2B8b1UIWBBBUmMh0iUddi5SC%2FB08pyD%2F%2BcuzktibrTVMozlx1wdXQzHMqqjTnOE5fmGU6krnkFZ1t%2FvnHPCiJaGDwyVDydXmtmPF1uPyO8P4hIYQHDPGlG4XEXu1ilhDxEeMj%2FgKr4wQYqRhv0L1vnEgb2E5ILJEUN7GEqQKrYnWI1Hb0Mgtpaom8fMHGRMpR%2BJVCPSR8AE%2FgOtoIVjoFFkeygxV%2FEBUFJAk8AtsGNirDQ2VD3o4Q6GDV2tpmns1z2CNpNr5Ng08gDsQGkw2aIB4YxNIr8taquvkLPo3Fx16BsHGaPyNCAtnsCs3jJSsU%2B8wYQb%2BCAkYFfbw2DQ%2FvOzy%2F%2FPiUe3%2FbFcxur0OLZisp65Iid4di5QFM4WzUESqps1X4lpjNSl3R34rKmqf1nAkXkJIso5bg%2F1Nm4%2FDdNWybOSLcvkGF5XO%2BuO48mSqLi3aRrNjENmZ8YnHiaJ7gD3%2B8akKjabK5CYycWHgohhTzetuEpzeJjanQR5J7Lp99p4Fy8KSAHzX2CkgdGzpHSAYf6GFywlmb8qJNs%2FpJ%2FRP1FuTJCT7u9QQBatOPRJlmI9dNtWdtFBBA%2BWRRRcUl%2FCps2oCaEv9cgAc4cNG4D%2Bt1NIQL5PHS%2B3FBa9Rwh%2F9UO5c8UJyV3cSuD9QgrYOCkUXga9iDwiLm7ZB20rQoKxNjUKLmy4Pob2qtapnbNRCpl0y2o%2FngIkEGBTS4zVC4NSxnPqWT9h%2F2wmeb213vqvqRknbJoF6oA5w5OpG%2BZZGyOCh7rBk7mc1gcy6p4m8et5kOAS2YccGMWnsHALq%2Fp0CPNP544KWq%2B3moTdQ7QIlvvA%3D,NA,NA,NA,NA,NA,#699166543,NA,Large,RODA,NA,Vintage,Abierto,NA,Poliestireno expandido,ABS,Adultos,Unisex,NA,NA
274, Casco Integral Joe Rocket Rkt 7 Series Graphic Rojo / Blanco ,"1,699",NA,123,3,12 meses,167.85,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,38,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-572173296-casco-integral-joe-rocket-rkt-7-series-graphic-rojo-blanco-_JM?searchVariation=42445811811,33,3,1,0,0,#572173296,Negro mate,S,Joe Rocket,RKT 7,Reactor,Integral,Simple,Hipoalergénico,Armazón de A.T.P.A.™ avanzado (Advanced Thermo-Poly Alloy Shell),Adultos,Unisex,NA,RKT 7
275, Casco Para Moto Immortale Half Shell Flat Gray ,"2,650",NA,32,1,18 meses,147.22,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5,1,https://perfil.mercadolibre.com.mx/MOTOCITY+STORE,https://articulo.mercadolibre.com.mx/MLM-577534380-casco-para-moto-immortale-half-shell-flat-gray-_JM?searchVariation=30782703537,1,0,0,0,0,#577534380,Gris,S,Immortale,Chopper,Half Shell Flat,Abierto,NA,EPS,Policarbonato,Adultos,Unisex,NA,NA
276, Casco Tipo Cross Alessia Negro Mate Tallas ,769,NA,72,24,18 meses,42.72,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3,2,https://perfil.mercadolibre.com.mx/VALERIARIOU,https://articulo.mercadolibre.com.mx/MLM-614880547-casco-tipo-cross-alessia-negro-mate-tallas-_JM?searchVariation=23194522547,0,0,2,0,0,#614880547,Azul/Verde,"NEGRO,S,M,L,XL",Alessia,TIPO CROSS,Tipo Cross,Cross,NA,NA,ABS,NA,NA,NA,NA
277, Casco Motociclista Tlatoani Negro Kov ,"1,249",NA,10,12,18 meses,69.39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4,1,https://perfil.mercadolibre.com.mx/MOTOMOPED,https://articulo.mercadolibre.com.mx/MLM-690078217-casco-motociclista-tlatoani-negro-kov-_JM?searchVariation=38944321049,0,1,0,0,0,#690078217,NA,"S,M,L,XL,XXL",KOV,NA,Tlatoani,Abatible,Doble,NA,NA,Adultos,Unisex,NA,NA
278, Casco Ls2 Ff353 Rapid Solid Negro Brillante ,"1,749",NA,21,9,18 meses,97.19,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,64,https://perfil.mercadolibre.com.mx/SIGMA,https://articulo.mercadolibre.com.mx/MLM-636489064-casco-ls2-ff353-rapid-solid-negro-brillante-_JM?searchVariation=39578087364,58,5,1,0,0,#636489064,NA,"M,L,XL",LS2,FF353 Rapid,Solid Black,Integral,Simple,Hipoalergénico,HPTT (High Pressure Thermoplastic Technology),Adultos,Unisex,NA,FF353
