search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Posição da ventilação,Tipo de fechamento,Certificado de segurança,Usos recomendados
106, Capacete Moto Ebf Fechado C/oculos Solar Varias Cores/tamanh ,220,NA,64,3,12x,18.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,6,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803428401-capacete-moto-ebf-fechado-coculos-solar-varias-corestamanh-_JM?searchVariation=27798707553,3,2,0,0,1,#803428401,"Preto-fosco - Amarillo,Preto-fosco - Vermelho,Preto-fosco - blanco","56,58,60",EBF,Xtroy,X20,Aberto,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
107, Capacete Norisk Ff391 Preto Fosco Capacete Moto ,478,NA,46,28,12x,39.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1176265589-capacete-moto-axxis-skull-caveira-fosco-viseira-extra-_JM?searchVariation=32772356756,1,0,0,0,0,#1176265589,Preto,"56,58,60,62",Axxis,NA,Skull,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
108, Capacete Feminino Fechado Pro Tork Moto Viseira Transparente ,60,NA,95,37,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/CALIL+STORE,https://produto.mercadolivre.com.br/MLB-991991572-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=22832221554,5,1,0,0,0,#991991572,Preto - Preto,UNICO,Pro Tork,Custom,COQUINHO,Aberto,NA,Couro,Adultos,Unissex,Nylon,NA,NA,NA,NA,NA
109, Capacete Moto Ebf Feminino Fechado Varios Tamanhos ,399,NA,104,8,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,25,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-795252109-capacete-moto-axxis-by-mt-snake-preto-cinza-fosco-serpente-_JM?searchVariation=31708536132,22,2,0,0,0,#795252109,Preto - Cinza Snake Fosco,"56,60",Axxis,Axxis,Snake,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
110, Capacetes Moto Mixs Foker Storm Fundo Preto Fosco Lançamento ,69,NA,104,290,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,339,https://perfil.mercadolivre.com.br/DEAMOTOPE%C3%87AS+BSB-DF,https://produto.mercadolivre.com.br/MLB-1249968136-capacete-moto-infantil-pro-tork-liberty-4-kids-54-preto-_JM?searchVariation=38673222964,226,73,27,4,9,#1249968136,Preto,54,Pro Tork,NA,Liberty,Integral,Simple,ABS,Crianças,Masculino,Forro antialérgico,NA,NA,NA,NA,Urbana
111, Capacete Ls2 Ff353 Rapid Crypt Fosco Capacete Moto ,399,NA,77,4,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,8,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-786354609-capacete-moto-axxis-by-mt-eagle-dreams-brilhante-_JM?searchVariation=34927415489,7,1,0,0,0,#786354609,Azul,"56,58",Axxis,Eagle,Dreams,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
112, Capacete Moto Mt Thunder 3 Cap Fosco ,123,NA,83,3,12x,10.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-801060835-capacete-aberto-moto-ebf-open-solid-varias-cores-e-tamanhos-_JM?searchVariation=30355247094,1,0,0,0,0,#801060835,"Preto - Fosco,Branco - Brilhante,Chumbo - Brilhante,Lilás - Brilhante,Preto - Brilhante,Preto - Fosco,Rosa - Brilhante,Vermelho - Brilhante","56,58,60",EBF,Thunder,Open,Aberto,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
113, Capacete Moto Ebf Fechado Feminino Varias Cores/tamanhos ,185,NA,142,4,12x,15.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,33,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-799854999-capacete-moto-aberto-coculos-solar-ebf-varias-corestamanho-_JM,18,12,2,1,0,#799854999,Preto fosco e amarelo,"56,58",EBF,Freedom,Freedom Square,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
114, Capacete Moto Tipo Sanmarino Automático Masculino/feminino ,69,NA,37,3571,12x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,35,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=8asaBjS5OJQIJrKHe5ZeJIhnSAYr4Ca7nBeHrDAMbQcOC9bb14JRTWy6XOe2onVKdANyWr4AekIjMLSnOz48rcv0prMfNRoYGK4l6PeoeBEmna5s%2BV0Tn10AfGyiZkD7zZgCCSU3QMBInfXOf7YjVR9yRY%2BKE4s39lP%2B3edMaZfc1w168IwJr7WhZ1Wo2yVN6upH2XDRiZlY0vfdTIe5G4REcsh7EuLjX9dT%2BjXJFluLH%2FAWNhb%2FhJAFhwDd8DEvOUK0i0Yxr3hCNlm%2Fnhdgbha0DJ6dC%2F4HroNSfMzaCu1zR02l8MD61sI3L8q6ICIY98W%2Bqntmw5FFhD8Rp8OUdPcxfiKeSl8AihX4qBQ7EZXraq66LSiU8Di2D91MJ4pW8lsDMtxjaOhn%2FTk%2BpstMBaNp6eJikRaRIWTkI0zHLFJM6HkqMIJzxWhTiXI8fSeLIluE6MTggNL9Pl9uoZfnXOeSdfDU%2BqBieYGV9UtRk7W48r%2FRfuMY33FERH%2B2zmNXuxSW0mqgl%2BrDtVuCxfjOaZhWv85RXrL%2BxsqussFQxOlg4mph41Epepe5rFjj5%2BGmMA4rdq8zBFGRbF%2Fsa8nGojzMH6PNUgAsLLHKemCuzjTL24NsRjwVKqxVtbgSxrR8B0xYAKhBNNzQ2yJ%2FE7iLgAovNSYamb%2BJfY3aGT6VOCU7zM7NX1zl9BwdtuIH7G%2BlpjdOWLykgjSQGgxena38X8PFm1MR21zPokEz3kV5Xrx9SbA%2FiiShU2QBAbntZJvXk1xzivgUCj4PHY4LqAcrslcSR4QDdriibuG0fSSmDZZ%2BpgQzh92uAuCxrBe%2BkBb5joKHKffU9cUFXoDJKepjspJkPk0bXo4RZgQAayPc%2FrrOjh1f4JlnAhlgL1CoPjoFCLpCKVtYs07zvxV7qBQGSBzYAeVMk09DzFK0u56WJ6SXSxwbpKE4la%2FJC7h%2FTLDlZYnkfTDBcwfvSL%2B15Uyx8ayyU4yqkbQOWGMSGRNqWnD2YpIoQQoXk5BqfKZAp62pRyIFhIG7sg%2B%2FUl%2B4chD9PkLSZ%2FebGoPpjl%2FFfzI32EsxG0IfpqTUlc3KJgFHCmbhO%2Frx2aej7YPV0JdlpN1cRWytFajLzawq0J7P7s3XQY3DGKN5c3xNaZIg%2B%2BPwGIE%2FsIzT3kL2NjGDrppJLktf%2FiROxlWgbSlpVhVsg6XJG1JWbPyQY0M5HV5Y2CLI3vcd%2BzCsZFWG%2Bl9FqfrGJsW0IulkP5BtgkuvGF0RAxRpGG3mkn37T6gtg%2F%2BVeevrdIXUsBt4lHtK8rEMCbHFyzMrER5u3R5A4hqbsbaVOI3ERDhxy4B%2BxXg%2FaRfIZMhBNca9FLx3AqN4FLRaXBFc%2BL04ZcgM%2FjpsNVJkfixr3elK8X1BQrhDQ%2BEKtiSOyR4N1KaZVvWrxe%2B1ADxkq7R8L2F1NSZrf54VSKvm2KT16Pxd3KoPBl0IBHkW68Pm01HRuepLJURA8caM17wQnzSCEyg0aHo%2FIlTm51WljxOz4antd492OlWqLrdlt9pmLw6NHPFLKr0X52fTVvl8kb2yreZoXoU4nyaOY2CDTFc9bqk3Q5NQsAsQncIRrm2OaXvI3DCVhu6BzbE%2BdUeXD%2BiuyGuKUxvJ1w1hZb6sX2%2FoxkAkkAGocPRMYhwet1mZD8ibOUTK1ljCdivybBSQ9R%2BLLhbHFEKtFoXYFI1bqpmSee06w7EObi3JnP1T1H5vx7h2l9HARZCai6BaefEWs8DnxKenslzZxG9%2BzO6MFkjKGh6ztOjSt3mvXEnkeBkeAb0YpsJs0Y7x9FEQiAsrRqlJQ%2B%2FgnvL3X9drq5w4VrBocYUDMkTEyh6up9zRLQaxSMZZKtrTfkpa0dh7xU0w3Y1cv1MCx5cGF7GlrE1RGD6DKB3oIp0KAeI2lZXM99HLa0HZA9%2FLZgPJ%2B%2BgzLNYFhxfztdSgF7su,21,5,7,0,2,#1281264225,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
115, Capacete Moto Sm Integral Barato Pro Tork R8 Fechado Viseira ,399,NA,28,8,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1239010178-capacete-axxis-eagle-diagon-preto-fosco-para-moto-_JM?searchVariation=37854909133,NA,NA,NA,NA,NA,#1239010178,Preto,"56,58,62",Axxis,NA,Eagle Diagon,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
116, Capacete Moto Pro Tork Evolution G6 Series + Viseira Fumê ,478,NA,29,27,12x,39.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-746518721-capacete-moto-axxis-by-mt-snake-serpente-viseira-extra-_JM?searchVariation=34168102830,3,0,0,0,0,#746518721,Vermelho,"56,58,60,62",Axxis,Eagle,Snake Red,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
117, Capacete Aberto Moto Open Prime Várias Cores E Tamanhos ,136,NA,60,13,12x,11.41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/PFSOLUCOESEIRELI?brandId=2047,https://produto.mercadolivre.com.br/MLB-1210541214-capacete-de-moto-evolution-fechado-pro-tork-g6-neon-_JM?searchVariation=35251096383,2,0,0,0,0,#1210541214,Azul,"56,58,60",Pro Tork,NA,G6 Neon,Integral,Simple,ABS,Adultos,Unissex,EPS,NA,NA,NA,NA,NA
118, Capacete Moto Fechado Protork R8 + Viseira Fume+ Touca 2018 ,68,NA,73,2,12x,6.56,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798872313-capacete-moto-ebf-shield-solid-diversos-tamanhos-e-cores-_JM?searchVariation=31963346637,2,0,0,0,0,#798872313,Vermelho,"56,60",EBF,Shield,Shield,Aberto,Simple,NA,Adultos,Unissex,NA,NA,NA,NA,NA,NA
119, Capacete Moto Ls2 Ff358 Tyrell Preto Branco ,599,NA,58,10,12x,49.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,12,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-683860079-capacete-ls2-ff353-tech-capacete-moto-_JM?searchVariation=30441815348,11,0,0,0,0,#683860079,Preto - Colorido Tech,"56,58,60",LS2,FF353,FF353,Integral,Simple,ABS,Adultos,Unissex,NA,1300 g,NA,Micrométrico,Inmetro,NA
120, Capacete Tipo Sanmarino Masculino Feminino 56/58/60 Pro Tork ,67,NA,2,1484,12x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,35,https://perfil.mercadolivre.com.br/A.T+STORE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=5zLaANicM%2B%2F8DT6u9IMeaN6wZwad%2FLYrNMyVQes0hKuuqsZj3%2BYUnz1n%2BDuvkLFUiVbByqAUGuQl3ftkFJ4F3YTZP4F6ndUn2%2F29SzxLtSR4vELVGQNKrQsApJX51kH71TgcFcAR1ZCEo1hWxhVHVgs2vh%2F1Am4KO6J1OYssOzvRbgQP0JipClcYlgmxvCeyKAV3bFxTAgmMC%2BHrOuP8EvPChkdQc9%2FXlHI%2ByBhRL9uy4RlPa08uHqK%2BrH1kYaOvd8B3sDviX0esVjH1cPZNlshDi3eKJUZ5ZiEJjeLmlXv39e93w1J1yMLtVL%2FmEoqbjSfBSEVIdSoiZqX6544bOfK%2BAH7ndCGGnRnOW4vxove33bXyCCcCxNZhZJHZzQYGtJQW%2BamADXgnA36JLTncGsB%2BV%2FwYNUzQd355xhFTvlvYrxs%2FwAXPj%2FQp3somjXA54QUgWSZquIldnig1egOtXczsLyCCZWBCplcuaok2QsRbmxEuIiZO8%2BAjCmB7TiAD4Ce3FC9S4g%2FhLdkxNjXRUgKxS2NyfhRPHzomVLOZ28eISvSm35smF0GK4sfMBAOGHhqR89j7JP3Gt8yTU1dXjbYbxitt1RfUMmWVq%2FhJHSyxYklc1MZyDW79tWvBRplvfHxUrtoUAFp9R3KbcYr3Wg0IVqJ%2Beh0NhmXie1H71GOKih6JsSJl6kmI%2FWXOBsZjV60mIj%2BM8nFJ%2FEDdwX9FCxQi8DuVufrwM2B8NBCru2lk4%2BeFPw1G5xEJ0bBFdVaXt6ID4nqlrpD%2BY%2FmMI8gROs65w%2FUbLHhgNYXtY3fD6VxWKkpzCi%2BYZDJSETnL0Gb0wAwjH1X5V%2FpWSBo0LXz1W1DTQ9TQd6DMjFQQZbnxzaN1FqbN79OEZC2Q3T0AR7BD9b1tVHDjSzqezzyePUEs56%2BljDxaed01jZr7Di5PNJ5HxmYb4qpefneORdqn%2BRPQGHuNYiu6oHEuIdTGn5XzibKtqsUMvRyfSDj1GWMMwoHANaB6WdCN4W6Lg5d6xDzT7qpj1cRI7rUsqumUNukdudlohPgzChSFAknhg7GRgOChuOt7vWupyPsQ2xIk9qq3uv9xaffYixKk%2FdR3tUOt5okpXmqwgbgIqTnsm4BrFdjEVLJoptFivdZXi0h%2Bg6SwO%2B23tJPMS2umWx0ZOI7xsxKjEnDvhJEEpCt1iLqZXwLoq31qzZc94eB9sLJ9dMn6zamdH1wpMBIDl6gXtsBKrNVp0jb%2FWNHduI0IGysX8qks9jR0u%2F62EB15oJCYN1TryPprQg3D%2BcwM46ukYsuaH8XSxX1Ye%2BTUjycFlByQwN%2FwKCB3tQ6M%2FTNmVB7H5fS4flgaLWW05Yj8esh1qd59tb1MivICmaQJOHi7sd1syik2wwU7bHB%2F%2BRPV5IR9AmzJRfsuJq%2FGpj%2FiX9Yf2OrU4HrAM6e5ivgHDMC%2FKBO48hOs74QAVS8UByM9mUQB8YLYDgyTU2t1A4Yt8GhlLrqJbxNx1Y%2F2xl2VprcpjLkgoYWuymZBuLouTKB18dRjKc0wgJnX%2BeBrWGHRwh1jgypkEJhBN7Vqx1M8pNCV4ijlGzV6ML%2Bgy%2Fw5tNltpMuXCT2irSuiZMH4jBkUVi7X6yA8V1saLUdixRoLAVTtOdkzyRZK%2FaNhvq3uWzhVBuaQr4yeR6HDdmquqXtITzh7UlPF49S%2BmFlYsJjPjRXo9l4aT%2B4Kd69NhmYFQHhhKyu8AV5uGWqhsQxQ9JKxIUpDqMVqKQvTuqPULxqX7%2BN%2Fd%2FTDeUJt1a23WfABjqbqjMNST18DRL7kCCSFdqjcqDxTxdq2CloTF799KCFeST5y3z7pwKTsqQvCzXwBdJL6qrvVTZmlSItmejy1aOXDD8ESLA2yfo%2BRc1Lk9aXx6Ecptne9qS2Bb3CJpl022VdguaNfuh5jBZxvTfaq3phdFimABVg%2BPZ6qDpg%3D,21,5,7,0,2,#1302048689,Preto,"56,58,60",Pro Tork,NA,Sport Moto,Integral,Simple,NA,Adultos,Unissex,NA,NA,NA,NA,NA,NA
121, Capacete Moto Mt Revenge Binomy Fosco - 5 Estrelas Sharp ,137,NA,77,42,12x,11.46,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,49,https://perfil.mercadolivre.com.br/PFSOLUCOESEIRELI?brandId=2047,https://produto.mercadolivre.com.br/MLB-1210563765-capacete-moto-fechado-pro-tork-g6-pro-color-evolution-_JM?searchVariation=35252032217,41,4,2,0,1,#1210563765,Azul/Branco,"56,60",Pro Tork,NA,G6 Pro Color,Integral,Simple,ABS,Adultos,Unissex,EPS,NA,NA,NA,NA,NA
122, Capacete Moto Axxis By Mt Marianny Celebrity Preto Fosco ,159,NA,55,13,12x,13.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951739642-capacete-moto-ebf-e0x-spectro-varios-tamanhos-e-cores-_JM?searchVariation=31971444408,2,0,0,0,0,#951739642,Preto - Branco,"56,58,60,61",EBF,EOX,Spectro,Integral,Simple,ABS,Adultos,Unissex,Não se aplica,NA,NA,NA,NA,NA
123, Capacete Moto Feminino Pro Tork New Liberty4 Vermelho Preto ,399,NA,127,3,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,12,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-720821041-capacete-axxis-by-mt-lady-catrina-preto-capacete-moto-_JM?searchVariation=39217576321,8,2,0,1,0,#720821041,Preto - Roxo Fosco,"54,58",Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,NA,1450 g,NA,Micrométrico,Inmetro,NA
124, Capacete Aberto New Liberty Three 3 Pro Tork Moto ,139,NA,54,8,12x,11.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,1,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951724040-capacete-moto-ebf-spark-r-pace-varias-cores-e-tamanhos-_JM?searchVariation=31854949213,0,1,0,0,0,#951724040,"Negro Brillante - Amarillo,Negro Brillante - Naranja,Preto-fosco - Rojo,Preto-fosco - Rosa","56,58,60,61",EBF,New Spark,R-Pace,Integral,Simple,ABS,Adultos,NA,Não se aplica,NA,NA,NA,NA,NA
125, Capacete Moto Axxis By Mt Dreams Penas Preto Fosco ,399,NA,29,5,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1170974827-capacete-moto-axxis-by-mt-joker-azul-lancamento-_JM?searchVariation=32319326578,1,0,0,0,0,#1170974827,Azul - Preto Brilhante,"56,58,60",MT,Axxis,Joker,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
126, Capacete Moto Tipo Sanmarino Automático Masculino/feminino Varias Cores Pro Tork ,67,NA,2,3571,12x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,35,https://perfil.mercadolivre.com.br/AT+E-COMMERCE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=gBLE5qd9Dz6nKKpYnurN5I14rHkF6yYsrAdyM7%2F8bSMVAU6T1y12H9w1Hu0Mb1JQVMLZKaiMRXlJQ1dEE5K9xYQEe1HRhcPvHKgVkynA6p8m5kD7HDV708khdXbFeCEjUEgLb%2FnHOuSSjCRqpZTY7gNyRDC0tPGPcxJvzYWMzXCt14dCkLfrlRLJPaOSlFHyxEU3XfnQ5IooWPKEtR69zYr%2FxVdGyZaeWZM6FhaTeyu9RnYGubC7MXs4Hp27bWUo9PX3MBWv%2BLGeXFeWHDB2VToU9LV9sXVx%2B3fBWWJTrh%2BG4iGNmbAxNTHrdbK%2Fj2BYOKAGTS%2BMXE%2BcpMzV5XuXhHQfZWAUr2OR21N1ZvjkoV5rw13DvAvf5hm7I9vSt13BB%2FCzZO%2BBcFmkABpPlsEU%2FRuvoPILjn9bq%2FpbsFXAHcQitSzALGaGFK9IwrpEQkhCB57dz6ZTOZm0MjeX7Slrf7uIAhuQqwL6h0MULzbOKKxf%2FuAYGpeSyseNRe3qo6CjY%2BkCMQPOg4Q%2B2HnLEMaVbu9bQr73iA2AqrGqiJJxCroxUb%2BvBjWlUhvRJs6pu%2F6dCHavIfiQj%2FgKRNstfHsGVV3dwf7pFi0X74K84xg1ZIeFfLsSiYS8E4R68BunCafMr%2B7U9vxvRZuQ4zFJ8WppTlnqSl9FxrNS%2BamLDhakfzQi%2FeuEUf%2Byr2HB10xpQJdDJfIUlNuZS4tgDlw61lzlwxloqIo0HzMoJWLxG4aXa9DEEUUaMaQ0W4WXc4tDtSSNIYeC3e%2BfovX8sdALzlhSS593CBtcsYu4d6f94eDfFqN3La9tZwjY06Ic9fZ1D5HOvoYHmdfMsoYpnamW3AdUgHA%2Bk9nEQbd5kkVxfiFDABr086Lo4921o%2BJMNVVQcMhsvcPnhMHX4tRsgMCWRoopZ9wxeLs%2F5Kl7undOgUAHvI2f4VFJDnDO7ayw135OZ6U1VkJgBe%2F68jYo9LsZLLwilmq1Zq8sSjOBHob0LJJLDdnJ9bQaH%2BPWBuYde3QzMwF4DMUjyUlaBw02BGKywx5TmWZaYFhJVfTZdBCCzgrqPCKp6FwYHV6Juqp3Yu5DFeHQuZQ9hwb8QhU5PKNUxUEudKVp2u3iFXWV3UbF79C8sfOtswz2cXuY1r35YNC0FeenjkBfZAUmB2CgRiXOEtnytmAV0KvsrSjmO4MNSdV1oIByKpGs4RFplu76xlSShZ%2FAhpA1hVzDwMa717rq2KLt0iRhdMP9ewM%2FT0Y0U81z0EZaznKSJvbcqSJKD73prgKjlo00elGdRsJsB1rJx0Z8YKyBfn%2BV13vQ9wVI2Po%2FJGdGL19O7NEvsfH2o%2BV0CLM7BLTssEVg%2BOBnUb10Rh9KKPSQOGUFpmuUD5923Wb0LWbJqKQ%2F5W5k7BMEwpfEb6hYG9UrXsFl%2BZnCEpDv3JFs1NAXv1iE4cBVTQwDxkaNY4Qdnb%2FC7m1yMrTqyWg%2Bw%2FAi4OJXjfqd3aH4B9b35UnoKy4HojWcdZua4gD9zUCOGoySRQTo%2BYr0ctboH0noAN7ihvQaP1Ju0x5VqPar4N3vV32m3VpTxtq144kreJrHe1591bIuhJ9gUUvNrVbcOVo0ukQPV7%2F0PIGECAausW2vtSnor5UQXsCpbhSMJD%2BJIPmSxjivM1SqN%2F40dSA6g4pG22pGPyJOa2EYX%2Bw7HhnWJA754qHUHx4uPrGZjAZq9fUIngOiEjy492MlnEL1fv6cVWNGxy16YYGeqXtlAmAi5qseoo54h1jGutdjKMqEFPaGSWU2fNh6yXam2KgPXpAETkJcVnN71hTxDw4yuwcg6DZkie7%2FyATAvTbaBps4uvp0y%2Fgd7pZyA1uvKjPqydoCavx6gBJKuCdJHeDOChe%2FkdSLna4H7MUgj6fZDxs7TOfAFs9qMW53Q5RzU5RsmI70lzGnlBPlEan2Vw5ceJB8Q%2BABuIHqnxmJLSDG%2BDsjAyOF3HHWb9h7YOc%3D,21,5,7,0,2,#1302037367,Rosa,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
127, Capacete Fechado Moto Ebf Rox Er Diversas Cores E Tamanhos ,221,NA,105,8,12x,18.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,4,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798342970-capacete-moto-aberto-coculos-solar-ebf-varias-corestamanho-_JM?searchVariation=27795275588,3,0,1,0,0,#798342970,"Preto-fosco - Vermelho,Preto-brilho - Branco,Preto-brilho - Laranja,Preto-brilho - Rosa,Preto-brilho - Vermelho,Preto-fosco - Laranja,Preto-fosco - Rosa,Preto-fosco - Vermelho","56,58",EBF,Freedom,Circle,Aberto,Simple,ABS,Adultos,Unissex,NA,1.463 kg,NA,NA,NA,NA
128, Capacete Masculino Moto Protork Preto Fosco Lançamentos !!! ,197,NA,28,6,12x,16.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/PLUS+FERRAMENTAS,https://produto.mercadolivre.com.br/MLB-1189260410-capacete-moto-pro-tork-evolution-brasil-g6-novo-viseira--_JM?searchVariation=33730915472,1,0,0,0,0,#1189260410,Brasil,"56,58,60",Pro Tork,NA,Evolution Brasil,Integral,Simple,Policarbonato,Adultos,Unissex,Poliestireno,NA,NA,NA,NA,NA
129, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Rosa ,149,NA,304,7,12x,12.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,24,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798253460-capacete-ebf-articulado-unissex-moto-robocop-varias-cores-_JM?searchVariation=27157018330,14,9,1,0,0,#798253460,"Preto - Brilhante,Preto - Fosco","58,61",EBF,Robocop,Articulado,Aberto,Simple,ABS,Adultos,Unissex,NA,1.8 kg,NA,NA,NA,NA
130, Capacete Peels Spike Ghost Preto Vermelho Masculino Moto ,226,NA,233,37,12x,18.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,34,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-802634266-capacete-moto-cross-com-viseira-ebf-varias-corestamanho-_JM,21,8,3,1,1,#802634266,"Preto brilho e azul,Preto brilho e rosa,Preto brilho e verde,Preto brilho e vermelho","56,58,60",EBF,Super Motard,Iron Cross,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
131, Capacete Moto Peels F-21 Us Army Preto Fosco Verde Militar ,220,NA,64,3,12x,18.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4,6,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803428401-capacete-moto-ebf-fechado-coculos-solar-varias-corestamanh-_JM?searchVariation=27798707553,3,2,0,0,1,#803428401,"Preto-fosco - Amarillo,Preto-fosco - Vermelho,Preto-fosco - blanco","56,58,60",EBF,Xtroy,X20,Aberto,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
132, Capacete Ls2 Ff353 Rapid Infinity Preto Para Moto ,379,449,57,2,12x,31.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1153520502-capacete-norisk-ff391-preto-fosco-capacete-moto-_JM?searchVariation=31104271563,3,0,0,0,0,#1153520502,Preto - Fosco,"60,61",Norisk,FF391,FF391,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
