search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales
881, Afeitadora Gsh880 By Gama Italy ,1985,NA,3,9998,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,40,https://perfil.mercadolibre.com.ar/-ENRICCO-,https://articulo.mercadolibre.com.ar/MLA-624091773-afeitadora-gsh880-by-gama-italy-_JM,23,14,1,0,2,#624091773,NA,NA,NA,NA,NA,NA,NA
882, Afeitadora Recargable Philco Ae5100pn ,1559,NA,1,4,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TELEARTELECTRO,https://articulo.mercadolibre.com.ar/MLA-740273637-afeitadora-recargable-philco-ae5100pn-_JM,NA,NA,NA,NA,NA,#740273637,Philco,AFEITADORA,AE5100PN,NA,50 MINUTOS,NA,NA
883, Kit Barberia Corta Pelo Nariz Oreja Bigote 4 Cabezales Usb ,800,NA,1,76,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ROMA4087574,https://articulo.mercadolibre.com.ar/MLA-799731489-kit-barberia-corta-pelo-nariz-oreja-bigote-4-cabezales-usb-_JM,NA,NA,NA,NA,NA,#799731489,SPORTMAN,SM,SM339,NA,NA,BATERIA USB,Removibles
884, Afeitadora Inalambrica Gama Gsh 895 Corta Patillas Y Bigote ,1149,NA,6,1,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTRO.STYLE,https://articulo.mercadolibre.com.ar/MLA-743967635-afeitadora-inalambrica-gama-gsh-895-corta-patillas-y-bigote-_JM,NA,NA,NA,NA,NA,#743967635,GA.MA Italy,Inalambrica,GSH 895,NA,45 m,220v,NA
885," Recortador Philips Para Nariz, Orejas, Cejas Nt3160/10 ",1099,NA,53,34,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,10,https://perfil.mercadolibre.com.ar/TCSHOP+ONLINE,https://articulo.mercadolibre.com.ar/MLA-610359063-recortador-philips-para-nariz-orejas-cejas-nt316010-_JM,7,3,0,0,0,#610359063,Philips,Series 3000,NT3160/10,NA,NA,NA,NA
886, Corta Barba Remington Tlg100 Kit De Corte Para Viaje 15 Pzas ,879,NA,3,8,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CASA_BELGRANO,https://articulo.mercadolibre.com.ar/MLA-721165990-corta-barba-remington-tlg100-kit-de-corte-para-viaje-15-pzas-_JM,NA,NA,NA,NA,NA,#721165990,Remington,Mens Travel Kit,TLG1000,NA,NA,A Pilas,NA
887, Cortabarba Philips Breadtrimmer Pro Skin Bt1000 ,1237,NA,6,16,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FULLONEFULLONESA,https://articulo.mercadolibre.com.ar/MLA-716806687-cortabarba-philips-breadtrimmer-pro-skin-bt1000-_JM,NA,NA,NA,NA,NA,#716806687,Philips,NA,BT1000/15,NA,NA,NA,NA
888, Afeitadora Philips Shaver S9031/13 Eléctrica Recargable ,9269,NA,1,5,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,81,https://perfil.mercadolibre.com.ar/ARTICULOS-EXCLUSIVOS,https://articulo.mercadolibre.com.ar/MLA-734668722-afeitadora-philips-shaver-s903113-electrica-recargable-_JM,57,16,5,0,3,#734668722,Philips,Series 9000,S9031/13,NA,50,NA,NA
889, Repuesto Afeitadora Braun 92s Serie 9 Foil 9240s Aleman ,6500,NA,1,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,26,https://perfil.mercadolibre.com.ar/BUHODIGITAL2012,https://articulo.mercadolibre.com.ar/MLA-769860113-repuesto-afeitadora-braun-92s-serie-9-foil-9240s-aleman-_JM,19,5,2,0,0,#769860113,Braun,Series 9,9240S,NA,NA,NA,NA
890, Afeitadora Electrica Maquina De Afeitar Recargable ,1599,NA,2,109,12 cuotas,NA,NA,Llega mañana,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/ELECTROMUND,https://articulo.mercadolibre.com.ar/MLA-786079834-afeitadora-electrica-maquina-de-afeitar-recargable-_JM,NA,NA,NA,NA,NA,#786079834,Winco,NA,NA,NA,NA,NA,NA
891, Afeitadora Eléctrica Braun 3000bt 3 En 1 Wet & Dry 5 Peines ,4198,NA,17,3,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/LLEEVALO.COM,https://articulo.mercadolibre.com.ar/MLA-706945605-afeitadora-electrica-braun-3000bt-3-en-1-wet-dry-5-peines-_JM,3,0,0,0,0,#706945605,Braun,NA,3000bt,NA,NA,NA,NA
892, Cargador Afeitadora Philips At 898/14 Envio A Interior ,790,NA,3,1,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3,1,https://perfil.mercadolibre.com.ar/FUENTESTODAS,https://articulo.mercadolibre.com.ar/MLA-757853315-cargador-afeitadora-philips-at-89814-envio-a-interior-_JM,0,0,1,0,0,#757853315,Philips,BLACK,AT898/14,AT898/14,120,220v,NA
