search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales
308, Afeitadora De Doble Hoja Metálica Foil Fx02 Babyliss ,8250,NA,11,9,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/ARTICULOS-EXCLUSIVOS,https://articulo.mercadolibre.com.ar/MLA-753060490-afeitadora-de-doble-hoja-metalica-foil-fx02-babyliss-_JM,1,0,0,0,0,#753060490,BaByliss,BARBEROLOGY,FOILFX02,NA,3hs.,Batería,NA
309, Afeitadora Recargable Philips S1030 Aquatouch Wet & Dry ,1999,NA,12,3331,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,553,https://perfil.mercadolibre.com.ar/TRES+MARES,https://articulo.mercadolibre.com.ar/MLA-723502268-afeitadora-recargable-philips-s1030-aquatouch-wet-dry-_JM,371,122,37,13,9,#723502268,Philips,AquaTouch,S1030,S1030/04,45 min,Batería,Flexibles
310, Afeitadora Corporal Philips Bodygroom Bg1024/10 En Cuotas ,1819,NA,16,6,6 cuotas sin interés,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-679385206-afeitadora-corporal-philips-bodygroom-bg102410-en-cuotas-_JM,NA,NA,NA,NA,NA,#679385206,Philips,Series 1000,Bodygroom,BG1024/10,2,220V,NA
311, Afeitadora Gama Gsh950 Con Cabezales + Trimmer Inalambrica ,2774,NA,10,2,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-788699369-afeitadora-gama-gsh950-con-cabezales-trimmer-inalambrica-_JM,NA,NA,NA,NA,NA,#788699369,GA.MA,Afeitadoras,GHS950,NA,NA,220,Removibles
312, Afeitadora Inalámbrica Philips Aquatouch S5070/02 Recargable ,3699,NA,31,26,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,208,https://perfil.mercadolibre.com.ar/LHCONFORT,https://articulo.mercadolibre.com.ar/MLA-724136912-afeitadora-inalambrica-philips-aquatouch-s507002-recargable-_JM,137,55,13,0,3,#724136912,Philips,AquaTouch,S5070/02,S5070/02,40min,Batería,Giratorios
313, Máquina Afeitadora Wahl Finale Profesional Shaver ,5625,NA,3,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PELOMANIA3277,https://articulo.mercadolibre.com.ar/MLA-751443303-maquina-afeitadora-wahl-finale-profesional-shaver-_JM,NA,NA,NA,NA,NA,#751443303,Wahl,Finale,Finale,NA,80 minutos,100-240V,"Hipoalergénico, hojas doradas para un afeitado sin irritaciones"
314, Cortabarba Philips 5730 Pelo Patilla Cuerpo - Reemplaza 3340 ,2790,NA,299,13,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,19,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-610449575-cortabarba-philips-5730-pelo-patilla-cuerpo-reemplaza-3340-_JM,8,10,1,0,0,#610449575,Philips,Multigroom series 5000,Multigroom,MG5730/15,0 s,NA,NA
315, Maquina De Afeitar Recorta Barba Peloz Naris Afeitadora 3en1 ,1499,NA,7,49,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/KIEROUNO,https://articulo.mercadolibre.com.ar/MLA-757827183-maquina-de-afeitar-recorta-barba-peloz-naris-afeitadora-3en1-_JM,NA,NA,NA,NA,NA,#757827183,Surker,Afeitadora - corta pelo - saca pelo nariz,SK-721,NA,45 Minutos/Carga 8 Horas,Recargable,3 Cabezales intercambiables
316, Afeitadora Gama - Recargable - Inalambrica - Gsh Master ,3299,NA,4,10,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,30,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-794438414-afeitadora-electrica-braun-3000bt-3-en-1-wet-dry-5-peines-_JM,24,5,1,0,0,#794438414,Braun,Wet&Dry,3000BT,NA,NA,220,NA
317, Maquina De Afeitar Recorta Barba Pelos Nariz Afeitadora 3en1 ,5699,NA,11,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,44,https://perfil.mercadolibre.com.ar/HAMSA_MODA,https://articulo.mercadolibre.com.ar/MLA-694099282-afeitadora-andis-profoil-lithium-titanium-foil-shaver-nunez-_JM,38,6,0,0,0,#694099282,Andis,Titanium Foil Shaver,Pro Foil,NA,NA,NA,NA
318, Afeitadora Eléctrica Maquina Recargable Braun Lavable 310s ,1560,NA,5,13,6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TITANIUM-STORE,https://articulo.mercadolibre.com.ar/MLA-776744413-afeitadora-gama-recargable-inalambrica-gsh-master-_JM,NA,NA,NA,NA,NA,#776744413,GA.MA Italy,Afeitadora,GSH MASTER,NA,NA,Batería,Ergónomicos
319, Afeitadora Electrica Recorta Barba Philips One Blade Qp2510. ,1498,NA,5,6,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/KIEROUNO,https://articulo.mercadolibre.com.ar/MLA-757827133-maquina-de-afeitar-recorta-barba-pelos-nariz-afeitadora-3en1-_JM,1,0,0,0,0,#757827133,Surker,Afeitadora - corta pelo - saca pelo nariz,SK-721,NA,45 Minutos/Carga 8 Horas,Recargable,NA
320, Afeitadora Gama Gsh-860 Recargable Inalambrica Cortapatilla ,3499,NA,2,22,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,22,https://perfil.mercadolibre.com.ar/TIENDAEASYSHOPPING,https://articulo.mercadolibre.com.ar/MLA-776956161-afeitadora-electrica-maquina-recargable-braun-lavable-310s-_JM,22,1,3,0,0,#776956161,https://www.youtube.com/watch?v=fhGN3IkfTS8,Belleza y Cuidado Personal,310S,NA,NA,Batería,1
321, Maquina Afeitadora Profesiona Inalambrica Babyliss Fx02 Foil ,1235,NA,3,96,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FARMACIA+ALFA,https://articulo.mercadolibre.com.ar/MLA-800985261-afeitadora-electrica-recorta-barba-philips-one-blade-qp2510-_JM,NA,NA,NA,NA,NA,#800985261,Philips,OneBlade,OneBlade QP2510,NA,NA,220V,Flexibles
322, Gama Afeitadora Electrica Cortadora Pelos Depiladora Bikini ,1680,NA,7,NA,6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,96,https://perfil.mercadolibre.com.ar/CORDONAT+TECHNOLOGY,https://articulo.mercadolibre.com.ar/MLA-723770428-afeitadora-gama-gsh-860-recargable-inalambrica-cortapatilla-_JM,47,34,13,2,0,#723770428,GA.MA Italy,Shavers,GSH 860,QG3320/15,50 MINUTOS,NA,NA
323, Philips Oneblade Repuesto Qp210 Hoj Afe ,599,NA,2,300,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/SANTA-ANA+FARMA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=IU%2BwdyJwiQhG0w2VSs2noB0qy3RNC5e51E6DOnNwKK1GZWKlT6MzusxddkCDdfh%2Fd%2Bm6y%2BQk47PpRwYnLoaABNjK64Xdfrw6kUM4QYbDusHOV7MvLeDS2yTFXuutTaxbNjwzhbAu77kgGFA76CqBThGhnUpCx6YZZgcVWz07ezpfiYP%2FhHrmXjm1qV%2BOUqU23O0KHwTkgUpicK3f0cgrQd0rJpWuUoMSmVgCpH35MHo4q9hpHKCqi%2F62LOynqcg9bXBfIg10%2BuGgkPs7sxU4JWUwb4sFaKbCpp5ofezWYreopmBQg8c35GtYoa6qf9uwbX2fTltWm15z9q7XYOPeuXkNlyZ1JF3OLFCRAFUZPwBZJXhuwYftGpoqbv7c49VBv9sK1kkYAg2ti1NG4mcAUeL3IbTnF5Sdu2wvIMJvgjpnPbGSdzFsuSWjQuBdHat6JPqN1DrsvTNjZKKCmI3h85ymeSB%2FOUO4BbJXv1JcQ8NtFGzZ9N4KfvOFe%2FTtWLk4WRJaSZF1tP%2FYHK9zIEDJ%2Bisf48feZIgshw7nCF5I%2FWBPsx6bgDReimRqOjFjzcaZXODGAiwfWqGXn1ovARbT057%2FBlB0is%2BDF27Qu345mnRSfyOC%2FpCn9BfqpJfTAtewb1j4hhdIHmdY26M%2F2tw0O2D5a7j%2B21PLAKOWO%2FEEUzgRNra7QtgHR1kwYrfDlRd8wFC%2BumfedoL0f8CZfjsKvwEzBZ2kCiw5TLBPWEKfdF0Bvp%2FAPXN%2BaFX7wIPZUCI%2Fo3BAfsGtJLxhmW%2B78DSGaCDCEu0AzAS3Th8wynaSZ9WMglcjlE%2BZ1HD5jm9ueMmMLEWKACX700Y53cSeSHjotAXFTEeeWztjAiJiKuv9TzpHhmkHMXfuUq7f0s5apxTB%2BFZ8MG5rjpOTJF9szTaH962u4Jz3CEEnIJpat1dbN%2BmX%2BSBR1ALBK%2F2X5qy1xCCSMBqtOhuVjz4s%2FVYAIT6Nicls6C2K5Ar3ptB5dJENWAIulmAp3HqPzFzNKbh5FCn5xsathcpi8hYIi3TBS69gWvh9QZlHMeVtIxuCtK1mKy2OyQoYuIlUmXL0xPcDCIkUc1DjvJPUIQcpcP8d9OQB6jieU%2FcfdicyD%2FRJwLzNgiZyi2RgzZzAexv4e6y%2B%2FmfQGoflTiQSwizCcIPTgSOACDyGmOG2A8HS5mAHgPjqJZI8o0XdIFkwG8%2FMCxUhJ2Dokkg737nWVjd1ucswAYcMehxRb3epj7cw1immCWQndBHY6tmx4eOtqaSaYYMH87%2B13HNiNOWLUUVg9LYuWlIUFAfGQy2ULuLNq1gJlcpRdJ3%2FroR%2FFkAzUbEHdLYyrNNb%2BpeQAvK8rywHaPqZTWtjmBV1YPqRJIOO8dh652pWrE4%2FgfbyjUJ2Yxsn5%2BNmcbpRyEVv2iQa9MN4QfRklMuicPqTpFy40R%2F5Pm5IVF8p5nZU4Pk6BpLaz2u7G%2BVzpi9q%2FYeWbyqFj9Z4HU%2BWMi%2BPus2frlw3akZV5D4OCyO6WMHrOCANlaefJd1xBUlti4V%2F%2FPP2ulzOJhPWvhqs1KSp9RCIvO0Gvv8sF8k68Y%2B75MhJK2l6EUhYbHTUPpM2jJv1eJMCqef2Q6jKGA2xf9ToWHIVWZfX2GDWtr6Q752Fm7iyTnUMPIud%2BYBHqNtzhgAO7bGg6sBXRvF3LMXZIP2VPhzzNMlx5Wa7Ykc1W5nlw1h04lPW4dsNnz7dchUWIteXcnJJHzBscPIViyIXxpCHyGgfAmxemCDakTqKbCJgDn1Kec9O%2Fp6V9Ii5HoD%2FzeVQrUWo4%2F1Jxw%3D%3D,NA,NA,NA,NA,NA,#794748438,Philips,OneBlade,OneBlade,NA,NA,Batería,NA
324, Afeitadora Rotativa Remington R0050 Dual Shave ,6800,NA,5,7,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CENTRAL-DE-BELLEZA,https://articulo.mercadolibre.com.ar/MLA-776985061-maquina-afeitadora-profesiona-inalambrica-babyliss-fx02-foil-_JM,NA,NA,NA,NA,NA,#776985061,BaByliss,NA,Fx02 Foil,NA,NA,220v,NA
325, Recortador De Barba Philips Oneblade Qp2510/10 ,3200,NA,39,28,12 cuotas,NA,NA,Llega gratis mañana,NA,NA,5,2,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-664356615-gama-afeitadora-electrica-cortadora-pelos-depiladora-bikini-_JM,2,0,0,0,0,#664356615,GA.MA,Series 3000,Bikini,NA,NA,NA,Ergonómico
326, Máquina Afeitadora Wahl Finale Profesional Shaver ,1259,1399,17,15,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,16,https://perfil.mercadolibre.com.ar/PEDIDOSFARMA?brandId=1359,https://articulo.mercadolibre.com.ar/MLA-785599391-afeitadora-rotativa-remington-r0050-dual-shave-_JM,8,3,0,0,1,#785599391,Remington,Dual Shave,R0050,NA,NA,Corriente directa,Giratorios
327, Afeitadora Electrica Philips Hq6908 Flex Float Con Cable ,1139,NA,6,14,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,242,https://perfil.mercadolibre.com.ar/BOSAROND_ONLINE,https://articulo.mercadolibre.com.ar/MLA-777292291-recortador-de-barba-philips-oneblade-qp251010-_JM,172,50,12,3,4,#777292291,Philips,OneBlade,QP2510/10,NA,NA,Recargable,Pivotantes
328, Remington Pg181 Kit Para Vello Facial 5 En 1 Con 3 Cabezales ,5630,NA,3,1,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BONPEL,https://articulo.mercadolibre.com.ar/MLA-792317855-maquina-afeitadora-wahl-finale-profesional-shaver-_JM,NA,NA,NA,NA,NA,#792317855,Wahl,5 Star Series,Finale,NA,NA,Batería,Ergónomicos
329, Cortabarba Kit De Corte Remington Tlg100 De Viaje ,1209,NA,0,18,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/BOSAROND_ONLINE,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=nU0H1bztUDPsnnpJxtaY8KQsopfpTUkV0Wuj5yqVevvAO68AwhHSp2tU80DMMytgaxPZrYoT8xK%2FXTCRR4iKSjTGqMQUkFZDOYlr5ZlLgBwFgKxV1lByct2JvD8G6IUixP9Cpv4%2F5MTqX1ABqylCAJRmblDYUXROjyup97Az05JO4VVltq6l6up9AL%2BouUwMPnHUOgFr%2F4rR4IsnWsQ%2BkyaCt5KQCyoBo9BYkxVjuLqHEC3t9jLnK2DH1LrupC%2B6uQvgScz4g13pV9HB%2FJWNpMbmj9qzryWKQKJ1bO154vS06lfmIynw6HZ0mBIy9IM%2FDfP7jcjes7gWgP6JQETVGJ%2FQHsJqaYvMTEWK%2FmAH35zaY5e8SLupkDRqXlUTaNEvEezuZGdY3nuGtDXpJbsj5a%2BjzSHr5u%2FzGJ0MGVtE9qo2JDFMC9WufWXRIM8GRG%2Fik01%2B0cu9stF6L%2FYLwDm0IrZh7lKeKeCBrj1aof3S0cJ2McyrLQilv1Aqll1eyKAByZCl054fsE2Rdl%2Bx9k5vm%2BQONQ5V5FH58jKNmwCHYYQ1RZ9qPHvWQrx%2FRiMNJ68rAH7tpePgTQIbWirrLTAkYd8yIlcGquBVrQAIISjTtbSlEsOXJEkW2yXGIBgBeC9f0oLQZPkqHo2D54KrGgCjrAbIjhT0ZkjjJuaapgjS%2FL%2FTPP0GjXSDYGN2QIhaPkmaMjAI4v6idFhzusnsxQHnTUax37hWR75WyYPkJDeMSnuYkaHhcQGGsSUZt8rkgUsY9WsyqPW%2B83C6wGmWq2hRlJx79PmKh%2B%2BCrkb7gTXO4zm%2BPOrGaNsj1jxKsGoWfx8E9rKhgEyA%2BSJGy4aAt4sOgpGD%2FcxPycOTD5SRd8gYbHXwFBRxSCIPu1VO3ATrYBPiIrQFFlsU5g%2FGuv2sigjjPJdMVCSXWQ1%2BAxscxR%2FITDtEjQzY0dMc2uOTOvOZrEQyXlCc0Cm6Nw99U%2FRqYg%2FJqCYEWS8J%2FeApnvTHLvGWDLb%2FI2AwnB03rZhJLJF1fxpGGXxHDMNSMsyFS%2FwEYIRL2tb6J3FB8qBpyL2NZchHGpf6iQDFynCO2sk26RhWSGmAKPAHWJUSKmfaa%2Fuac2We1qnVDeGoiTpdUXWz6LJn5Q4Xthim3xVZ%2B9qMh9p8IFZi9pSAeZ8%2FcpEvTlcU79hmUgQpLLuV4p%2FErKhPN2%2Fc9gptufrhtsWQg2M%2BAKIGbmgzq0jNnoba%2BpLC9UtD6Btnx%2F8HD13nBaA3Y9rNd3gyOvh%2B7d%2FztBZW5IJIPb79dYWnWfTNA%2BUOqlY%2FkrMR49cIzAJkocaOK6O6zJomtI3YdKxwxKPtJMzFmerwyrEloXdhKCNFhHHel%2FKVpgMhSbHvEBvhy4eGd%2F21V8MrGNxoekhjKhasNtpfqH5c39koPH8p0oR1QstRWOhSwmWAOCjqbhmrbQpLFmCBD9hyJY4QvWYzOE1V%2BD0zg9dMe%2BzgWTCh6EbyCeSCANxDx%2FR%2BVlT8xZ8x9DHeWfzMeaDfHNfK3Ngtny9VRBLjhr2FiGQZUK%2FTQrMFVEx1MwVG7Iaaq8fwRKxViBqGQV6gg%2BbRzRQEipVQbt6Lo1SqoO6DZmHM0eYnZ7uKeR4P3H3r1K%2FkiMzBZCcGTq4CDHohcjhWPY99Isif0Y73k3m3zkRT86MpdZwWyfVzZer61B8908Ff2Onm%2Bh6ew0mOToLh8aVqUnk%2FnNhoiGWt5EGUwZF8k8jgGO%2BvV8W1jq2TStYsI4OOO11quMexYPS6jZWcOF69wai359%2FSLY%2BQfDqd9Kq3I6j6OOtIbgK0PI2OBdux9hWkCy4oqFYf,NA,NA,NA,NA,NA,#774162017,Remington,Viaje,TLG100,NA,30 minutos,Batería,NA
330, Afeitadora Gama Inalambrica Gsh930 Recargable Cuotas S/int ,2879,NA,15,1,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,28,https://perfil.mercadolibre.com.ar/TRES+MARES,https://articulo.mercadolibre.com.ar/MLA-628850979-afeitadora-electrica-philips-hq6908-flex-float-con-cable-_JM,16,10,0,0,2,#628850979,Philips,Serie 3000,Hq6908,HQ6908/16,NA,Carga,Flexibles
331, Afeitadora Multifunción Braun Mg5050 Afeita Recorta Perfila ,986,NA,7,898,6 cuotas sin interés,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,2,https://perfil.mercadolibre.com.ar/OPENFACTORY,https://articulo.mercadolibre.com.ar/MLA-772083205-remington-pg181-kit-para-vello-facial-5-en-1-con-3-cabezales-_JM,1,1,0,0,0,#772083205,Remington,PG,PG181,NA,NA,Pilas Alcalinas AA,Removibles
332, Philips One Blade Maquina Con 2 Peines. ,2599,NA,10,3,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,42,https://perfil.mercadolibre.com.ar/ELECTROSTORE.COM.AR,https://articulo.mercadolibre.com.ar/MLA-734806180-afeitadora-gama-inalambrica-gsh930-recargable-cuotas-sint-_JM,28,9,4,0,1,#734806180,GA.MA,SHAVERS,GSH 930,NA,50 s,Batería,Giratorios
333, Afeitadora Philips Shaver S9031/13 Eléctrica Recargable ,2679,3399,36,25,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,20,https://perfil.mercadolibre.com.ar/PRONTO+TEC,https://articulo.mercadolibre.com.ar/MLA-621384608-afeitadora-multifuncion-braun-mg5050-afeita-recorta-perfila-_JM,14,5,0,1,0,#621384608,Braun,Multigroomer,MG5050,NA,30 Min,Batería,NA
334, Afeitadora Braun Series S3 Shave & Style 3000bt 3 En 1 ,1700,NA,31,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/FARMACIANUEVAAVENIDA,https://articulo.mercadolibre.com.ar/MLA-731355475-philips-one-blade-maquina-con-2-peines-_JM,1,0,0,0,0,#731355475,Philips,OneBlade,OneBlade,NA,30 minutos,Batería,QP210/50
335, Afeitadora Multifunción Braun Mg5050 Afeita Recorta Perfila ,8999,NA,108,40,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,81,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-619387481-afeitadora-philips-shaver-s903113-electrica-recargable-_JM,57,16,5,0,3,#619387481,NA,Series 9000,S9031/13,NA,50,220v,NA
336, Afeitadora Rotativa Remington R0050 ,4599,NA,4,3,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,30,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-757444168-afeitadora-braun-series-s3-shave-style-3000bt-3-en-1-_JM,24,5,1,0,0,#757444168,Braun,Série 3,3000BT,NA,NA,Batería,Flexibles
337, Cortabarba Philips Bt5502/15 40 Longitudes De Barba! ,2399,NA,4,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,14,https://perfil.mercadolibre.com.ar/ELECTROSTORE.COM.AR,https://articulo.mercadolibre.com.ar/MLA-801359151-afeitadora-multifuncion-braun-mg5050-afeita-recorta-perfila-_JM,10,2,1,0,0,#801359151,Braun,Multigrommer,MG5050,NA,NA,220V,Planos
338, Afeitadora Eléctrica Maquina Recargable Braun Lavable 130s1n ,898,NA,13,7,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,16,https://perfil.mercadolibre.com.ar/ELECTROANDPOWER,https://articulo.mercadolibre.com.ar/MLA-723881036-afeitadora-rotativa-remington-r0050-_JM,8,3,0,0,1,#723881036,Remington,afeitadora,R0050,NA,rotativa,Batería,Flexibles
339, Afeitadora Cortabarba Philips Mg7715 Multigroom 11 En 1 ,2499,NA,161,24,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,41,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-628395520-cortabarba-philips-bt550215-40-longitudes-de-barba-_JM,28,12,1,0,0,#628395520,Philips,Beardtrimmer,Bt5502/15,BT5502/15,90 Min,Batería,NA
340, Afeitadora Inalambrica Eléctrica Braun 5030s Serie 5 Cuotas ,2299,NA,4,20,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIENDAEASYSHOPPING,https://articulo.mercadolibre.com.ar/MLA-776959926-afeitadora-electrica-maquina-recargable-braun-lavable-130s1n-_JM,NA,NA,NA,NA,NA,#776959926,Braun,Belleza y Cuidado Personal,130S1N,NA,NA,Batería,1
341, Maquina Afeitar Corta Barba Patillas Electrica Recargable ,3699,NA,15,18,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/24STORE,https://articulo.mercadolibre.com.ar/MLA-776768086-afeitadora-cortabarba-philips-mg7715-multigroom-11-en-1-_JM,1,0,0,0,0,#776768086,Philips,Series 7000,MG7715,MG7715/15,2 horas,NA,NA
342, Afeitadora Braun 130s-1 Lavable Cortapatillas Gtia 2 Años ,9048,NA,4,4,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,33,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-776904257-afeitadora-inalambrica-electrica-braun-5030s-serie-5-cuotas-_JM,27,4,2,0,0,#776904257,Braun,Series 5,5030S,NA,NA,220V,Pivotantes
343, Vondom Afeitadora Portatil A Pila ,990,NA,9,3,12 cuotas,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/KIEROUNO,https://articulo.mercadolibre.com.ar/MLA-777510382-maquina-afeitar-corta-barba-patillas-electrica-recargable-_JM,NA,NA,NA,NA,NA,#777510382,Yoko,NA,NA,NA,NA,NA,NA
344, Philips S1030/04 Aquatouch Afeitadora Electrica Seco/mojado ,1999,NA,4,3,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,20,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-767142049-afeitadora-braun-130s-1-lavable-cortapatillas-gtia-2-anos-_JM,12,3,3,0,2,#767142049,Braun,Serie 1,130s-1,130s,NA,Corriente directa,NA
345, Nueva Afeitadora Philips S9031 Tope De Linea Recargable Gtia ,739,NA,74,7,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,8,https://perfil.mercadolibre.com.ar/VONDOM?brandId=454,https://articulo.mercadolibre.com.ar/MLA-657038978-vondom-afeitadora-portatil-a-pila-_JM,5,2,1,0,0,#657038978,Vondom,accesorios,VDM23,NA,a pila,Pilas,Giratorios
346, Maquina Afeitadora Profesiona Inalambrica Babyliss Fx02 Foil ,1799,NA,2,4,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,553,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-787907152-philips-s103004-aquatouch-afeitadora-electrica-secomojado-_JM,371,122,37,13,9,#787907152,S1030/04,AquaTouch,S1030/04,NA,NA,Batería,Giratorios
347, Depilador Afeitadora Masculina Body Groom Cortadora Cuerpo ,8499,NA,116,3,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,81,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-617718246-nueva-afeitadora-philips-s9031-tope-de-linea-recargable-gtia-_JM,57,16,5,0,3,#617718246,Philips,Series 9000,S9031,NA,50 minutos,Batería,Giratorios
348, Afeitadora Braun 5030sn Flexmotiontec Wet&dry Bloqueo Viaje ,6390,6999,4,96,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELENADIFUSION,https://articulo.mercadolibre.com.ar/MLA-754549654-maquina-afeitadora-profesiona-inalambrica-babyliss-fx02-foil-_JM,NA,NA,NA,NA,NA,#754549654,BaByliss,Babrerology,Babyliss,NA,NA,Batería,NA
349, Afeitadora Philips S5420/24 ,1998,NA,5,2,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-603433787-depilador-afeitadora-masculina-body-groom-cortadora-cuerpo-_JM,NA,NA,NA,NA,NA,#603433787,Philips,Body,1024,NA,NA,Pila,Ergónomicos
