search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
231, Afeitadora Y Recortadora Philips One Blade Qp2521 Albion ,65,NA,1,19,18 cuotas,129.28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTASALBION,https://articulo.mercadolibre.com.uy/MLU-464741331-afeitadora-y-recortadora-philips-one-blade-qp2521-albion-_JM,NA,NA,NA,NA,NA,#464741331,NA
232," Afeitadoras Haward 2, 3 Y 6 Hojas Buscamos Distribuidores ",50,NA,9,11,18 cuotas,2.78,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DDBIMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-452252702-afeitadoras-haward-2-3-y-6-hojas-buscamos-distribuidores-_JM,NA,NA,NA,NA,NA,#452252702,NA
233, Afeitadora Hombre Lavable Con Base 4d / Zona Mvd Shopping ,899,NA,15,5,18 cuotas,49.94,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/ML+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-443875575-afeitadora-hombre-lavable-con-base-4d-zona-mvd-shopping-_JM,1,1,0,0,0,#443875575,NA
234, Afeitadora Gama Recargable Cortapatillas Gsh 900 Yanett ,65,NA,2,2,18 cuotas,129.28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/UNIONELECTRODOMESTICOSLTDAU,https://articulo.mercadolibre.com.uy/MLU-454228371-afeitadora-gama-recargable-cortapatillas-gsh-900-yanett-_JM,NA,NA,NA,NA,NA,#454228371,NA
235, Afeitadora Lineal Confort Remington Pf7200 Gtia 2 Años ,49,99,1,98,18 cuotas,97.46,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TS.UY,https://articulo.mercadolibre.com.uy/MLU-462317803-afeitadora-lineal-confort-remington-pf7200-gtia-2-anos-_JM,NA,NA,NA,NA,NA,#462317803,Remington
236, Afeitadora Philips S1030 Circuit ,1764,NA,2,8,18 cuotas,98.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-453903215-afeitadora-philips-s1030-circuit-_JM,NA,NA,NA,NA,NA,#453903215,Philips
237, Recortador Portatil De Pelo Micro Touch Max Orjeas Nariz ,189,235,76,13,18 cuotas,10.50,NA,Envío a todo el país,NA,NA,2.8,9,http://perfil.mercadolibre.com.uy/UNIVERSO+BINARIO,https://articulo.mercadolibre.com.uy/MLU-447729818-recortador-portatil-de-pelo-micro-touch-max-orjeas-nariz-_JM,2,1,2,1,3,#447729818,MicroTouch
238, Afeitadora Gama Gsh880 - Vía Confort. ,55,NA,1,10,18 cuotas,109.39,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CANUS+SA?brandId=48,https://articulo.mercadolibre.com.uy/MLU-449480975-afeitadora-gama-gsh880-via-confort-_JM,NA,NA,NA,NA,NA,#449480975,GA.MA
239, Afeitadora Corporal Philips Bg3005 Para Hombres La Tentación ,1829,NA,1,49,18 cuotas,101.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LATENTACIONSRL,https://articulo.mercadolibre.com.uy/MLU-461800005-afeitadora-corporal-philips-bg3005-para-hombres-la-tentacion-_JM,NA,NA,NA,NA,NA,#461800005,NA
240, Afeitadora Philips Serie1000 Afeitado En Seco O Húmedo - Ltc ,44,NA,1,49,18 cuotas,87.51,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LATENTACIONSRL,https://articulo.mercadolibre.com.uy/MLU-464548341-afeitadora-philips-serie1000-afeitado-en-seco-o-humedo-ltc-_JM,NA,NA,NA,NA,NA,#464548341,NA
