search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Conectores de entrada
409, Parlante Reproductor Usb/sd Xion Ma ,19,NA,1,99998,18 cuotas,38.31,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FERRESERVI+MACRO,https://articulo.mercadolibre.com.uy/MLU-461813725-parlante-reproductor-usbsd-xion-ma-_JM,NA,NA,NA,NA,NA,#461813725,Xion,NA,NA,NA,NA,NA
410, Parlante Tipo Jbl Charge3 Bluetooth Portable ,980,NA,0,50,18 cuotas,54.44,NA,Entrega a acordar con el vendedor,NA,NA,4.7,27,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://articulo.mercadolibre.com.uy/MLU-462958522-parlante-tipo-jbl-charge3-bluetooth-portable-_JM,20,5,2,0,0,#462958522,JBL,Charge 3,20 W,Pasivo,NA,NA
411, Parlante Portatil Con Luces Mp3 Bluetooth Bateria ,45,NA,0,25,18 cuotas,86.62,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/PERSONAL+COMPUTERS,https://articulo.mercadolibre.com.uy/MLU-449324215-parlante-portatil-con-luces-mp3-bluetooth-bateria-_JM,NA,NA,NA,NA,NA,#449324215,NORTH TECH,NA,NA,NA,NA,NA
412, Parlante Bluetooth Con Radio Y Mp3 - Mi Compra ,590,NA,1,7,18 cuotas,32.78,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MI+-COMPRA,https://articulo.mercadolibre.com.uy/MLU-454744119-parlante-bluetooth-con-radio-y-mp3-mi-compra-_JM,NA,NA,NA,NA,NA,#454744119,NA,NA,NA,NA,NA,NA
413, Parlante Tipo Jbl Xtreme Bluetooth Portátil Potencia ® Ty ,1490,NA,11,989,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,4,10,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224082-parlante-tipo-jbl-xtreme-bluetooth-portatil-potencia-ty-_JM,5,3,0,1,1,#455224082,Xtreme,Xtreme,40 W,Pasivo,NA,NA
414, Parlante A Batería Kolke Wave 12' 350w Bluetooth Mic En Loi ,97,NA,227,894,18 cuotas,186.72,NA,Envío a todo el país,NA,NA,4.3,33,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-459384457-parlante-a-bateria-kolke-wave-12-350w-bluetooth-mic-en-loi-_JM,23,4,2,1,3,#459384457,Kolke,KPB-120,NA,NA,NA,NA
415, Inteligente Mini Maceta Piano Bluetooth Parlante ,690,NA,1,10,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFOTOOLS-IT,https://articulo.mercadolibre.com.uy/MLU-454229060-inteligente-mini-maceta-piano-bluetooth-parlante-_JM,NA,NA,NA,NA,NA,#454229060,NA,NA,NA,NA,NA,NA
416, Parlante Jbl Boombox 2x30watts Bluetooth Sumergible Garantia ,809,NA,0,10,18 cuotas,1.557.32,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/SMARTOPTION,https://articulo.mercadolibre.com.uy/MLU-462038495-parlante-jbl-boombox-2x30watts-bluetooth-sumergible-garantia-_JM,NA,NA,NA,NA,NA,#462038495,JBL,Boombox,NA,Activo,5.25 kg,NA
417, Parlante Energy Sistem Tower 8 2.1 100w Rms Bluetooth Tactil ,240,NA,4,19,18 cuotas,462.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFINITTECHNOLOGY,https://articulo.mercadolibre.com.uy/MLU-444691047-parlante-energy-sistem-tower-8-21-100w-rms-bluetooth-tactil-_JM,NA,NA,NA,NA,NA,#444691047,Energy Sistem,NA,NA,NA,NA,NA
418, Parlante Portátil Bluetooth / Fm/ Usb/ Sd Super Oferta!!!!!! ,649,NA,1,10,18 cuotas,36.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFOTOOLS-IT,https://articulo.mercadolibre.com.uy/MLU-457473811-parlante-portatil-bluetooth-fm-usb-sd-super-oferta-_JM,NA,NA,NA,NA,NA,#457473811,NA,NA,NA,NA,NA,NA
419, Parlante Bulldog Bluetooth Inalámbrico Perro Speaker Colores ,1290,NA,1,999,18 cuotas,71.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RIVEROVA+SRL,https://articulo.mercadolibre.com.uy/MLU-458881976-parlante-bulldog-bluetooth-inalambrico-perro-speaker-colores-_JM,NA,NA,NA,NA,NA,#458881976,NA,NA,NA,NA,NA,USB
420, Parlante Bluetooth Energy Sistem Tower 8 G2 + Envios Gratis ,234,NA,0,10000,18 cuotas,450.45,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MONTEVIDEOPC1,https://articulo.mercadolibre.com.uy/MLU-458753858-parlante-bluetooth-energy-sistem-tower-8-g2-envios-gratis-_JM,NA,NA,NA,NA,NA,#458753858,Energy Sistem,NA,NA,NA,NA,NA
421, Parlante Inalambrico Bluetooth 4.0 Usb Micro Sd Fm ,890,NA,1,4,18 cuotas,49.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VIACELL848,https://articulo.mercadolibre.com.uy/MLU-448399037-parlante-inalambrico-bluetooth-40-usb-micro-sd-fm-_JM,NA,NA,NA,NA,NA,#448399037,NA,NA,NA,NA,NA,USB
422," Parlante Bluetooth Jbl Charge M168, Envío Gratis!!!! ",800,NA,0,20,18 cuotas,44.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,https://articulo.mercadolibre.com.uy/MLU-461918025-parlante-bluetooth-jbl-charge-m168-envio-gratis-_JM,NA,NA,NA,NA,NA,#461918025,JBL,NA,NA,NA,NA,NA
423, Radio Pioneer + Bluetooth + 4 Parlantes+pendrive 16g-unclick ,204,NA,2,9,18 cuotas,392.70,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TIENDA+UNCLICK,https://articulo.mercadolibre.com.uy/MLU-461855534-radio-pioneer-bluetooth-4-parlantespendrive-16g-unclick-_JM,NA,NA,NA,NA,NA,#461855534,NA,NA,NA,NA,NA,NA
424, Parlante Portátil Bluetooth Kolke Urban Karaoke ,2100,NA,1,2,18 cuotas,116.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FULLSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-450023390-parlante-portatil-bluetooth-kolke-urban-karaoke-_JM,NA,NA,NA,NA,NA,#450023390,Kolke,NA,NA,NA,NA,NA
425, Parlante De Estudio Bose S1 Pro System Bluetooth Amv ,1119,NA,1,10,18 cuotas,2.154.07,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-455843386-parlante-de-estudio-bose-s1-pro-system-bluetooth-amv-_JM,1,0,0,0,0,#455843386,Bose,S1 Pro,NA,NA,NA,NA
426," Parlante Reproductor Portable Recargable Mp3, Bluetooth, Usb ",360,NA,3,97,18 cuotas,20.00,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MILOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-453142622-parlante-reproductor-portable-recargable-mp3-bluetooth-usb-_JM,NA,NA,NA,NA,NA,#453142622,NA,NA,NA,NA,NA,Auxiliar
427, Parlante Ovalado Lectora Sd Fm Y Bluetooth ,450,NA,7,116,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MDEOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-446348712-parlante-ovalado-lectora-sd-fm-y-bluetooth-_JM,NA,NA,NA,NA,NA,#446348712,NA,NA,NA,NA,NA,NA
428, Parlante Bluetooth Jbl Flip 4 - Tienda Oficial Jbl ,165,NA,47,1,18 cuotas,317.62,NA,Entrega a acordar con el vendedor,NA,NA,4.8,205,http://perfil.mercadolibre.com.uy/PALACIO+DELAMUSICA?brandId=457,https://articulo.mercadolibre.com.uy/MLU-446715268-parlante-bluetooth-jbl-flip-4-tienda-oficial-jbl-_JM,173,26,4,1,1,#446715268,JBL,Flip 4,16 W,"Activo, Bluetooth, Portatil",NA,NA
429, Parlante Con Ruedas + Control Remoto Kendal Gran Oferta ,269,NA,0,1000,18 cuotas,517.83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-462032281-parlante-con-ruedas-control-remoto-kendal-gran-oferta-_JM,NA,NA,NA,NA,NA,#462032281,NA,NA,NA,NA,NA,NA
430, Parlante Redondo Inalámbrico Con Bluetooth Color Negro ,990,NA,1,14,18 cuotas,55.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TWAGROUP,https://articulo.mercadolibre.com.uy/MLU-455559075-parlante-redondo-inalambrico-con-bluetooth-color-negro-_JM,NA,NA,NA,NA,NA,#455559075,NA,NA,NA,NA,NA,NA
431, Parlante Portable Bluetooth Con Usb Tf Fm ,1290,NA,2,18,18 cuotas,71.67,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ECLIPSE+ELECTRONICS,https://articulo.mercadolibre.com.uy/MLU-456140373-parlante-portable-bluetooth-con-usb-tf-fm-_JM,NA,NA,NA,NA,NA,#456140373,Eclipse,NA,NA,NA,NA,NA
432, Parlante Bluetooth Para La Ducha ,400,NA,9,5,18 cuotas,22.22,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TAKEN+SA,https://articulo.mercadolibre.com.uy/MLU-450679707-parlante-bluetooth-para-la-ducha-_JM,NA,NA,NA,NA,NA,#450679707,NA,NA,NA,NA,NA,NA
433, Parlante Equipo Sony Mhc V71 Audio De Gran Potencia Mod 2019 ,785,NA,0,20,18 cuotas,1.511.12,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VENTASALBION,https://articulo.mercadolibre.com.uy/MLU-457075275-parlante-equipo-sony-mhc-v71-audio-de-gran-potencia-mod-2019-_JM,NA,NA,NA,NA,NA,#457075275,Sony,NA,NA,NA,NA,NA
434, Parlante Portatil Bluetooth Jbl Flip 4 (nueva Generación) ,155,NA,31,968,18 cuotas,298.38,NA,Envío a todo el país,NA,NA,4.8,205,http://perfil.mercadolibre.com.uy/URU_WOOFER,https://articulo.mercadolibre.com.uy/MLU-448461391-parlante-portatil-bluetooth-jbl-flip-4-nueva-generacion-_JM,173,26,4,1,1,#448461391,JBL,Flip 4,16 W,Activo,NA,NA
