search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Color
21, Pack 2 Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos ,10.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				59
				vendidos
			
		",(46 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.832
			
		
		 sin interés
		
	

	
		","
				$ 1.832
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/REQUETE+OFERTAS,https://articulo.mercadolibre.cl/MLC-498173774-pack-2-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-_JM,NA,NA,NA,NA,NA,#498173774,047,WIRELESS 4.2+EDR,NA,NA,NA
22, Audifonos Bluetooh Tipo I 7 Tws iPhone Y Samsung ,11.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				96
				vendidos
			
		",(34 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 992
			
		
		 sin interés
		
	

	
		","
				$ 992
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/MAXDESCUENTOSCL,https://articulo.mercadolibre.cl/MLC-474106955-audifonos-bluetooh-tipo-i-7-tws-iphone-y-samsung-_JM,NA,NA,NA,NA,NA,#474106955,Samsung,NA,NA,NA,NA
23, Audifonos Bluetooth Estéreo Deportivos Hifi ,3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				195
				vendidos
			
		",(89 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 332
			
		
		 sin interés
		
	

	
		","
				$ 332
			",NA,Envío a todo el país,NA,NA,1.0,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-462977061-audifonos-bluetooth-estereo-deportivos-hifi-_JM,NA,NA,NA,NA,NA,#462977061,NA,NA,NA,NA,NA
24, Audifono Bluetooth Universal Inalambrico Para Deportes ,3.990,7.990,"
			
				Nuevo
			
			
				
					 - 
				
				674
				vendidos
			
		",(27 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,2.5,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-436105516-audifono-bluetooth-universal-inalambrico-para-deportes-_JM,1,1,3,3,3,#436105516,NA,NA,NA,NA,NA
25, Audifonos Bluetooth Freebuds Huawei Negro - Prophone ,66.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				29
				vendidos
			
		",(746 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 11.165
			
		
		 sin interés
		
	

	
		","
				$ 11.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,5,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-487448261-audifonos-bluetooth-freebuds-huawei-negro-prophone-_JM,5,0,0,0,0,#487448261,Huawei,NA,NA,NA,Negro
26, Audifonos Bluetooth 5.0 Qcy T2c Tws ,28.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.7,20,https://perfil.mercadolibre.cl/WIRELESS+MUNDO,https://articulo.mercadolibre.cl/MLC-488363279-audifonos-bluetooth-50-qcy-t2c-tws-_JM,15,4,1,0,0,#488363279,QCY,T2C,In-ear,NA,NA
27," Receptor Bluetooth Auto Audífonos Plug 3.5 Aux, Manos Libres ",3.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				299
				vendidos
			
		",(71 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 665
			
		
		 sin interés
		
	

	
		","
				$ 665
			",NA,Envío a todo el país,NA,NA,3.9,10,https://perfil.mercadolibre.cl/ESHOPANGIE,https://articulo.mercadolibre.cl/MLC-472109708-receptor-bluetooth-auto-audifonos-plug-35-aux-manos-libres-_JM,5,2,1,1,1,#472109708,NA,NA,NA,NA,NA
28, Apple Audífono AirPods (2da Gen) ,144.990,179.990,"
			
			
				
				80
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 24.165
			
		
		 sin interés
		
	

	
		","
				$ 24.165
			",NA,Envío gratis a todo el país,NA,NA,5.0,32,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-488712872-apple-audifono-airpods-2da-gen-_JM,32,0,0,0,0,#488712872,Apple,Airpods con estuche de carga (2da Gen),In-ear,NA,NA
29, Audifonos Pioneer Bluetooth Aptx Hi-res Se-ms7bt ,69.990,119.990,"
			
			
				
				99
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.832
			
		
		 sin interés
		
	

	
		","
				$ 5.832
			",NA,Envío gratis a todo el país,NA,NA,4.8,12,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,https://articulo.mercadolibre.cl/MLC-445968498-audifonos-pioneer-bluetooth-aptx-hi-res-se-ms7bt-_JM,10,2,0,0,0,#445968498,Pioneer,SE-MS7BT,NA,NA,NA
30, Par De Audífonos Bluetooth I7s Tws Inalámbricos | Maxtech ,12.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				91
				vendidos
			
		",(939 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.082
			
		
		 sin interés
		
	

	
		","
				$ 1.082
			",NA,Envío a todo el país,NA,NA,2.0,4,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-477090402-par-de-audifonos-bluetooth-i7s-tws-inalambricos-maxtech-_JM,1,0,0,0,3,#477090402,NA,NA,NA,NA,NA
