search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda,Color
1174, Cocomii Glass Armor Funda iPhone 8 Plus 7 Plus Nuevo Heav... ,20.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.333
			
		
		 sin interés
		
	

	
		","
				$ 3.333
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465563725-cocomii-glass-armor-funda-iphone-8-plus-7-plus-nuevo-heav-_JM,NA,NA,NA,NA,NA,#465563725,Cocomii,Apple,Carcasa,NA
1175, Caserbay Funda iPhone 8 Plus Funda Con Teléfono iPhone 7 ... ,23.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.833
			
		
		 sin interés
		
	

	
		","
				$ 3.833
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465563913-caserbay-funda-iphone-8-plus-funda-con-telefono-iphone-7--_JM,NA,NA,NA,NA,NA,#465563913,CaserBay,Apple,Carcasa,NA
1176, Caserbay iPhone 8 Funda iPhone 7 4 7 Funda Para Teléfono ... ,23.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.833
			
		
		 sin interés
		
	

	
		","
				$ 3.833
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465563935-caserbay-iphone-8-funda-iphone-7-4-7-funda-para-telefono--_JM,NA,NA,NA,NA,NA,#465563935,CaserBay,Apple,Bumper,NA
1177, iPhone 8 Plus - Carcasa Tapa Glass + Pegamento + Herramient ,19.990,NA,"
			
				Nuevo
			
			
		",(11 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=n963E063dykH9mmyHQ5ao%2FMJWhq%2FCXGSfZrAVOZ4p2On9EWfMkX8%2F3pbweage6FagJG6%2BPDYAbZ2ROha4HgJNy0kAutRRolQwSgW2cWXJE3w7MImgMgHYjsu1a%2BcLPFfKqCJUp%2BYBFtAi47Wu8I%2FH9mj%2BkaGOQnlv05zhi2qd3LajfEM2ZC%2FhGeCTWCDHXH%2BVM9dxkH%2BTBNNztU1eiXkZqjBKNV%2BmDzAcg38IAVyYhARJFIaoNKGhoJbBSdZVWeIz2W4ez%2Ff058TLqU3Ag3dUk9bUBkFu1CrCm0IgWKmvi%2FuIExnKn9H0ourINXORSgLX%2FtFebdB2vjiSiqZg%2FZhY26L1Os67iYRZKZrs0VrmE7R21NWqdUtwWUi3uEGOqN0Mu7bi5l3i8mitrBx2TouSZO1QjCXxG9DnpxUfek1tDQxoLlfJn%2BA10OlwGaaawZaJQMPu0aj%2B%2FaCgIzegCtGCG93mR34dxJBM8r0FaUzpqqKW%2FNRSYjwGEuBRUdiQQwzBk1%2BCxhAFKuGIPBX3ufnlUbrCIsdgk93Lg2%2FtZhNdKF8DCoksAfBDN4USx6bYQDb%2BdTPMqGvG6Q%2BLyIvIFe3EeC7dWmQMc2BytHq8T2QOgtIWrnN8LyWIPLW1osZrnSd3pGuyRD4%2Brf3%2FoOWKx22RNV%2BJ%2FdpcDEE8pSZxfBpPZZC%2FRjaEgva0%2F%2FUYeO%2BFgTfT3pjAXzgN0RCPcxxVHYyswZ%2FilKH8KIKaPteFEyutfnrDLHY0hW5gLZDX1gvPS2h03Ozp6EhX22KcWiWv6nKgcEB4Qc9ZPGkgFSs7ioAa3oMhy2g1Y2icL%2FtD8vEsRRYPGqj69O4StR%2FjZXwPORi1WPhOOaDQUQaqqbruLclAtSkVfP3VyPuCQ1zms0us%2BLYl5MQ3ralOITJkAiOQObATqy%2BUhwqjMztuSbd26EM8SkpZqf5075ytmZOUZvXVYPaP94rR85B14iZk50aY%2FHxD8dP%2B%2F7D2rB9RUeWOjKgN3MDpEV04OT9fNwHXmeeTq%2Fmt2Gcw4bpZnID%2FieOkFL6Q%2BtTulycH7zY7tgOB703BDUSgEBss5cWoDHXlwM%2FeQWavG6q9AglNkP3PZWpshp%2BW7Csa0QqDDB8FtWZk1xOx8lJOXsFDlERfhf89UllaPkDMCkgzDru5ouDylNCYhEMelCntsOtYbi%2FExV5A9A3I%2FuTF09JYoUN0DnXNwhHoyZA%2FnCqNqpzHtnAEsTqJQXTDZniNFA%2F01HTnSiusB55dQBcgZmvzmHxKcE%2FlrMfuEKeRnSTraGvp8MAeQB6b8QJ1Pj1yX9%2FapVlPPjSmkKFPh3xrtRgEh0i0V9Xf22vBUFE883BT64T6xm5AkYXAfwQZ8qqAwxYvDHH6%2BP4lgEmVbs9APruAL9oc%2BsJV1X71IwsolyT9hUqd8Mcv15DCgNTN1frR2UWDydkjExO6nO%2BV6aVpibKzsB0dLEscW84DVt36PpQ2gcKW2wjIDKQb2XPgD0zXx52RqyIBdZfQ0a6eIt0THwpQbJm5ndf%2BKHBNYOqI9YbxuaHELnqoFN76hhqlU7zT3vFISrjYhfbchuPTw68C3vTw3oNCXvOPJP64s8%3D,NA,NA,NA,NA,NA,#498803390,NA,Apple,Carcasa,NA
1178, Realike Funda Iphone7 Funda iPhone 8 Funda De Tpu Suave S... ,21.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.500
			
		
		 sin interés
		
	

	
		","
				$ 3.500
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465563998-realike-funda-iphone7-funda-iphone-8-funda-de-tpu-suave-s-_JM,NA,NA,NA,NA,NA,#465563998,Realike,Apple,Carcasa,NA
1179, Funda Para iPhone 7 Plus Funda Para iPhone 8 Plus Jaholan... ,25.000,NA,"
			
				Nuevo
			
			
		",(900 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.167
			
		
		 sin interés
		
	

	
		","
				$ 4.167
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465564005-funda-para-iphone-7-plus-funda-para-iphone-8-plus-jaholan-_JM,NA,NA,NA,NA,NA,#465564005,JAHOLAN,Apple,Carcasa,NA
1180, iPhone 7 Plus Funda iPhone 8 Plus Funda Sankton Slim Fund... ,24.000,NA,"
			
				Nuevo
			
			
		",(900 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.000
			
		
		 sin interés
		
	

	
		","
				$ 4.000
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465564025-iphone-7-plus-funda-iphone-8-plus-funda-sankton-slim-fund-_JM,NA,NA,NA,NA,NA,#465564025,Sankton,Apple,Carcasa,NA
1181, Protectores Case Mate Luminescent Case iPhone 8+ & iPhone X ,15.000,NA,"
			
				Nuevo
			
			
		",(13 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		","
				$ 2.500
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GSM-PHONE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=MVad2NqY%2FLuJHBlGsgSuG7TsziM3wjIRbQ7sy1iZrVlQ5P0hT8kn2LZfBTDGCjih6Z6fhnNETPdfRJ7YfP9spYsobYgaZBcGxh9RBacOsbavXhReoAaMC9hVTkzVOgX2SSNqLBf0SZ%2B7Tf3MllvMs6lH%2B9ALesyhyyciDu%2BzEJN8%2BXHGOP2qFWCHab%2FHx7kxHhKbzxgugEfn%2Bh0u2VKOdGXbnXFQfaAiCV2pnOlvi0f51FKbEpLE9SEbNvikHG%2B9cR5sEvG1vrfxQI4oUTNxjWwoIe6yiJ3sup1MBW2OejFZ%2B9C%2BDNkEKGbabvLfoNF%2BUskfP9mjbMjVCKwPX62b1MPhF78AQXl9S87Fkp%2BkUTMfxhcDP%2B0TOcZ6l6jyBi3FxZ8x4iYGS7V1MF8TmHPjT4a52mWrZ5SsBkKsniEwb6lHI7Y6sF0rvyGpHOo8eKG3QLYYF22dJgFre2hKPBQE0AQ6SrBJGMhbakYDUTt1oFIADvSeNT%2BrfsQTDpIJCt7uZ%2FrkoS2Zr7j6o5gJHQBLBNvir5EiML6pxCj6jupdQ3%2BKxTNglBufFjM846KouPxTI%2F8ZBJ4oMRaXT1%2FjdVUldEl%2FKVro0IchRJabNG9UkKA03k3nPZuTpHMXeSqNqF3am6bHDRqnu1KjaZFqKTazTTurecQ6Jak6OHQRJoF9Gkh%2F45jwwwIrZStZR1VPRlTNpSyZ0soQNyUuzDv9a8X1WI%2FPrMW%2BM0JlErFDy0OuwMrLqN6jFdcaOUG%2Fm5j77Y5VDUsLZ2vaaR7IQyEq8rAgYMW1FOyxybWM4VGKuwOvpTdFxBEqyxHdb6EDGMSe27YJWY9KwR94DzQ%2BYDP8sFVmuibiIf0oBB0IS5SHNHDKIoyvHR%2BA4VgJ0u8JPCM9wGhzMMxPWBilhQQG1xZiUcDJEff4mj8b%2B%2FT3RF0kujIC8PwT0GnkOsNGVhs5kHN0LTm4jxjWGtjNT%2BqWDLZH92yXuyNng7KcY8y9Mq5OjYXZtUXlUup7nWmEzTNTYNja9xkuVuhXF4djjiLUFO8i9CFTnmzr7LogHqjh6W74a%2FvuVaprKNC42f26eoPL3%2FALyZgM%2F1oNYcwHMfU8J5FexThbAutNNGLsLn1Fd%2Bbb9YOEbaZHn7RasgTSmgy%2Fnsn44z%2Fi3B%2F3vIe3NU8GydOU6XB7aB1NR1rh7nKqCZTegx6UWpmDIiIOcaf6rMXEeTgl62TvqRDiCEQkVw7HumtIgmHC2nvgDMwniD00XJajqWpk1Fr7FZLgqFyn2WZliIYxtWgqfvm5sFimv0EaA1Gfs8%2BAyUfh%2Fu1lC2seRfUo3RUQFMctJqOWZOIANpqbtXZfpp0pb7MUBPyKY6YPb0RL2DeGRJiZ2EukGnV%2FBEaTP6TO4KFkwhOiB08mvkPw8EabRBQ2Vm5qkEiiHXo%2BLHEFimdvJ2erOhBY80%2BqJvqtTkRdzPYyymd2feVowaIQICYGlTtrS7h50hUgt8zEonV5c8AQZeXarz2cqnwnDyke61MHhgxlclfigc28xCOhnJC%2F%2FqV5JiGjQBXM%2FNuT5RTIk5EiY%2BmljfvJqGy4UcohBeYWFZQ6SCvd1O9Ub09pBKYxRo7mCto%3D,NA,NA,NA,NA,NA,#461209008,NA,Apple,NA,NA
1182, iPhone 7 iPhone 8 Funda Impermeable 4 7 Ithrough Funda Su... ,35.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.833
			
		
		 sin interés
		
	

	
		","
				$ 5.833
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465564035-iphone-7-iphone-8-funda-impermeable-4-7-ithrough-funda-su-_JM,NA,NA,NA,NA,NA,#465564035,iThrough,Apple,NA,NA
1183, iPhone 8 7 Funda Para iPhone 8 Funda Para iPhone 7 Funda ... ,24.000,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.000
			
		
		 sin interés
		
	

	
		","
				$ 4.000
			",NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TODOENCARGO-CL,https://articulo.mercadolibre.cl/MLC-465564104-iphone-8-7-funda-para-iphone-8-funda-para-iphone-7-funda--_JM,NA,NA,NA,NA,NA,#465564104,Fashion-family,Apple,Carcasa,NA
