search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Modelo,Tipo de casco
46, Casco Moto Cross Ces Ax9 Edicion 2019 Certificacion Dot Nuev ,218,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-426487336-casco-moto-cross-ces-ax9-edicion-2019-certificacion-dot-nuev-_JM,NA,NA,NA,NA,NA,#426487336,NA,NA,NA,NA
47, Casco Moto Articulado Doble Visor Certificado Dot A Escoger ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-426490211-casco-moto-articulado-doble-visor-certificado-dot-a-escoger-_JM,NA,NA,NA,NA,NA,#426490211,NA,NA,NA,NA
48, Accesorios Cascos De Moto De Mujer Y De Hombre ,36,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435298689-accesorios-cascos-de-moto-de-mujer-y-de-hombre-_JM,NA,NA,NA,NA,NA,#435298689,NA,NA,NA,NA
49, Casco De Moto Certificado Y Articulado Predador ,240,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-436293689-casco-de-moto-certificado-y-articulado-predador-_JM,NA,NA,NA,NA,NA,#436293689,NA,NA,NA,NA
50, Casco De Moto Luna Polarizada. Munrra ,90,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-424032615-casco-de-moto-luna-polarizada-munrra-_JM,NA,NA,NA,NA,NA,#424032615,NA,NA,NA,NA
51, Casco De Moto Economico Iv ,55,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(1 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436424060-casco-de-moto-economico-iv-_JM?searchVariation=38919413864,NA,NA,NA,NA,NA,#436424060,Negro,Genérico,CC2,Clásico
52, Casco De Moto Articulado Para Mujer ,150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-429324474-casco-de-moto-articulado-para-mujer-_JM,NA,NA,NA,NA,NA,#429324474,NA,NA,NA,NA
53, Casco Moto Economico Colores A Escoger Nuevos ,35,NA,"
			
				Nuevo
			
			
				
					 - 
				
				51
				vendidos
			
		",(49 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PEGASOPERU1,https://articulo.mercadolibre.com.pe/MPE-433444626-casco-moto-economico-colores-a-escoger-nuevos-_JM,NA,NA,NA,NA,NA,#433444626,NA,NA,NA,NA
54, Casco Moto Articulado - Certificado ,197,NA,"
			
				Nuevo
			
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/QUINTANILLAMARIA,https://articulo.mercadolibre.com.pe/MPE-434705819-casco-moto-articulado-certificado-_JM,NA,NA,NA,NA,NA,#434705819,NA,NA,NA,NA
55, Accesorios Para Cascos Moto De Mujer Y De Hombre ,36,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435088422-accesorios-para-cascos-moto-de-mujer-y-de-hombre-_JM,NA,NA,NA,NA,NA,#435088422,NA,NA,NA,NA
56, Aire Acondicionado Blusnap Para Casco De Motos ,220,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERCOMAX+SAC,https://articulo.mercadolibre.com.pe/MPE-435801999-aire-acondicionado-blusnap-para-casco-de-motos-_JM,NA,NA,NA,NA,NA,#435801999,NA,NA,NA,NA
57, Intercomunicador Bluetooth Para Moto - Para 2 Cascos ,450,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PANDORASBOXX,https://articulo.mercadolibre.com.pe/MPE-433408238-intercomunicador-bluetooth-para-moto-para-2-cascos-_JM,NA,NA,NA,NA,NA,#433408238,NA,NA,NA,NA
58, Casco Para Moto Lineal Color Negro Oferta ,45,NA,"
			
				Nuevo
			
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PRODUCTOSRS,https://articulo.mercadolibre.com.pe/MPE-436687304-casco-para-moto-lineal-color-negro-oferta-_JM,NA,NA,NA,NA,NA,#436687304,NA,NA,NA,NA
59, Casco De Moto Integral Con Lentes ,120,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432790804-casco-de-moto-integral-con-lentes-_JM,NA,NA,NA,NA,NA,#432790804,NA,NA,NA,NA
60," Cascos Ym-332 Para Moto, Bicicleta, Certificado Con Vicera ",69,NA,"
			
				Nuevo
			
			
		",(14 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECH-COOL,https://articulo.mercadolibre.com.pe/MPE-435405088-cascos-ym-332-para-moto-bicicleta-certificado-con-vicera-_JM,NA,NA,NA,NA,NA,#435405088,NA,NA,NA,NA
61, Casco De Moto Para Niño Modelo Hombre Araña Original ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				19
				vendidos
			
		",1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ESE+QUIERO,https://articulo.mercadolibre.com.pe/MPE-432940943-casco-de-moto-para-nino-modelo-hombre-arana-original-_JM,NA,NA,NA,NA,NA,#432940943,NA,NA,NA,NA
