search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Tipo,Marca,Modelo,Tipo de casco,Línea,Edad,Género,Tipo de visor,Materiales del interior,Materiales del exterior
21, Cascos Motos Cross Mt Helmets Falcon Negro Brillante ,129,NA,4,95,18 cuotas,254.56,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-460021960-cascos-motos-cross-mt-helmets-falcon-negro-brillante-_JM,NA,NA,NA,NA,NA,#460021960,NA,NA,MT Helmets,Falcon,Cross,Optimus,NA,Unisex,NA,NA,NA
22, Casco Moto Hjc Integral Cs-15 Treague Pintura Mate ,109,NA,12,2,18 cuotas,215.09,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449838357-casco-moto-hjc-integral-cs-15-treague-pintura-mate-_JM,4,0,0,0,0,#449838357,NA,Integral,HJC,Treague,NA,CS-15,NA,NA,NA,NA,NA
23, Cascos Power Maxx Azul O Rojo Mate Modelo Danger ,1500,NA,25,11,18 cuotas,83.33,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/RUBIBIKES,https://articulo.mercadolibre.com.uy/MLU-453357554-cascos-power-maxx-azul-o-rojo-mate-modelo-danger-_JM,0,1,0,0,0,#453357554,NA,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
24, Casco Integral Para Moto Vento Mod Italy Con Rojo ,1290,NA,7,3,18 cuotas,71.67,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459211547-casco-integral-para-moto-vento-mod-italy-con-rojo-_JM,NA,NA,NA,NA,NA,#459211547,NA,Integral,Vento,NA,NA,NA,NA,NA,NA,NA,NA
25," Intercomunicador Para Cascos, Con Cable Power Maxx ",1234,NA,54,4,18 cuotas,68.56,NA,Entrega a acordar con el vendedor,NA,NA,3.8,8,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-444703050-intercomunicador-para-cascos-con-cable-power-maxx-_JM?searchVariation=38965732355,4,0,2,2,0,#444703050,Negro,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA
26, Casco Hjc Moto Cs-15 Treague Mc-5sf Terminacion Mate ,109,NA,2,4,18 cuotas,215.09,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449739509-casco-hjc-moto-cs-15-treague-mc-5sf-terminacion-mate-_JM,4,0,0,0,0,#449739509,NA,NA,HJC,Treague,Integral,CS-15,NA,NA,NA,NA,NA
27, Cascos Motos Cross Mt Helmets Falcon Naranja 2019 ,129,NA,6,94,18 cuotas,254.56,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-459580027-cascos-motos-cross-mt-helmets-falcon-naranja-2019-_JM,NA,NA,NA,NA,NA,#459580027,NA,NA,MT Helmets,Falcon,Cross,Weston,Adultos,Unisex,Simple,Poliestireno,Resina
28, Cascos Motos Cross Mt Helmets Falcon Amarillo 2019 ,129,NA,2,98,18 cuotas,254.56,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-459409379-cascos-motos-cross-mt-helmets-falcon-amarillo-2019-_JM,NA,NA,NA,NA,NA,#459409379,NA,Cross,MT Helmets,Falcon,NA,NA,NA,NA,NA,NA,NA
29, Casco Cross Pro Tork + Antiparra Regalo Super Oferta Rojo ,3950,NA,5,1,18 cuotas,219.44,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INTERNACIONALRACEIMPORT,https://articulo.mercadolibre.com.uy/MLU-455164782-casco-cross-pro-tork-antiparra-regalo-super-oferta-rojo-_JM,NA,NA,NA,NA,NA,#455164782,NA,Cross,Pro Tork,NA,NA,NA,NA,NA,NA,NA,NA
30, Cubre Nariz Casco Moto Hjc Original ,18,NA,11,89,18 cuotas,35.52,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449754911-cubre-nariz-casco-moto-hjc-original-_JM,NA,NA,NA,NA,NA,#449754911,NA,Integral,HJC,NA,NA,NA,NA,NA,NA,NA,NA
