search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Peso,Materiais do interior
77, Capacete Moto Sm Integral Barato Pro Tork R8 Fechado Viseira ,105,NA,509,11853,12x,10.13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2041,https://perfil.mercadolivre.com.br/ON+MOTOPARTS,https://produto.mercadolivre.com.br/MLB-1137332447-capacete-moto-sm-integral-barato-pro-tork-r8-fechado-viseira-_JM?searchVariation=30849637523,1347,392,177,61,64,#1137332447,"Azul-claro,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60,Camaleão,Cromada,Dourada,Iridium",Pro Tork,R8,New Liberty Four,Integral,Simple,ABS,Adultos,Unissex,1200 g,EPS
78, Capacete Moto Fechado R8 C/ Viseira Esportiva Espelhada Azul ,129,NA,215,212,12x,10.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,3,https://perfil.mercadolivre.com.br/RACE+ACTION,https://produto.mercadolivre.com.br/MLB-696206087-capacete-moto-fechado-r8-c-viseira-esportiva-espelhada-azul-_JM?searchVariation=28527791173,3,0,0,0,0,#696206087,Azul-escuro,"56,58,60",Pro Tork,R8,R8,Integral,Simple,ABS,Adultos,Unissex,NA,EPS
79, Capacete Moto Feminino Pro Tork New Liberty4 Vermelho Preto ,53,NA,279,149,12x,5.16,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-999962878-capacete-moto-feminino-pro-tork-new-liberty4-vermelho-preto-_JM?searchVariation=35005331228,1033,334,141,30,22,#999962878,Vermelho,"56,58,60",Pro Tork,New Liberty 4,New Liberty 4,Integral,NA,ABS,NA,NA,NA,NA
80, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,114,NA,173,175,12x,9.58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/JN.MOTOS,https://produto.mercadolivre.com.br/MLB-1122939289-capacete-moto-new-liberty-four-pro-tork-r8-fechado-_JM?searchVariation=29027129493,1033,334,141,30,22,#1122939289,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,Simple,ABS,Adultos,Unissex,NA,Berço Antialérgico
81, Capacete Moto Pro Tork Evolution G6 Novo + Viseira Iridium ,189,NA,150,1409,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,8,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-691728613-capacete-moto-pro-tork-evolution-g6-novo-viseira-iridium-_JM?searchVariation=31972729437,3,3,2,0,0,#691728613,"Azul,Azul,Brasil,Cinza-claro,Eagle,Femme,Las vegas,Rosa,Vermelho","56,58,60",Pro Tork,Street,Evolution G6,Integral,NA,ABS,NA,NA,NA,NA
82, Capacete Moto Cross Com Viseira Ebf Várias Cores/tamanho ,159,NA,208,31,12x,13.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,31,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-802634266-capacete-moto-cross-com-viseira-ebf-varias-corestamanho-_JM,19,8,3,0,1,#802634266,"Preto brilho e azul,Preto brilho e rosa,Preto brilho e verde,Preto brilho e vermelho","56,58,60",EBF,Super Motard,Iron Cross,Integral,Simple,ABS,Adultos,Unissex,NA,NA
83, Capacete Moto Ebf Shield Solid Diversos Tamanhos E Cores ,69,NA,65,2,12x,6.68,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798872313-capacete-moto-ebf-shield-solid-diversos-tamanhos-e-cores-_JM?searchVariation=31963346628,1,0,0,0,0,#798872313,Branco,"56,60",EBF,Shield,Shield,Aberto,Simple,NA,Adultos,Unissex,NA,NA
84, Capacete Moto Axxis Eagle Dreams Azul Brilhante ,399,NA,66,5,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,8,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-786354609-capacete-moto-axxis-eagle-dreams-azul-brilhante-_JM?searchVariation=34927415511,7,1,0,0,0,#786354609,Azul,"56,58,60,62",Axxis,Eagle,Dreams,Integral,Simple,ABS,Adultos,Unissex,NA,NA
85, Capacete Moto Ebf Thunder Open Solid Várias Cores E Tamanhos ,120,NA,56,6,12x,10.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-801060835-capacete-moto-ebf-thunder-open-solid-varias-cores-e-tamanhos-_JM?searchVariation=30355247111,NA,NA,NA,NA,NA,#801060835,"Branco - Brilhante,Chumbo - Brilhante,Lilás - Brilhante,Preto - Brilhante,Rosa - Brilhante,Vermelho - Brilhante","56,58,60",EBF,Thunder,Open,Aberto,Simple,ABS,Adultos,Unissex,NA,NA
86, Capacete Moto Feminino Peels Mirage Storm Preto Rosa ,284,NA,258,104,12x,23.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,583,https://perfil.mercadolivre.com.br/DISTRIMIX77,https://produto.mercadolivre.com.br/MLB-904264217-capacete-moto-feminino-peels-mirage-storm-preto-rosa-_JM?searchVariation=25626484846,451,90,32,5,5,#904264217,Preto-fosco - Rosa,"56,58,60",Peels,Mirage,Mirage Storm,Integral,Duplo,ABS,Adultos,Unissex,1.2 kg,Abs
87, Capacete Moto Aberto C/oculos Solar Ebf Varias Cores/tamanho ,191,NA,72,4,12x,15.98,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798342970-capacete-moto-aberto-coculos-solar-ebf-varias-corestamanho-_JM?searchVariation=27795275588,2,0,0,0,0,#798342970,"Preto-fosco - Vermelho,Preto-brilho - Branco,Preto-brilho - Laranja,Preto-brilho - Rosa,Preto-brilho - Vermelho,Preto-fosco - Laranja,Preto-fosco - Rosa,Preto-fosco - Vermelho","56,58",EBF,Freedom,Circle,Aberto,Simple,ABS,Adultos,Unissex,1.463 kg,NA
88, Capacete Moto Thunder Open Prime Várias Cores E Tamanhos ,120,NA,60,1,12x,10.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,5,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951088985-capacete-moto-thunder-open-prime-varias-cores-e-tamanhos-_JM?searchVariation=30356367461,4,1,0,0,0,#951088985,Preto - Vermelho,56,EBF,Thunder,OPEN PRIME,Aberto,Simple,ABS,Adultos,Unissex,NA,NA
89, Capacete Norisk Ff391 Preto Fosco Capacete Moto ,379,449,36,11,12x,31.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,307,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1153520502-capacete-norisk-ff391-preto-fosco-capacete-moto-_JM?searchVariation=31104271549,247,39,17,4,0,#1153520502,Preto - Fosco,"56,58,60,61",NORISK,FF391,FF391,Integral,Simple,ABS,Adultos,Unissex,NA,NA
90, Capacete Moto Feminino Axxis Eagle Lady Catrina Vermelho ,399,NA,90,442,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,2,https://perfil.mercadolivre.com.br/RS1+OFICIAL?brandId=36,https://produto.mercadolivre.com.br/MLB-1178433100-capacete-moto-feminino-axxis-eagle-lady-catrina-vermelho-_JM,2,0,0,0,0,#1178433100,"55/56-(P/S),57/58-(M/M),59/60-(G/L),61/62-(GG/XL)",NA,Axxis,Eagle,Lady,Integral,Simple,ABS,Adultos,Unissex,NA,"Exopor, multi tecidos"
91, Capacete Original Helt Cross Vision Triller Laranja Fosco ,305,NA,91,24,12x,25.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,410,https://perfil.mercadolivre.com.br/MOTOARTPE%C3%87AS,https://produto.mercadolivre.com.br/MLB-1155707277-capacete-original-helt-cross-vision-triller-laranja-fosco-_JM?searchVariation=36185955115,361,45,1,2,1,#1155707277,Cinza-claro - Laranja,"56,58,60,62",Helt,Moto Criss. Off-Road,Cross Vision Triller Laranja,Cross,Simple,ABS,Adultos,Masculino,1650 g,Poliestireno
92, Capacete Moto Pro Tork Evolution G6 Series + Viseira Fumê ,179,NA,298,1672,12x,14.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,32,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-691297732-capacete-moto-pro-tork-evolution-g6-series-viseira-fum-_JM?searchVariation=25655670518,24,6,1,1,0,#691297732,"Azul,Amarelo,Azul,Grafito,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Unissex,EVOLUTION G6,Integral,NA,ABS,NA,NA,NA,NA
93, Capacete Moto Mt Thunder 3 Cap Preto Cinza Fosco ,599,NA,36,5,12x,49.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,4,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-696706379-capacete-moto-mt-thunder-3-cap-preto-cinza-fosco-_JM?searchVariation=31235223912,3,1,0,0,0,#696706379,Preto - Cinza Fosco,"56,58,60,62,64",MT,Thunder 3,Thunder 3,Integral,Duplo,Policarbonato,Adultos,Unissex,NA,NA
94, Capacete Moto Fechado Protork R8 + Viseira Fume+ Touca 2018 ,118,NA,1020,255,12x,11.37,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,87,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-908385857-capacete-moto-fechado-protork-r8-viseira-fume-touca-2018-_JM?searchVariation=17386788652,61,12,9,3,2,#908385857,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Modular,NA,ABS,NA,NA,1200 g,NA
95, Capacete Aberto Pro Tork Moto Liberty Three ,59,NA,280,1698,12x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,762,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-743674709-capacete-aberto-pro-tork-moto-liberty-three-_JM?searchVariation=27721029534,538,153,52,10,9,#743674709,Preto,"58,60",Pro Tork,Capacetes,Liberty Three,Aberto,NA,ABS,NA,NA,NA,NA
96, Capacete Moto Axxis By Mt Marianny Celebrity Preto Fosco ,449,NA,70,2,12x,37.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,165,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-787765093-capacete-moto-axxis-by-mt-marianny-celebrity-preto-fosco-_JM?searchVariation=30863257430,141,19,5,0,0,#787765093,Preto - Rosa Fosco,60,Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,1400 g,NA
97, Capacete Moto Axxis By Mt Joker Azul Lançamento ,399,NA,24,5,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1170974827-capacete-moto-axxis-by-mt-joker-azul-lancamento-_JM?searchVariation=32319326578,1,0,0,0,0,#1170974827,Azul - Preto Brilhante,"56,58,60,62",MT,Axxis,Joker,Integral,Simple,ABS,Adultos,Unissex,NA,NA
98, Capacete Ebf Articulado Unissex Moto Robocop Várias Cores ,132,NA,273,12,12x,11.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,21,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798253460-capacete-ebf-articulado-unissex-moto-robocop-varias-cores-_JM?searchVariation=27157018279,13,7,1,0,0,#798253460,"Branco - Grafite,Preto - Brilhante,Preto - Fosco","58,60,61",EBF,Robocop,Articulado,Aberto,Simple,ABS,Adultos,Unissex,1.8 kg,NA
99, Capacete Moto Escamoteável Peels Urban Ultron Preto Fosco ,388,NA,173,177,12x,32.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,173,https://perfil.mercadolivre.com.br/DISTRIMIX77,https://produto.mercadolivre.com.br/MLB-943745323-capacete-moto-escamoteavel-peels-urban-ultron-preto-fosco-_JM?searchVariation=24242052172,124,38,5,3,3,#943745323,Preto-fosco - Vermelho,"56,58,60,62",Peels,Urban,Urban Ultron,Modular,Duplo,ABS,Adultos,Unissex,1.7 kg,"Revestimento interno em tecido antialérgico, removível e lavável"
100, Capacete Moto Mx2 Carbon X Brilhante Mixs Lançamento 2019 ,119,NA,118,1,12x,9.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/KMMOTOSHOP,https://produto.mercadolivre.com.br/MLB-1137360047-capacete-moto-mx2-carbon-x-brilhante-mixs-lancamento-2019-_JM?searchVariation=31539796112,5,0,0,0,0,#1137360047,Clique na cor desejada,"56,60",Mixs,Capacete,MX2 Carbon x,Aberto,Simple,Casco construído em resina termoplástica ABS de alto impacto;,Adultos,Unissex,1600 kg,Isopor interno com aletas para absorção e dissipação de choque;
101, Capacete Moto San Marino Todas Cores ,113,NA,106,1165,12x,10.89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GRIFE_DO_CAPACETE,https://produto.mercadolivre.com.br/MLB-1079191256-capacete-moto-san-marino-todas-cores-_JM?searchVariation=26246879449,NA,NA,NA,NA,NA,#1079191256,"Preto,Branco,Branco/Rosa,Classic Fosco,Classic Preto,Lilás,Preto,Preto-fosco,Preto/Rosa,Rosa,Vermelho","60 - G,58 - M,56 - P",Taurus,San Marino,San Marino,Integral,Simple,ABS,Adultos,Unissex,NA,NA
102, Capacete Moto Fechado R8 Protork Top #touca # Viseira Fume ,132,NA,549,1496,12x,12.71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2041,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-917311676-capacete-moto-fechado-r8-protork-top-touca-viseira-fume-_JM?searchVariation=17748339319,1347,392,177,61,64,#917311676,"Azul-escuro,Amarelo,Azul-claro,Azul-escuro,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,ABS,NA,NA,1200 g,NA
103, Capacete Moto Mixs Fokker Storm Fosco ,150,NA,155,16,12x,12.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,139,https://perfil.mercadolivre.com.br/PLUS+FERRAMENTAS,https://produto.mercadolivre.com.br/MLB-1121141835-capacete-moto-mixs-fokker-storm-fosco-_JM?searchVariation=28905676803,106,18,10,3,2,#1121141835,"Azul/Vermelho / 56,Grafite / 56,Rosa / 60,Rosa / 62",NA,Mixs,Fokker,Strom,Integral,Simple,NA,Adultos,Unissex,NA,NA
104, Capacete Automático Sport Moto Protork Feminino Sport Moto ,65,NA,239,1459,12x,6.30,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,39,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-1147311670-capacete-automatico-sport-moto-protork-feminino-sport-moto-_JM?searchVariation=30661883438,22,14,1,1,1,#1147311670,"Branco,Preto,Rosa","56,58,60",Pro Tork,Capacetes,Sport Moto For Girls,Integral,NA,NA,NA,NA,NA,NA
105, Capacete Feminino Pro Tork Sport Moto For Girls ,57,NA,2384,2635,12x,5.45,NA,Envio para todo o país,NA,NA,4.4,1543,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-779278063-capacete-feminino-pro-tork-sport-moto-for-girls-_JM?searchVariation=15889250021,958,332,148,56,49,#779278063,Preto,"56,58,60",Pro Tork,Capacetes,Sport Moto For Girls,Integral,NA,ABS,NA,NA,NA,NA
106, Capacete Moto Axxis By Mt Snake Serpente + Viseira Extra ,478,NA,25,4,12x,39.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-746518721-capacete-moto-axxis-by-mt-snake-serpente-viseira-extra-_JM?searchVariation=34168102849,1,0,0,0,0,#746518721,Vermelho,"60,62",Axxis,Eagle,Snake Red,Integral,Simple,ABS,Adultos,Unissex,NA,NA
107, Capacete De Moto Evolution Fechado Preto Pro Tork G6 Pro ,137,NA,737,1905,12x,13.09,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,490,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-989828687-capacete-de-moto-evolution-fechado-preto-pro-tork-g6-pro-_JM?searchVariation=21406647473,346,84,36,7,17,#989828687,Vermelho,"56,58,60",Pro Tork,G6,G6 Pro,Integral,NA,ABS,NA,NA,NA,NA
108, Capacete Moto Axxis By Mt Snake Preto Verde Serpente ,399,NA,201,6,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,23,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-700703014-capacete-moto-axxis-by-mt-snake-preto-verde-serpente-_JM?searchVariation=30582016980,21,1,1,0,0,#700703014,Preto - Verde Brilhante,"56,60,62",Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,NA,NA
109, Capacete Pro Th1 Vision Adventure Moto Cross Tork Loi ,187,NA,102,5,12x,17.97,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,643,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-1129192285-capacete-pro-th1-vision-adventure-moto-cross-tork-loi-_JM?searchVariation=29559862633,470,97,44,17,15,#1129192285,Vermelho e Branco,60,Pro Tork,TH1,Vision Adventure,Cross,NA,Revestimento de proteção confeccionado em EPS de alto impacto,Adultos,Unissex,NA,"Forro antimofo, removível e lavável;"
110, Capacete De Moto Peels Mirage Techride Várias Cores ,129,NA,198,172,12x,10.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1560,https://perfil.mercadolivre.com.br/JN.MOTOS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=tLeYXdR97CaE2Qke8BNOguUv3zzSKZ5Ub15WzXbo8IpCf%2FuOpY1pHUgotIgiax61UeWHJhvASSW5A6eaNutGxJMrb3evM00QM0gMu8NG2J%2FxvW%2BUp%2Bv5%2BerppPoeQHdMiqHSLwtFS5muug%2FteAagGYCbDNmfrpnZrklPTyjZf%2Fn0FpMQxsiImfEB7JhvP%2BFrFvVs1l7o6yUgMY0Gm2g4cwVr7Hcwz70H30HrolOdxGJoZ1m7AQhkN2VaCAuO7IteorbO1%2Fwmho28nFVLK5BCtrVxnPnN8Gcqcz8ddB78XKyC81YkxTn9z3dMjYZuu%2FLV%2FL9y0rMAATDRwdht4i0yaHXqViWkPbf2iUtKZFs2YwHX%2B3USAQYNgFrY142EUkfxBr%2FuUz65u9A57E4HwNtkn9t8xMhbr%2B%2FdPxJZuCVytByKkVAs6NKNjm%2Bf81VQPdndlbSVTjjRm7xZI71Mi%2BWz6%2BgGPNOBQM5wtELqykNOAcUmd67iVfDIYp8%2Bn9ce9S7XSZwLnjykGMwSihyZRcX5rCPkMJ7PrnAc4wG8Ffj52kQAWeeYGu0WcbbJQYhN8d0ct65lAMPhGfPPQqsCLPk93Nj%2Bn7lBLVExOIwUbdgM541ToN4CyXxZ8svnnKNvqGZRoqAZ3PFTW0Rh4P9UsnXK48eLbZoF9nt6YquZ29hsodfqM49OyVqvP20%2FmnWBIc20Dh4qXAw2uBsvS%2BdrRtdgeKq0keCIkCrEWJWXEW4%2BdYxwlY74qklmWNyiGBqDjFTqdC7GhECUCSbTCIWEMZhX3lhVfikvLj8VK69OqbDpgA49n%2BjA1jjbyoUadrFpEBv0Ykkv6Ay6CxWjrBbWfpDII5WyXMXakw7REq4hnUCVzzREQi1SU9HPMX1XvOSY6htlskqbrxhL9wSdzlY7nCBMsh%2Bj35RopXWcN1N8lu4esgMUUm74qmC0jdHnF7DtTQV0UAJhs1tOittqvi%2FOsMpSeT8fWkgESSfTOkPQ2lfmfZHWOToEkmImuGCcOgcBgNtGKJeUECU6pGeG1IJgmbT%2BFSV5um4INnWvVJcvy%2FBfCNWLjzMErTqcJliMTxGO2wm7nFR6brdVnIyXO%2BRZvRbl4LNd7WIQRUbBwcVzI%2F0ZTXUm7ONsfrOJYg82N8ZRLnzBqoZulcFrGMWtxgjEItf65Na%2Fwjzol0TQCQ4wrX359znF64ZS3C8GeVmLfmmcwrnEIuS1em0iGr40rNdR28BowXkAi81JHfDYmsmabbu6fIcUGX34ARliMCf1yoOPkmEgnWNDrI6YPLyEwZYDGYSCyrDeLS99gQarsxk8w0sjzcZbx7zUq5tCvYkXPsTrW%2Fdt%2FhlM3yQet9mgON6WPZuVmQQe1IwIszHkP9OiYXOJTmmgIHhME1k%2B%2Ffk5TVjDALX%2B7Irg3ejhzpOfAT26wVjK%2BQzyXPDWUEorqs0K3DCPfbYBTUFhefcHYwaksaNkxlfBYhH0mZgsHQ4sBymdHLGrFt3M7yh2not0LScNZiL2qCC26pMHk8WoThyp59PR0lYwNPGGlSMJrMIdbAIWmJtCqcfD1moCS7oGdQDFUKji%2BcuIC6wdGEmgxN8gBJggILi%2BD7wG9%2FWgJdjl0%2F7pG%2FzU2ya1lXuNVgQ5FJ2ja7Zroz7CuoSKLdahb5LK2mBpCK6lrMbGoOwybuUlEnUXk4YfX9iCMx9Uk96X5FjOB3jY5oLYXA%3D%3D,1033,334,141,30,22,#1122944031,"Verde,Amarelo,Azul,Azul-claro,Laranja,Plata,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,NA,NA,NA,NA,NA,NA
111, Capacete Moto Axxis Piston Preto Laranja Fosco ,283,NA,60,1598,12x,23.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,259,https://perfil.mercadolivre.com.br/GRIFE_DO_CAPACETE,https://produto.mercadolivre.com.br/MLB-1176757891-capacete-de-moto-peels-mirage-techride-varias-cores-_JM?searchVariation=32802089716,179,44,25,7,4,#1176757891,Vermelho fosco,"58 - M,61 - GG,60 - G,56 - P",Peels,NA,Techride,Integral,NA,NA,Adultos,Unissex,NA,NA
112, Capacete Moto New Liberty Four Pro Tork R8 Fechado ,399,NA,33,3,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-701562859-capacete-moto-axxis-piston-preto-laranja-fosco-_JM?searchVariation=30619699767,6,2,0,0,0,#701562859,Preto - Laranja Fosco,"56,58",Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,NA,NA
113, Capacete Moto Mixs Fokker Storm Fosco Ou Brilhante ,149,NA,93,20,12x,14.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,139,https://perfil.mercadolivre.com.br/KMMOTOSHOP,https://produto.mercadolivre.com.br/MLB-1128417774-capacete-moto-mixs-fokker-storm-fosco-ou-brilhante-_JM?searchVariation=31512411066,106,18,10,3,2,#1128417774,"Clique na cor desejada,Azul com Vermelho Fosco,Azul com vermelho Brilhante,Clique na cor desejada,Preto com Amarelo  Brilhante,Preto com Amarelo Fosco,Preto com Azul Brilhante,Preto com Azul Fosco,Preto com Grafite Brilhante,Preto com Grafite Fosco,Preto com Laranja Brilhante,Preto com Laranja Fosco,Preto com Rosa Brilhante,Preto com Rosa Fosco,Preto com Verde Brilhante,Preto com Verde Fosco,Preto com Vermelho Brilhante,Preto com Vermelho Fosco","56,58,60,62",Mixs,Capacete,Fokker Storm,Aberto,Simple,ABS,Adultos,Unissex,1.6 kg,NA
114, Capacete Moto Fechado X11 Volt Dash Motociclista Motoqueiro ,299,NA,22,1,12x,24.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/EPM+ACESSORIOS,https://produto.mercadolivre.com.br/MLB-1117918562-capacete-moto-fechado-x11-volt-dash-motociclista-motoqueiro-_JM?searchVariation=28688885491,5,1,0,0,0,#1117918562,Branco,"58,60,62,64",X11,Integral,Volt Dash,Integral,Simple,ABS,Adultos,Unissex,NA,Poliestireno
115, Capacete Moto Ebf Fechado Feminino Varias Cores/tamanhos ,177,NA,72,6,12x,14.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-951519257-capacete-moto-ebf-fechado-feminino-varias-corestamanhos-_JM,4,0,0,0,0,#951519257,Branco e Lilás - Não se aplica,"56,58,60",EBF,EOX,EOX FLOWERS,Integral,Simple,ABS,Adultos,Feminino,NA,NA
