search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Respuesta máxima en frecuencia,Respuesta mínima en frecuencia,Peso,Tipos de parlante,Voltaje,Cantidad de parlantes,Sensibilidad de entrada
61, Parlante Portátil Bluetooth Usb Radio Fm Charge Mini ,5999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,3,https://perfil.mercadolibre.com.ar/IMPORTADOR+RCSA,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=f4UU2PINBZxiP%2BwNypR6kEFBJlbwisu%2FLeygngr7wrUK%2Byf6AZypk3LWRWUJDdy06EuKFASUVQQU0Jh8eBKn0834TIQpiysH2CbfbnE6dcrOkKMESW3n2MpIei6hlc53%2BVHhVqAaAWiWr%2FbNTPfzjYif2zfrdsr9ZNdNZSuAAwJDS4uBbH5znSGH5EOl3j3l9sb4pPwqmS51tc5cJg704zpDeHSBubNcR7yV%2BvxcNN2eDE0KWdIH%2BC8y8XjFK%2FoLaNNB03qFrxGMQL9jN6Bgz1L7ZKX%2BfRCpgx2oJQ82O8VwfhTENa502YtrtyfS8cniqZ3OL03s4XopQNkaiG6b6U74Ar%2BrfcDesoYn8fq%2Bhz%2FzkqacCmDDDHlGoql4kIMgBRkfrWmkrEU44KQ5RdE%2Bu%2B%2FEJrINYNrPLP1CMWJQlNPhWWsMdLg0xuufPj2lh8BvCv6meRvNJXFHhleKRT2%2B%2Ban49pZyE8S08QsCrgSelgotZVHK7GExVNQKgUkzNSxQskUtpPmq18bhvTcShRzJKhg9etHLcysxwQ7nYuddH%2BIy5hry2JdtrFoDlYyWEztK6kf2aI0gH5LYrTCvVe%2BiWJcPt4AKk0SOYlTfSs7Mrl8fQXzB22MWGrJUCbfLxwT9FQRMDSZM8l5SGf4bMCIiO%2BI1NPSwiyF16wmO3mrl7vZ9XvgoDgSR9RaFvoLF4XRSpTZtWL6stZtSI1E44B7kw6RDG0cxdwH8rA7cHSEYrVffAVbWWJnOx7hYbCO19yDQyvEu62ndQvaqyVwM2i1QgCOMVSbkR0sezLP1mo3sns9VoaxU8ukeC1KPehvQcVNmP9I7V4B6Meye04Ua9Ev0LnxCDfcMFTNI3kAXfS9jK8evMtzAb%2FUW%2Fv4vNfUa8sOBkM%2FGB4J8wpJij3Is3ai0nndYRimZVpQX62LnfKcyzNZPSGYzhAiPqVmdsFRRFfWGKZeBAFT%2FfeIQ6jqx1vjXVrawzEIMdYzHKQdJmfIW58vxK8Rcx%2FJ8eIDdWG5pLgifqLz5zvi5T38cbN3R8ofhly6v5nUatEBCbRDeDEvGyt8VbWibixNwZTWUg73MjqXXVPR0pu7j0HdPbanZisguqToI5eQo%2BXRqhf%2BUOvCfXBifdl128Ujl0HNYa4wGQVORXh%2F4XTdDCVLNG13Mxl29l37%2BxefvgMYAKGo2OPJI6jl9RQ8ekE6YUdKmYdv%2F34YG3rGbBJCnF8LxidSBeeHzYXGETYomeP8YPu1CB2ftwLuANpW3SdINkWQtbgmgZM9COaPsxw4ZAsC4LtemAd87twXF1n84rNaW0Fax50AXk4xDCWZa9OTpghOhNIWKchY%2BrWAVv1IBewVbI8LktyhCTmclzkhubcjbGztM9dqLM4BWq%2FxznhQZF8csQBI9Q1RUZKqCX9pczJMVe6w%2FIc9qZI4IUOQ%2BDsXSZk8M%2BaiNTjx%2BuZhL0si6lSVecXI0Y%2BuAfrqVMk2w5Ido7FKShCbfaW8c37rafC3blT0VP8PrXjbWZWJHcIhVrX8KysuTsr9LFSqrAhaybnScNRvG3Rerox5Dq2%2FkdD1CVPEUVufOELXIF%2FPNrUrIHZROluroEX5KVJ3x0NnGBO1yBoL6FW6mvrRzi%2F83ZI1KBC4C5mZgc%2BqcYfJuBR4gjLrJNYVAqoB6WFu9WL0j,3,0,0,0,0,#775821281,Daewoo,NA,Speaker Disko DW-D1001,2200 W,Activo,NA,NA,NA,NA,NA,NA,6.5 kg,NA,NA,NA,NA
62, Parlante Bluetooth Portatil Kolke Usb Sd Luces Led 30w ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				42
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,2,https://perfil.mercadolibre.com.ar/MWPRODUCTSARGENTINA,https://articulo.mercadolibre.com.ar/MLA-736936659-parlante-portatil-bluetooth-usb-radio-fm-charge-mini-_JM,NA,NA,NA,NA,NA,#736936659,Genérico,NA,Charge Mini,6 W,NA,NA,Caja,NA,NA,NA,NA,NA,portatil,3.7V,NA,NA
63, Jbl Flip 4 Parlante Portatil Bluetooth Sumergible Original ,1499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				67
				vendidos
			
		",(13 disponibles),12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,8,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-703708458-parlante-bluetooth-portatil-kolke-usb-sd-luces-led-30w-_JM,6,1,1,0,0,#703708458,Kolke,NA,Kpm 273,30 W,Portátil,NA,NA,NA,NA,NA,NA,NA,NA,5V,NA,NA
64, Parlante Bluetooth Portatil Panter Hbb03 Bt Usb Sd Aux ,5580,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1118
				vendidos
			
		",(35 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1839,https://perfil.mercadolibre.com.ar/BH+COMPUTACION,https://articulo.mercadolibre.com.ar/MLA-619014006-jbl-flip-4-parlante-portatil-bluetooth-sumergible-original-_JM,1570,229,30,6,4,#619014006,JBL,Flip Series,Flip 4,16 W,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
65, Parlante Jbl Flip 4 Bluetooth Portátil Sumergible 100% Orig. ,1809,NA,"
			
				Nuevo
			
			
				
					 - 
				
				845
				vendidos
			
		",(24 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,142,https://perfil.mercadolibre.com.ar/JFCELECTRONICA,https://articulo.mercadolibre.com.ar/MLA-739254123-parlante-bluetooth-portatil-panter-hbb03-bt-usb-sd-aux-_JM,63,48,17,8,6,#739254123,Panter,Sony Beats,HBB03,20 W,Activo,Portatil,Caja,NA,Auxiliar,NA,NA,645 g,NA,NA,NA,NA
66, Parlante Jbl Go2 Color Original 100% Bluetooth Gtia Sellado ,7490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				208
				vendidos
			
		",(17 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1839,https://perfil.mercadolibre.com.ar/IGFSTORE,https://articulo.mercadolibre.com.ar/MLA-734569159-parlante-jbl-flip-4-bluetooth-portatil-sumergible-100-orig-_JM,1570,229,30,6,4,#734569159,JBL,Flip Series,Flip 4,16 W,Activo,Exterior o Interior,Caja,NA,USB,NA,NA,515 g,Tweeter,NA,NA,NA
67, Sony Srs-xb01 Parlante Inalambrico Portatil Resiste Agua Bt! ,3490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(98 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HYC+DEPOT,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=F3Yet2waI%2FRHSf4U0UQq7nnNzl6tvnV3FFBqgMeKuszd5hxCnQEH0aVBCy1uJT%2F%2F899w15KDPGhxzFAAx%2FrSOOfl6SPcoYFj9YUYq4gApukK%2FKVrIPk6zIolEarSOKdwLmo6IbNoRMRZbGhjhNNRcheakaIfP8p8aEBrLGHMRUJSs5RkGS5dq1mEPB7lAH9uMsxtO0hp%2F67Lsz8ecNK3bIihlu0PFrgxyonjMen05GEdsYwvctZdaz5rJEEBDwdL0bwanlWdn%2F7TgfQ%2BEZwUH4tl6dqErm%2BbdxJF6P8btlH3pjpQML8MfpQAp9uMOaTHX0rFVO2ZjuHKsyesOxJpTRpCPYBFdIbL%2BK2JKmmnCR5xM1lH4JPjkuqnJNrjcVlUsssSQty8%2FVkR1GLnTDRZBPMPIzIJoNUtrcQxDmI%2FVMkV%2Bso%2BCgiucrBp%2FKc7aBe7Zb535k7Z0%2BHTYyCCTjuO84HE5ctIu0rnaz5QtTfPGVw7hRmsw7fVnmETCYZZn8z%2BP3WF%2B6gbG8jtsiiLgIRx98tBD%2FztOVux63YQvmj1q%2Fkn7ZqdOhLAfvE61SP8jwFR%2FeqcALkByyDdsvU0r4grWLe7WZm3mobDkNmxOT8RRiY3MCPonSqN%2FSzyPhb%2BPS9S62k4UgwRrwIlZG1x1SHm5gLAnsDyx6Tztb9K00wJYNdi%2B9BS9xO4Ow1dpBY%2Fuhz9eVqjdEQ2m4XuL2QUwPVCRgtBlY4BSEJ4XeHdMjgiWetszl89D2GAEORwYe8OqQ1KnoNE6eiqHzNu2aQ21sg3ynaws6X2%2FLfh4wZIbkRCpoc%2FS%2FmmfzjQL9ETJLZQn8xDb6wTBMNMw%2FszviaJf89SGftWtIs8524xXtRRr2veCyFz7wz%2FBY4ZGMTke70kYHFd9%2Bu03Vj7niJP6RqPCU1Yfchl7OsGyxIpMWnDTirvaox23ilF1L5OAmJQzXpnlltJ8LSR8p7KhHPN8YPMUZaW5btMAk%2Bt4Ldyj27e99cjUfVBn4Zg%2BrOeSnNsaHcMVqqCGYQhkzs8ehovHCXKSxGhvaJGGxQSwDypLAzNGoPm%2Fv30iytIWyGmfNBTOILWTe69OpwoeJd%2BnX0nU0bOPapdMDtsM%2FjF7kPVEUjZB%2Fm0Sm7CjpTKt9GsTSKLn4GWu6imupGCvSFXZPmJLP7qs7GrFWbtFCKuoBJ99i9xgZkAxK%2F%2FiAlcf%2F0vyLMNLzwhhu1jKZX3J8SFos3KnXPG2FaESuVAgn7YYmclbXQ%2FuW7cCu2T0lz9W5MMts39bz6%2F8jjJB9iEq%2FvTwTyjJH%2FyrYUti%2BC3CXC4UKSsXkyYUgLeiTS4%2BiO5VbgAIz%2Bc%2B408DqpfRVw4kwNIsA%2F5m%2BYMms38SyqynAPRF0Ct7fgUJ8QtOVegLL3Mo4klhvEYtTPoXuyp3%2FIYkFTlJHoC8Mbk8rjlB1UuykOJM9rq9ANVxCzazSXOntI8%2BkUmE8A04oysoM%2BWpvTYsMvutm4znF4iaaTG0MJeXA93h5z%2BbUKvLTx1fo2sgB%2FJG%2FfQTqCRDbl0yczAn9HpMVueTEz6wSZjR1IM74WTH2VDXcWDFCN8Bqotf5DdBwOyxNeBjviF5feipROFa9S2f2MEeOYLTlwtD%2FcT3pQpNOKjgcp1hgJfdi3UKGG47T4RpZf%2BYgoll522fYBiO3%2Fs%2BbNcpROk2MU%3D,NA,NA,NA,NA,NA,#791163996,HYC DEPOT,NA,Parlante Portátil,10 W,Subwoofer,"interior, exterior",Caja,FM,NA,NA,NA,NA,Subwoofer,NA,NA,NA
68, Parlante Bafle Daewoo Fiesta 12 Karaoke Portatil Bt 2200watt ,2279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				211
				vendidos
			
		",(37 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,17,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-628486050-sony-srs-xb01-parlante-inalambrico-portatil-resiste-agua-bt-_JM,13,3,1,0,0,#628486050,Sony,SRS,SRS-XB01,10 W,Portátil,portatil,Caja,si,NA,NA,NA,160 g,portatil,USB,NA,NA
69, Parlante Portátil Karaoke 12 Micrófono Luces Led Bluetooth ,2099,NA,"
			
				Nuevo
			
			
				
					 - 
				
				384
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,689,https://perfil.mercadolibre.com.ar/.COMPONENTES.,https://articulo.mercadolibre.com.ar/MLA-764127615-parlante-jbl-go2-color-original-100-bluetooth-gtia-sellado-_JM,573,106,9,0,1,#764127615,JBL,NA,GO 2,3 W,Pasivo,todo tipo de lugares,Caja,2.1,NA,20 kHz,180 Hz,NA,Tweeter,NA,1,80 dB
70, Parlante Jbl Charge 4 Bluetooth 4.2 30w Sumergible Nuevo ,4299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				966
				vendidos
			
		",(849 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,51,https://perfil.mercadolibre.com.ar/OPENFACTORY,https://articulo.mercadolibre.com.ar/MLA-751148968-parlante-bafle-daewoo-fiesta-12-karaoke-portatil-bt-2200watt-_JM,39,7,3,1,1,#751148968,Daewoo,NA,Fiesta 12,180 W,Woofer,Portatil,De caja,FM,USB,NA,NA,8.5 kg,Woofer,NA,NA,NA
71, Parlante Bafle Portatil Daewoo Rock 12 Bluetooth Mic Karaoke ,3799,5500,"
			
				Nuevo
			
			
				
					 - 
				
				432
				vendidos
			
		",(655 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,59,https://perfil.mercadolibre.com.ar/LIBERCAM,https://articulo.mercadolibre.com.ar/MLA-689177765-parlante-portatil-karaoke-12-microfono-luces-led-bluetooth-_JM,40,13,3,2,1,#689177765,Oryx,MOVIL,MJ-2036,1600 W,Woofer,"Tripode, Escritorio, Portable",Caja,Automatico,NA,NA,NA,NA,Subwoofer,220V,NA,NA
72, Parlante Bluetooth Inalambrico Resistente Agua Sopapa Ducha ,10099,NA,"
			
				Nuevo
			
			
				
					 - 
				
				362
				vendidos
			
		",(892 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,573,https://perfil.mercadolibre.com.ar/LAMEJORSOLUCION,https://articulo.mercadolibre.com.ar/MLA-647126020-parlante-jbl-charge-4-bluetooth-42-30w-sumergible-nuevo-_JM,483,71,17,1,1,#647126020,JBL,NA,Charge 3,20 W,Pasivo,NA,NA,NA,NA,20 kHz,65 Hz,NA,NA,NA,2,80 dB
73, Parlante Portatil Radio Usb Bluetooth Potencia 40w Karaoke ,21000,NA,"
			
				Nuevo
			
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/PATAGONIAJAZZHOSTEL,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=pSu1HJgTNpUr%2FLOGpbalxMgAnLE8D7J4DxqSK3Lpj81bG2U6hZHDe0%2FyZWK2Y595WFCPHY6lpX0O2m7pkl4FKQQ3JqpHajlKanrF4Eb3ZL8aZYqLjo3sMh5%2B3QL2brjP87NuFdXRUTrNOgLMST0K2h0twq7DvEjMLk8jxbllYawQAObC27fYxvkOE9j3WOUOe84Vm%2BDAQh%2FDYx2XS2IxmpEHDi6Nyg%2FGkLRHTyJQDRaVa24VAVrI3w6ekzQewPSkygPkU8AWKvyjTf8Rn%2BdRYuM8D0Aw6c7WfmC3jKr65HwA2gOkgUKgne9gFC25Wb9e5G3ozAyxM1HzSd1WywQNT9Blngz5Y5QGkkxjOJRjQ4rE2wD7U8OLC0R5X7PeWrcGZC8KigRyAQdzVEWU5v2YoFEAwLKD9Jxq%2F%2Be2p2Y4scRb1DPw3oYBR3m7e2WMHMXsJ9mkQNhYT1%2FFJTYYmtmyeVgdZ1hM2zMaPY2FdnwfM%2FHFtEolaL%2Fkjk8YCSRN52us5xn2tG9Nth4NhLXVYnUDdIwKBBk8mQ015B3L1t0GyTh0D1XW9rd5200uY63RGmlzEt27XMtG%2BBIK1gm5Rg2AOpWFEjI3aZkMpyXLQ5Ae4K2TnEETacK4EEB8Q3J0w8DFsHTZXso3HQg0JXBTUs37Zg2LFCsEHT2Tcb9XBrZHaoopf2whNzKCtbeLs8OU07RbNe6y4I5Qf4sL%2BZpf2ad8dGpSC8vHzA3J8fgVOrAEBuNqgPTu7Hpu6sp3MeZDZeVnH2EhQm1vcEp8Nl7lkMB1wAo8OrderHKa6FONBimIleRcbKBw0jc5ECTi4EQIpSI3EcXZLY2UxLRDG0Oy4xRDRpfS9Oj%2Bn8b1yDXEp4kANef4ZnwJyQa7tWE9QZgOJGINT%2FNnv2oW%2FPZ%2F%2FlnIoAVWH9RloWd5qqwb64ay1Xr0rQyYbk%2Bfbmku8mBdEbM%2FR30%2FtN70lDtO5poBzAExZrIZNWIu6D%2B9hC4HNQZ1FWKw5T45FLePnIc2MtQng7TuEHha68w6sHTMXy%2FuHN5N33II2WbsCqdqvCKOER6p3OB6pV%2FY2SJDO8ufbT0GOTEcGK9Ivdzmh%2BgqsGgN4bX02suEnLc%2BW3cbzkN%2BF1IH45cuq%2FFNIJWMrF%2FXb5mamMWECDdWx1yqSrGZrqDSi%2F9YPtXxm5oZy5eFxFc772k%2B9r1mm9jZ5s%2Fu2PEqj3njcq99vNlDkPBUlHdEtU1FBuPP2iFU4Jfx4WcWlufkIyvUXLbGbrKN876BJZlswKBl22iAUmyRNpKshnXhivxUxSfphCDnIiFPXyhvyQNnRVT22Eb4aXCTokSRR5pUjqTOUMuzqC3Ny5lFcTn%2FL%2F%2Fm9BKFED9yVus3rI0gPPgbnCdokJJthr8D9mW69xGhxyR88RAof84hb62W130%2BLUU8%2F%2B3SzDdU7yQXIBLS1miahTU%2Bic0m%2BRONFKbBLyby2OrEZC3wNQBPaxx2mj9P7SKMjx%2Fxj%2Fxj5ZMSSpxB3gfxaXvaPBAS5m3vcFjYLtzndo3V4C2PO0HPCKV5HlGaHgdyZ55LQf4vigU2RZglLGCn2sVd0K3kYYI78R83i7reqPvDGa%2FtPdK2OhZH4gQRhWpu5M%2BbN11HwGvYwNGG7xENW2YdN%2FahgGutPvxmC7c7iHAWQUFtbm1TAq1VK8Cw8O5XpgCs716Blg%3D%3D,NA,NA,NA,NA,NA,#795099301,KEF,NA,EGG 50W,50 W,Uni-Q,NA,Desktop,2,NA,NA,NA,2.15 kg,EGG,NA,NA,NA
74, Nuevo Parlante Jbl Go 2 Original 100% Garantía ,3999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				795
				vendidos
			
		",(9927 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,55,https://perfil.mercadolibre.com.ar/OPENFACTORY,https://articulo.mercadolibre.com.ar/MLA-754525934-parlante-bafle-portatil-daewoo-rock-12-bluetooth-mic-karaoke-_JM,34,14,6,1,0,#754525934,Daewoo,NA,Trolley Speaker Rock 12,2000 W,Portátil,Hogar O fiestas,Caja,no,Auxiliar,NA,NA,NA,Subwoofer,NA,NA,NA
75, Parlante Portatil Bateria 220 Bluetooth Gran Potencia 15000w ,208,NA,"
			
				Nuevo
			
			
				
					 - 
				
				209
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,3.0,2,https://perfil.mercadolibre.com.ar/DIGITAL+APPS,https://articulo.mercadolibre.com.ar/MLA-723725229-parlante-bluetooth-inalambrico-resistente-agua-sopapa-ducha-_JM,NA,NA,NA,NA,NA,#723725229,Global Electronics,NA,Bluetooth,3 W,NA,NA,redondo,NA,NA,NA,NA,NA,Bluetooth Inalambrico,NA,NA,NA
76, Parlante Bafle Portatil Daewoo Rock 12 Bluetooth Karaoke Mic ,5599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				138
				vendidos
			
		",(99857 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,77,https://perfil.mercadolibre.com.ar/DVTTIENDA,https://articulo.mercadolibre.com.ar/MLA-748496255-parlante-portatil-radio-usb-bluetooth-potencia-40w-karaoke-_JM,45,23,4,0,5,#748496255,Winco,NA,W247,400 W,PARLANTE,"SALONES;, HOGARES, PARQUES, JARDINES, COMEDORES, DORMITORIOS",Caja,2.1,"Entrada para Micrófono, guitarra",NA,NA,NA,Torres,220,NA,NA
77, Parlante Bluetooth Logitech X50 Portátil Celular Smartphone ,1939,NA,"
			
				Nuevo
			
			
				
					 - 
				
				210
				vendidos
			
		",(899 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,689,https://perfil.mercadolibre.com.ar/LAMEJORSOLUCION,https://articulo.mercadolibre.com.ar/MLA-732396209-nuevo-parlante-jbl-go-2-original-100-garantia-_JM,573,106,9,0,1,#732396209,JBL,NA,GO 2,3 W,Pasivo,NA,NA,NA,NA,20 kHz,180 Hz,NA,NA,NA,1,80 dB
78, Parlante Bluetooth Ue Megaboom 3 Portatil Azul Ultimate Ears ,8999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				230
				vendidos
			
		",(374 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,47,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-609475730-parlante-portatil-bateria-220-bluetooth-gran-potencia-15000w-_JM,25,16,3,1,2,#609475730,Winco,Bateria Portatil,W230,250 W,Woofer,NA,Caja,USB,NA,NA,NA,NA,Portatil,220V,NA,NA
79, Parlante Speaker Jbl Go 2 Bluetooth Wireless Sumergible ,4999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				939
				vendidos
			
		",(9942 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,118,https://perfil.mercadolibre.com.ar/OPENFACTORY,https://articulo.mercadolibre.com.ar/MLA-740555559-parlante-bafle-portatil-daewoo-rock-12-bluetooth-karaoke-mic-_JM,95,18,3,1,1,#740555559,Daewoo,NA,Trolley Speaker Rock 12,200 W,A bateria,Portatil,De caja,no,Auxiliar,NA,NA,NA,Woofer,NA,NA,NA
80, Parlante Portatil Bluetooth Recargable Manos Libres 20w ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				177
				vendidos
			
		",(187 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,67,https://perfil.mercadolibre.com.ar/INSUMOS_ACUARIO,https://articulo.mercadolibre.com.ar/MLA-755038407-parlante-bluetooth-logitech-x50-portatil-celular-smartphone-_JM,54,12,1,0,0,#755038407,Logitech,NA,X50,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81, Parlante Speaker Aoki Negro + Blanco + Naranja Daewoo ,10399,NA,"
			
			
				
				9
				vendidos
			
		",1,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,28,https://perfil.mercadolibre.com.ar/IPFIJO?brandId=1499,https://articulo.mercadolibre.com.ar/MLA-767838166-parlante-bluetooth-ue-megaboom-3-portatil-azul-ultimate-ears-_JM,22,4,2,0,0,#767838166,Ultimate Ears,Parlantes,MEGABOOM,36 W,Activo,De piso,Cilindro,NO,NA,NA,NA,925 g,Portátil,5V,NA,NA
82, Parlante Bluetooth Jbl Flip 4 Original + Cuotas Sin Interes! ,2149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				24
				vendidos
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,689,https://perfil.mercadolibre.com.ar/OPENFACTORY,https://articulo.mercadolibre.com.ar/MLA-770177923-parlante-speaker-jbl-go-2-bluetooth-wireless-sumergible-_JM,573,106,9,0,1,#770177923,JBL,NA,GO 2,3 W,Pasivo,NA,NA,NA,NA,20 kHz,180 Hz,NA,NA,NA,1,NA
83, Parlante Bluetooth Jbl Go 2 iPhone Android 100% Original !!! ,2298,4021,"
			
				Nuevo
			
			
				
					 - 
				
				32
				vendidos
			
		",(30 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,6,https://perfil.mercadolibre.com.ar/PLANETAZENOK,https://articulo.mercadolibre.com.ar/MLA-681998983-parlante-portatil-bluetooth-recargable-manos-libres-20w-_JM,5,1,0,0,0,#681998983,Daza,NA,DZBT079GY,20 W,Activo,"outdoor, indoor.",Portatil,2.0,NA,NA,NA,NA,Portatil,NA,NA,NA
84, Torre Baffle Parlante Potenciado Led Flash Cuotas Envio!! ,2789,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(10 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,118,https://perfil.mercadolibre.com.ar/ARG-SALE,https://articulo.mercadolibre.com.ar/MLA-744336293-parlante-speaker-aoki-negro-blanco-naranja-daewoo-_JM,95,18,3,1,1,#744336293,Daewoo,NA,AOKI,500 W,Woofer,cualquier lado,Caja,NA,NA,NA,NA,2.95 kg,NA,NA,NA,NA
85, Parlante Portatil Jbl Go 2 Bluetooth Original Sumergible ,8799,NA,"
			
				Nuevo
			
			
				
					 - 
				
				28
				vendidos
			
		",(9 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,16,https://perfil.mercadolibre.com.ar/LUMPINI+TRADE,https://articulo.mercadolibre.com.ar/MLA-770807130-parlante-bluetooth-jbl-flip-4-original-cuotas-sin-interes-_JM,12,4,0,0,0,#770807130,JBL,Flip Series,Flip 4,16 W,NA,NA,Caja,NA,NA,NA,NA,NA,Portatil,5V,0,NA
86, Parlante Xiaomi Portatil Bluetooth Inalambrico Mini Speaker ,1990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				112
				vendidos
			
		",(9 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,689,https://perfil.mercadolibre.com.ar/TECNOPARAVOS,https://articulo.mercadolibre.com.ar/MLA-755638496-parlante-bluetooth-jbl-go-2-iphone-android-100-original--_JM,573,106,9,0,1,#755638496,JBL,NA,GO 2,3 W,Portátil,NA,NA,NA,Auxiliar,20 kHz,180 Hz,186 g,Portatil,NA,1,80 dB
87, Parlantes Bluetooth Vertrag Potenciados Para Smart Tv ,6499,7999,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(7 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,73,https://perfil.mercadolibre.com.ar/PRONTO+TEC,https://articulo.mercadolibre.com.ar/MLA-759034542-torre-baffle-parlante-potenciado-led-flash-cuotas-envio-_JM,54,16,2,0,1,#759034542,ProntoTec,NA,TP400,NA,Columna,NA,Columna,NA,Entrada para Micrófono,NA,NA,12.3 kg,NA,NA,NA,NA
