search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Peso,Modelo,Tipos de filtros del parlante,Conectores de entrada,Potencia de salida (RMS)
91, Cabina Sonido Bluetooth Portátil Radio Fm Usb Sd + Obsequio ,89.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				36
				vendidos
			
		",(64 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.497
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,7,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-474146105-cabina-sonido-bluetooth-portatil-radio-fm-usb-sd-obsequio-_JM,6,1,0,0,0,#474146105,NA,NA,NA,NA,NA,NA,NA
92," Ultimate Ears Megaboom, Parlante Impermeable Bluetooth ",499.900,799.900,"
			
			
				
				16
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,3,https://perfil.mercadolibre.com.co/TIENDA.OFICIAL?brandId=672,https://articulo.mercadolibre.com.co/MCO-447922963-ultimate-ears-megaboom-parlante-impermeable-bluetooth-_JM,3,0,0,0,0,#447922963,Logitech,NA,877 g,NA,NA,NA,NA
93, Cabina Portátil Recargable Bluetooth Usb Karaoke Radio 400w ,131.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/NYJTRADING,https://articulo.mercadolibre.com.co/MCO-468098708-cabina-portatil-recargable-bluetooth-usb-karaoke-radio-400w-_JM,NA,NA,NA,NA,NA,#468098708,NA,NA,NA,NA,NA,NA,NA
94, Parlante Bluetooth Portatil Karaoke Bafle Microfono Bowmann ,159.000,NA,"
			
			
				
				14
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 13.250
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/COMERCIALLACABRERASAS?brandId=791,https://articulo.mercadolibre.com.co/MCO-513096160-parlante-bluetooth-portatil-karaoke-bafle-microfono-bowmann-_JM,NA,NA,NA,NA,NA,#513096160,NA,NA,NA,NA,NA,NA,NA
95, Receptor Bluetooth Audio Portatil D Bateria Recargable 3.5mm ,10.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(865 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 908
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/BETHMARC,https://articulo.mercadolibre.com.co/MCO-458987560-receptor-bluetooth-audio-portatil-d-bateria-recargable-35mm-_JM,NA,NA,NA,NA,NA,#458987560,JBL,NA,NA,NA,NA,NA,NA
96," Parlante Bluetooth Nfc Para Deportes Ipx4, Avantree Cyclone ",139.900,189.000,"
			
				Nuevo
			
			
				
					 - 
				
				43
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 11.658
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,9,https://perfil.mercadolibre.com.co/JD+MARKET,https://articulo.mercadolibre.com.co/MCO-449494654-parlante-bluetooth-nfc-para-deportes-ipx4-avantree-cyclone-_JM,5,3,1,0,0,#449494654,NA,NA,NA,NA,NA,NA,NA
97," Parlante Portatil Hyundai 300wts/ Rms, Bluetooth, Usb / 979 ",429.900,NA,"
			
			
				
				7
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 11.942
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.0,1,https://perfil.mercadolibre.com.co/HYUNDAI+LATINOAMERICA?brandId=260,https://articulo.mercadolibre.com.co/MCO-497419234-parlante-portatil-hyundai-300wts-rms-bluetooth-usb-979-_JM,NA,NA,NA,NA,NA,#497419234,NA,NA,NA,NA,NA,NA,NA
98, Parlante Bluetooth Altavoz Portable Radio Fm Usb Sd Tg-163 ,39.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(43 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/COMPRALOENCASA.COM,https://articulo.mercadolibre.com.co/MCO-505123291-parlante-bluetooth-altavoz-portable-radio-fm-usb-sd-tg-163-_JM,NA,NA,NA,NA,NA,#505123291,NA,NA,NA,NA,NA,NA,NA
99, Barra De Sonido Bluetooth 40cm Parlante 12w Usb Fm Sd + Obsq ,54.900,99.900,"
			
				Nuevo
			
			
				
					 - 
				
				688
				vendidos
			
		",(56 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.525
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,59,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,https://articulo.mercadolibre.com.co/MCO-446560438-barra-de-sonido-bluetooth-40cm-parlante-12w-usb-fm-sd-obsq-_JM,35,13,7,2,2,#446560438,NA,NA,NA,NA,NA,NA,NA
100, Parlante Jbl Charge 4 Bluetooth 100% Original Ng ,468.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.000
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,39,https://perfil.mercadolibre.com.co/JL+LUJO,https://articulo.mercadolibre.com.co/MCO-490455987-parlante-jbl-charge-4-bluetooth-100-original-ng-_JM,35,2,2,0,0,#490455987,JBL,NA,NA,Charge 4,Activo,NA,30 W
