search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Peso,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Voltaje,Ancho,Altura,Conectores de entrada,Formato del parlante,Profundidad
47, Parlante Portátil Bose Soundlink Revolve+ Bluetooth ,299.99,NA,13,6,6,49.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472174702-parlante-portatil-bose-soundlink-revolve-bluetooth-_JM,NA,NA,NA,NA,NA,#472174702,Bose,SoundLink,NA,Revolve+,NA,NA,NA,NA,NA,Auxiliar,NA,NA
48, Parlante Portátil Karaoke Bluetooth Master G Spbt5w ,44.99,NA,34,6,6,7.498,NA,Envío gratis a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376947-parlante-portatil-karaoke-bluetooth-master-g-spbt5w-_JM,1,1,0,0,0,#472376947,Master-G,NA,NA,SPBT5W,30 W,Activo,220V,22 cm,22 cm,NA,Caja,14 cm
49, Parlante Bose Soundlink Micro ,99.99,NA,37,4,6,16.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471020818-parlante-bose-soundlink-micro-_JM,NA,NA,NA,NA,NA,#471020818,Bose,SoundLink,NA,Micro,NA,Activo,NA,NA,NA,NA,NA,NA
50, Parlante Kronne Loudbox Bluetooth Portable (negro) ,69.99,99.990,7,6,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/REIFSTORE?brandId=265,https://articulo.mercadolibre.cl/MLC-452999520-parlante-kronne-loudbox-bluetooth-portable-negro-_JM,NA,NA,NA,NA,NA,#452999520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51, Parlante Bluetooth Zukabass 4 Microlab / Mundo Electro ,13.99,NA,68,18,12,1.166,NA,Envío a todo el país,NA,NA,4.7,3,https://perfil.mercadolibre.cl/MUNDOELECTROCL,https://articulo.mercadolibre.cl/MLC-461820130-parlante-bluetooth-zukabass-4-microlab-mundo-electro-_JM,2,1,0,0,0,#461820130,Microlab,NA,NA,Zukabass 4,NA,NA,220V,13 cm,15 cm,Auxiliar,NA,NA
52, Parlante Bulldog Frances Bluetooth - Altavoz Alta Definicion ,12.99,NA,54,9,12,1.082,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/USA--IMPORTADORA,https://articulo.mercadolibre.cl/MLC-468576844-parlante-bulldog-frances-bluetooth-altavoz-alta-definicion-_JM,3,0,0,0,0,#468576844,NA,NA,0.46 kg,NA,NA,NA,NA,NA,NA,NA,Caja,NA
53, Pack Parlante Bluetooth Usb Aux + Pendrive 32gb | Maxtech ,29.99,NA,14,4,12,2.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-436376888-pack-parlante-bluetooth-usb-aux-pendrive-32gb-maxtech-_JM,NA,NA,NA,NA,NA,#436376888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54, Parlante Bluetooth Mini Zuka Bringbass / Mundo Electro ,7.99,NA,21,10,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MUNDOELECTROCL,https://articulo.mercadolibre.cl/MLC-471771516-parlante-bluetooth-mini-zuka-bringbass-mundo-electro-_JM,NA,NA,NA,NA,NA,#471771516,Microlab,NA,NA,Bring Bass,NA,NA,NA,10 cm,21 cm,Auxiliar,NA,NA
55, Jbl Eon 615 + Akg D5 De Regalo - 101db ,499.99,NA,64,15,12,41.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/101DB+CHILE,https://articulo.mercadolibre.cl/MLC-484761865-jbl-eon-615-akg-d5-de-regalo-101db-_JM,NA,NA,NA,NA,NA,#484761865,JBL,NA,NA,EON615,NA,NA,NA,NA,NA,NA,NA,NA
56, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Champagne ,26.99,34.990,37,4,6,4.498,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-471130438-jbl-go2-parlante-portatil-bluetooth-inalambrico-champagne-_JM,NA,NA,NA,NA,NA,#471130438,JBL,NA,184 g,GO 2,3 W,Activo,NA,NA,NA,NA,NA,NA
