search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material
330, Capinha Silicone iPhone 8 ,32,NA,1,299,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-936732463-capa-case-capinha-homem-de-ferro-aranha-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#936732463,Apple,iPhone 8,Fanatic Store,iPhone 8,capinha,Emborrachada
331, Capa Case Capinha Homem De Ferro Aranha - iPhone 8 Plus ,32,NA,1,306,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-936704775-capinha-capito-america-escudo-vingadores-iphone-8-_JM,NA,NA,NA,NA,NA,#936704775,LG,iPhone 8,Fanatic Store,iPhone 8,capinha,Acrílico
332, Capinha Capitão America Escudo Vingadores iPhone 8 ,39,NA,3,975,6x,6.66,NA,Chega amanhã,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OLST2825962,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=f1PjRrYrILnvZXQxZqbuv57U9xqGW07ETeBJ5tkSXb2fnoAGhyC9sfFl%2B59kDzglzqIO2xzPrGiVuNCdn%2FFwIQY7X4hfFpYlzpQl17gwpvffdd4YZnMhZdZlIgfYKhdJ7MCv%2FAH0JnMHvvKZ76b%2BWu46Ockv3pQg2M8qZN2%2FG5NOoeJwdtriczcE4%2FVMvfdEmi7OEjXaZ3aO4HLFYQtQiaP1%2FdnuLpq%2BMXJIq3dNtrX%2F2aB%2BBqj5rYKgnMv1UutdMPDkHh3Bi9Umz1mhEnXoD3B7JahiNu2al%2BQK3nXeLFErgxRLqnZ6ZIdQZuLnIKgmpfOBO1GoeetUYheP4kMTWuVmkWyGgUcbLM8me%2F6US1XgQHBhSr47WOQ7jEm%2FZ4mkSYR0OL8YaPt8qNfGp9yP162SsaJT4EIXjHNchr65BexUAGhQI5ffnwtrBuXHrHe51KoygDiZdSYfb6TgtFIePDP%2FBXpofntspwwwuMja7N%2FGzHQCk8sWcfow9FzHUJJNd2QeivP2d2aKvQ0Keq17OdY7aGk%2BgGFbeoiBqeC%2F%2F5zoIW7C067dUCC0pQ6SStHj9iMPg6nK23n6K3qYCB%2B3kk3B7iB8%2BRc8bmLB1c7Q24OJ9gQiiBy9sJevLh6bBJw8UsZsLzRAKms7kDp%2Fodq64fD34Tn0X1BjOKiB6wqXXwg0tircDv6n8UPi%2FQwpFaGpWEMqR6b2ygO14j3HVhvOOBq2a7VeZIr%2B7fJpCzw1jdJOpKloYu2C5lra7iOHuqiZktq4ECxRllDUPTcIWpdFpeeLhDuvhrKaDyolXj62BwRyPeZCy9bNeklWxVEvG8s1Qh6L6sH4vBZvcBkL2BQP%2BQzVWQaypRQGwQ8Pl4Gsp79YF6gfra4qi61cTHCie2ugZA6fupwL5MFMFYYwKgDO%2BuTOhGe9LKeGMfgDZWbNxz9MXPd0OyGFUjoVTK37clwzkyapuDX%2F9Z1ylU6HnOjjGiZxSjlRSBBAv3XaQUk64ON6LDBfU%2Bh9%2BZz1ksiVOfqUnR0af%2FTruliRQfrCTD09SH7c6qGyQ1iDKSdXfhh1MisDoAfYD%2BGzeN0pDW27Xc9Q5TsOPHXBroD5NMPRBNwzdf%2FclqO5M41ht4cao4m1u4v1Wk3DGHvNewd5aCueQ7gjfqHTMYuzovWW%2FRAcRrFXK6qGGbcrWaL66l%2Fs6L7myU7mTpov8ZYJjZj0BL%2ByUT6m1zqTRJeoVKpLqpJLVh2Ue0guvywqZoYnQkTDlPDgKTiq0XcG7masAogM2rc5bnpdLmL6AORl5SJ2JgbIItryapG0nYeCaVTPtYAz6O%2BE3qALBD3lSm4fIW7iLIf4fdRu1ffQkVCpNQ8aX9VwFJW%2BUID6Ymn%2B663e9gpyxuhRJhB%2BWT8Zi73lkfK%2BYreLtXFm%2BPigaBldeZLXu4xvdbnnltb921S8lYb%2FLfebwMhV%2FPQwo8uwanM0,NA,NA,NA,NA,NA,#1270817647,Apple,Iphone 7 e 8,Apple,Original,Original,Silicone
333, Capinha Celular Guardiões Da Galáxia iPhone 8 Plus ,32,NA,1,308,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-937460512-capinha-celular-guardioes-da-galaxia-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#937460512,Apple,iPhone 8 Plus,Fanatic Store,iPhone 8 Plus,capinha,Emborrachada
334, Capa Capinha Case Celular The Beatles - iPhone 8 Plus ,32,NA,1,308,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-937469727-capa-capinha-case-celular-the-beatles-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#937469727,Apple,iPhone 8 Plus,Fanatic Store,iPhone 8 Plus,capinha,Emborrachada
335, Capa Capinha Celular Mulher Maravilha - iPhone 8 ,32,NA,1,3000,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-936698669-capa-capinha-celular-mulher-maravilha-iphone-8-_JM,NA,NA,NA,NA,NA,#936698669,Apple,iPhone 8,Fanatic Store,iPhone 8,capinha,Emborrachada
336, Capinha Luxury Matte Para iPhone 5_5s_se_6_7_8_plus ,32,NA,4,195,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-992619721-capinha-capa-case-fita-cassete-iphone-8-_JM,NA,NA,NA,NA,NA,#992619721,Apple,iPhone,Fanatic Store,iPhone,capinha,Emborrachada
337, Capinha Capa Case Fita Cassete - iPhone 8 ,32,NA,7,2983,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-937442263-capa-capinha-case-celular-palmeiras-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#937442263,Apple,iPhone 8 Plus,Fs Store,Case,capinha,Emborrachada
338, Capa Capinha Case Celular Palmeiras - iPhone 8 Plus ,34,NA,2,2840,6x,5.82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAWE6672427,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=5ksO3skt%2BekgJTU6%2FQZI4MsPR2pTwiaRlMOXW5zJzxvZJyaBAChQ5fsyqJpUP%2B8DvxPHj4TpFBMMbdK0mFoMLnOX7TsjWu2GOq3IFJnDng12ef38dvEYSbyv0Dra34QULmeuEaOcpGyE4Fx8VghBj%2BF2Xb26OhWmVDs3uajm6ZE1U96fslSLxENxXfQ41sdQQYi%2BRZ4iKFPCTnnbdaeOoVRfaLQ5KtpgSR32JvDRlLpx41iAANCoHOYVygNTIv2y9dhNN%2FbPyWNANOCs0PuezCOhJpqklJtJ20KV7R63Mp0Uy2iLFZkbIqPI8LPP%2BH3epuTLRwmBJOcy6GHAs0DvvQFHPxQ4Prp0PjPuXRUALhnJtiEbICTu2g5b%2FGHIYk53W81l7kp3Mjn6nbu%2Fo%2BBguSZRpFFI4X2KwNArN%2Fw6IACeFS9AekdLemOh%2B8lnt2AG0qmTLCMVjIIFrc5dvecBsoXcmir9%2FjJnWmo%2FIvbG%2F4MFqzbybQJI9%2BoumSjTmdj%2BGpBjh1SDjw%2BWh%2Fo4QoLvbQpJR2AjLmm9Q%2FiljBK6QFIH7sXZO06gYSD%2FwnJUJcTxj9wJqt3l7uVWhD9fHUiKZzt5MDFhuSUQlpttz5wDpLaNST6pdymX4BARLRyOQAwI5qv2BSeoo8QK6Kq%2B72Rzu6X0%2Fs%2BBg8RkUSDfd4teDE74KmqAi5gq0x7dCImR0F8n1rv87glkcPwIOIsm1EmxJtmGexUdZ2mJrF41b779hWgnKTBVhLb82wUmrhyFEHJSox86XEthqsc35GycHgm29pxIcAWyWNVH4DMviSYoHoWCbYpeOFckvM0etesq9hS51rL3sMwy17lAJOFtSZw3%2BUUnyGuPahyHGP9Ci3EFhYUoXhpJ9gL2R%2Fwcj7Lv%2FQa4tyUqauBD3Ccx0JefsY%2BO06oCOLDtpEvkZ%2BQAtcbimVP%2BiUDNhPmUF6uIg33wc%2FyCCk9lfLzlS58QBatpJLZrHSdbyRJmVyjZUa85c2%2BKXpCPR38ph2uGPaanjHqovmVEArWj0Xi0MsITYDDv1icSuZQ908wgt%2FQEIX1%2FE9cDdb4qfWOFoPk1za0DWauwRtZiK%2FBvo1DusGOX8%2Bs9kVt0a%2B4VK%2BS5ryeb40AD0PUiVnY9DRiImMSJyLJ749hkDFpmnMSYhSiGPVLTjdTvG5EWdwq1SQzSoa701TMycmzE0E%2FBSeLcfUB7rEIt2hNJFORuqcB92w3sFTZCoAs8eyWGC2PkqrPHibtpNKXi4s3ehpFaErWihbXm%2FEHoGCsdwciR62wP%2FHZamgNDGHQnx1VmkyqflEV%2FJCZCFztslxTnpJqcLhPQirp3%2F7L4iNRyR67aRQw3HfR79nzE7jsCfthwkfj2fc7q9vMPcqBuxl7TTCMT3LbvHhqTzKOuBOutzRSr5eC%2BtpW6jv7DJPrm39kfSQPrl5ofPyOlPITh9u6%2BDDVEp7PpCN7uayXegahLI%2F3Ava5D2kMm9ySH8mc%3D,NA,NA,NA,NA,NA,#1257080127,Apple,iPhone 5_5s_se_6_7_8_plus,Max,Anti Shock,anti shok,TPU/Policarbonato
339, Capa Capinha Case Celular The Beatles - iPhone 8 ,32,NA,2,307,6x,5.99,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/ABC+CASES,https://produto.mercadolivre.com.br/MLB-936680255-capa-capinha-case-celular-the-beatles-iphone-8-_JM,NA,NA,NA,NA,NA,#936680255,Apple,iPhone 8,Fanatic Store,iPhone 8,capinha,Emborrachada
