search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1490, Audifonos Bluetooth Sony Sp700n Cancelacion De Ruido iPhone ,499,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-436733373-audifonos-bluetooth-sony-sp700n-cancelacion-de-ruido-iphone-_JM,NA,NA,NA,NA,NA,#436733373,NA,NA,NA
1491, Auriculares Bluetooth Hoco Es20 Con Control Táctil ,260,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LUCIANATZ,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=KR1LqOWs1aeKIjB78HwSsowU11vhxXdzx8%2F083x6tvZ6gIUcs6T8Owi1yoUC%2FBiBnDmluou2X%2BknwytzuJN0pW%2BxeCHl4ldwvVTzygu7Ax7OAzcP0eASLyuGjgxS2jN1nFoTs%2FvPAd3pot8r8y%2BAzEmFLcbvBiwpCAtE%2BVyN1GwdS%2Bsn0LyAPj%2FFYEDVnMMtCW7w119tN2pfHRqRe72pUAcYruEmasykRMVHZ%2FRFjYjUTgoGJN3i2Rwq%2BigVaBo%2Fd%2BegrG25mwyjJtB6k8%2Br963iHS2ebrg5xlkQ9AndkRxUhJmPvfZ412BNCM5Q1yBjQ%2F%2BYpvgkLhUZGIjf6CC7cmXIKoeG2WKrRHYi2TehPUUXTPmn9APil2GS29zIgi7hRO4ieCF17IZlKeVNy0sgKwsCuvTruOau4vaWkC1Kr%2FO%2BN3Z4Af9VviqBVkLhHINqsSZ5CYJPdEdB4eoZUPjHRZkkYReO1xM566ZHWj63ArgBYsdaR%2BHWb0IuyRWy%2Fj3fpVwHq1xLaFzDk%2FNaOxA76p8Ps082XvRAD4Cw%2BqUODkLnZWvXQIVqZXI71DbiYJbK5ffNYCtUvn90ViUX5im8ELLhRhwbiuvwLUPX2Sv0ST9osIibhPA6rI9ofJbawfNfAxN7aoM3MxoXhWian7%2B%2Ble7Z%2B4U%2FD63c%2BSYQXYwxDoRNnbA9jRY%2BQxNmi01%2FTYMpbqAFyyy9AY779XlfMP2CGbQ12NC5HvMBloXkfephmS%2Bk0Ob7%2FkSyneHf1Ry%2BxmeO75GKsQoY%2B6fgOnaIF4Q1VnmaqFf1N2LuFy812p1MYJa8m5SOBk9BLTbHiOiZjY6Zpxjc3%2FA%2FERHVxVxAKAjQigw74HYCUta2qPTQUfhQyZbYhgBYO5nu7G9lHCQVxAvtsDYsN4n%2FKF9E8lq1H8Mr6TP%2BdlS1FX%2F6TNgq1Q5AXBi%2BcddeLDHZqHaM2uIxldzAsQVo6hKO0y4bOP8oTlqa4P%2F8iDXOUEwEtT0fNcAlMf9XxRDEYVnjA82BJx6eeWlafKypYxqQea6%2BWfLXlOi7WO0Tl%2Bex7yOaVY3BXFGUmyaII3AwIRv82JfYuLpQCvegbK8wTuzP4Ep0t8XEWP415Vl0A3hXdj6zipDtyh2VTeH%2FTcT56Oq8ZHSLjx%2FRDU9pflCJHofbX8Ww6I8TA93yfhuf9YZdH0iIvliYqVX%2BQMKMwMFtGG3JO9Jcg9ZONNy1HIpko2%2Brj%2FYF7Ubz%2BvdV6vLoTotE2gRz14E%2BrQfo0rltKaAYlmnrHVRqbHrfOZsyItknCCOiK6YQuVgtAUJZb5z8y8LrbNYgWsGGiimrzf5nvwMOsr%2FJij9CiOFxk1lqbdpDUI1q3WhN9UbPPegstZjkQp9tdKUQGIvMephI%2FxRgxs1Il7C2EwCtv28G7DqzvrVgqT8ml1mBdgC2ntFG2r4X%2BSfpFZJqSIBPOTl3aihQ9GPJue%2BBQSEaSwsHmhVMn%2F78%2Bfc8p%2F3C%2BhnHjkD3nd042dCa5oyTv2p6jezTYUMnala03QerAT%2BWSTWjNGMU5LrIBiAgHqyLdvwi%2Fj4mBlKmAB7%2BvUCKS5wj8tlMOwhWZLiVys%2B4hnW1fNALaQCIfjRQGCXrD0he%2FgYfbwfBMS%2F9XsRq22KCsi5cZRBx7w%3D%3D,NA,NA,NA,NA,NA,#437431728,NA,NA,NA
1492, P Audífono Lg Hbs-510 Tone+ Triumph Bluetooth 4.1 ,149,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-432151459-p-audifono-lg-hbs-510-tone-triumph-bluetooth-41-_JM,NA,NA,NA,NA,NA,#432151459,LG,NA,NA
1493, Golzer Banc50 Bluetooth 41 Auriculares Inalámbricos De Al ,400,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435901889-golzer-banc50-bluetooth-41-auriculares-inalambricos-de-al-_JM,NA,NA,NA,NA,NA,#435901889,Golzer,NA,NA
1494, Gratis!!! Audífono Panasonic Rp-nj300 Bluetooth 4.1 ,165,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-434121317-gratis-audifono-panasonic-rp-nj300-bluetooth-41-_JM,NA,NA,NA,NA,NA,#434121317,Panasonic,NA,NA
1495, Audifonos Deportivos Bluetooth Inalambricos Celular Tablet ,39,NA,"
			
				Nuevo
			
			
		",(9999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CADI.PE,https://articulo.mercadolibre.com.pe/MPE-436942123-audifonos-deportivos-bluetooth-inalambricos-celular-tablet-_JM,NA,NA,NA,NA,NA,#436942123,NA,NA,NA
1496, Auriculares De Diadema Inalámbricos Bluetooth Para Correr ,204,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437033501-auriculares-de-diadema-inalambricos-bluetooth-para-correr-_JM,NA,NA,NA,NA,NA,#437033501,NA,NA,NA
1497, Audifonos Bluetooth Plantronics Backbeat Go3 ,370,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DOMIZI-MEDIA,https://articulo.mercadolibre.com.pe/MPE-436457084-audifonos-bluetooth-plantronics-backbeat-go3-_JM,NA,NA,NA,NA,NA,#436457084,Plantronics,NA,NA
1498, Bluetooth 4.0 Transmisor De Audio / 2 Audifonos A La Vez 4.0 ,75,NA,"
			
				Nuevo
			
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LASER+IMPORT,https://articulo.mercadolibre.com.pe/MPE-430167922-bluetooth-40-transmisor-de-audio-2-audifonos-a-la-vez-40-_JM,NA,NA,NA,NA,NA,#430167922,NA,NA,NA
1499, - Audifono Samsung Eo-bg920 Level U Bluetooth 4.1 Blue Black ,249,NA,"
			
				Nuevo
			
			
		",(999 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-426044019--audifono-samsung-eo-bg920-level-u-bluetooth-41-blue-black-_JM,NA,NA,NA,NA,NA,#426044019,Samsung,U Wireless,Neckband
