search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Línea,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Cantidad de cabezales,Peso
1200, Afeitadora Philips Oneblade Pro Qp6510 Recorta Modela Afeita ,2599,NA,11,22,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,248,https://perfil.mercadolibre.com.ar/TECH_SOURCE,https://articulo.mercadolibre.com.ar/MLA-721060450-afeitadora-philips-oneblade-pro-qp6510-recorta-modela-afeita-_JM,158,66,18,3,3,#721060450,Philips,QP6510/20,OneBlade,QP6510/20,Batería,Removibles,60min,NA,NA
1201, Afeitadora Philips S1520/02 Inalambrico Cuchillas Close Cut ,3399,NA,52,14,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,36,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-665926223-afeitadora-philips-s152002-inalambrico-cuchillas-close-cut-_JM,30,5,1,0,0,#665926223,Philips,S1520/02,Shaver Series,S1520/02,220V,NA,45,NA,NA
1202, Afeitadora Y Rapadora Fading Shaving Teknikpro + Set Primont ,3367,NA,0,100,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,29,https://perfil.mercadolibre.com.ar/BARBERSHOP.COM.AR,https://articulo.mercadolibre.com.ar/MLA-738890337-afeitadora-y-rapadora-fading-shaving-teknikpro-set-primont-_JM,21,7,1,0,0,#738890337,Teknik Pro,Fading & Shaving,Official Barber,NA,NA,NA,80 minutos,NA,NA
1203," Afeitadora Braun Mod Syncron, Battery. Vintage Nueva ",999,NA,0,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ISARGENTINA,https://articulo.mercadolibre.com.ar/MLA-759770774-afeitadora-braun-mod-syncron-battery-vintage-nueva-_JM,NA,NA,NA,NA,NA,#759770774,Braun,"Syncron, Battery",viaje,NA,NA,NA,NA,NA,NA
1204, Cortabarba Top House Dt-100 Cargador + Cable Usb Recargable ,949,NA,0,5,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTROSHOP20066,https://articulo.mercadolibre.com.ar/MLA-748203471-cortabarba-top-house-dt-100-cargador-cable-usb-recargable-_JM,NA,NA,NA,NA,NA,#748203471,Top House,DT-100,CORTABARBA,NA,220v,NA,45 MINUTOS,NA,NA
1205, Afeitadora Remington Pr1230 Power Flex 360º Corta Patilla ,1899,NA,1,1,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,17,https://perfil.mercadolibre.com.ar/CADIACONFORT,https://articulo.mercadolibre.com.ar/MLA-609892996-afeitadora-remington-pr1230-power-flex-360-corta-patilla-_JM,13,2,1,1,0,#609892996,Remington,PR1230,PowerSeries,NA,Corriente directa,Pivotantes,Electrico,3,NA
1206, Afeitadora Braun Multi Groomer Recargable Mg5050 Lavable ,3849,NA,0,4,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,13,https://perfil.mercadolibre.com.ar/CADIACONFORT,https://articulo.mercadolibre.com.ar/MLA-731548376-afeitadora-braun-multi-groomer-recargable-mg5050-lavable-_JM,10,2,1,0,0,#731548376,Braun,MG5050,Multi Groomer,NA,Corriente directa,Planos,Inalámbrico,NA,NA
1207, Maquina De Afeitar Kemei Km-pg103 ,2315,NA,0,10,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/EL+PALACIO_DEL_PELUQUERO,https://articulo.mercadolibre.com.ar/MLA-777978550-maquina-de-afeitar-kemei-km-pg103-_JM,NA,NA,NA,NA,NA,#777978550,Kemei,PG-103,PG-103,NA,NA,NA,NA,NA,NA
1208, Maquina De Rapar Profesional Foil Fx02 Babyliss Shaver ,7690,NA,0,5,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/BARBERFULL+OFICIAL,https://articulo.mercadolibre.com.ar/MLA-782899734-maquina-de-rapar-profesional-foil-fx02-babyliss-shaver-_JM,1,0,0,0,0,#782899734,BaBylissPRO,FOILFX02,Foil,NA,Corriente directa,Giratorios,NA,NA,NA
1209, Philips Oneblade Pro Qp6510/20 Recortá Modelá Y Afeitá ,2299,NA,17,120,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,248,https://perfil.mercadolibre.com.ar/FLADIMAR,https://articulo.mercadolibre.com.ar/MLA-719041789-philips-oneblade-pro-qp651020-recorta-modela-y-afeita-_JM,158,66,18,3,3,#719041789,Philips,QP6510/20,OneBlade,QP6510/20,NA,NA,60 minutos,NA,NA
