search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Tipo,Color
1148, Casco Para Motocicletas Verde Fluor + Envío Gratis ,44.99,NA,0,NA,12,3.749,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CG+IMPORTACIONES,https://articulo.mercadolibre.cl/MLC-473711521-casco-para-motocicletas-verde-fluor-envio-gratis-_JM#position=41&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#473711521,NA,NA,NA,NA,NA,NA,Rebatible,NA
1149, Casco Moto Ls2 Ff390 Breaker Clasic Bco Negro Dorado ,118.75,NA,0,7,6,19.792,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-475821837-casco-moto-ls2-ff390-breaker-clasic-bco-negro-dorado-_JM#position=42&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#475821837,NA,NA,LS2,390,FF390,NA,Rebatible,NA
1150, Casco Moto Alpinestars Supertech M8 Solid (negro) ,449,NA,NA,3,6,74.833,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SOCIEDADCOMERCIALQUEZADAYQU?brandId=222,https://articulo.mercadolibre.cl/MLC-480515266-casco-moto-alpinestars-supertech-m8-solid-negro-_JM#position=43&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#480515266,Negro,"L,XL",Alpinestars,NA,S-M8 SOLID,Cross,NA,NA
1151, Apagado Carretera Casco Motocicleta Y Moto Suciedad Biciclet ,33.286,NA,0,23,12,2.774,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRALEGRECL,https://articulo.mercadolibre.cl/MLC-484701486-apagado-carretera-casco-motocicleta-y-moto-suciedad-biciclet-_JM#position=44&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#484701486,NA,NA,No Brand,NA,others,NA,Cross,NA
1152, Casco A Casco Comunicador Motocicleta Intercom Moto ,11.076,13.845,0,198,12,923,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DODOCOOLCL,https://articulo.mercadolibre.cl/MLC-488262658-casco-a-casco-comunicador-motocicleta-intercom-moto-_JM#position=45&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#488262658,NA,NA,NA,NA,NA,Rebatible,NA,NA
1153, Casco Auriculares Bluetooth Para Motocicleta ,40.639,NA,0,996,12,3.387,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/LOYALMALLCL,https://articulo.mercadolibre.cl/MLC-491866939-casco-auriculares-bluetooth-para-motocicleta-_JM#position=46&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#491866939,NA,NA,NA,NA,NA,NA,Integral,NA
1154, Yescom Full Face Flip Up Casco De Moto Modular Dot Aproba... ,86.861,NA,0,NA,6,14.477,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILE.,https://articulo.mercadolibre.cl/MLC-455496502-yescom-full-face-flip-up-casco-de-moto-modular-dot-aproba-_JM#position=47&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#455496502,NA,NA,NA,NA,NA,NA,Rebatible,NA
1155, Casco Moto Shoei Vfx-evo Zinger Tc2 ,399.99,479.990,NA,8,6,66.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-465069985-casco-moto-shoei-vfx-evo-zinger-tc2-_JM?searchVariation=27019621620#position=48&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#465069985,TC-2,"L,M,S,XL,S,M,L,XL",Shoei,VFX-EVO,VFX-EVO,NA,NA,NA
1156, Motocicleta Carga Neto Casco Malla Bolsa Almacenamiento Orga ,1.112,NA,0,3,12,93,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CARMOTORSPORTSCL,https://articulo.mercadolibre.cl/MLC-469655409-motocicleta-carga-neto-casco-malla-bolsa-almacenamiento-orga-_JM#position=49&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#469655409,NA,NA,NA,NA,NA,NA,NA,NA
1157, Casco De Moto Modular Bell Revolver Evo (rally Matte Black / ,278.002,NA,0,100,6,46.334,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-473952314-casco-de-moto-modular-bell-revolver-evo-rally-matte-black--_JM#position=50&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#473952314,NA,NA,Bell,NA,Revolver Evo,Rebatible,NA,Mate
1158, Casco Modular De Motocicleta De Cara Completa Aprobado Por E ,153.6,NA,0,100,6,25.600,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-474542820-casco-modular-de-motocicleta-de-cara-completa-aprobado-por-e-_JM#position=51&type=item&tracking_id=8319ae9a-24f0-462c-bdd2-ec8bd27d22cb,NA,NA,NA,NA,NA,#474542820,NA,NA,NA,NA,NA,Integral,NA,Blanco
