search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Tipo de fechamento,Certificados de segurança,Usos recomendados,Posições da ventilação
404, Capacete Moto Peels Mirage Techride Preto Chumbo Fosco ,399,NA,9,120,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/RS1+OFICIAL?brandId=36,https://produto.mercadolivre.com.br/MLB-1235798825-capacete-moto-fechado-feminino-axxis-eagle-lady-katrina-roxo-_JM#position=33&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,NA,NA,NA,NA,NA,#1235798825,"55/56-(P/S),61/62-(GG/XL),57/58-(M/M),59/60-(G/L),53/54-(PP/XS)",,MT,Eagle,Lady Catrina,Integral,Simple,NA,ABS,Adultos,NA,NA,NA,NA
405, Capacete Moto Tork Modelo R8 + Viseira Dourada + Touca Ninja ,284,NA,13,246,12x,23.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/DISTRIMIX77,https://produto.mercadolivre.com.br/MLB-1176836998-capacete-moto-peels-mirage-techride-preto-chumbo-fosco-_JM#position=34&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1,0,0,0,0,#1176836998,Preto Chumbo Fosco,"56,58,60",Peels,Mirage,Techride,Integral,Duplo,Revestimento interno em tecido antialérgico removível e lavável,ABS,Adultos,NA,NA,NA,NA
406, Capacete Pro Tork R8 Moto Motoqueiro Motoboy Motociclista ,119,NA,83,261,12x,11.47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-1113165577-capacete-moto-tork-modelo-r8-viseira-dourada-touca-ninja-_JM#position=35&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1497,422,189,70,71,#1113165577,"Amarelo,Azul-claro,Azul-escuro,Laranja,Preto,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacete,R8,Integral,Simple,Poliestireno,ABS,NA,Micrométrico,Inmetro,Urbano,Superior
407, 2 Capacete Pro Tork Sm Sport Moto 788 Automático Oferta ,112,NA,40,15,12x,10.79,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/CMC+RIDERS,https://produto.mercadolivre.com.br/MLB-1130356892-capacete-pro-tork-r8-moto-motoqueiro-motoboy-motociclista-_JM#position=36&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1497,422,189,70,71,#1130356892,Rosa,"56,58,60",Pro Tork,CAPACETE,R8,Fechado,Simple,NA,NA,NA,Micrométrico,Inmetro,Urbano,Superior
408, Capacete Moto Peels Mirage Preto Brilho Com Óculos Interno ,142,NA,17,1998,12x,11.91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,822,https://perfil.mercadolivre.com.br/JULLIANADECASTROSOUZACASTRO,https://produto.mercadolivre.com.br/MLB-1180144914-2-capacete-pro-tork-sm-sport-moto-788-automatico-oferta-_JM#position=37&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,495,193,90,24,20,#1180144914,Branco,"56,58,60",Pro Tork,NA,Sport Moto 788,Integral,Simple,Poliestireno,Policarbonato,Adultos,NA,NA,NA,NA
409, Capacete Moto Fechado Ebf E0x War Pfo Chu N Peels Pro Tork ,189,NA,21,4,12x,15.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,3,https://perfil.mercadolivre.com.br/LEOMOTOPARTS,https://produto.mercadolivre.com.br/MLB-1107206786-capacete-moto-fechado-ebf-e0x-war-pfo-chu-n-peels-pro-tork-_JM#position=38&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1,0,2,0,0,#1107206786,Preto e chumbo,"58,60",Peels,E ZERO X,War,Integral,Simple,ABS,ABS,Adultos,NA,NA,NA,NA
410, Capacete Moto Pro Tork Transfer Grafismos Diferenciados ,128,NA,43,75,12x,12.33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,338,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-895039720-capacete-moto-pro-tork-transfer-grafismos-diferenciados-_JM#position=39&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,262,52,14,3,7,#895039720,Las Preto,"56,58,60",Pro Tork,Evolution G4,Las Vegas,Integral,Simple,NA,ABS,Adultos,NA,NA,NA,NA
411, Capacete Sport Moto 788 Automatico Branco Modelo San Marino ,109,NA,74,32,12x,9.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,822,https://perfil.mercadolivre.com.br/SPEEDMOTOPARTS,https://produto.mercadolivre.com.br/MLB-824597081-capacete-sport-moto-788-automatico-branco-modelo-san-marino-_JM#position=40&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,495,193,90,24,20,#824597081,"58 cm,56 cm,60 cm",NA,Pro Tork,SM,788,Integral,NA,NA,NA,NA,NA,NA,NA,NA
412, Capacete Moto Infantil Viseira Dourada New Liberty Marrom ,119,NA,32,568,12x,11.37,NA,Envio para todo o país,NA,NA,4.6,807,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-1114697055-capacete-moto-infantil-viseira-dourada-new-liberty-marrom-_JM#position=41&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,588,150,52,6,11,#1114697055,Marrom,54,Pro Tork,New Liberty,New Liberty 4 Kids,Integral,Simple,EPS,ABS,Crianças,NA,NA,NA,NA
413, Capacete Moto Zeus 380h Preto ,299,NA,15,6,12x,24.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/LEOMOTOPARTS,https://produto.mercadolivre.com.br/MLB-996494311-capacete-moto-zeus-380h-preto-_JM#position=42&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,4,0,0,0,0,#996494311,Preto,55-56,Zeus,380h,380H,Aberto,NA,ABS,ABS,Adultos,NA,NA,NA,NA
414, Capacete X11 Revo Moto Motoqueiro Motociclista Motoboy Fecha ,449,NA,31,487,12x,37.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,58,https://perfil.mercadolivre.com.br/CMC+RIDERS,https://produto.mercadolivre.com.br/MLB-719891127-capacete-x11-revo-moto-motoqueiro-motociclista-motoboy-fecha-_JM#position=43&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,41,11,5,1,0,#719891127,Cinza,"56,58,60,62,64",X11,CAPACETE,Revo,NA,NA,NA,NA,NA,NA,NA,NA,NA
415, Capacete Bell Moto-9 Tracker Black ,699,NA,4,30,12x,58.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STARRACER+OUTLET,https://produto.mercadolivre.com.br/MLB-1199329625-capacete-bell-moto-9-tracker-black-_JM#position=44&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,NA,NA,NA,NA,NA,#1199329625,Tracker Black,"56,59,61",Bell,NA,Moto-9,Cross,NA,NA,NA,NA,NA,NA,NA,NA
416, Capacete Moto Sm Automatico Marino Pro Tork Motoboy ,57,NA,31,10,10x,6.59,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1584,https://perfil.mercadolivre.com.br/LUMASHOPMIX,https://produto.mercadolivre.com.br/MLB-1195299596-capacete-moto-sm-automatico-marino-pro-tork-motoboy-_JM#position=45&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,982,347,149,57,49,#1195299596,"Amarelo,Azul,Branco,Preto florido,Preto-brilhante,Preto-fosco,Preto/Branco,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,NA,Sport Moto,Integral,Simple,NA,NA,Adultos,NA,NA,NA,NA
417, Capacete Moto Fechado R8 Viseira Fumê Pro Tork Rosa ,120,NA,54,1771,12x,11.47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-1060819271-capacete-moto-fechado-r8-viseira-fum-pro-tork-rosa-_JM#position=46&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1497,422,189,70,71,#1060819271,"Rosa,Amarelo,Azul,Azul-claro,Cinza,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,R8,R8,Integral,NA,NA,ABS,NA,NA,NA,NA,NA
418, Capacete De Moto Mixs Mx2 Carbon X Fosco - Linha 2019 ,154,NA,59,5,12x,12.91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,18,https://perfil.mercadolivre.com.br/POLOBRISA,https://produto.mercadolivre.com.br/MLB-1150830904-capacete-de-moto-mixs-mx2-carbon-x-fosco-linha-2019-_JM#position=47&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,13,4,1,0,0,#1150830904,,"56,58,60",Mixs,Capacete,Carbon-X,Integral,Simple,Poliestireno,ABS,Adultos,NA,NA,NA,NA
419, Capacete Moto Fechado Pro Tork 788 G6 Speed + Viseira Fumê ,179,NA,34,2120,12x,14.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-1094597516-capacete-moto-fechado-pro-tork-788-g6-speed-viseira-fum-_JM#position=48&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1,1,0,0,0,#1094597516,Amarelo,"56,58,60",Pro Tork,UniSsex,788 G6 SPEED,Integral,Simple,"ISOPOR, FORRO",ABS,Adultos,NA,NA,NA,NA
420, Suporte Flip Up Snap Viseira Bubble Bolha 3 Botões Incolor ,54,NA,105,21,10x,6.24,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3,8,https://perfil.mercadolivre.com.br/ELIZCHIUSOLI,https://produto.mercadolivre.com.br/MLB-1056726176-suporte-flip-up-snap-viseira-bubble-bolha-3-botoes-incolor-_JM#position=49&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,0,4,1,2,1,#1056726176,Incolor,NA,"Jomel - Moto - cafe racer, brat style, scrambler, custom, bobber, chopper,harley","Indicada para projetos de customização cafe racer, brat style, scrambler, custom, bobber, chopper",3 Botões  Bolha Retro Custom Harley,Aberto,Simple,NA,NA,Adultos,NA,NA,NA,NA
421, Capacete Moto Fechado Pro Tork R8 Integral Viseira Iridium ,125,NA,62,23938,12x,10.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/ON+MOTOPARTS,https://produto.mercadolivre.com.br/MLB-1137373581-capacete-moto-fechado-pro-tork-r8-integral-viseira-iridium-_JM#position=50&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1497,422,189,70,71,#1137373581,"Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,New Four,R8,Integral,Simple,EPS,ABS,Adultos,NA,NA,NA,NA
422, Capacete Motociclista Helt New Race Dazzi Amarelo/verde Moto ,298,NA,73,12,12x,24.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,516,https://perfil.mercadolivre.com.br/MOTOARTPE%C3%87AS,https://produto.mercadolivre.com.br/MLB-1099656648-capacete-motociclista-helt-new-race-dazzi-amareloverde-moto-_JM#position=51&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,410,75,25,4,2,#1099656648,Preto - Verde,"56,60,61",Helt,Fechado,Helt 967 New Race Dazzi,Integral,Simple,Poliestireno,ABS,Adultos,Micrométrico,NBR 7471,Urbano,Superior
423, Capacete Moto Infantil Protork New Liberty Kids Criança 54 ,142,NA,46,459,12x,11.91,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,807,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-1147314112-capacete-moto-infantil-protork-new-liberty-kids-crianca-54-_JM#position=52&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,588,150,52,6,11,#1147314112,Marrom,54,Pro Tork,Kids,NEW LIBERTY,Integral,NA,NA,NA,NA,NA,NA,NA,NA
424, Capacete Esportivo Moto Mixs Fokker Storm Azul Preto Fosco ,128,NA,15,5,12x,10.74,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/JADE+MOTOPE%C3%87AS,https://produto.mercadolivre.com.br/MLB-1199372821-capacete-esportivo-moto-mixs-fokker-storm-azul-preto-fosco-_JM#position=53&type=item&tracking_id=5c08ddf9-051d-494f-9292-afdfffa445bb,1,0,0,0,0,#1199372821,"56,58,60,62",,Mixs,Fokker,Mixs Fokker Storn,Fechado,Simple,Resina termoplástica,ABS,Adultos,NA,NA,NA,NA
425, Capacete Moto Fechado Pro Tork R8 Cores ,63,NA,946,9820,12x,5.30,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,1559,https://perfil.mercadolivre.com.br/SPORTRACER,https://produto.mercadolivre.com.br/MLB-914724914-capacete-moto-fechado-pro-tork-r8-cores-_JM#position=1&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,1044,323,140,31,21,#914724914,VARIAS,56-58-60,Pro Tork,New 4 Four,New Liberty 4,Integral,NA,NA,ABS,NA,NA,NA,NA,NA
426, Kit 1 Capacete Sm Pro Tork Mais 1 Capa De Chuva Delta Flex ,119,NA,25,516,12x,10.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,822,https://perfil.mercadolivre.com.br/FGOLDSHOP,https://produto.mercadolivre.com.br/MLB-1144519615-kit-1-capacete-sm-pro-tork-mais-1-capa-de-chuva-delta-flex-_JM#position=2&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,495,193,90,24,20,#1144519615,"Preto-fosco,Amarelo,Azul,Branco,Prata,Preto,Preto-fosco,Preto/Cinza,Preto/Rosa,Preto/Verde,Preto/Vermelho,Rosa,Vermelho","56,58,60",Pro Tork,sm 788,Sport Moto,Integral,NA,NA,NA,NA,NA,NA,NA,NA
427, Fivela Presilha Engate Rápido Capacete Universal ,14,NA,30,52,2x,7.81,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SHOP+RPCONLINE,https://produto.mercadolivre.com.br/MLB-1170058463-fivela-presilha-engate-rapido-capacete-universal-_JM#position=3&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,NA,NA,NA,NA,NA,#1170058463,NA,NA,Riding Tribe,Acessorios motos,engate rapido,Todos o Capacetes,Duplo,NA,ABS,Adultos,NA,NA,NA,NA
428, Capacete Moto Peels Mirage Storm C Oculos Vermelh N Ebf Tork ,284,NA,24,7,12x,23.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,597,https://perfil.mercadolivre.com.br/LEOMOTOPARTS,https://produto.mercadolivre.com.br/MLB-1101637432-capacete-moto-peels-mirage-storm-c-oculos-vermelh-n-ebf-tork-_JM#position=4&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,461,93,33,5,5,#1101637432,Preto-fosco/Vermelho,"L - 60,M - 58",Peels,Storm,Mirage,Integral,Simple,ABS,ABS,Adultos,NA,NA,NA,NA
429, Capacete Aberto New Liberty 3 Moto Original Imperdível ,60,NA,27,298,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1052,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1168352172-capacete-aberto-new-liberty-3-moto-original-imperdivel-_JM#position=5&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,750,206,70,14,12,#1168352172,,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto com Viseira,NA,Termoplástico injectado,Policarbonato,NA,NA,NA,Urbano,NA
430, Capacete Moto Feminino Mixs Fokker Racing Girls 2 Preto Rosa ,152,NA,35,18,12x,14.61,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,212,https://perfil.mercadolivre.com.br/DRAGON+RACING,https://produto.mercadolivre.com.br/MLB-793273287-capacete-moto-feminino-mixs-fokker-racing-girls-2-preto-rosa-_JM#position=6&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,160,32,16,2,2,#793273287,Preto,"56,58,60",Mixs,Fokker,Racing Girls,Integral,Cristal,Resina termoplástica,ABS,Adultos,Micrométrico,Inmetro,Urbana,Inferior/Superior
431, Capacete Moto Cross Trilha Pro Tork Liberty Mx + Oculos !!! ,162,NA,141,167,12x,15.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,578,https://perfil.mercadolivre.com.br/EMPORIUM+LIVRE,https://produto.mercadolivre.com.br/MLB-1017104177-capacete-moto-cross-trilha-pro-tork-liberty-mx-oculos--_JM#position=7&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,421,90,45,11,11,#1017104177,Preto,"58,60",Pro Tork,MX PRO,Libety Mx Cross,Cross,NA,NA,ABS,Adultos,NA,NA,NA,NA
432, Capacete Moto Peels Spike Storm Preto Vermelho ,199,NA,NA,1,12x,16.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,95,https://perfil.mercadolivre.com.br/MOTOLOPES.COM.BR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=6t83zvbqVbVR7BLBMJXNYsnFDw7gHrtUjoZUcj6TcBhXFnCib2hgK1B%2BlRs5ySqj0RENL1ZsZwXv8%2BHRcW0RzoWZUqp%2F7CZUXrRxh2L%2FAZfygZqPRc1pmfMbiupOmN%2B%2B8Tw%2BLTnfQjCh9KRwzG1EHNuGg%2F0G7w77Ag7FX84lawrvegumCpj%2F4gSM%2BVMM61br024JYryiH5tpe%2FbvxFA%2BaeFpQ9RuMF%2F65xzrN%2FH98SjcH8iLroxvqkLpdOTb4buSD4SlUM%2BY9asQKp0t5dJNZ0T6ADPqV8VCuMSagAJ6OJLHhjklGTQsUMwToVNHNlTELiRnptP65n%2FEtu0Iu3CqXncVj6o7gHLO%2FMZpI7HpVli94%2B7crPY9FvfCYpOwKhULTLXATfN9%2Fy2dOqZlbR7EUNEoDx6dxL%2BDfehxKDQCH9uzR8CllV9%2FpBI%2BzF47G%2BfE6D3rLLon4Vqm%2B%2F3qgLtVGzQG%2BhbXRLW%2FXlhllqfraS96osLF4WDi%2FPyeV6K2bvHS8V4b%2By6j5sBmLHl730bWXw9aSV1KebOT9X1giz8zOrk5eg3mpu33MPeflqkjP7o55ZwEp2qRmTlhb0Ux%2BbZYc6nlwe201LvUE3WbqP68T6SNRgmHlq9gB8UN1pkjTvvnLAbCRMwm0WhieFlW2QuKWkfgYMQuTNdjbMZjssGztCcph%2BMukbQRvRgVr%2BM%2FwF4sTgTjDDnLbZW3b6rKLEseUEAMEeW%2FjOiYNjpRSj9x4zNSVTgJargh1BiCjFVoTCgnyPT8AQaIghd1UL%2BYXpeMlaPk01wknDyij8xqK3SA8qkPyJwTxQgz8AOvWfpuhu2F0wYLUOObifMU8cyG0L668wvbNzkl%2F4j3x4TzQnyQZ8yZZS7zpqMsJU8UiUOrObiOcyBlNSg9kJp5cBpOewrY2XyUTApuckvU%2BAnLsMZQtxiV8I32yE1AYSfyqygbfUlGi1gSYblMX%2FRP8Jh%2Bi5TY1lR8eou6rtKfL273%2BMYz9XITvpGbsqeDLqAbOscC5uoHtePXsPqklromjbjXltsUHTF1ZSeTg690CqOhC9pOKgToChz6%2BqMfTTGCYzNa%2Bbu1NgC6MSOZk67WJ0uWDuNU%2BB4SDt7sfU7P1%2FnOlxowW1IVNzhwC%2B4v%2FO1bBaJ3YztSWmJEEpO0TOsOyco1qJWwWJA1t5Mha%2Bnsfrau4pCPd2wbrcblaS5gwlOQceb5ADKmU6VfT1wR%2FQiXaBnhMJ38e1taLxftNiASY0sdZCjdEgeGa4m3k9aUt5GPSzZ4Gu9VgsYT18afOZ63TndGXjsWT4%2FIwNcUtyG8I%2Bv94%2FhEVRyhP8eNTIvUB763VCPWn%2FIwNcGMDAdQJuRX%2B1nwrKbRCz9z83QGvv0H%2BU7%2F2ro6w7b9265CwnYHGge52Uzk0BF3%2BpiONM8L8pYmRSHewdxLzaju5MfLp%2FmJZYXM6PNrrunBVclrZ4kx6b86vpwtwrdMkhotG%2Btpisuun%2FIAu5L4R6vLs6rqRwdHxG2Hlz%2FIW1osFel2J4l0gldX5CVXXGa2MODo%2BKTTNXc1OCgzJ8ZxJHkWsLcRLllXG5y6%2FuuLzv%2FACOVV5i6S2F9ZienjMT%2FxR%2BDkgkJFjJJpMLKP36UBl1%2FK9cNKCUQD2JlVOx3RqQ3ucBzAjmsn0MknZGwRZoyexHcB5zAOMMKhHRYVcftuaeb%2FajXXDH23itufTnAw8rC9VbNtEgI2pxUikY7x8VnuAr2I%2Bf49ppuwSaP2%2BxFdlkzP8wnwnVUh%2Ftikxvxi8v2wPpnRctHyO8za7zzXV4G92jypW3d5Xou3bZyK9IH3jWW%2BPCiTveC%2BJ3P6qminszEUl190RYKDTU6YT%2BkO8pMU93JwGPq9%2FCTrLWgepWuzYF57hWj%2BYFApK1JtF38K60oiC6aRmyGo%2FlvvDmXVUKa8Q%2FoDL3XchvqsNO56bdzsVcHwtMaijHZ85Fh4GbDrACD7zACQsdt9mR967alZIMrNrbgh2PfyR%2BF7wc9iMXSVRedGS1NcZ5CfOKOlP6B%2FRvrTVGzFmqaIlg%3D%3D,73,16,3,2,1,#1273583325,Preto,58,Peels,Spike,Spike Veloce,Integral,Simple,Poliestireno,ABS,Adultos,NA,NA,NA,NA
433, Capacete Peels Icon Óculos Interno Moto Mais Luva X11 Fit X ,369,NA,14,396,12x,30.83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,66,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1118103406-capacete-peels-icon-oculos-interno-moto-mais-luva-x11-fit-x-_JM#position=9&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,55,10,0,0,1,#1118103406,Preto/Vermelho,"56,58,60,62",Peels,Icon,Dash,Integral,Duplo,ESPUMA,ABS,Adultos,NA,NA,NA,NA
434, Capacete Moto Ebf New Spark Flash Pfo Pra N Peels Pro Tork ,148,NA,14,9,12x,12.41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5,1,https://perfil.mercadolivre.com.br/LEOMOTOPARTS,https://produto.mercadolivre.com.br/MLB-1175010033-capacete-moto-ebf-new-spark-flash-pfo-pra-n-peels-pro-tork-_JM#position=10&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,1,0,0,0,0,#1175010033,Preto e prata,"L - 59/60,M - 57/58",Peels,New Spark,Flash,Integral,Simple,ABS,ABS,Adultos,NA,NA,NA,NA
435, Capacete De Moto Pro Tork R8 Fechado Viseira Camaleão+brinde ,120,NA,15,297,12x,10.00,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2249,https://perfil.mercadolivre.com.br/AD-STORE,https://produto.mercadolivre.com.br/MLB-1232043493-capacete-de-moto-pro-tork-r8-fechado-viseira-camaleobrinde-_JM#position=11&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,1497,422,189,70,71,#1232043493,"Cinza,Amarelo,Azul,Azul-claro,Cinza,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,NA,R8,Integral,Simple,Forro Anti-Alérgico,Abs Injetado,Adultos,Micrométrico,Inmetro,Urbano,Superior
436, Capacete Sm 788 Moto Automatico Marino Pro Tork Motoboy ,60,NA,20,1996,12x,5.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,822,https://perfil.mercadolivre.com.br/JULLIANADECASTROSOUZACASTRO,https://produto.mercadolivre.com.br/MLB-1187253020-capacete-sm-788-moto-automatico-marino-pro-tork-motoboy-_JM#position=12&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,495,193,90,24,20,#1187253020,Verde,"56,58,60",Pro Tork,NA,SM Sport Moto 788,Integral,Simple,Poliestireno,Policarbonato,Adultos,NA,NA,NA,NA
437, Capacete Protork Sport Moto Sm788 2unidades Frete Gratis ,143,NA,48,741,12x,11.99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1584,https://perfil.mercadolivre.com.br/JULLIANADECASTROSOUZACASTRO,https://produto.mercadolivre.com.br/MLB-1117530704-capacete-protork-sport-moto-sm788-2unidades-frete-gratis-_JM#position=13&type=item&tracking_id=182f1d3b-f40d-4d5c-9c11-4fe52bda6da6,982,347,149,57,49,#1117530704,,"56,58,60",Pro Tork,Capacete,Sport Motos,Integral,Simple,Poliestireno,Polipropileno,Adultos,NA,NA,NA,NA
