search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Tipo de casco,Línea
451, Casco Certificado Para Moto De Iron Man Negro ,499,NA,0,2,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435274890-casco-certificado-para-moto-de-iron-man-negro-_JM#position=3&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435274890,NA,NA,NA,NA
452, Casco De Moto Mt Negro Brillo Polarizado Alamo Certificado ,160,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BUENASRUTASPERU1,https://articulo.mercadolibre.com.pe/MPE-435277071-casco-de-moto-mt-negro-brillo-polarizado-alamo-certificado-_JM#position=4&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435277071,NA,NA,NA,NA
453, Intercomunicador Para Casco De Motocicleta ,1748,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435572792-intercomunicador-para-casco-de-motocicleta-_JM#position=5&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435572792,LEXIN ELECTRONICS DESIGN FOR BIKE,NA,NA,NA
454, Agv 01017520 K3 Sv Casco De Moto Simoncelli Xxlarge ,1750,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435575194-agv-01017520-k3-sv-casco-de-moto-simoncelli-xxlarge-_JM#position=6&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435575194,AGV,K-3 SV,NA,K-3 SV
455, Veetop Bluetooth Casco De La Motocicleta Auriculares Inte ,599,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435572826-veetop-bluetooth-casco-de-la-motocicleta-auriculares-inte-_JM#position=7&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435572826,Veetop,NA,NA,NA
456, Crg Sports Atv Motocross Scooter De Motocicleta Casco De ,808,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435901929-crg-sports-atv-motocross-scooter-de-motocicleta-casco-de-_JM#position=8&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435901929,CRG Sports,NA,NA,NA
457, Freedconn Fdcvb Casco De Moto Bluetooth Auriculares De Co ,498,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435572839-freedconn-fdcvb-casco-de-moto-bluetooth-auriculares-de-co-_JM#position=9&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435572839,FreedConn,NA,NA,NA
458, Meetou Harley Bmw Casco De Motocicleta Auriculares Blueto ,264,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435572814-meetou-harley-bmw-casco-de-motocicleta-auriculares-blueto-_JM#position=10&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435572814,Meetou,NA,NA,NA
459, Raider 2661715 Medio Casco De Moto De Lujo Con Visor Plan ,336,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435575096-raider-2661715-medio-casco-de-moto-de-lujo-con-visor-plan-_JM#position=11&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435575096,Raider,NA,NA,NA
460, Ids 2 Pc Casco De La Motocicleta Cuerda De Equipaje Bunge ,163,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435670440-ids-2-pc-casco-de-la-motocicleta-cuerda-de-equipaje-bunge-_JM#position=12&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#435670440,IDS,NA,NA,NA
461, Agv Casco De Moto Unisex Para Adulto Full Face K-3 Sv Ros ,1810,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-437092682-agv-casco-de-moto-unisex-para-adulto-full-face-k-3-sv-ros-_JM#position=13&type=item&tracking_id=c25b9a41-a54e-4392-8de4-08e286394dc4,NA,NA,NA,NA,NA,#437092682,AGV,Elements,NA,K-3 SV
