search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
34, Afeitadora Eléctrica Femenina Cejas Bikini Axila 5cabezales ,22,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LIJOV_EIRL,https://articulo.mercadolibre.com.pe/MPE-433392284-afeitadora-electrica-femenina-cejas-bikini-axila-5cabezales-_JM,NA,NA,NA,NA,NA,#433392284,NA
35, Afeitadora Electrica Inalambrico Depilador Seco Y Humedo ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JHOUNETHAQUISE,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=gIUH4CGDp1PO7JLoAyCLCwB2BGeUJwmADTLUXkE9QHoGePqhCcn%2BLDBt1t8w7CtFF3UcRVc43StQySHbVGtb4NdcJ393%2FPpvJe%2Ba8UiNnt84cdiE6yyj68kw8GJ%2BtIgnqjyZqX2fhpXaXRdalkGjgu%2BpLvPRuIpyIc22dXPrIEfFQEeh6MnNfgd%2B8c1m%2FbcJlcye4WajP0Z8miTF1MwXkbwQYXvn9tjV6faXX7P6Mdee8XgztNZlXYAo%2FPT4tYlkIGm6FOivNXKHnsUxpegyB4w9FQbAiQgxGUfJ5n9ls9TfWdFo30UzD3tn87QPNwg39YLPFvFJnBZTULav828QxycdYKfTkcEH%2FOqG1YZYb21J2csp7uaXYd%2FOpfrQX49Z8B3VF7PKHjxSM%2FxIQOT%2BJ3dcSZjTuUOAgIF%2FUjwFgLXhrhd79VzfpBUz9eX708N%2BRNOgevRE36ujy2%2BhKcS30jF0%2B1odI8zxb%2BJDZiMNN94ZfgYvL%2B7legwwpC5YLBtkIphUIsJlkOuTWxlLSLd0o4rV%2BOUT5obs0PFYrrS3fL4ILv9mxbE2Rtk7LVaZPfosBbtNyTYJtB3ITauwinrpya9PYANf8I43CnaMR%2FLmUnJJbTOHfLuNQdTX7QuVL6q2ABlWWgV4GnnqW9qKRX58Vfu9AsKabc9uureJlNrkgNwHBObW3WivPkZGhRFk0p%2BxxWUfLEvu6zLWpIWCWIUDUOKOu5OfpayAFJC3vN2Mr2Vsqqw93v5hw3U3sfGDd2iOBeANr2guJ90i6s0aZnNvJb%2Bp1h4EWQwO7f1vlkDm2ExxLokrFuxBFwD2o9EGaqR7UXD46WhT8ggc4ll%2FkeCP%2B03ynHWfBb9ByMdnbypzCVBWzkbmTrG6x%2FCl%2FZP67fQMTd93yt99no9bQspYEd1MY%2FAKjrSJ3GL%2BBUFuR8CWA4%2FN3zffFnmvuZsGXxbb%2BNwlxy5ewahqH4mjayeHoiWr6QpCXUp55DHMsNcQieFO8%2BbyflcAf9acukAcvsk5G%2BD3z306D3lUov5OmeYlkorXlG3FO4MDgxiv1CfiFhPS8cK%2F6pg%2FFB%2FjrWxDNs7%2BpreYBXHTaDxjtIdLEA2okYjHs3S%2BINnpkLlKBodBx3FiCmcM5jtfyy%2FLHRMedQvc5ow%2BGYrDvyJEBV9l4U%2FfyM17jImDUVPrGw3hYLsn2ljdZS92aVyPAa3ZPCuqL7T26zXVuq%2Fk5iGteK6FTmX14qwaNBAM8sAQBSWnGp6yUKMtkmecgKg%2BhWDYhT9eFWmH4pZve1fttLqE4f1eoyRGYkfZiAQM0Pdv5j6JhutHGGwGv4iv8qT4ZSQ1AwEzLrpZOfCoz4LT%2FFJVcj2mdBA6T9Cu5nmRU5xT9uVRrlLk2ZYl0B8zyOfqmFis5RZEKedTPbmTxVM3aKbVML5t51tH6Y6yrPnTvGq3zlXickMNMD%2F50au3ApNYwb4iWmrFnnJypgebq%2FUn7gUDPS7dymuGDfK3Xqm36PRVFQHT2s1M9Q38JT64kUj0u2kechRPVqD4BzVOpET%2Bwppp0g4WGiqmXLqmc28k7KTbhC0EQQ46n6OhTTO4sz%2BMKdOXUVHo8qlCRKumDEU%3D,NA,NA,NA,NA,NA,#432113271,NA
36, Corta Pelo Electrico Maquina Afeitador Cabello Rasurador ,39,NA,"
			
				Nuevo
			
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSRA6692680,https://articulo.mercadolibre.com.pe/MPE-436432469-corta-pelo-electrico-maquina-afeitador-cabello-rasurador-_JM,NA,NA,NA,NA,NA,#436432469,GN
37, Afeitador Electrico Gs Philips Shaver Flex&float P96 ,150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBUY+STORE,https://articulo.mercadolibre.com.pe/MPE-432412743-afeitador-electrico-gs-philips-shaver-flexfloat-p96-_JM,NA,NA,NA,NA,NA,#432412743,NA
38, Corta Pelo Eléctrico Afeitador Cabello Maquina Rasurador ,39,NA,"
			
				Nuevo
			
			
		",(90 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LATINO.PE,https://articulo.mercadolibre.com.pe/MPE-436919204-corta-pelo-electrico-afeitador-cabello-maquina-rasurador-_JM,NA,NA,NA,NA,NA,#436919204,NA
39, Philips - Afeitadora Eléctrica Shaver Serie 7000 S7310/12 ,597,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOMAXPERUCOM,https://articulo.mercadolibre.com.pe/MPE-436824414-philips-afeitadora-electrica-shaver-serie-7000-s731012-_JM,NA,NA,NA,NA,NA,#436824414,Philips
40, Afeitadora Electrica Inalambrico Depilador Seco Y Humedo ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(97 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JHOUNETHAQUISE,https://articulo.mercadolibre.com.pe/MPE-432113271-afeitadora-electrica-inalambrico-depilador-seco-y-humedo-_JM,NA,NA,NA,NA,NA,#432113271,NA
41, Peinetas Guía Eléctrico Clipper Cabello Peluquería Afeitador ,50,NA,"
			
				Nuevo
			
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JESUS_SANCHEZ_G,https://articulo.mercadolibre.com.pe/MPE-433255361-peinetas-guia-electrico-clipper-cabello-peluqueria-afeitador-_JM,NA,NA,NA,NA,NA,#433255361,NA
42, Afeitador Electrico Philips Gs Sistema Aquatouch Ps20 ,305,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBUY+STORE,https://articulo.mercadolibre.com.pe/MPE-432335858-afeitador-electrico-philips-gs-sistema-aquatouch-ps20-_JM,NA,NA,NA,NA,NA,#432335858,NA
43, Profesional Afeitadora Eléctrica Barba Cortadores De Nari ,314,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435794057-profesional-afeitadora-electrica-barba-cortadores-de-nari-_JM,NA,NA,NA,NA,NA,#435794057,Wangmeili
44, Kemei 4 En 1 Rasuradora Eléctrica Recargable ,110,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/J5R,https://articulo.mercadolibre.com.pe/MPE-437131531-kemei-4-en-1-rasuradora-electrica-recargable-_JM,NA,NA,NA,NA,NA,#437131531,NA
45," Afeitador Electrico Philips Aquatech 7310 Seco,humedo ",550,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBUY+STORE,https://articulo.mercadolibre.com.pe/MPE-432311115-afeitador-electrico-philips-aquatech-7310-secohumedo-_JM,NA,NA,NA,NA,NA,#432311115,NA
46, Sonic Afeitado Usb Afeitadora Eléctrica ,229,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435809779-sonic-afeitado-usb-afeitadora-electrica-_JM,NA,NA,NA,NA,NA,#435809779,Pure Acoustics
47, Afeitador Electrica Portatil Pailipu Pq-206 Rasurada Barber ,25,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALEXSANDER+LLANCO,https://articulo.mercadolibre.com.pe/MPE-437029745-afeitador-electrica-portatil-pailipu-pq-206-rasurada-barber-_JM,NA,NA,NA,NA,NA,#437029745,NA
48, La Maquinilla De Afeitar Eléctrica Runwe Máquina De Afeit ,197,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724288-la-maquinilla-de-afeitar-electrica-runwe-maquina-de-afeit-_JM,NA,NA,NA,NA,NA,#435724288,Runwe
49," Afeitadora Eléctrica De Panasonic Arc5, Hombres De 5 Pala ",772,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433375380-afeitadora-electrica-de-panasonic-arc5-hombres-de-5-pala-_JM,NA,NA,NA,NA,NA,#433375380,Panasonic
50," Suprent Hoja Eléctrica 4-lámina Afeitadora, Rasuradora El ",272,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-434224818-suprent-hoja-electrica-4-lamina-afeitadora-rasuradora-el-_JM,NA,NA,NA,NA,NA,#434224818,SUPRENT
51, Depilador Rasurador Vello Facial Led Femenino Electrico ,23,NA,"
			
				Nuevo
			
			
		",(234 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VMC+SOLUCIONES,https://articulo.mercadolibre.com.pe/MPE-436860695-depilador-rasurador-vello-facial-led-femenino-electrico-_JM,NA,NA,NA,NA,NA,#436860695,NA
52, Mylifeunit Sostenedor Eléctrico De La Maquinilla De Afeit ,199,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724853-mylifeunit-sostenedor-electrico-de-la-maquinilla-de-afeit-_JM,NA,NA,NA,NA,NA,#435724853,MyLifeUNIT
