search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Color,Marca,Modelo,Material
338, Funda iPhone 5/5s/se/6/6plus/7/7plus/8/8plus Camuflado Case ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				40
				vendidos
			
		",(40 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MERKA.G,https://articulo.mercadolibre.com.pe/MPE-430492292-funda-iphone-55sse66plus77plus88plus-camuflado-case-_JM#position=38&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#430492292,Apple,NA,NA,NA,NA
339, Funda Case Bumper Aluminio Espejo iPhone Se 5s 6s 7 8 Plus ,35,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DASTOREPERUCASE,https://articulo.mercadolibre.com.pe/MPE-421213280-funda-case-bumper-aluminio-espejo-iphone-se-5s-6s-7-8-plus-_JM#position=39&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#421213280,Apple,NA,NA,NA,Aluminio
340, Funda Case Protector Aluminio iPhone 8/plus/x Anti Shock ,119,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-429823420-funda-case-protector-aluminio-iphone-8plusx-anti-shock-_JM#position=40&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#429823420,Apple,NA,NA,NA,Aluminio
341, Case Protector Funda iPhone 7 8 ,18,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MIGUELCALP,https://articulo.mercadolibre.com.pe/MPE-429639037-case-protector-funda-iphone-7-8-_JM#position=41&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#429639037,Apple,NA,NA,NA,NA
342, Funda Case Tipo Cuero Para iPhone 7 8 Nillkin Con Pie Apoyo ,50,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,https://articulo.mercadolibre.com.pe/MPE-433666051-funda-case-tipo-cuero-para-iphone-7-8-nillkin-con-pie-apoyo-_JM#position=42&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#433666051,Apple,NA,Nillkin,NA,NA
343, Funda Case De Silicona Para iPhone 7 Plus-8 Plus ,20,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DISTRIBUIDORA+BELEN,https://articulo.mercadolibre.com.pe/MPE-431128633-funda-case-de-silicona-para-iphone-7-plus-8-plus-_JM#position=43&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#431128633,Apple,NA,NA,NA,NA
344, Funda Case Silicona iPhone 8 ,15,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,https://articulo.mercadolibre.com.pe/MPE-432512852-funda-case-silicona-iphone-8-_JM#position=44&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#432512852,Apple,Brillante,NA,NA,Silicona
345, Apple iPhone Skins Case Sticker Protector - 6 7 8 S X Xr Xs ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITALPARDO,https://articulo.mercadolibre.com.pe/MPE-437226292-apple-iphone-skins-case-sticker-protector-6-7-8-s-x-xr-xs-_JM#position=45&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#437226292,NA,NA,Apple,NA,NA
346, Case Protector Con Tapa Nillkin Qin iPhone 7 Plus 8 Plus ,65,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NILLKIN+PERU,https://articulo.mercadolibre.com.pe/MPE-427939597-case-protector-con-tapa-nillkin-qin-iphone-7-plus-8-plus-_JM#position=46&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#427939597,Apple,NA,Nillkin,Qin,Cuero
347, Protector 360º Case iPhone 8 8 Plus Super Delgado + Cristal ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(18 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECNUEVAERA,https://articulo.mercadolibre.com.pe/MPE-427032441-protector-360-case-iphone-8-8-plus-super-delgado-cristal-_JM#position=47&type=item&tracking_id=6a14c39e-c93c-4394-b421-a285ab2af660,NA,NA,NA,NA,NA,#427032441,Apple,NA,NA,NA,NA
