search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo
691, Funda Iphone8 / 7 Crystal Slim Funda Blanda Crystal Clear ,109.8,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDREMATE,https://articulo.mercadolibre.com.co/MCO-475688103-funda-iphone8-7-crystal-slim-funda-blanda-crystal-clear-_JM#position=28&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#475688103,NA,NA,NA
692, Lujo Cuero Magnética Cartera Funda Para Samsung Galaxy S8 / ,102.99,NA,0,112,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/YAXACHINA,https://articulo.mercadolibre.com.co/MCO-476533826-lujo-cuero-magnetica-cartera-funda-para-samsung-galaxy-s8--_JM?searchVariation=26399986237#position=29&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#476533826,NA,NA,NA
693," Funda Realikeiphone 7, Iphone 8 Funda Slim Tpu Mate Funda De ",70.9,NA,0,99,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-476752700-funda-realikeiphone-7-iphone-8-funda-slim-tpu-mate-funda-de-_JM#position=30&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#476752700,NA,NA,NA
694, Iconflang Funda iPhone 8 Plus / iPhone 7 Plus Funda De Crist ,100.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-476890564-iconflang-funda-iphone-8-plus-iphone-7-plus-funda-de-crist-_JM#position=31&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#476890564,NA,ICONFLANG,4335010128
695, Caseology Apex Series Funda De Protección Para iPhone 8 Plu ,115.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-477329045-caseology-apex-series-funda-de-proteccion-para-iphone-8-plu-_JM#position=32&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#477329045,iPhone,Caseology,CO-I7SL-APX-BKWY
696," Funda iPhone 7 iPhone 8, Funda De Billetera iPhone 7 Cuero ",462.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-477329637-funda-iphone-7-iphone-8-funda-de-billetera-iphone-7-cuero-_JM#position=33&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#477329637,NA,Bull Run Leather Goods,M-Bi7
697, iPhone 8 Funda iPhone 7 Dtto Lightening Series Clear Style S ,72.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-477331396-iphone-8-funda-iphone-7-dtto-lightening-series-clear-style-s-_JM#position=34&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#477331396,iPhone,DTTO,NA
698, Lujo Espejo Vista Cartera Tapa Soporte Funda Para Samsung ,82.99,NA,0,105,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/YAXACHINA,https://articulo.mercadolibre.com.co/MCO-477552788-lujo-espejo-vista-cartera-tapa-soporte-funda-para-samsung-_JM?searchVariation=26399733146#position=35&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#477552788,NA,NA,NA
699," Funda De iPhone 8, iPhone 7 Funda De Cuero, Lopie [serie Tod ",233.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478112515-funda-de-iphone-8-iphone-7-funda-de-cuero-lopie-serie-tod-_JM#position=36&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#478112515,iPhone,lopie,LP-000083
700," Funda iPhone 7 Plus, Vodico iPhone 8 Plus Funda De Cuero Con ",99.9,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LATINPORT,https://articulo.mercadolibre.com.co/MCO-478117344-funda-iphone-7-plus-vodico-iphone-8-plus-funda-de-cuero-con-_JM#position=37&type=item&tracking_id=8993aa19-0c89-4037-9ffe-70c7d53eb4ed,NA,NA,NA,NA,NA,#478117344,NA,Vodico,NA
