search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Modelo,Material
21, Estuche Funda Cinto iPhone 8 7 6s Samsung S7 S8 S9 Cinturon ,150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				71
				vendidos
			
		",(5000 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,4.5,6,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-444303203-estuche-funda-cinto-iphone-8-7-6s-samsung-s7-s8-s9-cinturon-_JM?searchVariation=39505142926#position=21&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,4,1,1,0,0,#444303203,Apple,Samsung,NA,Cuero
22, Funda Protector Aluminio Metalico Premium iPhone 8 Plus Febo ,290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(99997 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449405516-funda-protector-aluminio-metalico-premium-iphone-8-plus-febo-_JM#position=22&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#449405516,Apple,NA,NA,Aluminio
23, Funda Protector Estuche Armor Para iPhone 8 Febo ,290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(99997 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452195837-funda-protector-estuche-armor-para-iphone-8-febo-_JM#position=23&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#452195837,Apple,NA,NA,TPU
24, Funda Protector Aluminio Metalico Premium iPhone 8 Febo ,290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(99997 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449405713-funda-protector-aluminio-metalico-premium-iphone-8-febo-_JM#position=24&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#449405713,Apple,NA,NA,Aluminio
25, Protector Tpu Transparente iPhone 8 7 5 5s Se / 6s 6 Plus ® ,50,NA,"
			
				Nuevo
			
			
				
					 - 
				
				280
				vendidos
			
		",(3997 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 278
		
		 sin interés
		
	

	
		",78,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443180283-protector-tpu-transparente-iphone-8-7-5-5s-se-6s-6-plus--_JM#position=25&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,3,1,0,0,0,#443180283,Apple,NA,NA,TPU
26, Funda Protector Fino Tpu Degrade Premium iPhone 8 Plus Febo ,90,290,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(99995 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 500
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449004038-funda-protector-fino-tpu-degrade-premium-iphone-8-plus-febo-_JM#position=26&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#449004038,Apple,NA,NA,TPU
27, Funda iPhone 8 Tech21 Evo Mesh En Caja Envíos ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(7 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2722
		
		 sin interés
		
	

	
		",22,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-448803314-funda-iphone-8-tech21-evo-mesh-en-caja-envios-_JM#position=27&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#448803314,Apple,NA,NA,NA
28, Funda Protector Estuche Premium iPhone 8 5 6 Plus 7 7 Plus ,90,NA,"
			
				Nuevo
			
			
				
					 - 
				
				106
				vendidos
			
		",(91 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 500
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,3.9,7,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-442497245-funda-protector-estuche-premium-iphone-8-5-6-plus-7-7-plus-_JM#position=28&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,5,0,0,0,2,#442497245,Apple,Iphone,Borde Color,TPU
29, Protector Funda iPhone 8 Plus 7 Plus Lucky 7 Carcasa ,399,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2217
		
		 sin interés
		
	

	
		",17,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-448792410-protector-funda-iphone-8-plus-7-plus-lucky-7-carcasa-_JM#position=29&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#448792410,Apple,Apple,NA,Silicona
30, Protector Funda iPhone 8 Estuche Azul ,210,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1167
		
		 sin interés
		
	

	
		",67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-450284207-protector-funda-iphone-8-estuche-azul-_JM#position=30&type=item&tracking_id=eb23865e-8525-469f-891b-6ffc12320d19,NA,NA,NA,NA,NA,#450284207,Apple,Apple,NA,Silicona
