search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Marca,Formato
981, Mini Audifonos I9s Bluetooth Diseñ0 AirPods ,87,NA,1,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-432423713-mini-audifonos-i9s-bluetooth-disen0-airpods-_JM,NA,NA,NA,NA,NA,#432423713,NA,NA,NA
982, Audifonos Inalámbricos Stereo Bluetooth B11 Baseus ,84,NA,0,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONES+OSRO,https://articulo.mercadolibre.com.pe/MPE-435485084-audifonos-inalambricos-stereo-bluetooth-b11-baseus-_JM,NA,NA,NA,NA,NA,#435485084,NA,NA,NA
983, Audifono Bluetooth Skullcandy Method Wireless Black Mint Swi ,222,NA,0,900,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MEGARICKHUNTER,https://articulo.mercadolibre.com.pe/MPE-433665628-audifono-bluetooth-skullcandy-method-wireless-black-mint-swi-_JM,NA,NA,NA,NA,NA,#433665628,Method Wireless,Skullcandy,NA
984, P Audífono Motorola Hk255 Bluetooth 3.0 (voz Y Música) ,98,NA,0,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,4,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-425530389-p-audifono-motorola-hk255-bluetooth-30-voz-y-musica-_JM,4,0,0,0,0,#425530389,HK255,Motorola,Clip-ear
985, Audífonos Bluetooth Deportivos ,28,NA,0,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GUILLERMO+MADRID,https://articulo.mercadolibre.com.pe/MPE-434127477-audifonos-bluetooth-deportivos-_JM,NA,NA,NA,NA,NA,#434127477,NA,NA,NA
986, Audifonos Inalámbricos Sony Bluetooth ,560,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS_DESDE_EEUU,https://articulo.mercadolibre.com.pe/MPE-436994859-audifonos-inalambricos-sony-bluetooth-_JM,NA,NA,NA,NA,NA,#436994859,NA,Sony,NA
987, Audífono Motorola Hk275 Bluetooth Resiste Agua Y Sudor Ofert ,145,NA,0,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/COMERCIOVIRTUAL+PER%C3%9A,https://articulo.mercadolibre.com.pe/MPE-429009692-audifono-motorola-hk275-bluetooth-resiste-agua-y-sudor-ofert-_JM,NA,NA,NA,NA,NA,#429009692,HK275,Motorola,Clip-ear
988, Mini Auricular Bluetooth S530 ,22,NA,1,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CANDROJULIRENE,https://articulo.mercadolibre.com.pe/MPE-436638256-mini-auricular-bluetooth-s530-_JM,NA,NA,NA,NA,NA,#436638256,NA,NA,NA
989, Audifonos Tipo Sony Bluetooth Inalambrico ,48,NA,0,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-436643060-audifonos-tipo-sony-bluetooth-inalambrico-_JM,NA,NA,NA,NA,NA,#436643060,NA,NA,NA
990, Audífonos Bluetooth Maxell 347777 Eb-bt100 Solid ,85,NA,1,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-433448049-audifonos-bluetooth-maxell-347777-eb-bt100-solid-_JM,NA,NA,NA,NA,NA,#433448049,NA,Maxell,NA
991, Audifonos Bluetooth Deportivos Manos Libres Conduccion ,35,NA,0,49,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TOGA512669,https://articulo.mercadolibre.com.pe/MPE-436279910-audifonos-bluetooth-deportivos-manos-libres-conduccion-_JM,NA,NA,NA,NA,NA,#436279910,NA,NA,NA
992, Audifonos Bluetooth I7s Tws Tipo AirPods ( Apple Y Android) ,39,NA,1,539,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-434165824-audifonos-bluetooth-i7s-tws-tipo-airpods-apple-y-android-_JM,NA,NA,NA,NA,NA,#434165824,AirPods,Apple,NA
993, Skullcandy Method Sport Supreme Sound Audifonos Bluetooth ,199,NA,0,20,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434305483-skullcandy-method-sport-supreme-sound-audifonos-bluetooth-_JM,NA,NA,NA,NA,NA,#434305483,Method,Skullcandy,NA
994," Audífonos Con Bluetooth, Ultima Versión Alta Calidad ",65,NA,1,6,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-433421376-audifonos-con-bluetooth-ultima-version-alta-calidad-_JM,NA,NA,NA,NA,NA,#433421376,NA,NA,NA
