search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Formato
21, Fone De Ouvido Headphone Hifi W800bt Bluetooth Edifier Preto ,1219,NA,12,9,12x,101.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,129,https://perfil.mercadolivre.com.br/MAOZINHA888,https://produto.mercadolivre.com.br/MLB-1171828394-fone-de-ouvido-samsung-gear-iconx-2018-sm-r140-americano-_JM,104,16,4,2,3,#1171828394,Samsung,Gear,IconX (2018),SM-R140,In-ear
22, Fone Ouvido Universal Para Ios E Android Sem Fio Bluetooth ,35,NA,1824,877,6x,6.64,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,58,https://perfil.mercadolivre.com.br/NATAL+SHOW,https://produto.mercadolivre.com.br/MLB-858719789-fone-de-ouvido-headphone-sem-fio-micro-sd-usb-fm-bluetooth-_JM,48,7,2,0,1,#858719789,Universal,NA,B05,NA,In-ear
23, Fone De Ouvido Bluetooth A Prova D´água Wavefun X-buds Ipx7 ,1799,NA,74,4,12x,149.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,87,https://perfil.mercadolivre.com.br/OUSH1142604,https://produto.mercadolivre.com.br/MLB-1168927401-fone-de-ouvido-bose-quietcomfort-35-segunda-geraco-original-_JM,81,5,0,0,1,#1168927401,Bose,QuietComfort,35,789564-0010,Over-Ear
24, Fone De Ouvido Bluetooth Air50 Mini Sem Fio AirPods ,49,NA,1254,472,10x,5.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.5,53,https://perfil.mercadolivre.com.br/MOBILETECHRJ,https://produto.mercadolivre.com.br/MLB-1223803179-fone-ouvido-sem-fio-i7s-tws-bluetooth-airpods-ios-android-_JM,23,11,4,1,14,#1223803179,Universal,Airpod Bluetooth,Airpods i7S TWS,i7S TWS,In-ear
25, Fone De Ouvido Jbl Reflect Mini Bt 2 Bluetooth Sport Preto ,127,NA,4519,295,12x,10.64,NA,NA,NA,NA,4.7,115,https://perfil.mercadolivre.com.br/LOYALMALLBR?brandId=2069,https://produto.mercadolivre.com.br/MLB-1218445107-fone-de-ouvido-bluetooth-xiaomi-redmi-airdots-_JM,90,16,6,0,3,#1218445107,Xiaomi,Mi,Redmi  Airdots,NA,In-ear
26, Fone De Ouvido Sem Fio Bluetooth 4.1 Esportivo Stereo Sport ,40,NA,2331,42,6x,6.67,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4,200,https://perfil.mercadolivre.com.br/PODIUM+PARTS,https://produto.mercadolivre.com.br/MLB-688182058-fone-de-ouvido-bluetooth-sem-fio-headphone-rock-in-rio-_JM,104,35,31,7,23,#688182058,Universal,Fone Bluetooth,Rock in Rio,MTC1212,Over-ear
27, Fone De Ouvido Sem Fio Bluetooth 5.0 Qcy Qs1 T1 Tws Xiaomi ,37,NA,723,277,6x,7.03,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,6,https://perfil.mercadolivre.com.br/BOLLINK,https://produto.mercadolivre.com.br/MLB-1229462888-fones-de-ouvido-sem-fio-bluetooth-i7s-tws-_JM,5,0,0,0,1,#1229462888,TWS,Bluetooth,Airpods i7s,i7s,Ear-Buds
28, Fone De Ouvido Sem Fio Bluetooth Favix B08 Original Bass Fm ,309,NA,213,78,12x,25.75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,81,https://perfil.mercadolivre.com.br/PONTOCERTOELETRO,https://produto.mercadolivre.com.br/MLB-963166908-fone-de-ouvido-jbl-reflect-mini-bt-2-bluetooth-sport-preto-_JM,60,16,2,3,0,#963166908,JBL,Reflect,REFLECT MINI 2 BT PRETO,NA,Ear-Buds
29, Fone Ouvido Sem Fio Bluetooth 4.1 Celular Micro Sd Fm P2 Mp3 ,135,NA,43,3,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,76,https://perfil.mercadolivre.com.br/IMPORTSWELL,https://produto.mercadolivre.com.br/MLB-1146085422-fone-de-ouvido-bluetooth-a-prova-dagua-wavefun-x-buds-ipx7-_JM,67,8,1,0,0,#1146085422,Samsung,NA,Wavefun X-buds Ipx7,NA,Headset
30, Fone De Ouvido Sem Fio Bluetooth Universal Stereo Lc-100 ,19,NA,1026,9399,4x,5.27,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,3.4,25,https://perfil.mercadolivre.com.br/LARTECMAGAZINEVIP,https://produto.mercadolivre.com.br/MLB-955359575-fone-de-ouvido-bluetooth-41-mini-portatil-chamada-musica-_JM,9,6,2,1,7,#955359575,Universal,Mini,Wolf Tech,3,In-ear
