search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
160, Audifonos AirPods I9 Tws Bluetooth +box Carga ,59.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(100 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.664
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,2.0,1,https://perfil.mercadolibre.com.co/ANFA3099594,https://articulo.mercadolibre.com.co/MCO-508601205-audifonos-airpods-i9-tws-bluetooth-box-carga-_JM,NA,NA,NA,NA,NA,#508601205,NA,NA,NA
161, Audífono Bluetooth Stereo Headphones By-005 4.1 Wireless ,32.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(81 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.741
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/BOGALIACOLOMBIA,https://articulo.mercadolibre.com.co/MCO-459160523-audifono-bluetooth-stereo-headphones-by-005-41-wireless-_JM,NA,NA,NA,NA,NA,#459160523,NA,NA,NA
162, Audífonos Hbq I7 Bluetooth Inalámbr 2 Auriculares-blanc ,29.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				169
				vendidos
			
		",(68 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.0,5,https://perfil.mercadolibre.com.co/VENTAS+CRT,https://articulo.mercadolibre.com.co/MCO-513544770-audifonos-hbq-i7-bluetooth-inalambr-2-auriculares-blanc-_JM,3,1,0,0,1,#513544770,NA,NA,NA
163, Auricular Bluetooth Magnético Manos Libre Colores ,16.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(14 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.333
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MULTIRECARGAS+SUMINISTROS,https://articulo.mercadolibre.com.co/MCO-510060466-auricular-bluetooth-magnetico-manos-libre-colores-_JM,NA,NA,NA,NA,NA,#510060466,NA,NA,NA
164, Audifono Bluetooth Sony Wf-1000x Original Color Negro ,369.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				27
				vendidos
			
		",1,"
	
		
			
		
		36 cuotas de
		
			
				$ 10.275
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,2,https://perfil.mercadolibre.com.co/MAOVIDEOJUEGOSYTECH07,https://articulo.mercadolibre.com.co/MCO-479709059-audifono-bluetooth-sony-wf-1000x-original-color-negro-_JM,NA,NA,NA,NA,NA,#479709059,Sony,WF-1000X,NA
165, Audifonos Deportivos Bluetooth Magneticos ,25.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.083
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SOLUCIONES+TECENERGIASOLAR,https://articulo.mercadolibre.com.co/MCO-501501674-audifonos-deportivos-bluetooth-magneticos-_JM,NA,NA,NA,NA,NA,#501501674,NA,NA,NA
166, Auricular Inalambrico Bluetooth Color Azul ,14.890,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.241
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ANGELAMARARESTREPOVERGARA,https://articulo.mercadolibre.com.co/MCO-504297832-auricular-inalambrico-bluetooth-color-azul-_JM,NA,NA,NA,NA,NA,#504297832,NA,NA,NA
167, Auricular Audifono Manos Libres Bluetooth V9 Inalambrico ,75.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				95
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,9,https://perfil.mercadolibre.com.co/FINOANDRES,https://articulo.mercadolibre.com.co/MCO-461362424-auricular-audifono-manos-libres-bluetooth-v9-inalambrico-_JM,7,2,0,0,0,#461362424,NA,V9,Over-ear
168, Auricular Air Pods I9s Tws Bluetooth Envio Gratis ,70.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.908
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/COOLFACES+MEDELLIN,https://articulo.mercadolibre.com.co/MCO-509503342-auricular-air-pods-i9s-tws-bluetooth-envio-gratis-_JM,NA,NA,NA,NA,NA,#509503342,NA,NA,NA
169, Audifonos Zst Mic + Bluetooth + Estuche+ Espumas+ Cable Plat ,194.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 5.389
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,147,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-470525184-audifonos-zst-mic-bluetooth-estuche-espumas-cable-plat-_JM,114,27,4,2,0,#470525184,KZ,ZST,NA
