search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso
111, Afeitadora Braun Serie 7 7840s Wetdry Alemana Sonica Premium ,12999,NA,43,20,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,145,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-719665091-afeitadora-braun-serie-7-7840s-wetdry-alemana-sonica-premium-_JM,109,29,3,2,1,#719665091,Braun,Series 7,7840s Wet&Dry,NA,1 hora,Batería,NA,NA
112, Cortabarba Philips Bt3226/14 Recargable 20 Posiciones Lh Ff ,1799,NA,23,5,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,16,https://perfil.mercadolibre.com.ar/LHCONFORT,https://articulo.mercadolibre.com.ar/MLA-746355603-cortabarba-philips-bt322614-recargable-20-posiciones-lh-ff-_JM,13,3,0,0,0,#746355603,Philips,Series 3000,BT3226/14,BT3226/14,60min,Batería,Removibles,NA
113, Cortabarba Remington Mb4130 Titanio Beard Boss Profesional ,1699,NA,11,5,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/TARGUTEC,https://articulo.mercadolibre.com.ar/MLA-764994643-cortabarba-remington-mb4130-titanio-beard-boss-profesional-_JM,1,0,0,0,0,#764994643,Remington,Titanio,MB4130,NA,50 Minutos de autonomia,Batería,Pivotantes,NA
114, Afeitadora Recargable Philips S1030 Aquatouch Wet & Dry ,1799,NA,47,6,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,551,https://perfil.mercadolibre.com.ar/TRES+MARES,https://articulo.mercadolibre.com.ar/MLA-723505689-afeitadora-recargable-philips-s1030-aquatouch-wet-dry-_JM,370,122,37,13,9,#723505689,Philips,AquaTouch,S1030,S1030/04,45 min,Carga,Flexibles,NA
115, Afeitadora Inalambrica Philips Aquatouch S5420/24 Lh Ff ,4899,NA,16,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,84,https://perfil.mercadolibre.com.ar/LHCONFORT,https://articulo.mercadolibre.com.ar/MLA-746389534-afeitadora-inalambrica-philips-aquatouch-s542024-lh-ff-_JM,57,19,4,2,2,#746389534,Philips,AquaTouch,S5420,NA,45 min.,Batería,Giratorios,NA
116, Afeitadora Philips One Blade Qp6510/20 Seco/humedo Tio Musa ,2499,NA,227,13,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,248,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-722772343-afeitadora-philips-one-blade-qp651020-secohumedo-tio-musa-_JM,158,66,18,3,3,#722772343,Philips,OneBlade Pro,QP6510/20,QP6510/20,60,220V,Planos,NA
117, Cortabarba Beardtrimmer Philips Bt1209/15 ,990,NA,51,49,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,62,https://perfil.mercadolibre.com.ar/NETFULL+OK,https://articulo.mercadolibre.com.ar/MLA-753967013-cortabarba-beardtrimmer-philips-bt120915-_JM,39,19,3,0,1,#753967013,Philips,Series 1000,BT1209/15,BT1209/15,30,NA,NA,NA
118," Cortabarba Philips Mg5730/15 11 En 1, Multigroom ",2199,NA,235,48,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,35,https://perfil.mercadolibre.com.ar/FLADIMAR,https://articulo.mercadolibre.com.ar/MLA-689446428-cortabarba-philips-mg573015-11-en-1-multigroom-_JM,26,9,0,0,0,#689446428,Philips,NA,MG5730/15,MG5730/15,NA,NA,NA,NA
119, Corta Barba Philips Oneblade Qp2526/10 Recorta Modela Afeita ,1949,NA,26,34,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-790345836-corta-barba-philips-oneblade-qp252610-recorta-modela-afeita-_JM,3,0,0,0,0,#790345836,Philips,OneBlade,QP2526/10,NA,NA,100-240v,Planos,NA
120, Ducati Imetec Corta Barba Gk 618 Gearbox Afeitadora + Acc ,1826,2149,9,11,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FARMACIALELOIR,https://articulo.mercadolibre.com.ar/MLA-760267404-ducati-imetec-corta-barba-gk-618-gearbox-afeitadora-acc-_JM,NA,NA,NA,NA,NA,#760267404,Imetec,Ducati,GK 618,NA,60 minutos,Corriente directa,NA,NA
