search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca
53, Afeitador Electrico Gama Italy Gsh1000 ,280,NA,2,6,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GOBUY+STORE,https://articulo.mercadolibre.com.pe/MPE-432310394-afeitador-electrico-gama-italy-gsh1000-_JM,NA,NA,NA,NA,NA,#432310394,NA
54, Navaja Eléctrica Recortador Para Nariz Y Oreja Afeitado H ,152,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435725141-navaja-electrica-recortador-para-nariz-y-oreja-afeitado-h-_JM,NA,NA,NA,NA,NA,#435725141,Tongtletech
55, Panasonic Wes9013pc Afeitadora Eléctrica Recambio Cuchill ,276,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-433375397-panasonic-wes9013pc-afeitadora-electrica-recambio-cuchill-_JM,NA,NA,NA,NA,NA,#433375397,Panasonic
56, Maquinilla De Afeitar Eléctrica Max-t Maquinilla De Afeit ,267,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724935-maquinilla-de-afeitar-electrica-max-t-maquinilla-de-afeit-_JM,NA,NA,NA,NA,NA,#435724935,MAX-T
57, Afeitadora Eléctrica Phillips ,110,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.pe/MPE-436962532-afeitadora-electrica-phillips-_JM,NA,NA,NA,NA,NA,#436962532,NA
58, Mujer Cabello Eliminación Afeitadora Eléctrica Maquinill ,215,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724423-mujer-cabello-eliminacion-afeitadora-electrica-maquinill-_JM,NA,NA,NA,NA,NA,#435724423,CLEVER BRIGHT
59, Señoras Afeitar Eléctrica Para Cara Mujer Afeitadora Depi ,257,NA,0,NA,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AKAESPERUSAC,https://articulo.mercadolibre.com.pe/MPE-435724591-senoras-afeitar-electrica-para-cara-mujer-afeitadora-depi-_JM,NA,NA,NA,NA,NA,#435724591,Angelland
60, Estuche Rigido De Viaje Para Surker 3 En 1 Afeitadora Electr ,146,NA,0,12,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,https://articulo.mercadolibre.com.pe/MPE-436106167-estuche-rigido-de-viaje-para-surker-3-en-1-afeitadora-electr-_JM,NA,NA,NA,NA,NA,#436106167,AENLLOSI
61, Afeitador Eléctrico Maquina De Afeitar Rasuradora Depilador ,69,NA,3,18,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,https://articulo.mercadolibre.com.pe/MPE-426122752-afeitador-electrico-maquina-de-afeitar-rasuradora-depilador-_JM,NA,NA,NA,NA,NA,#426122752,NA
62, Afeitador Eléctrico Maquina De Afeitar Rasuradora Depilador ,89,NA,7,14,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMPORTACIONES+LAKSHMI,https://articulo.mercadolibre.com.pe/MPE-424844592-afeitador-electrico-maquina-de-afeitar-rasuradora-depilador-_JM,NA,NA,NA,NA,NA,#424844592,NA
