search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tipo de alimentación,Tipos de cabezales,Tiempo de funcionamiento,Tiempo de carga,Peso
1615, Afeitadora Rca Recargable Usb Ideal Viaje Incl Cargador Gtia ,1808,NA,"
			
				Nuevo
			
			
				
					 - 
				
				55
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/NUCKY+VENTAS,https://articulo.mercadolibre.com.ar/MLA-610950830-afeitadora-rca-recargable-usb-ideal-viaje-incl-cargador-gtia-_JM,NA,NA,NA,NA,NA,#610950830,RCA,R6R002,R6R002,NA,Batería,NA,NA,NA,NA
1616, Afeitadora Recargable Winco-812 Zona Sur ,1349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(2 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,25,https://perfil.mercadolibre.com.ar/TELEARTELECTRO,https://articulo.mercadolibre.com.ar/MLA-624991933-afeitadora-recargable-winco-812-zona-sur-_JM,15,5,3,0,2,#624991933,Winco,Hombre,W-812,NA,Batería,"tres cabezales, tres cabezales",8,NA,NA
1617, Nariz Eléctrico Recortadora De Cabello Afeitadora Cortadora ,588,NA,"
			
				Nuevo
			
			
		",(130 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/JCTAGAR,https://articulo.mercadolibre.com.ar/MLA-789412089-nariz-electrico-recortadora-de-cabello-afeitadora-cortadora-_JM,NA,NA,NA,NA,NA,#789412089,JCTAG,NA,JCTAG,NA,NA,NA,NA,NA,NA
1618, Afeitadora Portátil Depiladora Mujeres Cabello Navaja Mini ,1044,NA,"
			
				Nuevo
			
			
		",(3 disponibles),6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/TONGUELOVEAR,https://articulo.mercadolibre.com.ar/MLA-790238091-afeitadora-portatil-depiladora-mujeres-cabello-navaja-mini-_JM,NA,NA,NA,NA,NA,#790238091,TONGUE-LOVE,NA,TONGUE-LOVE,NA,NA,NA,NA,NA,NA
1619, Recortadora Pelo Depiladora Nariz Oido Bello Sin Dolor Oreja ,612,NA,"
			
				Nuevo
			
			
		",(16 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/REINAS+RECOLETA,https://articulo.mercadolibre.com.ar/MLA-799983029-recortadora-pelo-depiladora-nariz-oido-bello-sin-dolor-oreja-_JM,NA,NA,NA,NA,NA,#799983029,reinas recoleta,NA,SM-403,NA,Pilas,Giratorios,NA,NA,NA
1620, Afeitadora Philips Aquatouch S5420/02 Eléctrica Recargable ,7539,NA,"
			
				Nuevo
			
			
		",(1 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,309,https://perfil.mercadolibre.com.ar/ZARINI+HOGAR,https://articulo.mercadolibre.com.ar/MLA-703783772-afeitadora-philips-aquatouch-s542002-electrica-recargable-_JM,208,74,17,6,4,#703783772,Philips,AquaTouch,S5420/02,NA,Batería,Giratorios,45 s,1 m,800 g
1621, Afeitadora Remington Powerflex 360° R3 ,2000,NA,"
			
				Nuevo
			
			
		",(1 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FRANCOESPILDORA,https://articulo.mercadolibre.com.ar/MLA-764161363-afeitadora-remington-powerflex-360-r3-_JM,NA,NA,NA,NA,NA,#764161363,Remington,PowerFlex 360° R3,PR1230,NA,22V,NA,12000,NA,NA
1622, Afeitadora Vondom ,499,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,8,https://perfil.mercadolibre.com.ar/LEA-PR-,https://articulo.mercadolibre.com.ar/MLA-791286433-afeitadora-vondom-_JM,5,2,1,0,0,#791286433,Vondom,Viajero,VDM23,NA,Pila,Giratorios,NA,NA,NA
1623, Philips Bt7201 Cortabarba C/ Sistema Aspiración Recargable ,3749,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/PHOTOSTORE,https://articulo.mercadolibre.com.ar/MLA-624979946-philips-bt7201-cortabarba-c-sistema-aspiracion-recargable-_JM,NA,NA,NA,NA,NA,#624979946,Philips,Beardtrimmer,BT7201/15,NA,Batería,Flexibles,60 minutos,NA,NA
1624, Afeitadora Philips S1520/02 Inalambrica Uso En Seco ,5730,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/REGALOSALVEAR,https://articulo.mercadolibre.com.ar/MLA-736721587-afeitadora-philips-s152002-inalambrica-uso-en-seco-_JM,NA,NA,NA,NA,NA,#736721587,Philips,serie 1000,S1310/02,NA,NA,Planos,45m,0 h,0 g
