search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Modelo alfanumérico,Tipo de alimentação,Tipos de cabeças,Tempo de funcionamento,Peso
168, Barbeador Elétrico Máquina Shaver Kemei Rscw-5500 Bivolt Top ,30,NA,142,3,6x,5.72,NA,Envio para todo o país,NA,NA,5,3,https://perfil.mercadolivre.com.br/BBS+MAGAZINE,https://produto.mercadolivre.com.br/MLB-1217844292-barbeador-eletrico-maquina-shaver-kemei-rscw-5500-bivolt-top-_JM,3,0,0,0,0,#1217844292,Kemei,NA,RSCW 5500,NA,Elétrica,NA,30,124 g
169, Maquininha De Fazer Barba/pelos Do Nariz/philips Mg3711 Bivl ,149,NA,24,11,12x,12.42,NA,Frete grátis,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/VIFA+COM,https://produto.mercadolivre.com.br/MLB-1121534295-maquininha-de-fazer-barbapelos-do-narizphilips-mg3711-bivl-_JM,NA,NA,NA,NA,NA,#1121534295,Philips,Multigroom Series 3000,MG3711/15,NA,Elétrica,Removíveis,60 minutos,NA
170, 3 Lâminas Barbeador Elétrico Philips Hq8 Hq7 Hq9 At891 At751 ,44,NA,47,944,6x,7.48,NA,Envio para todo o país,NA,NA,4.3,80,https://perfil.mercadolivre.com.br/TRIBOMSHOP,https://produto.mercadolivre.com.br/MLB-1216117462-3-lminas-barbeador-eletrico-philips-hq8-hq7-hq9-at891-at751-_JM,45,19,11,5,0,#1216117462,Philips,HQ8,HQ8,NA,Recarregável,Giratórios,NA,NA
171, Barbeador Elétrico Á Prova D'água Philips Aquatouch At891 ,289,NA,39,961,12x,27.71,NA,Frete grátis,NA,NA,4.6,157,https://perfil.mercadolivre.com.br/SHOPL%C3%82NDIA,https://produto.mercadolivre.com.br/MLB-1036801497-barbeador-eletrico-a-prova-dagua-philips-aquatouch-at891-_JM,116,31,7,2,1,#1036801497,Philips,AquaTouch,AT891,AT891/14,Recarregável,Flexíveis,50 MIN,NA
172, Barbeador Elétrico Braun 9299s Gold Série 9 (+top) 12x S/ J ,2899,NA,10,2,12x,241.58,NA,Frete grátis,NA,NA,4.7,3,https://perfil.mercadolivre.com.br/IPIRANGA+IMPORTS,https://produto.mercadolivre.com.br/MLB-789419414-barbeador-eletrico-braun-9299s-gold-serie-9-top-12x-s-j-_JM,2,1,0,0,0,#789419414,Braun,SÉRIE 9,9299,NA,Elétrica,Planos,50MIN,NA
173, Maquina Barbeador Aparador Barba Pêlos Philips Bt1209 Bivolt ,31,NA,141,159,6x,5.90,NA,Envio para todo o país,NA,NA,5,1,https://perfil.mercadolivre.com.br/LMF+MAGAZINE,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=MSLq6yC4HQMnTlREmzEkU0ZdE92xqzc01ymaakMHWXlfdlhaSh6Ks6D%2BfAv2r8aYwFH361mCcJTC%2FgD3W%2BtVP0NCHeNxJ3Co%2FIOcoP6jus314lwOjuiMnoOPgVJAJiA1OKkv%2FhPnRn5KK9kgwHTvNPypMaQmkpURKZeeLsf%2BSKueKWxSHOQ3fkmpr%2FJH8Z2ABxlH75t6ECy95oUzdw6hiXkqAcv4KwpzwLf4Tu5cL%2Fwt6%2BQUctINOYwIv2bK6heizC3ByvFB9eoyNQ7ZEmoYW%2FkolX5qx8Y5VudJo4gEwNXhsBtWSTxMBkLzQcUyxRgAzvpbnlbaDHs6MjptXZSd8A7%2BOGvKFGwUcb3BAsiAaRXWYfygLHY2WIkxCYpAS6HVWU%2FQjr7eT4ED4Tq%2FzNQ3W%2BMvCPs%2BgvxdQt%2F2t8SNKsp%2F6EF9zyVGq72mvcIhuKa2YQjusEOAW9VAZhlfCPchd0mrESru7x2ALvnBk5%2BelBWDM8yt%2Ferj1Ppby7A%2BK10IAX99SL5rCsHz2sisyKiG2X%2FP0%2BC3ahIDQKE7mWtm%2F4gBe5rON8xKyHwDRbrkpVsmCgYMijxXwklPisdnDR2DDoSHHtCXgxJdeJYGoLbAuPbKtZE3tFrcnvRUXYPFAmhi4w9spSsMFsDwMKXAz4r8rUC0KXw3wU8%2Bl1n7qLUjvDcLtPZraUHbtXvgO%2FiVjT2Kw%2FkL59w1dO4FbDhCRFuliRhL7w8zN9sVbsMbAPFGuWL7CDFk9wE2Aag7K5kOBxXqVPF5dpGs9A2BMte4EFtcmkb07NabV2eCF8NeUBvK0RzUrAeLk9YepV5hUXT36PpxFlZ9zs7ClLDafihsh7gMyLXymSudmn8PYes%2FZ%2F3AyylUbWMNKngmG%2BslmGIRu3rSDMgANCqbGKm0bhepMPHVxh5XykKq7Inuc7uH0ViyLnDukFxR0iXkY37JTsvkDopwbjDO9kfpcsl2%2F4h3uCa9a3emzzWyB8%2BFtIDOLJrMqzC%2FjE5RdpILsBmhkOSeCw7jRXiyhsrxJ%2Btn%2F3ZScrUswVc2xPMQnox%2BchAgBHK8K1z12VsPzSOYEwaEW5gzkSK3EbaHUUBQWGaC60Oge415CXfaHxzN7nSUoRn9wedaGO83gFiak%2BhXsd%2BFrBM44y2HiNxjTAd%2FLHRLqUzo7ARbSMgJKCMvIMnjonpdURQ%2FfNKYy8%2BW3gSJxfFe5hQuZELyGS9ZGesbW18pHsO7vXs6iT9Cz4XyRZSI3mOh2uAtyRFKAzTBw54mmgnABjvQy3KasrLYmFQhzpG42Dsntm9zLiOR8o9b3EtCFyRX2I5Wv6o9W0Q3d%2Bgn4lXtKNp8OdKzpR2mLvg7KbZSLvCxn8tYA9jiHQ3ftCejHST6cAoZHBeoLKSS67e1igSNPq6W1%2BwmOt1JQXJSoPObPVV4ANNPYDaAQ2AIe595HHyOlS7jwfJBjO8P8nVA6JT720SNNQYfa%2FZWw59pmaRiBDVZ7uv85Vda6i9hhT%2BkJoGdR04vyKMAOIRnvYXnbkHbNLtDqi8bna7631mmIu%2BAi3TdQxnjLfTMp0N0SHqnkkdu73oQ%2BQEkExcvPklba887bN5SNwew6YxBHwK%2F6Hr3ZOAmVlzI3CcQ7d5iuy8iBaNxrx0DD7ND1Jq%2FVjMs79InFh%2FXfgLHFtaC3pqr2Gnq6iNX4z%2BiKzpnpDmqFPIrt7Ksb3qUCAAjulziyKXd%2B4QOKsOFzNYihx76RXFggwDTEfyW278JHtggWgKlFm5A1llFwPZNhkZgbCqOuqS9CopWtV8m6w%3D%3D,1,0,0,0,0,#1239286043,Kemei,NA,RSCW 5500,NA,Elétrica,NA,30,124 g
174, Barbeador Aparador Oneblade Qp2530/20 Com 4 Pentes Philips ,198,209,58,28,12x,16.55,NA,Frete grátis,NA,NA,4.8,17,https://perfil.mercadolivre.com.br/VIEIRA.ELETRO,https://produto.mercadolivre.com.br/MLB-1152773259-barbeador-aparador-oneblade-qp253020-com-4-pentes-philips-_JM,14,1,1,0,0,#1152773259,Philips,OneBlade,QP2530/10,QP2530/10,Recarregável,Removíveis,3 horas,NA
175, Barbeador Aparador Prova D'água Rscw2088 Promoção Bivolt N F ,35,NA,108,9892,6x,6.59,NA,Envio para todo o país,NA,NA,4.9,7,https://perfil.mercadolivre.com.br/LEFA+SHOP,https://produto.mercadolivre.com.br/MLB-872736848-barbeador-aparador-prova-dagua-rscw2088-promoco-bivolt-n-f-_JM,6,1,0,0,0,#872736848,NA,Barbear,RSCW-2088,NA,Recarregável,Removíveis,30MIN,NA
176, Barbeador Aparador Elétrico Recarregável Goncon Prova D'água ,65,NA,42,958,12x,6.21,NA,Envio para todo o país,NA,NA,4,4,https://perfil.mercadolivre.com.br/FGK+VENDAS,https://produto.mercadolivre.com.br/MLB-1120286758-barbeador-aparador-eletrico-recarregavel-goncon-prova-dagua-_JM,2,1,0,1,0,#1120286758,Importado,Shaver,rscx9800,NA,Recarregável,Flexíveis,NA,5.47 oz
177," Hq8, Aquatoch Kit 3 Laminas Reposicao Philips Leia Descricao ",49,NA,46,657,6x,8.17,NA,Envio para todo o país,NA,NA,3.4,5,https://perfil.mercadolivre.com.br/MAGAZINE_PEREZ,https://produto.mercadolivre.com.br/MLB-1205484967-hq8-aquatoch-kit-3-laminas-reposicao-philips-leia-descricao-_JM,2,1,0,1,1,#1205484967,Lift And Cut PHILIPS,HQ. E  Aquatoch,HQ8 Serve em modelo AT,NA,Bateria,Giratórios,NA,NA
