search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Línea,Modelo,Tipos de filtros del parlante,Peso,Color,Conectores de entrada
118, Parlante Portátil Bluetooth Tipo Jbl Charge 3 Res Agua Clic ,990,NA,65,17,18 cuotas,55.00,NA,Entrega a acordar con el vendedor,NA,NA,4.6,29,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453989396-parlante-portatil-bluetooth-tipo-jbl-charge-3-res-agua-clic-_JM#position=12&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,16,5,2,0,0,#453989396,20 W,JBL,NA,Charge 3,Pasivo,NA,NA,NA
119, Parlante Amplificador Kolke Boost Plus Bt Batería Oferta Loi ,54,57,97,3993,18 cuotas,111.18,NA,Envío a todo el país,NA,NA,4,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-453426176-parlante-amplificador-kolke-boost-plus-bt-bateria-oferta-loi-_JM#position=13&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,0,2,0,0,0,#453426176,NA,Kolke,NA,NA,NA,NA,NA,USB
120, Adaptador Bluetooth Usb 4.0 Audio Pc Parlantes Celular ® ,250,NA,674,4999,18 cuotas,13.89,NA,Envío a todo el país,NA,NA,4.3,53,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=HEOUmOgCZR%2BVT8EOiu%2Bd2GgIG%2FwL%2FWN%2FHu6C5wTVzLl0HZJXIZ6ud8QlQBLJfqrzltwloFY5Kqatx5YEXJgsZMJ8mGHOMqVeci1WQtQPcHS0tnHNbPWEPhiwhPSODhBckcItMAQT81BshL97IzzZ1KapwO3FYmCxrUNJUYQqoRnGsWZ82rlcvyO%2BqydjGoL7ITxbGVUQMClsX4ZhRo7THmgRFyjqqy75V03rE%2BO12Pf12b%2B5V4hzvOMRALI71P2qbMcvp9FMEYJnxr3TWeYk9C%2BOtKfKwfWEnZ9TQHr4MCwdPFbUyeIGrGDyen8e2Sel7QjxF3I%2F44n4M8ulHkyWu0oj9jieQWAY9skQ%2F5C3VawrVyn95iWEG2g5U0FtQV0eZsuhdEcGPC2cdfHVOLtw3bjCu%2BARW32ihOQw3G0IScoCozTh%2FH3KSIO%2F038semsVlnelW5iwn4%2FB88rE3zqMpawxN4ek5FH%2BheJJr8p6J8YYVa4bWNSWcN%2FZP0Ai2taXtEwaiSpjOhop3QTDWE13yN5vKV9Sd5Rnjt68LrPKaVvhCd9%2FLP2hYevNqrNpPoiDvk5C9ObiYjLxF8HI1GH2dk5ENhd%2BdeJtLp0D6zBQYgwKTG9ZIGYJY6PRgL%2BFR9strb9GoVio8NfZv59IA4%2FChFdkNgfanqJ6qHKDHqYSNzUYtJqNSIQVlR8mX4EuowkdJZWTHbFBymykM7B%2F3UrF9b6gaSap3kzqHjojEZbZ0URwKBmlehmA0300n1HqXyVfa%2FnjxK6XbP54p3YXfe2wHBF0MhjKQt%2BMM82DoPFHNtIKEH1zbr9bDYdi11idaN3xlRhqXk9A%2Bx0imZKy9T99Bdvu00UL2K0ieL3PC4p8pwM09p7DEPcGXGPutDQAnZKlbAyr2ejYTsJ4TcvhOSVxQ7AB%2BVjLBxC9iSTFn8O2Ej5rgfbHlhJol02IqqQC81obUkJtpyIxQmWvP297s3inFcJI851qtUMR2blYWR%2Fmfm1dgZjA9r0MP3UNaUES8cSvs5NmMj9b2b9Oxlr%2F8%2FgM6n4zq7Yx7J6qSYwNOSPLCTs%2FfeJAO1sVooNRIF2l3dTWCfadJbwasjecMS8zi6J8ji0ZLRYinS4JnHAj1LgCSAZuqFAri2jvQU8imLz7GWV7zwtd6EPbD2XPwtMtbcLgIwQRi3Ba0YLQ0qCcfsHWo5S5ReDl92X4Mq6r3xShHAh9PkHq%2BvNxzzwiDtA0mE%2BDKDqOrcrpnGE5NttfPAbGGs9tkvnMiAzRcIVmi%2FlKI67pET7vwa%2BDixnySjYrVLIeDzzlgJtheu%2BuRYB4v2glOSyO1E3YyNHel4ZbLGsW4hyNsIZK0lrH576GgbBqEa5ypdKZK7X4L3XkOIX0V0ACYNKtbCQZJt0G%2BK5WTWDo3eZnXk%2BGUdSl6qhPXqOz0Sy9eQskWSK%2BtnvfO5fk4yWrhKmEd1%2Bg56WRC%2FQlTzeyl0a6NTDUpKMAR4a6qZ4XiVOMVElieq6fsT8njv12DuhHctxNkKgvAfdC%2FPFSEz%2BHRyjS4Q1ajze0LeB1saaDEwKmpUFO6%2B%2FFAgzN%2FTdlhbBUSdEwTqXraMafZwJ4MWop6%2BN4E42knL0EGK2nbSYKTb9Zad%2FIIRKewd4dThEmd82obOZk6SgATLxOZ4N3yBfBaQ5VWAalANJinwtOCGhVSCFpSzAWM17dvUflgzu8y%2FvXGhhR%2FgeHAnkUMwmq%2Bi%2FsjbeogyFhqUyPmKU9oksGpdnpQDYmZkUtJDZibgKe5kmuwDqGVLr9clndAJD%2Bvna8i85UOsscFRqzjIWX1Swi95Vgw9%2FCZO6%2FYTc%3D,31,11,8,1,2,#443724089,NA,Dongle,NA,CSR 4.0,NA,NA,NA,USB
121, Parlante Activo Xion Xt100 Torre Profesional Bluetooth Dimm ,399,429,1,4,18 cuotas,821.50,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-452998723-parlante-activo-xion-xt100-torre-profesional-bluetooth-dimm-_JM#position=15&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#452998723,NA,NA,NA,NA,NA,NA,NA,Entrada para Micrófono
122, Parlantes Sony Portatil Bluetooth Resistente Al Agua Colores ,2990,NA,20,480,18 cuotas,166.11,NA,Entrega a acordar con el vendedor,NA,NA,4.7,3,http://perfil.mercadolibre.com.uy/ACCESOPC3000,https://articulo.mercadolibre.com.uy/MLU-450180093-parlantes-sony-portatil-bluetooth-resistente-al-agua-colores-_JM#position=16&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,2,1,0,0,0,#450180093,NA,Sony,NA,SRS-XB10,NA,NA,NA,NA
123, Mini Parlante Bluetooth Luz Led Aux Plug Jack Lector Memoria ,310,NA,25,5000,18 cuotas,17.22,NA,Envío a todo el país,NA,NA,3,2,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-448954885-mini-parlante-bluetooth-luz-led-aux-plug-jack-lector-memoria-_JM#position=17&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,0,0,2,0,0,#448954885,3 W,Music Mini Speaker,NA,Led,"PARLANTE BLUETOOTH, MINI PARLANTE, PARLANTE PORTATIL, PARLANTE LED, PARLANTE NIÑO",NA,NA,NA
124, Parlante 2.1+1 Tienda Oficial Thonet & Vander - Ratsel ,199,239,28,30,18 cuotas,409.72,NA,Envío gratis a todo el país,NA,NA,5,7,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=lpy484WJ5IJvAwA%2BXSeSt%2FrZjhHA0eOn27v8Ys6hvCpE2Pk81Kj9bZbFXlMfXZiqBxNhU%2BNzraG7hw8sXkCKagAtTTiUYMRVB8GF5Opl%2BbhmyaUq%2FszOYmurOJYzBD%2BbKZvl%2F%2FWQD8KfpgBI97WktPvKPVhItlm6L3VesLemX3PAP3mDXXDbvVooz5MiLBJw6gLt%2ByUhIBV%2BfJYs%2BIibQOb9%2FrcbdXNyf%2F2zb6wSz400KpHXqFk3xhGUenKkVRRocENGe7eUqV%2BJ8%2BF%2BBejhS6sOvZdByldk4K5H3%2FGh2B3AKyzn%2BocExIH9q0ZNPXY03fenTU2WPxRvBWzjrCEGhfaX8%2FBUu%2BGgdPdu8tdJPJe4iA62p3dAkm%2FupbuIhXb6xw6GdzL1UjlXyzgEYj1H7VcJUZmS%2FdHa2NZKHPeIB18QG41Fj1T5k3u0cEIzBmSvzm1Nu7GZC7ix5Cyo31kP7AhI2VHGkKTeGPPpD%2B931D0oB6rvYO0L0vB%2Bx2W4rKMNMDormh64%2BcDVkJ%2FNq3eXYmoe1cNGBM3mJC7fRNVkjLCdiyohhe%2BBWiD6MrT3fGMbeDn7hc6iVRvsRD%2BTWGBRMXHgXxT67wPy5a1XAi7c1%2BsWnb7oCvN3UqpJHTvfwE3V53fzhpBXCgeodOtQXEYLm%2FAsKMhcVrL%2FzN5aT34PTCxUGXjgJjrM6sMq4F1sZyob0NJjKYtJqNqX4gznPxKFxxhdSu49zfkdwsIOR6BdXVdDEOr0pUZ4nVqk7MJCYAaM2sn8HSojp%2BYX1EzPKtdK4xP2WvdhssBSl4DYByKD8cf1lhiq%2B%2FvAp7C9OjZNy5MwrKIB6CrhdlNzhYCXk4fFKxT6VTuMEKN8T5PfDCRufgGZehToZhrsXpytoQhnwpB0QAuaykX7C5UZW%2F3FtQkCDUYVDp0%2B9%2FFUllyy4JJ3h0zKjWUgmExHFRWio3uBdfacySRJzJiRBeZx3euPYMKkfCdUk7XHug6d5nrLiZdLaAfFuXLXpKYmD49OEZMJSIdYjaNCPKM8mVCS1emLLLFzAJHs0qrW1FehOUVSECAaFb%2FjHYBKAgsk1Em3DmYsLXXKg7SG%2BZd%2FxeHia61G%2BuWmgVBzeMSsqK9koplYQhLRw3vcAkWEvvU1puqtnfavq419SJAUl2%2BCdXd32eGuULiOOFa58JbFzp5x7779SObByd1pk%2Bu0c6447PcHwTpfYLvXafHJ2AFFDS2f7bWnXKprH4d%2FMH7OL1NadYjSpcJO34uMWgTH9Lev8JRViPmwA29%2F9MgwO7k59%2F65DyIIzFj7g9aXyULQ8auWzpp4kIBw2PMvXhTscY3X8GsSXX9WayjRNLc%2Fn4dM00sI6Dl%2Bob8rv%2Ba5AAkm3HA1kBEU%2FBhzE7GNS7tCG5aREZoQkWWaEbRpdET%2Fl0RfS7%2BQoNNdyF92zMqCOq4%2Fn33PB0vicbqq6D7ayEZmSWvkkbz%2BAs6k9OG8cKNfFYammX%2Bv6XV0Kf%2FBlunINf%2Bfy80uMYh0n21DzpuPVeWPDyJ3OWL5BfeAepoqly5E7U%2FTakEquKYZ2Jb7tWIdJG4aLCbE1JxfmOpYo7tZ9HWhtFb2Ys%2BWHwA70W%2BwV%2FVuFnwDgXgGyWJrIUISbrGSKMkESdQKUUuZN2Mhs4Qyv7Fe7aZlfmQp9js%2BRvqsm742%2FfQIiAtUYfRPX5FlbsDCB8XOGr2v1ghYGxG%2Brw%2Ff2ebAABRVhtmtUu%2F0vUUH7b89Sg4%2B1mZQzFhW8ZT2ulV%2FBBWY5F5FWupGgGTc%2FNjPUozk0KzHfJ7u6D19MZvzG%2Bnfwgxv3gQs%2FjD1yJrnc1s%3D,7,0,0,0,0,#444942487,66 W,Thonet & Vander,Multimedia 2.1,Rätsel,Activo,NA,Negro,RCA
125, Parlante Bluetooth Portátil Jbl Xtreme Potencia Calidad Febo ,12643,NA,12,99983,18 cuotas,702.39,NA,Envío a todo el país,NA,NA,3.7,11,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459146742-parlante-bluetooth-portatil-jbl-xtreme-potencia-calidad-febo-_JM#position=19&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,5,3,0,1,2,#459146742,40 W,Xtreme,NA,Xtreme,Pasivo,2112 g,NA,NA
126, Parlante 15 Activo Led Bateria Bluetooth + Microfono Dimm ,103,109,318,46,18 cuotas,212.07,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-463611013-parlante-15-activo-led-bateria-bluetooth-microfono-dimm-_JM#position=20&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#463611013,NA,NA,NA,NA,NA,NA,NA,NA
127, Estuche Para Parlante Protector Funda Jbl Charge 3 Tpuy ,890,NA,45,59,18 cuotas,49.44,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.uy/TUPRODUCTOUY,https://articulo.mercadolibre.com.uy/MLU-450165675-estuche-para-parlante-protector-funda-jbl-charge-3-tpuy-_JM#position=21&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,5,1,0,0,0,#450165675,20 W,JBL,NA,Charge 3,Pasivo,NA,Negro,NA
128, Parlante Bluetooth Kolke Hit A Batería Con Mic Oferta Loi ,42,54,10,991,18 cuotas,86.47,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-460484089-parlante-bluetooth-kolke-hit-a-bateria-con-mic-oferta-loi-_JM#position=22&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#460484089,NA,Kolke,NA,NA,NA,NA,NA,NA
129, Miniparlante Cilindrico Con Bluetooth Varios Colores ,450,NA,6,194,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MDEOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-446348726-miniparlante-cilindrico-con-bluetooth-varios-colores-_JM#position=23&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#446348726,NA,NA,NA,NA,NA,278 g,NA,Auxiliar
130, Parlante Bluetooth Luces Portátil Jbl Pulse 3 Calidad Febo ,10990,NA,3,99996,18 cuotas,610.56,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452400389-parlante-bluetooth-luces-portatil-jbl-pulse-3-calidad-febo-_JM#position=24&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,1,0,0,0,0,#452400389,NA,JBL,NA,Pulse 3,NA,NA,NA,NA
131, Parlante Bluetooth Aiwa Aws21w Blanco Tsuy ,33,42,3,96,18 cuotas,67.94,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TS.UY,https://articulo.mercadolibre.com.uy/MLU-462659165-parlante-bluetooth-aiwa-aws21w-blanco-tsuy-_JM#position=25&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#462659165,21 W,Aiwa,NA,NA,NA,NA,Roja,USB
132, Parlante Inalámbrico Bluetooth A Batería 40w Kolke Bomb Loi ,37,59,3,999,18 cuotas,76.18,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464141169-parlante-inalambrico-bluetooth-a-bateria-40w-kolke-bomb-loi-_JM#position=26&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,1,0,0,0,0,#464141169,NA,Kolke,NA,Bomb,NA,NA,NA,NA
133, Parlante Activo Xion Torre Profesional Bluetooth Dj Dimm ,429,NA,3,10,18 cuotas,883.26,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-458752620-parlante-activo-xion-torre-profesional-bluetooth-dj-dimm-_JM#position=27&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#458752620,NA,rojen,NA,NA,NA,NA,NA,Entrada para Micrófono
134, Parlante Jbl Flip 4 Bluetooth Original - Otec ,3999,NA,1,4,18 cuotas,222.17,NA,Entrega a acordar con el vendedor,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-464402553-parlante-jbl-flip-4-bluetooth-original-otec-_JM#position=28&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,183,29,3,1,1,#464402553,16 W,JBL,Flip Series,Flip 4,Activo,515 g,NA,NA
135, Parlante Portátil Inalámbrico Luz Bluetooth Radio Leds Usb ,840,NA,49,51,18 cuotas,46.67,NA,Envío a todo el país,NA,NA,4.6,9,http://perfil.mercadolibre.com.uy/ML+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-449995547-parlante-portatil-inalambrico-luz-bluetooth-radio-leds-usb-_JM#position=29&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,6,2,1,0,0,#449995547,7 W,Genérico,NA,Genérico,N/A,NA,NA,NA
136, Home Parlantes Subwoofer Bluetooth Fm Usb Sd Tv Klip Xtreme ,3589,NA,202,99831,18 cuotas,199.39,NA,Envío a todo el país,NA,NA,4.6,24,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-444401348-home-parlantes-subwoofer-bluetooth-fm-usb-sd-tv-klip-xtreme-_JM#position=30&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,17,5,2,0,0,#444401348,NA,Xtreme,NA,NA,NA,NA,NA,NA
137, Parlantes Bose Soundtouch 10 Wifi Bluetooth 12 S/r Amv ,449,NA,4,10,18 cuotas,924.44,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-446542852-parlantes-bose-soundtouch-10-wifi-bluetooth-12-sr-amv-_JM#position=31&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#446542852,NA,Bose,SoundTouch,10,Activo,NA,NA,NA
138, Parlante Portable Bluetooth T&v Frei 10w 8 Horas De Música ,63,90,10,97,18 cuotas,129.71,NA,Envío gratis a todo el país,NA,NA,4.6,45,http://perfil.mercadolibre.com.uy/LEAMAUSRL,https://articulo.mercadolibre.com.uy/MLU-449824917-parlante-portable-bluetooth-tv-frei-10w-8-horas-de-musica-_JM#position=32&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,27,18,0,0,0,#449824917,10 W,Thonet & Vander,NA,Frei,Activo,NA,NA,USB
139, Parlantes Bluetooth 2.0 Thonet & Vander Vertrag Bluetooth ,183,199,28,43,18 cuotas,376.78,NA,Envío gratis a todo el país,NA,NA,5,5,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-444255526-parlantes-bluetooth-20-thonet-vander-vertrag-bluetooth-_JM#position=33&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,5,0,0,0,0,#444255526,NA,Thonet & Vander,NA,Vertrag Bluetooth,NA,NA,NA,NA
140, Parlante Bluetooth 2800w Pmpo Xion Fm Usb Sd Aux In Fm Nnet ,2624,2762,6,999,18 cuotas,145.78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-450383871-parlante-bluetooth-2800w-pmpo-xion-fm-usb-sd-aux-in-fm-nnet-_JM#position=34&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#450383871,NA,Xion,NA,NA,NA,30 kg,NA,NA
141, Parlante Bluetooth Thonet&vander Frei 16 Watts (colores) ,63,89,50,494,18 cuotas,129.71,NA,Envío gratis a todo el país,NA,NA,4.6,45,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=QAU1LUuHyH6DmddoaTo1zhGKf8ZhSXZjXX3zzxcrkuTvfCv2g1DKvawVG5MEyrzQ05Tvz5zwvNwhFA1KxYfeFpDmlbYAoabwQ4r4IlFRF8pu9kjeRiPv2DgEVyupF3ZGgcWZqMe5W4TFea93F9Rk7Qalq4xtzqVSuCWcCvtYqv7oCwfE%2FCMiHUyioXHzvp%2FKwl7rrzf%2BBeuP%2BOUrn1QAPRndD5yQsmsGOO%2Ftj43OUpa%2BueptDsl9nHqehzSpMbiK6EetPQfG37TaFJhyEPgc1jZACnGyhWjkTq50p7agQafULziFGhzQGYAwVPOiexjBUNDNhGooGcV5Vsz9zqbz5W0%2Fi2ZJl9AWz5gDtbrwo8pAmZT3zWP%2BU7yHqdFGeb1AgTRwhbTIUjuWA8UEXIexRYapb1VabEk2fqKTkFWBYzQ2H7emJ0o49krZ4apdwYCF8O14wkt7NvzW1KT4U%2Bwh1xOiwruWfb316wK56MOQgOJNEqrX2JXdi1NQQiFD1CNUiixN%2F1kPLXGnEvY%2FwvTHRkg0Kkj%2FWV5Hoa9Y%2BK9gjEF%2FIPbgBAPKmJhgG2PRZmOjB7rskZSlTNXZZkVlYiDbRFuqf%2FduZ%2FgGJElkyGWDowodiBEC3aovN0obnvcwzGL%2FJZlL%2B3BhpWXf85yg6N4ynMOOas2L66QaQiKiNhZ2ax9fBItBncoT2DIieCG84Kjt6bUDdASwX7imXTIE5ayznP3WcpDqV36PP3SD9sE6NYoJm7TVD%2B%2BVOc4cRSEkIp%2B%2BiNAtuTrHSUbk8bmELfEWLXDsVLmKf2UUJWScoilYvi1YV8WbCa%2FthbB2YOxm%2BA5kak7jplyGNaJwDlmdcdqVOWRa%2F%2FOjNq6e8OENMLwv%2Fh0HVi7he%2FCljOZ1BRAEFVGDha3fNvHsR%2FrvsKf4E6XqNOYaX1%2BIew66%2FFY7RzLODaU2qBStUU%2FoQpXjLHaf1nZfPA8xR8ORD8TgTvqS6XnCRCjYHfKzP%2F42KQiWNuJfQ2TC78Ra0DMv%2BCDY7lSRunPVjVpRmgUW%2BBfM9D6FGHay7EuyX%2B%2F%2B2wTIOh4tjhdppvWjnrPsMkpK%2FODvcgYREObrczd%2FJWeovJ3UUe7T4aA3OVc%2FOmpeP8Bp2Fva81ByTuU%2FKSVCP3gdAYV4vPL0SVAg3uVYumBBdbieFx56GeIeAnHuu%2BpWNB%2FrT4v2fi1By%2BZ5WzHfXa%2BbTE1hN4JhzkVWJ%2FKHWfLJFEt8MOimvR6d232vLLeZLYsCEC21Gg4OvTbvcaflMtv3VJQe%2B5nRk4qqhvp3QBpL4tVdIQLra%2B%2Bfj7quUfjcG4qQoF9UZbLjMLCYMYB5Kij%2FgfC9o321eWopiuyVRRnfH9CF23qSz6I5H9iLiCcdI1Rpt9g6PGhymmIYOKaF2ekGqPiM9RHpI9DpKdn28G0XVceJ671bgxGxnNHtY0tBgeVGERmcGgUJNWwZi5b8DWGh%2BZ%2BZ4VPSFHYtFbjgkYbO%2BClVJH%2FG7BxH5k8bKjOLIlm9%2BcY5tpjPmO7gCXqbZidH%2B0WwD%2B8j32%2BN1LVP1d07RJjjOwPYY4noavJ442IrxNL5btD%2F0dQY8PaKhqYzaXXXbjP%2BEL1SSqI7P8bPVKr6COeYGcope4bW%2BxG5d%2FaKQvK0o3YKt0OJDV8ef5BuILLCeGJmBWHwTn4%2BytPuFWhlLAFO0A6Cpt7gCz%2FDDCgGD3HozCSKnsPa8eHLntdI1ymkLAurHIg9SeF5Ey%2F4%2BaAvb5ZcTnzkIWhFEYhCdkzLpAfKznvYtBtFGnlSFuY2rQhzjkyRk4DogfrjxDfKw0swfjr7jLmFSOF2F7FzGrGXYg%3D%3D,27,18,0,0,0,#453091126,16 W,Thonet & Vander,NA,Frei,Activo,NA,NA,USB
142, Parlante Bluetooth Jbl Flip 4 Portátil Sumergible / 12hs P M ,4699,NA,55,17,18 cuotas,261.06,NA,Envío a todo el país,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,https://articulo.mercadolibre.com.uy/MLU-447402732-parlante-bluetooth-jbl-flip-4-portatil-sumergible-12hs-p-m-_JM#position=36&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,183,29,3,1,1,#447402732,NA,JBL,Flip,NA,NA,0.51 kg,Miami,NA
143, Parlante Portable Bluetooth Fm Usb Bateria 159bt Futuro21 ,899,NA,60,17,18 cuotas,49.94,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-448624457-parlante-portable-bluetooth-fm-usb-bateria-159bt-futuro21-_JM#position=37&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,2,0,0,0,0,#448624457,NA,MS-159BT,NA,MS-159BT,NA,1.216 kg,Negro,NA
144, Microfono Karaoke Bluetooth Parlante Niña Musica - Rosa ,490,NA,40,59,18 cuotas,27.22,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/TUSHOPUY,https://articulo.mercadolibre.com.uy/MLU-455483673-microfono-karaoke-bluetooth-parlante-nina-musica-rosa-_JM#position=38&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,2,0,1,0,0,#455483673,NA,NA,NA,NA,NA,NA,NA,NA
145, Mini Parlante Portable Bluetooth Inalambrico Sd Fm Usb ® Ty ,337,NA,10,49990,18 cuotas,18.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-458108206-mini-parlante-portable-bluetooth-inalambrico-sd-fm-usb-ty-_JM#position=39&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#458108206,NA,NA,NA,NA,NA,165 g,NA,NA
146, Lampara Led Rgb Control Desde Celular Parlante Bluetooth ,340,NA,4,96,18 cuotas,18.89,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MILOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-462852846-lampara-led-rgb-control-desde-celular-parlante-bluetooth-_JM#position=40&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#462852846,NA,NA,NA,NA,NA,NA,NA,NA
147, Parlante Bluetooth Manos Libres Lector Micro-sd Y Usb Fm ® ,450,NA,10,5000,18 cuotas,25.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-445244950-parlante-bluetooth-manos-libres-lector-micro-sd-y-usb-fm--_JM#position=41&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#445244950,NA,NA,NA,NA,NA,NA,NA,Auxiliar
148, Parlante Portatil Bluetooth Aiwa Microfono Fm Usb Diginet ,220,NA,4,9996,18 cuotas,452.96,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,https://articulo.mercadolibre.com.uy/MLU-458201325-parlante-portatil-bluetooth-aiwa-microfono-fm-usb-diginet-_JM#position=42&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#458201325,NA,Aiwa,NA,NA,NA,NA,Negro,NA
149, Parlante Activo Xion Xi-xt92 ,359,NA,1,NA,18 cuotas,739.14,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ZONA_OFERTA,https://articulo.mercadolibre.com.uy/MLU-459936247-parlante-activo-xion-xi-xt92-_JM#position=43&type=item&tracking_id=074306f6-4b9a-442e-8479-a59b632a5670,NA,NA,NA,NA,NA,#459936247,NA,Xion,NA,NA,NA,NA,NA,Auxiliar
