search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Color,Tipos de parlante,Peso,Conectores de entrada,Línea,Tipos de filtros del parlante
11, Parlante Sony Bluetooth Extra Bass Ip67 Acuatico Xb12 ,169,NA,6,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444306-parlante-sony-bluetooth-extra-bass-ip67-acuatico-xb12-_JM#position=11&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#434444306,Sony,XB12,NA,Como,Portatil,NA,NA,EXTRA BASS,NA
12, Oferta! Pk08 Parlante Karaoke Bluetooth Radio Fm 8 Pulgadas ,169,NA,22,89,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/VELBRO+PERU,https://articulo.mercadolibre.com.pe/MPE-433317574-oferta-pk08-parlante-karaoke-bluetooth-radio-fm-8-pulgadas-_JM#position=12&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,2,0,0,0,0,#433317574,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA
13, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,529,NA,7,294,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://articulo.mercadolibre.com.pe/MPE-437378262-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM#position=13&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#437378262,JBL,Charge 4,30 W,NA,Woofer,NA,NA,NA,Activo
14, Combo Auto Radio Bluetooth + Parlantes 16 Cm Bowmann ,169,NA,1,9,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/COMERCIALCAPABLANCA,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=zYTWZrkchicVn2CHebdtwC5BO7O94Fi4VJMGQHwZOuCnQHU%2FINbol6RA6AIApItvK%2B9kCkhhrw8WYOx3Gj6IDkXkKlvSkyv9nfITwv3v4SNJuS1buG2RNevItoJGRSTOFaoL6wWb4BRBlq%2BHqiMT80s84L0ksr4MHPk7tgLxcm1QjM0cbK4o7XTZ6JOQE2WCyOeFMnaJjxhe%2B%2Fvg0x2MdkIkVinFexQD%2Fu74jmXT8at4lpeXStnUM8D8%2FOymeV1XIhCdc0skYTjxpFH1sRHuYP%2F%2FdC%2Ff4B4L3WLt3KBGNemsKg9c5JH8U4ZPC%2F0a%2B5SBFFTRP9ENphuHLQH8p5aogizX8ckzV7rOT52s4TI0wm9Trb%2FILLSEKvb9IybdnrsdkbDNPjhD5LooKVCiac5xGDB%2B2SlGlrhcdj0XrGlrOgXmsQyzRjgh3ip4yeh6e7TUAciPqZuBrVMlLIHVmpY6ofpKlfvbqq8Mfrs41LOzoV%2F9lFuk2x9BBRCkqqhS94tK%2FDpMjxENvtEW%2Fg9kV8xG6%2FTeO0dBQRLOjFt0VbLOEj%2BoJie5K2HU9aHFgrtWeaxFXDpqvbsvZAugrDXxIgC3G68%2BZFOwg0pAeJl2bBwz4Bd%2FvJpwEspI5JKhfoZID9NS1Nfk48utXyxe1QHYuE31M11nXL4w5xzYmmo3f0yTSQz9FozW6yuvA%2FnDaUN80QlWLFmMqnrxoWZtyva0nJ2di20VtzVMK6r45uKU%2BVyL2KEapO%2FG6csfUP3%2FlNl7v3E5iH1f7yvq9fo1jEe7kYcuVCnC6l2ZpHFh%2BtvAptCXLEq2Xaico9ehFvaDKWpwqayf%2Be0C1uL0NbbyKY2MwC767yAoR1OYePwONurAoe5GeG0CNsfooC9TloPqxyte5xT78P%2FvHCJAXwLceOR61VdaUceMSqVk1TuaiRdakhnb1lFG8U%2FXIOifSlIvVFRCTMBgPIGMJtKhcYqYMVWayN%2BWefLTujAf0of9QOASklLpt%2BuKzSRQj%2BKZRne4j8C%2Be9fx51u9uiNziXJxoFlnnVa7RnpQSC1vVtiwPf4hhjJ8aDfX6Sc8D%2Fk0Dz8w1aOdJdb9wKmB4T9YSK%2BDgcnsf8CDZlpfUv%2Bi6v%2BxfopB0VNOYvsRQ8HD5MJieO22hja2JpnvUjrLEyy0A3cHRtlSLwHmAwQPBqt2FxIW%2F6rLptsAkYhnQJV49BPXpafhiq0ponshahVktsRe8jO92ux%2B%2FMiCF0HcaR%2FtPG7EmYd3v8q5hG6HwZWAYpuscKyG%2F8Uu97Vdi2nap58bi%2BvTySqSH25kvzyCdC5IEhKntotaTmLn1cIIWQe%2Fz%2BbjirpRkkDDELm3tyA6zhEKc3Xp62hPHJzCteEq4%2Bk%2FPZ6%2BlpJHVsf3QuUw%2BCPBjXJ6YJBnXJIkideL2Na7hM5zhKVoHWCsKKO8WlvvQgvsxZd%2F6C1vaCH9McU3xfLggspfhDsRsUwXrwWZtxcnb2xB0h6qwwpxhpaDeaqSg6jEdl%2Bv9aUoG6zn3iVCB55fHXhqgXNABG96D3Uo1OcgpM%2BGRHYSOB3nnTMTiM5OG12HqIO%2BuTusJLTnB6txMP8%2BFIhfOLsZk4za8x7Y1akBUq7mVwamwkibgUhO6Snxt4Kzin33M5FX8nnEYZLsWUb5r5HY6OTGKWKZrIy%2FxVFbhy2MC6u8tflFNBFTid0zucBqu8c2%2FXE%3D,NA,NA,NA,NA,NA,#436815734,NA,NA,NA,NA,NA,NA,NA,NA,NA
15, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,29,NA,269,739,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM#position=15&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,3,1,2,1,0,#419076361,generic,aux,NA,NA,NA,NA,NA,NA,NA
16, Parlante Activo A Bateria Mpa200bt Bluetooth + Envio ,1599,NA,2,98,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-435495287-parlante-activo-a-bateria-mpa200bt-bluetooth-envio-_JM#position=16&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#435495287,NA,NA,NA,NA,NA,NA,NA,NA,NA
17," Google Home Hub Pantalla Inteligente, 7 Touch Nuevo/ Sellado ",420,NA,5,89,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-436387375-google-home-hub-pantalla-inteligente-7-touch-nuevo-sellado-_JM#position=17&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#436387375,NA,NA,NA,NA,NA,NA,NA,NA,NA
18, Home Theater Pasivo Jbl Cinema 510 ,899,NA,0,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/COMERCIALCAPABLANCA,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=pRPnH%2BozKcKniVa%2FkML%2BIItabaf1XpVRMyvE5uTELuzwAAMLsvWWu8oD8LTTAeriZ4Uorz55vU71l9M6yx3mG9c0KgJYtoGF%2FXya4bBhle10Rlh8WHKhYsZWHs7IYTYI91TqgmzbHmn4OWWWLWbFyxd3P8DT8x%2FxOJ3SiDhqx6iTj5Sp1oQ9rm1%2FYrRX6V4XWYZgxB%2FIdedxkLDj5SZpFs%2Fawi0tsSGSUUl5ynHohDH9fmsqDuh9apwd9mOxmyDplN5U7dqFTgPQCShzGXKFqLf%2BG7s57DFCYlzuMrxYKGp7ni4ZUjJKznhRTW%2BEPtjhVzfwtopgwbEJV3dtCcJHY4j3o0zBj3wChguFAl5%2BUt5w1cO%2FbqPxVE49qwkSkIbgzsxv%2Ba26W6OjhuQZzdpFCZA3%2BXTgur%2FBxB3raZcUp11dOd%2BE3fexiIML%2FgO9BzjRwtCDJE2Kh%2BkroodXgFj4kEUeO%2FcWy39W%2FOegmMYW5%2F%2BWA22S27%2F5eV3MU%2BkpiZV4no5CeDA%2FWmCt995flUVw3qYDncJIcw8FuBBYwAvkDD9IsekOKZcWvKQqIG43O8Rz0t0xdslaF90jx4Jtdsour%2BJHnB89sj%2BLeoUWFfpT7cFfejCcm%2FWpInc8iPcSjnBHoBQ12FMZbV%2BHyt7mBW16QPRvZTkRZnUibXIBVIn4TV3mFacfvO7J0evQ6l8agu70j92aDabQF6HzT%2BT716WwNleSz3EPBzewkjkM4xRk5NBFdLHWz4uobPL0uJItK5gubh6SIUGJRstNO9dScIUFqdUjUOuwDDkGNVGAvH%2BKc7wGJHYS5nP0v9AlT6Lid%2FEIowH%2BnJRiQHsv7hAFt%2FOWSC6cSYxy7sS%2FkIwgt%2FyfvRkBzc%2B92e3hK9fXUUgvKJh3CUI%2BLAT771l64gl7K6Q58j%2B0T%2Bkz0N7snr2dmm0SWIPHDaT3KCGOqgPjrDaRxsr34FQJfPyfyO%2BzdGWqfv6GhTucS3KaVOTi3QEcm77WV6JsYIEQk4MqW6zzCmdsdYw9E8Gha%2FkRnFWt4%2FLID%2BhZt9YcZ%2Fec6Dh7YOZURXH272p1PQcfTBLHhT9qakS9VlTElr14yu4R9xwjunCA87msA3%2FIz%2BrO9EHq0VKt%2Fv6p5AOL1YDXCyiwPklS4k2efZkFnf3H6pMb9KuTWFpwOJpM0w%2BRI4VYwHwQYP%2Fa4qu%2FtDJgmIylnP0GBfmFWMCXhefcB20izvpIuobx4MeDDJ3SdwlnHkWrM8bSR4EVhcOKKtTAZqfhe0RtD3cawKkDiyce7JHTYRKQ7NZZ3i96n2VpXknUfKW6RhfOHFy9d91Rkgv5QdQgWoujw7J2L6ijrzbZNl3femU40Un1%2BiUGnUZZlfzHBXDAEH1Ng55A4Rp%2F0bksFaPzYUAAWoMvQxWmfMObSs8qG3NPUF%2FuTiv5d%2By53gi7%2Bgye1PzOq9qiZbMnZWpPCAeV7smzR1UPeYOYxoLTddjnrDSpg4JZY0N0q4TGUATw33IFR4dX0vexIaNwdXFR2KqB9DB3A6RHbc616yHs4qz4lvCUibfWjjLEe378NtY5SklPaQyKt4hnmDDXGyFbQuFPrqXbPCQg8dRBWUcoww%2FAE8Ou6Cas2OdbUW4lmVBoaHBdVbo45QJaIsceEjfEm%2FGpZgMSB2Axr00%2FxVHY5AxD9JglLKX%2FeA%3D%3D,NA,NA,NA,NA,NA,#436829121,JBL,CINEMA 510,NA,NA,NA,NA,NA,NA,NA
19, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,330,NA,6,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM#position=19&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#436941118,NA,NA,40 W,NA,NA,NA,NA,NA,NA
20, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,15,42,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM#position=20&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,7,2,0,0,0,#429687772,JBL,Flip 4,16 W,NA,NA,NA,NA,Flip,Activo
21, Google Home Mini - Masplay ,139,NA,11,9988,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM#position=21&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,1,0,0,0,0,#434654884,NA,NA,NA,NA,NA,173 g,NA,NA,NA
22, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,549,649,6,18,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM#position=22&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#434111505,JBL,Charge 4,30 W,Como,Portatil,NA,NA,NA,Activo
23, Autoradio Pioneer Dxt-s4069bt Bluetooth + 4 Parlante Pioneer ,569,NA,6,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-434645186-autoradio-pioneer-dxt-s4069bt-bluetooth-4-parlante-pioneer-_JM#position=23&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#434645186,NA,NA,NA,NA,NA,NA,NA,NA,NA
24, Jbl Xtreme 2 Parlante Acuatico Bluetooth Portatil By Harman ,999,1069,2,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435224647-jbl-xtreme-2-parlante-acuatico-bluetooth-portatil-by-harman-_JM#position=24&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#435224647,NA,NA,NA,NA,NA,NA,NA,NA,NA
25, Amazon Echo Dot 3ra Gen Altavoz Alexa Nuevo Y Sellado ,180,NA,7,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/EDISEL.TS,https://articulo.mercadolibre.com.pe/MPE-436628951-amazon-echo-dot-3ra-gen-altavoz-alexa-nuevo-y-sellado-_JM#position=25&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,1,0,0,0,0,#436628951,Amazon,NA,NA,Gris oscuro,NA,300 g,NA,NA,NA
26, Parlante Acuatico Bluetooth Manos Libres Microfono Ducha ,24,NA,48,52,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,4,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,https://articulo.mercadolibre.com.pe/MPE-421447296-parlante-acuatico-bluetooth-manos-libres-microfono-ducha-_JM#position=26&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,3,0,0,1,0,#421447296,NA,NA,NA,NA,NA,NA,NA,NA,NA
27, Parlante Portatil Altavoz Bluetooth Charge Mini ,39,NA,20,180,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.pe/PRECIO.PE,https://articulo.mercadolibre.com.pe/MPE-429000664-parlante-portatil-altavoz-bluetooth-charge-mini-_JM#position=27&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,2,0,1,0,0,#429000664,NA,NA,NA,Fiesta,NA,2 kg,NA,NA,NA
28, Parlante Jbl Charge 4 Bt 100% Original 20horas 30w Acuático ,565,NA,3,17,NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NO2125288,https://articulo.mercadolibre.com.pe/MPE-436598987-parlante-jbl-charge-4-bt-100-original-20horas-30w-acuatico-_JM#position=28&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#436598987,JBL,Charge 4,30 W,NA,"portátil, impermeable",NA,NA,NA,Activo
29, Parlante Tronsmart T6 + Plus 40w True Bass Sd Bluetooth 5.0 ,250,NA,4,96,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GRAFOPERU,https://articulo.mercadolibre.com.pe/MPE-437621488-parlante-tronsmart-t6-plus-40w-true-bass-sd-bluetooth-50-_JM#position=29&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#437621488,Tronsmart,T6 + PLUS,40 W,NA,NA,NA,NA,NA,NA
30, Minicomponente Panasonic Bluetooth Sc-ua3 300w One Box ,469,NA,4,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-426399387-minicomponente-panasonic-bluetooth-sc-ua3-300w-one-box-_JM#position=30&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#426399387,Panasonic,NA,300 W,NA,NA,NA,USB,NA,NA
31, Parlante Bluetooth Jbl Boombox 60w Mejor Portátil Del Mundo ,1569,NA,3,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-432426065-parlante-bluetooth-jbl-boombox-60w-mejor-portatil-del-mundo-_JM#position=31&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#432426065,JBL,Boombox,60 W,NA,NA,NA,NA,NA,Activo
32, P Parlante Bluetooth Logitech Ue Megaboom 3 Ip67 ,649,NA,2,1,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,https://articulo.mercadolibre.com.pe/MPE-435567205-p-parlante-bluetooth-logitech-ue-megaboom-3-ip67-_JM#position=32&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#435567205,Logitech,NA,NA,NA,NA,925 g,NA,NA,NA
33, Jbl Go 2 Parlante Bluetooth Portatil Acuatico Ipx7 Original ,119,NA,10,43,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444185-jbl-go-2-parlante-bluetooth-portatil-acuatico-ipx7-original-_JM#position=33&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,13,1,1,0,0,#434444185,JBL,GO 2,3.1 W,Brillante,Portatil,NA,NA,GO,Activo
34, Parlante Karaoke Bluetooth + Microfono Y Entrada Guitarra ,120,NA,6,94,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,https://articulo.mercadolibre.com.pe/MPE-431844087-parlante-karaoke-bluetooth-microfono-y-entrada-guitarra-_JM#position=34&type=item&tracking_id=8a2cd39a-e1bc-4c1c-adf2-278189c6d75a,NA,NA,NA,NA,NA,#431844087,NA,NA,NA,Cartón,NA,NA,USB,NA,NA
