search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Línea,Peso,Color,Conectores de entrada
1291, Mini Parlante Bluetooth Ovalado Bateria De Litio ,21.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(19 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PORTATILESHARDWARE,https://articulo.mercadolibre.com.co/MCO-512555336-mini-parlante-bluetooth-ovalado-bateria-de-litio-_JM#position=19&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#512555336,NA,NA,NA,NA,NA,NA,NA,NA
1292, Parlante Jbl Flip 4 Rojo Bluetooth Waterproof Bateria 12h ,401.900,469.900,"
			
			
				
				4
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 33.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.9,11,https://perfil.mercadolibre.com.co/TEKNOPOLISCOLOMBIA?brandId=209,https://articulo.mercadolibre.com.co/MCO-459625841-parlante-jbl-flip-4-rojo-bluetooth-waterproof-bateria-12h-_JM#position=20&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,10,1,0,0,0,#459625841,JBL,Flip 4,16 W,Activo,Flip,NA,NA,USB
1293, Parlante Bluetooth Hopestar H40 Elegante Portátil Ub Aux Sd ,69.900,NA,"
			
				Nuevo
			
			
		",(100 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 5.825
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,https://articulo.mercadolibre.com.co/MCO-502753173-parlante-bluetooth-hopestar-h40-elegante-portatil-ub-aux-sd-_JM#position=21&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#502753173,NA,NA,NA,NA,NA,NA,Negro,NA
1294, Cabina Parlante Con Bluetooth Usb Radio / Batería Micrófono ,198.000,NA,"
			
				Nuevo
			
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 16.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/INGTECNO+SHOP,https://articulo.mercadolibre.com.co/MCO-514593362-cabina-parlante-con-bluetooth-usb-radio-bateria-microfono-_JM#position=22&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#514593362,NA,NA,NA,NA,NA,NA,NA,NA
1295, Parlantes De Techo Ambientales Activo Y Pasivo Con Bluetooh ,260.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 7.222
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/GOMEZNARANJOLTDA,https://articulo.mercadolibre.com.co/MCO-470616447-parlantes-de-techo-ambientales-activo-y-pasivo-con-bluetooh-_JM#position=23&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#470616447,NA,NA,NA,NA,NA,NA,NA,NA
1296, Parlante Hyundai Hyspbt979 Multimedia 300 W/rms/2usb/bluetoo ,494.817,NA,NA,"
		
			¡Único disponible!
		
	","
	
		
			
		
		36 cuotas de
		
			
				$ 13.745
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SAMIR+FERRE?brandId=289,https://articulo.mercadolibre.com.co/MCO-514521141-parlante-hyundai-hyspbt979-multimedia-300-wrms2usbbluetoo-_JM#position=24&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#514521141,Ferreteria Samir,NA,NA,NA,NA,NA,NA,NA
1297, Mini Cabina De Sonido Parlante Bluetooth Recargable ,49.900,NA,"
			
				Nuevo
			
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.158
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,https://articulo.mercadolibre.com.co/MCO-530306849-mini-cabina-de-sonido-parlante-bluetooth-recargable-_JM#position=25&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#530306849,Topsonic,TS-151BT,NA,NA,NA,NA,NA,NA
1298, Bafles Parlantes Usb Bluetooth Resiste Agua Fllp3 / Impoluz ,99.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 8.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMPOLUZ_PEREIRA,https://articulo.mercadolibre.com.co/MCO-467489550-bafles-parlantes-usb-bluetooth-resiste-agua-fllp3-impoluz-_JM#position=26&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#467489550,FLLP3,BAFLES PARLANTES,NA,NA,NA,NA,NA,NA
1299, Parlante Bafle Barra De Sonido Bluetooth Sd Usb Fm A189 ,58.990,NA,"
			
				Nuevo
			
			
		",(15 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 4.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MALU+DECORACION,https://articulo.mercadolibre.com.co/MCO-511151683-parlante-bafle-barra-de-sonido-bluetooth-sd-usb-fm-a189-_JM#position=27&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#511151683,NA,NA,NA,NA,NA,NA,NA,NA
1300, Parlante Kalley 8 Pulgadas Bluetooth Usb K-spk50bled ,355.000,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		36 cuotas de
		
			
				$ 9.861
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/UNIVENTASPRO,https://articulo.mercadolibre.com.co/MCO-462897431-parlante-kalley-8-pulgadas-bluetooth-usb-k-spk50bled-_JM#position=28&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#462897431,NA,NA,NA,NA,NA,NA,NA,NA
1301," Altavoz Inalámbrico Portátil Sony Xb10 Con Bluetooth, Neg ",201.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(11 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 16.832
			
		
		 sin interés
		
	

	
		",NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PRUXIA,https://articulo.mercadolibre.com.co/MCO-464607070-altavoz-inalambrico-portatil-sony-xb10-con-bluetooth-neg-_JM#position=29&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#464607070,Sony,NA,NA,NA,NA,1 lb,NA,NA
1302," Bafle Activo Pl2600x 12 Pulgadas, Con Usb/sd, Fm Y Bluetooth ",424.900,NA,NA,(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 35.408
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SONOMARCASVENTO?brandId=505,https://articulo.mercadolibre.com.co/MCO-518243075-bafle-activo-pl2600x-12-pulgadas-con-usbsd-fm-y-bluetooth-_JM#position=30&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#518243075,PLAYPRO,PL2600X,NA,NA,NA,NA,NA,NA
1303, Parlante Stereo Blackweb Bluetooth Ipx4 Carga 10hrs ,80.000,NA,"
			
				Nuevo
			
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 6.667
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TECHCOMCO,https://articulo.mercadolibre.com.co/MCO-495932397-parlante-stereo-blackweb-bluetooth-ipx4-carga-10hrs-_JM#position=31&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#495932397,Blackweb,BWA18AA009,NA,NA,NA,NA,NA,NA
1304," Mini Bafle Portátil, Parlante, Speaker, Reproductor Fm 15w ",48.700,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.353
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TUCOMERCIODIGITALCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-523362911-mini-bafle-portatil-parlante-speaker-reproductor-fm-15w-_JM#position=32&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#523362911,CZU,OZ-J006,15 W,"bafle, corneta, Reproductor fm, altavoz, mini, espeaker, bluetooth, lector usb, lector mini sd, microfono, inalambrico, recargable",NA,NA,NA,"Lector SD, USB, Plug & Play, FM, Bluetooth"
1305," Adaptador Inalámbrico De Música Acemax M5 Wifi Audiocast, ",252.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		36 cuotas de
		
			
				$ 7.000
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MAUJA.STORE,https://articulo.mercadolibre.com.co/MCO-523800533-adaptador-inalambrico-de-musica-acemax-m5-wifi-audiocast-_JM#position=33&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#523800533,ACEMAX,M5,NA,NA,NA,NA,NA,USB
1306, Parlante Sis. De Sonido Activo Live5 Advance Vento Bluetooth ,1.827.900,2.030.000,NA,(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 152.325
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SONOMARCASVENTO?brandId=508,https://articulo.mercadolibre.com.co/MCO-512124811-parlante-sis-de-sonido-activo-live5-advance-vento-bluetooth-_JM#position=34&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#512124811,NA,NA,NA,NA,NA,NA,NA,NA
1307, Parlante Portatil Bluetooth Pills 15w Con Usb / Impoluz ,38.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.056
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/WOMPRA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=E%2B778A1bvcfMyUsC%2BCa4QHyKMaNSxIF9rbCOSYZJkxYrm4KZspPwuJ5VPpV8wLhC2OPhf94inInz2L13rmVnvfIl98MZbrJRlr9xW5N6gu75fFTJ%2FeaGPR6YYW6tdgzPcWRL5GDlqD6SGwOK0Qn3ZJhCj6UyN22dt4otVCkhEK1A956dZFB%2B8C7pKrFrUluAcHiQqFVBNkfNv1jiUj27qXQvreh3w%2FTCE0JJA3Z438XLyrXknqqbmZsX%2BivTvkl%2Bqdg1bJcDzl0SuHXuTOjVkubm7Zv3Mgr8TljC3Z9yYqbxwovcjXtvbYQs0xc20BteF%2FsDrV38NpYsx8%2Fn48Pxtle5XFQe9uYdJMkzkaj5HjQ4CsE955ylElfWDTg5hmq8KhhbNZ0K8EkglJS8zr13NtbJ1HO4peXTfQ4SAdEPn%2F9OUO6%2BzA2XKXm%2FvNI5jWNNgMTTDdjbLkvJ7d%2Fk5oqM7Bs0ZRSlqlgyyxhTiMzLa5UFKrWOBjTOo4BG2avGWDHj%2FYl%2FVdXnUkINc8PGahCt4OgGfzuEQCM4xfheo2rG98KkhxHLl8AHxjEAKdoZWqcTMTJeK31%2FE8TCF%2BnaYG7x52O6kWFjApBxgc9B4ihskxPy%2Fb5Wg2ug2Quz9Pxt%2FdnlgWxsJbeBZN3gfEB059YYZqSJk2bidWj0bxfLbKgh%2Bq%2FcF%2BOSuHDgKad6B1M%2BzDYcCvFNVVajCYzjQ8qkTMtwqa%2BuwLMGLxzi%2Bn6u87AS17iCM%2Bl52WQ9fgI7RK1zeV%2FD21PfW0zqTJuR0ZDxmqcZgqIJDmeRiPY5JNJ5CesoOqbONoAo9LCOjy0gsncYWCqjjmoG0B%2F%2BEw7r3t79p8e9WuiUGNNa1358r4MIweJOIBPo%2Bgay5kjA8bGT73jggA0a3YNIiDQsRQbaslly%2BsCQvXj5aGPbOyqXzq8%2FFedCt1OV%2FslYjpLHEGM5V0kH%2B%2B7mXTZwQIq3YPOXnHCsfQ7IiJ0QzK2rZO53RJ5Wiy4ON%2FXNdNu9K2XpN%2Fae7ustYVzauaTFyqhEMvn9UG6WFhsmOo7NtnJFX3lVwNTv8ojrzg879ZuRuRaTaIX5uUsKvVkdrRslCG5cSu7ShR7PYvazXIazjrhkds8U4PG4qCtXzCbaigY2GbU05lywBuTdCPCObmG8k5XJZNwwbiIhucEw44nLXj%2FachuMMdtsqiCX162KXz%2Fi0GgPd3eIwyQyEHiaOJa1GG3Q67G6zoy4vMD%2FqbDzzC1DqIHcks%2FjWGZJ1oRZw2urXkQ4ue6ESSDes9Y%2F9Nupgk0zq%2BNEHI0%2B2VKynlxoIwXE3DEgWjUjcCwrVXOlTzMTey%2FJ106Q3uPbEj7BQ7%2B%2BbHcrmdwy%2BcpYPeWgDDihmxCCDhaLEPhAr5X%2Bazp%2F6DNz5Y4y%2FCH0WW4D6s5at04BfMPr6KZGFLSdFV%2BpD3GmbcG4PWYVnEEku4c10ZwgELYf%2Bps8Rear9x9vnpGKUBnkdPssZ%2FEmFJJzCdKJBCYz541LMif4enoHwhQuL2F0qSqeN5YPxtLMy49GUPdZ7OMBF4iAyeasTGyJ5AFXAKjD7liT%2Bj3sApZESoZFgnDJJZBCnAQiRmETwwqk6BiJ8fg1x%2FGa%2BQWxGSFMqTCA3ioVo2Oq3ZKbCHpqFpGM%2BNrnlqXCaxtONgniQnOjQBbTJUaDm50%2BwwmbQSbgSvrLqVl9oN8nJBC5Yg0oI7o%2FteDPZNtJWDMIqEiTCJvKMfR8IwznR99fcpVHfvqpMEZ%2BX%2BR8dMneNaJPTbLTVoencrmajuoyWzJzNoAwtuosXNKWLGdiyvUT,NA,NA,NA,NA,NA,#482026000,NA,NA,NA,NA,NA,NA,NA,NA
1308, Parlante Portable Jbl Boombox Sumergible Negro ,1.999.000,NA,"
			
			
				
				16
				vendidos
			
		",(1 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 55.528
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,5,https://perfil.mercadolibre.com.co/HARMAN+COLOMBIA?brandId=81,https://articulo.mercadolibre.com.co/MCO-459687514-parlante-portable-jbl-boombox-sumergible-negro-_JM#position=36&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,4,0,1,0,0,#459687514,JBL,Boombox,NA,Activo,NA,5.25 kg,NA,NA
1309, Parlante Bluetooth Portatil Xtech Recargable Xts-500 ,27.900,32.800,"
			
				Nuevo
			
			
		",(3 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DECME+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-467930639-parlante-bluetooth-portatil-xtech-recargable-xts-500-_JM#position=37&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#467930639,NA,NA,2 W,NA,NA,150 g,Negro,NA
1310, Parlante Kalley K-spk200led 200w Rms Bluetooth ,489.900,599.900,NA,(20 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 13.608
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FANTASIA+ELECTRONICA?brandId=23,https://articulo.mercadolibre.com.co/MCO-513215376-parlante-kalley-k-spk200led-200w-rms-bluetooth-_JM#position=38&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#513215376,kalley,NA,200 W,NA,NA,10 kg,Negro,Auxiliar
1311, Parlante Portátil Extra Bass Con Bluetooth Recargable ,89.000,NA,"
			
				Nuevo
			
			
		",(9 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.417
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDAVIRTUAL+FARGO,https://articulo.mercadolibre.com.co/MCO-484177280-parlante-portatil-extra-bass-con-bluetooth-recargable-_JM#position=39&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#484177280,Enermax,EAS01R,6 W,NA,NA,NA,Roja,NA
1312, Samsung Parlante Inalambrico Scoop ,70.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.944
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,1,https://perfil.mercadolibre.com.co/WWW.ALSOLNEGSAS.COM,https://articulo.mercadolibre.com.co/MCO-486063282-samsung-parlante-inalambrico-scoop-_JM#position=40&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#486063282,Samsung,NA,NA,NA,NA,NA,NA,NA
1313, Parlante Kalley K-spk300led 300w Bluetooth/fm/usb/sd ,759.900,859.900,NA,(2 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 21.108
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FANTASIA+ELECTRONICA?brandId=23,https://articulo.mercadolibre.com.co/MCO-513215432-parlante-kalley-k-spk300led-300w-bluetoothfmusbsd-_JM#position=41&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#513215432,kalley,NA,300 W,NA,NA,22 kg,Negro,NA
1314, Parlante Bluetooth Led Inalámbrico iPhone Samsung Usb Sd ,19.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 1.658
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PRODUCTOSPINZ%C3%93N,https://articulo.mercadolibre.com.co/MCO-464586380-parlante-bluetooth-led-inalambrico-iphone-samsung-usb-sd-_JM#position=42&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#464586380,Samsung,NA,NA,NA,NA,NA,NA,NA
1315, Parlante Hopestar H36 Bluetooth Impermeable Variedad Colores ,90.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NIETOHDEZ,https://articulo.mercadolibre.com.co/MCO-505289176-parlante-hopestar-h36-bluetooth-impermeable-variedad-colores-_JM#position=43&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#505289176,Hopestar,NA,NA,NA,NA,750 g,NA,NA
1316, Parlante Portátil Sony Srs-xb31 Extra Bass Bluetooth *azul* ,319.900,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 8.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,8,https://perfil.mercadolibre.com.co/STAR-MART,https://articulo.mercadolibre.com.co/MCO-512979658-parlante-portatil-sony-srs-xb31-extra-bass-bluetooth-azul-_JM#position=44&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,8,0,0,0,0,#512979658,Sony,SRS-XB31,NA,Activo,EXTRA BASS,890 g,NA,USB
1317, Parlante Bose Altavoz Bluetooth Wifi Soundtouch 20 Serie Iii ,1.399.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(50 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 38.886
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MAJOTIENDAONLINE,https://articulo.mercadolibre.com.co/MCO-449911997-parlante-bose-altavoz-bluetooth-wifi-soundtouch-20-serie-iii-_JM#position=45&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#449911997,Bose,20 Series III,NA,Activo,NA,NA,NA,NA
1318, Funda Protectora Dura Para Bose Soundlink Micro Altavoz Blue ,94.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(12 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 7.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,16,https://perfil.mercadolibre.com.co/PEDROAMAYAMANJARR%C3%89S,https://articulo.mercadolibre.com.co/MCO-511089473-funda-protectora-dura-para-bose-soundlink-micro-altavoz-blue-_JM#position=46&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,12,4,0,0,0,#511089473,Bose,63031813,NA,Activo,SoundLink,0.15 lb,Black,NA
1319, Parlante Cabina Karaoke Bluetooth Mic Control Meirende K9 ,220.000,NA,"
			
				Nuevo
			
			
		",(1 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 6.111
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/OFITECK_CO,https://articulo.mercadolibre.com.co/MCO-486087383-parlante-cabina-karaoke-bluetooth-mic-control-meirende-k9-_JM#position=47&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#486087383,Meirende,K-9,NA,"cabina, Parlante, bluetooth",NA,NA,NA,NA
1320, Home Teatro Sony Muteki ,600.000,NA,"
			
				Nuevo
			
			
		",(1 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 16.667
			
		
		 sin interés
		
	

	
		",NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NEGOCIOSLUISRIVASRIVAS,https://articulo.mercadolibre.com.co/MCO-529991441-home-teatro-sony-muteki-_JM#position=48&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#529991441,Sony,muteki,NA,NA,NA,NA,NA,NA
1321, Parlante Anker Flare Soundcore Bluetooth + Envio ,198.900,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 16.575
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TECHCOMCO,https://articulo.mercadolibre.com.co/MCO-509367268-parlante-anker-flare-soundcore-bluetooth-envio-_JM#position=49&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#509367268,Anker,A3161,12 W,NA,SoundCore,530 g,NA,NA
1322, Parlante Bafle X58 Bluetooth Sd Usb Fm Recargable ,38.990,NA,"
			
				Nuevo
			
			
		",(15 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.249
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MALU+DECORACION,https://articulo.mercadolibre.com.co/MCO-511152128-parlante-bafle-x58-bluetooth-sd-usb-fm-recargable-_JM#position=50&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#511152128,NA,NA,NA,NA,NA,NA,NA,NA
1323, Parlante Karaoke All In One Nex Aio3050bt ,399.990,NA,"
			
			
				
				1
				vendido
			
		",(23 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 11.111
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.co/MCO-470474335-parlante-karaoke-all-in-one-nex-aio3050bt-_JM#position=51&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#470474335,NA,NA,NA,NA,NA,NA,Rojo/Azul/Verde,NA
1324, Parlante Portable Kalley 50w Aux Usb Sd Bluetooth Fm + Envio ,398.990,NA,"
			
				Nuevo
			
			
		",(5 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 11.083
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TODOENUNASOLATIENDA,https://articulo.mercadolibre.com.co/MCO-503006409-parlante-portable-kalley-50w-aux-usb-sd-bluetooth-fm-envio-_JM#position=52&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#503006409,Kalley,K-SPK50BLED,50 W,NA,NA,NA,NA,NA
1325, Parlante Bluetooth Charge ,49.000,NA,"
			
				Nuevo
			
			
		",(10 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 1.361
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DIIOVAHSETECNOLOGY,https://articulo.mercadolibre.com.co/MCO-517722388-parlante-bluetooth-charge-_JM#position=53&type=item&tracking_id=d8f2cbc9-f19c-4200-8966-68b3ef9162f1,NA,NA,NA,NA,NA,#517722388,JBL,Charge,NA,NA,NA,NA,NA,NA
