search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do interior,Materiais do exterior,Idade,Gênero,Peso
13, Capacete Pro Tork Fechado Automatico Sport Moto 788 ,57,NA,743,2540,10x,6.48,NA,Envio para todo o país,NA,NA,4.4,803,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-836775816-capacete-pro-tork-fechado-automatico-sport-moto-788-_JM?searchVariation=15907429717,482,189,90,22,20,#836775816,"Laranja,Amarelo,Azul,Branco,Laranja,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,NA
14, Capacete Moto Axxis By Mt Skull Caveira Preto Fosco ,399,NA,210,2,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,19,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=yQxv2O%2FdldVE7hJ3Kmi8wiBGS14BW6jyXpGUwlKORqiQl3aIYmzAoGhSYCPlhW%2BSfWS6WWJJ2tGxhtaikSNgp5%2FvMK3ItvYf%2Bl%2FVkqtUAPLbRqeEAd3TNDxorRLrCP0f08ZYOa8SEZorop4NeATvlSrEZHyRyOQhQnWuQjURuglhy%2Fwynhn6ee4gEqBthsFYTcgs8LslqTPDlnYS0xyISau7DDRswQav%2Bp05MnVYdMlwwPZueZsYHNFxiMFMCcjm45A40eVYOkVqvB%2Fnc2XdNcSnwVMEUcVVgF44rSoVLnJDhODdAweiSeKGTnkkOhu0cScJ4I4YHaEDnV637aqxFWDOWaibTyv0mBzlNIyRhXLGNJYpZr5ty%2FIy9USeEjcyIxIgtfEscfq%2FqdZ7RAkVFF%2F0Mh113brXcb2YDSy11moTxrV23fS4MUsX%2FY%2B48F5NgHQNqhp3z1rxbyK9OdmMVZxkhwIjXyN1z58ez%2Bz4GBtoqBGpo0xgZ8bwX7WvfkY4M6IYZ17MuKIy26DtQmcD9%2FEJRWTWdL0oGQoykn6I95Q%2BMGpvJNXdAaCqrt8hp5cCQ2o83Tv6M2efKJ633%2FFT5%2B7SQ0zUwSl%2FucCMB9E5jHBgZbyHefrJn4rYFwf7wCCu4QozD6haOP5XNHy4ho2RNSP4GolGM1XV5b2x7R1aHHqq%2ByAv3Rkz%2BQxUCveu1C4SfULoZDFWzuIjonPIYRAxcddGqyADiOQ%2BFps1QoSoa2RxS%2B1Vja0knsyawBrTb1qZNV72LTdRFRLJLNqpfxVNvcAqy%2B356R88eZZC8VcKckAeXWfzor658HcrudSVUlLWRI9E8e3a5KaA4s2Bi4MQn1r2YvY6eRPK6jYOiYkGLJ8ktMYx6qL3l4YHSE2TTzJ1GPWm8oET3SHQitUt4%2BbY%2F1pEqQs06i7VQwGbIkIxXNEYVKf4T6AB2gAr5K40vFfNGj99auqv6iEJUq7akWh3S%2FXkHGzL4YBZe3IDEuYBzavkxAXmZ4tVVezOFnaWJx7qIZGAIM7iznIrXV3r30WdkPEMLrs%2Bdm%2FxDpM0JSUoUCyOfGXhhL%2FMqnV5VFvsdGB4MqK9RbAms6YftRn0DvXjEW4YN8eqT8JoEsn91Ko5IY8DzBsky34cLMHfzOSnng19zsws0c5elqtDbX3Gp8WwXR4PdRu7ds6SkRC9g51J4wlEieVAk5lPlCslLAKIAU2MGz%2FukmsRQ11CgMICnprKau%2BufE%2F4zaVs5NEkkzjAaI%2BKWdPNnFR8oLxASeHXoSGnO9eNDqX%2BJSVuLFg6iZ5eyIRyFx2Te2ZAFEL6zC0y45DttHWYZKWjKyu49TFJdu3x70lYPqqic8Lzx8xJUJHpV8eWlE66I8RIhSt6wZE%2BvwPpdTgHqmv6LF2%2FDAoNZd2KQeobUknIlKiQuQR0m7G7%2BEyYwF7nGxb7B2NJcGHL%2BLrTJQKminlW9c3YLjRM2qOxkpWxNqRD6nw1mv%2FlHRgXtx8ypAWg1Y7XxTWUGhm2bvyFIz5CTY6SXtFRTxY5xWuQt2zqeqixIHHzILFlryrvTkg4TD10Vin4nk%2B5o3Tcoqc%2BA%2Bg4UXCuxPRsJ8Wgp%2F%2BnxG3aC%2Bvk1ZQ19LcoIEcQ4aCKEydc%2FbPqwrlvEy51ZM%2FZH4Vrc6ZqdjYZsQncPK%2BxXR9gXOOS96Tlt7wEBB0Tz85xJkB6f%2BHxgw8v48QeltWYqsvayOjs9cc2ymYy9MSgm3%2BWLJsFA4wMOMzPJAigZGwjKYYjqpV1gRkmqst2D8ehfo3akWsUojfBm2RWcd0YRM25V3WyDZC9TC7fRMY3wfBSBwMiNaoFG8LSinJuFyzRdgDogw3kBILvgx1m%2BMSgsQjyJMLmUpXBOiLqTALR9xM8Md3BRDb9mxE%3D,16,2,1,0,0,#702919658,Preto - Skull Fosco,62,Axxis,Axxis,Eagle,Integral,Simple,NA,ABS,Adultos,Unissex,1430 g
15, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,75,NA,1908,12,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,47,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1052195678-capacete-sport-moto-788-automatico-pro-tork-san-marino-_JM?searchVariation=24813044366,31,5,8,1,2,#1052195678,Azul,"56,58,60",Pro Tork,CAPACETE,Sport Moto 788,Integral,NA,NA,ABS,NA,NA,1.04 g
16, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,55,NA,616,73,10x,6.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1600,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1190902717-capacete-moto-aberto-pro-tork-new-liberty-3-three-_JM?searchVariation=37973983683,1184,280,102,15,19,#1190902717,Preto,"56,58,60",Pro Tork,NA,New Liberty Three,Aberto com Viseira,NA,NA,NA,NA,NA,NA
17, Capacete Moto Pro Tork R8 Fechado ,104,NA,4790,1613,12x,8.67,NA,Envio para todo o país,NA,NA,4.4,2115,https://perfil.mercadolivre.com.br/SPORTBAY?brandId=721,https://produto.mercadolivre.com.br/MLB-781215610-capacete-moto-pro-tork-r8-fechado-_JM?searchVariation=17279219016,1400,399,183,62,71,#781215610,"Verde,Amarelo,Azul,Azul-claro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,ABS,NA,NA,NA
18, Capacete Street Sport Moto For Girls Pro Tork Feminino ,75,NA,901,22,12x,7.17,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,1562,https://perfil.mercadolivre.com.br/VEGASMIX,https://produto.mercadolivre.com.br/MLB-1051226842-capacete-street-sport-moto-for-girls-pro-tork-feminino-_JM?searchVariation=24768784773,969,338,149,57,49,#1051226842,Preto,"56,58,60",Pro Tork,CAPACETE,Sport Moto,Integral,NA,NA,ABS,NA,NA,NA
19, Capacete Moto Axxis By Mt Skull Caveira Azul Lançamento ,399,NA,125,9,12x,33.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,28,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1188744116-capacete-moto-axxis-by-mt-skull-caveira-azul-lancamento-_JM?searchVariation=33693186311,25,2,0,0,0,#1188744116,Azul,"56,58,62",MT,Eagle,Axxis,Integral,Simple,NA,ABS,Adultos,Unissex,NA
20, Capacete Moto Mt Thunder 3 Cap Preto Cinza Fosco ,599,NA,40,2,12x,49.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,4,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=dArfXD56Nlz7e7bM6eXYqAxLmHJSLBMoRu4ddTLPoixj666YOXfLQNEnhLJPvTLUuIAMPIak9QJABsxlU%2FzYKgUGm7kldF20h6LPdc1j95ijwBjK%2BkQlEZp2GwjphC1UnJfb39%2BCKEhOXGfaw%2BsWxapOvhvPjHKBg9NgUiPKmH%2FYYQ2vz31kUR8arDyKcq%2Bf2ZiwPND5I66hu3IAZ%2BfUAE1VrPh2E68mUhJb5q8nT%2F3RMa%2BUeDoEtA7jCGjfsQP40QKiIu53SFtgwFhF1KGbH0v6xb4tj%2Bq7yfqkQ%2BRew21Qaoo425CyISht7iov3uSS2NtKzsVK3xbOlgYCs%2BBpQ%2FqdYnXLA5K2W6lQC8598DN0Cmyq2jJNh8qBGcSisdBW1V17j6ggr%2FW90dlhVHiNbosXgUZ%2F9px3SGB7%2Fmjg%2Fe3PWger7rtgtKVyOg07p3mSbPzKZPwwwcZI%2BAEDDXaM%2BmGKwPwohTYvoPNjpc%2FZs9RpmkJIoXS5MKLNlnZcMV3JkwN06yo2aCjV2akpQmgwl4eh6iPGk4Dd8UT1lK1Q%2FiYMb%2BST4wHTZ3E6xrqhrZWiwTdCuhMrkTPQNfnFjvmfk%2F3SjKUZWrD%2FwZZ3a83I89cBiS5ntmbt9VYSwYGMiJKTal%2BSSiVCdyHtLylzK3OcFrnntIh%2FsQwq4HoVCdqZQg3ZNaGeXfkbhGa4dcGmqJuYtzwxN0%2FyoozkgOugaSa28U49YRj5oCJe7xU8l40LLv%2BelJeyWTEd3Ph%2BoWmYCCs6kSoVl6iKkMjQM9pGvA4laQatMjT2sFC5lLWtassbK3wtL5AzVPZ7h60rxRst5Vu8Wt5%2FxSIb3LLmCf26oKfG3juuZELJAqsmi5Xi%2BVaPHLhywAjKXx8yF%2BNDlaeC%2B4o72ThIL5uQzDAtf4eJDYaqhOkcu0WseEl8wRlY79PtRQQHtnOb1MME1k4TcEtsyYlcW1e3SRJEuEzArc8lIvkvgLZi867amJ8bb7RabgJKlTsQApyzFrWXArx9qnJVkqe%2FhRiFgqF%2BExyzGhmcZ3s%2BMsL58LYuOMiPVR%2Fk4e0uJe%2Bh6MblJrI0Nq9vlU7QMhyX7ogxoenjc4UCTGupPo9Cuc20pJrDwDbuRECN%2F3GDIQTTUf2M8qyrE8U6pRonRb5pyqbjMHp3d5ooWEL4E6mWXzn77BaD6oGXnWxf9ofg1K0mna874nkdWmFLBm9EDE32sRIbrBBlE%2FifLaszzhC3BNCtAl7Am%2Br%2F4Dm8V7goHf55IYg0sQpvOG4MEDGCtExBPxoUsgWEtzcSUInKzFcQJQ6OtA%2BV7PRJAgvcolzIU0meJkgxcjZoy8b%2B0QKwvsNrJ8RlMt0tml4Qe6quRzV00nQPCN5%2BhlIKd44tfZJ1JITuOM7BfFyMKcOF2BJNtlnU8qjapfTe0tOEu%2BsCZBZSdGawtD82kHDbblG8PLYSCkA03o6RQ2m69KSUyZMGpPONXljRB%2Fso%2BAVK5rQyUX%2BAiaLtzM7uYs96iwsJMruLoIgP%2Fi5J7MOSJ9CuVs5S7HT2RhJ5jIfJoxVp69pujENFSoRl11IQrYqTiegRt1gJQk3rT2lb4GpCs%2BwMGvmBZBteYOBQCUWuGUmdTPBU%2FEAR0Cq%2Bd5IRoUmbGVHwMlSFrmZN8r3fYVuA2qy39j8wzzgEKKTeN6%2FQTnEOYieMcGlnl8PxezTVHd%2BKhOCH8UVNiezavMt%2FVQmYaP9a3aVB263VBH49IaA5efu035iQtDI26QXsy%2BZGcRcq1MvOHMDF2%2F9GbAdOP1ChMX4CZb5OcUDvwJY8YlP78eT2HqeTnv6wy5w2HfK4fiVma4mikPpcPGuSysGZCPYFOs5i0860RNJ6kskbnkVxbzsliLDDcvgy6KpGucevvv4%3D,3,1,0,0,0,#696706379,Preto - Cinza Fosco,"56,58,60,62,64",MT,Thunder 3,Thunder 3,Integral,Duplo,NA,Policarbonato,Adultos,Unissex,NA
21, Capacete Moto Fechado Protork R8 +viseira Fume+ #balaclava ,132,NA,1140,1275,12x,12.71,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/PISTAMOTO,https://produto.mercadolivre.com.br/MLB-1077714424-capacete-moto-fechado-protork-r8-viseira-fume-balaclava-_JM?searchVariation=26160059577,1400,399,183,62,71,#1077714424,"Vermelho,Amarelo,Azul-claro,Azul-escuro,Laranja,Prateado,Rosa,Verde,Vermelho","56,58,60",Pro Tork,Capacetes,R8,Integral,NA,NA,NA,NA,NA,1200 g
22, Capacete Aberto New Liberty 3 Moto Motociclista Promoção ,60,NA,546,169,12x,5.73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1600,https://perfil.mercadolivre.com.br/CIADAMOTO1,https://produto.mercadolivre.com.br/MLB-1167358616-capacete-aberto-new-liberty-3-moto-motociclista-promoco-_JM?searchVariation=37125151127,1184,280,102,15,19,#1167358616,Prreto Brillante,"56,58,60",Pro Tork,New Liberty,New Liberty Three,Aberto,Simple,Poliestireno,ABS,Adultos,Unissex,NA
23, Capacete Moto Feminino Pro Tork 788 Preto Fosco Rosa ,129,NA,1248,36,12x,12.42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,65,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-976930467-capacete-moto-feminino-pro-tork-788-preto-fosco-rosa-_JM?searchVariation=20790341181,48,13,2,1,1,#976930467,"Rosa,Amarelo,Azul,Cinza,Laranja,Rosa,Rosa-escuro,Vermelho","58,60",Pro Tork,Evolution G4,Pro Neon,Integral,NA,NA,NA,NA,Unissex,NA
24, Capacete Moto Pro Tork Evolution G4 Las Vegas + Viseira Extr ,154,NA,748,2403,12x,12.92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,329,https://perfil.mercadolivre.com.br/ALECARSHOP,https://produto.mercadolivre.com.br/MLB-984292838-capacete-moto-pro-tork-evolution-g4-las-vegas-viseira-extr-_JM?searchVariation=21128485402,255,50,14,3,7,#984292838,Branco,"56,58,60",Pro Tork,Masculino,Evolution las Vegas,Integral,NA,NA,ABS,NA,NA,NA
25, Capacete Moto P/ Mulher Fechado Rosa Com Viseira Espelhada ,129,NA,692,168,12x,10.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,2115,https://perfil.mercadolivre.com.br/RACE+ACTION,https://produto.mercadolivre.com.br/MLB-1119741753-capacete-moto-p-mulher-fechado-rosa-com-viseira-espelhada-_JM?searchVariation=28800127599,1400,399,183,62,71,#1119741753,Viseira Cromada,"56,58,60",Pro Tork,R8,R8,Integral,Simple,EPS,ABS,Adultos,Unissex,NA
26, Capacete Moto Mixs Fokker Storm Fundo Preto Fosco Tork ,129,NA,645,3,12x,10.82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,99,https://perfil.mercadolivre.com.br/KAZZU+COMERCIO,https://produto.mercadolivre.com.br/MLB-1133425750-capacete-moto-mixs-fokker-storm-fundo-preto-fosco-tork-_JM?searchVariation=29861287135,71,12,11,3,3,#1133425750,Amarelo,58,Mixs,Capacetes,MX2,Fechado,NA,NA,NA,NA,NA,NA
27, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,134,161,825,4,12x,12.90,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,80,https://perfil.mercadolivre.com.br/LOI+BRASIL,https://produto.mercadolivre.com.br/MLB-960763001-capacete-moto-protork-evolution-3g-noscity-preto-dourado-loi-_JM?searchVariation=25688881227,52,18,6,3,1,#960763001,Preto,56,Pro Tork,Capacetes,NOS Evolution,Integral,NA,camurça com alto nível de conforto e absorção;,Injetado em Polímero ABS de alto impacto virgem,Adultos,Unissex,1400 g
28, Capacete New Liberty Three Moto Aberto Pro Tork New Liberty ,69,80,927,7,12x,6.68,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1600,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-1106473935-capacete-new-liberty-three-moto-aberto-pro-tork-new-liberty-_JM?searchVariation=27805145025,1184,280,102,15,19,#1106473935,"Branco,Preto","56,58",Pro Tork,New Liberty,Three,Aberto,Simple,NA,ABS,Adultos,Unissex,1290 g
