search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo
1633, Casco De Motocicleta Ahr Half Face Helmet Dot Approved Moto ,43.622,NA,0,99,6,7.270,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239693-casco-de-motocicleta-ahr-half-face-helmet-dot-approved-moto-_JM,NA,NA,NA,NA,NA,#478239693,NA,NA,NA,NA,NA,NA,NA,NA,NA
1634, Casco De Motocicleta Arai Corsair X Helmet - Isle Of Man 201 ,1106.617,NA,0,99,6,184.436,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239715-casco-de-motocicleta-arai-corsair-x-helmet-isle-of-man-201-_JM,NA,NA,NA,NA,NA,#478239715,NA,NA,Arai,NA,NA,NA,NA,NA,NA
1635, Casco De Motocicleta Bell Mx-9 Helmet With Mips - Marauder ( ,245.529,NA,0,99,6,40.922,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239935-casco-de-motocicleta-bell-mx-9-helmet-with-mips-marauder--_JM,NA,NA,NA,NA,NA,#478239935,NA,NA,Bell,NA,MX-9,NA,NA,NA,NA
1636, Casco De Motocicleta Bell Mx-9 Helmet With Mips - Marauder ( ,155.033,NA,0,99,6,25.839,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478239939-casco-de-motocicleta-bell-mx-9-helmet-with-mips-marauder--_JM,NA,NA,NA,NA,NA,#478239939,NA,NA,Bell,NA,MX-9,NA,NA,NA,NA
1637, Casco De Motocicleta Bell Racing Gtx.3 White 7 5/8 (61) Sa20 ,897.504,NA,0,99,6,149.584,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240286-casco-de-motocicleta-bell-racing-gtx3-white-7-58-61-sa20-_JM,NA,NA,NA,NA,NA,#478240286,NA,NA,Bell,NA,NA,NA,NA,NA,NA
1638, Casco De Motocicleta Bell Rogue Helmet - Honor (medium) (mat ,380.869,NA,0,99,6,63.478,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240305-casco-de-motocicleta-bell-rogue-helmet-honor-medium-mat-_JM,NA,NA,NA,NA,NA,#478240305,NA,NA,Bell,NA,Rogue,NA,NA,NA,NA
1639, Casco De Motocicleta Bell Solid Adult Star Street Helmet - ,644.779,NA,0,99,6,107.463,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240322-casco-de-motocicleta-bell-solid-adult-star-street-helmet--_JM,NA,NA,NA,NA,NA,#478240322,NA,NA,Bell,NA,Star,NA,NA,NA,NA
1640, Casco De Motocicleta Bell Super 3r Mips Mtb Bike Helmet (mat ,318.475,NA,0,99,6,53.079,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240335-casco-de-motocicleta-bell-super-3r-mips-mtb-bike-helmet-mat-_JM,NA,NA,NA,NA,NA,#478240335,NA,NA,Bell,NA,NA,NA,NA,NA,NA
1641, Casco De Motocicleta Biltwell Gringo Flat Helmet - Medium/ti ,217.129,NA,0,99,6,36.188,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240373-casco-de-motocicleta-biltwell-gringo-flat-helmet-mediumti-_JM,2,0,0,0,0,#478240373,NA,NA,Biltwell,NA,Gringo,NA,NA,NA,NA
1642, Casco De Motocicleta Biltwell Gringo S Helmet Plastic-polyca ,350.794,NA,0,99,6,58.466,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240389-casco-de-motocicleta-biltwell-gringo-s-helmet-plastic-polyca-_JM,2,0,0,0,0,#478240389,NA,NA,Biltwell,NA,Gringo,NA,NA,NA,NA
1643, Casco De Motocicleta Dirtbike Atv Snowmobile Helmets Helmet ,40.484,NA,0,99,6,6.747,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478240728-casco-de-motocicleta-dirtbike-atv-snowmobile-helmets-helmet-_JM,NA,NA,NA,NA,NA,#478240728,NA,NA,NA,NA,NA,NA,NA,NA,NA
1644, Casco De Motocicleta Hjc Cs-r3 Helmet - Stormtrooper (x-larg ,235.063,NA,0,99,6,39.177,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478241489-casco-de-motocicleta-hjc-cs-r3-helmet-stormtrooper-x-larg-_JM,NA,NA,NA,NA,NA,#478241489,NA,NA,HJC,CS-R3,NA,NA,NA,NA,NA
1645, Casco De Motocicleta Ls2 Helmets 328-1622 Stream Axis Matte ,186.96,NA,0,99,6,31.160,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478241972-casco-de-motocicleta-ls2-helmets-328-1622-stream-axis-matte-_JM,NA,NA,NA,NA,NA,#478241972,NA,NA,LS2 Helmets,NA,NA,NA,NA,NA,NA
1646, Casco De Motocicleta Ls2 Helmets Ff392 Junior Full Face Hel ,129.989,NA,0,99,6,21.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242000-casco-de-motocicleta-ls2-helmets-ff392-junior-full-face-hel-_JM,NA,NA,NA,NA,NA,#478242000,NA,NA,LS2 Helmets,NA,NA,NA,NA,NA,NA
1647, Casco De Motocicleta Orion Voyager Modular Flip-up Street Bi ,98.722,NA,0,99,6,16.454,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242387-casco-de-motocicleta-orion-voyager-modular-flip-up-street-bi-_JM,NA,NA,NA,NA,NA,#478242387,NA,NA,NA,NA,NA,NA,NA,NA,NA
1648, Casco De Motocicleta Piaggio Jet Helmet Matt Black Dotâ xxl ,172.872,NA,0,99,6,28.812,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242486-casco-de-motocicleta-piaggio-jet-helmet-matt-black-dotxxl-_JM,NA,NA,NA,NA,NA,#478242486,NA,NA,NA,NA,NA,NA,NA,NA,NA
1649, Casco De Motocicleta Scooter Pilot Open Face Helmet Dot - S ,64.757,NA,0,99,6,10.793,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242589-casco-de-motocicleta-scooter-pilot-open-face-helmet-dot-s-_JM,NA,NA,NA,NA,NA,#478242589,NA,NA,NA,NA,NA,NA,NA,NA,NA
1650, Casco De Motocicleta Shark Helmets Evo-one 2 Blank Matte Mod ,644.836,NA,0,99,6,107.473,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242922-casco-de-motocicleta-shark-helmets-evo-one-2-blank-matte-mod-_JM,NA,NA,NA,NA,NA,#478242922,NA,NA,Shark,NA,Evo-One 2,NA,NA,NA,NA
1651, Casco De Motocicleta Shoei Kagayama 5 X-14 Street Racing He ,768.68,NA,0,99,6,128.113,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478242972-casco-de-motocicleta-shoei-kagayama-5-x-14-street-racing-he-_JM,NA,NA,NA,NA,NA,#478242972,NA,NA,Shoei,NA,NA,NA,NA,NA,NA
1652," Casco De Motocicleta Suomy Sr Sport Helmet (diamond Blue, La ",643.324,NA,0,99,6,107.221,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478243362-casco-de-motocicleta-suomy-sr-sport-helmet-diamond-blue-la-_JM,NA,NA,NA,NA,NA,#478243362,NA,NA,Suomy,NA,NA,NA,NA,NA,NA
1653, Casco De Moto Agv K3 Sv Matte Black Xxlarge Dotapproved ,273.451,NA,0,NA,6,45.575,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AKAESCHILE.,https://articulo.mercadolibre.cl/MLC-478692103-casco-de-moto-agv-k3-sv-matte-black-xxlarge-dotapproved-_JM,NA,NA,NA,NA,NA,#478692103,NA,NA,AGV,K-3 SV,K-3 SV,Rebatible,NA,NA,NA
1654, Cascos De Moto Y Deportes De Motor Agv 0101-7485 ,289.572,NA,0,100,6,48.262,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOGLOBAL.COM,https://articulo.mercadolibre.cl/MLC-486315443-cascos-de-moto-y-deportes-de-motor-agv-0101-7485-_JM,NA,NA,NA,NA,NA,#486315443,NA,NA,AGV,NA,NA,Rebatible,NA,NA,NA
1655, Cascos De Moto Y Deportes De Motor Arai 820244 ,834.344,NA,0,100,6,139.057,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOGLOBAL.COM,https://articulo.mercadolibre.cl/MLC-486318315-cascos-de-moto-y-deportes-de-motor-arai-820244-_JM,NA,NA,NA,NA,NA,#486318315,NA,NA,Arai,NA,NA,Rebatible,NA,NA,NA
1656, Cascos De Moto Y Deportes De Motor Ls2 Helmets 324-1117 ,433.869,NA,0,100,6,72.312,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/IMPOGLOBAL.COM,https://articulo.mercadolibre.cl/MLC-486343543-cascos-de-moto-y-deportes-de-motor-ls2-helmets-324-1117-_JM,NA,NA,NA,NA,NA,#486343543,NA,NA,LS2 Helmets,456,Factory,Abierto,NA,NA,NA
