search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo,Color
440, Nenki Nk-856 Full Face Spiderman Casco De Moto Para Adultos ,139.89,NA,0,100,6,23.315,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/2EBOX,https://articulo.mercadolibre.cl/MLC-475633438-nenki-nk-856-full-face-spiderman-casco-de-moto-para-adultos-_JM,NA,NA,NA,NA,NA,#475633438,NA,NA,Nenki,NA,Spiderman,Abierto,NA,2.15 kg,NA,Roja
441, Casco Moto Shiro Sh-881 Phyton Negro Mate ,72.99,NA,NA,24,6,12.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-479339320-casco-moto-shiro-sh-881-phyton-negro-mate-_JM,NA,NA,NA,NA,NA,#479339320,Negro mate,"S,M,L,XL",Shiro,NA,SH-881,Integral,NA,1.39 g,NA,NA
442, Casco Moto Oneal Serie 7 Strain Blue 2019 Motocross Enduro ,99.99,NA,2,18,12,8.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/REBELSPORTS.CL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=PH2eCB85xo8PLa98%2F96paH7kiMdq%2BM4SNOACBhAsHpRDaupL2GZ66GtAq4Wsh0rXsnQVG3c6iSHxxWCv7N7rY9CFuSrcljFu1TUbwaMkDnAyu6zdWWRhA5QusVYinZF%2FsDc7vtQJuypM9Ox%2F8tzZN%2BvCJm4ndzHej8bxLv71cAOvLnaUdVKE9aUMg8ep8a1DDEY7n3%2Bctl1qOHgPGP2D%2BrCE6OJdmkLjhm1ZNWDI5YUuNbdIYo5ZwmHKd0meXxNptuMho92VJweabC62MUdTfRVtFJRRNyfJjDn5IV46Ir%2Fy7pSwWmx6kfEXqXouAOsW1hwILyKiSoKl4ObjFreorlPma86%2F0mh%2BvtJOOplxJ6F%2BsBmxKkslQ5tgLU8ELp%2Fug5xBKA8Zr4GfRmgOhO2gNjxJgbAF9MF6NWTwyBRhIReFu55DxTZen3XZX0lGZPtxQ0XIWjdp3CtgQFQNirPV2l9y%2Ff1mVgDL7LhQKIXsMaK%2Fvy6aPnajreUh9EjDgxSvSvCjosZ5iVFNWruEWHzhDG4oxuPkhf77eltJ7V7Y%2B6ItPayNJJB6pmCa3DRaooy%2F3FU7Dumfkjb0kzUqfRHWvimXum3WUCiYJoC6C9D3vUtwc5ZuOQRszoSjMlyiJAzQRnmRxqsffbvh18%2Frzlupjkvt9se6km2rPYqwcn1JDamnuc8FPGRLLWznEmLUtihxghUqFwg%2FVpGxsR%2FLYmDQBtWDDE677mJOxxTt%2F5dDm2OMRCDmfMmDoGVM5GtnDJdJdJzuxvCT%2BCqRTWNUFQ4oMF2aor6Nsc6jqsgZZmt%2FKtMWSxGCNJk5lbjdLxmS6A2%2BQ7z26h6zB3AF%2FAfd3eeVlTXEYN94aA4KbV%2FeBeTighXnXEIu8jJfFHa1VfSCHug3oVlctR5VXDa%2B5U7WlmWGbZXzTQ3aY3JDpnAnSgfQn69BCOvf%2FVCdCkuUvyh9NE8v41y9IWM0BQcMlmIW7HDYNYkoKMXpqA4Lb%2BcDRhu%2FabJlQaWJTergSKWUTsxatMPz9JXgxjMR9vtefW8PB2d0%2Fqb%2BQz0KpBboJqbE7e1CjtjtS1TvIIgPEJSOa%2BubTF0X9f0qNgAG%2FbY2DQ0MKsYbwOP9bIdtMhBVTlG4oDIU%2BdO57S%2FM0xh%2Bta3iV%2BvVYuGT8zIi9RVztqhityFBtLRcB68k1uTg1X1NOEK1fhjhCuvfJ0nEcfiYhaNBK2bT7MnZlpN5yeHj15Ej3skToLyxZg2EE1fVe2nZhVDtiownettl52fHkbvCgfziYBzJt5X5szsPhOl0K6VefpTwn5GLlei%2ByAv6WHHjS1TUf0aP1Wa3FDnghxbXoo1%2B%2BdDmk656ac%2BaHU%2BCaKx4wql9JPjAlwVqPsNpvNOn9e4R2S9EDXFlN5IEKhPkJvEFFga4i27iHCW1Vlc1PvJg%2F6OO0saoEd96rIFDeyaNfDTWfBAVeK0oivXibz74W6NJ09q0zf1DjXurYnBnbytWhgdBWJlPsXMBvLq6VBgQ3YDWtqItqr3iXqVxEVMvJc9uqWTvjWrj1K66Ubd2sLXil%2BtLRUzzCM%2B2vJjWwfb2GZ6mqfKzvtwgqt2id%2F1AgqzB0jvtKbSraBcN%2BShMsCf9cutkiivlUt05zrArbt85HbGa2WWJPKNJkrTAGvMn%2BH7xSNtCU9XP65phulDMWM6SwayWzi7CGLkjY6s%2BLtrkqO3rFw8s4jXBjvV5ywJBA1J5eNfI8M4j1MPJ%2BZ0A6uBoU8fAldbMpYvKwU8if8HRZeuPimvcASACzrNUjHkeH%2F%2FkOT7pbzEh8V%2BPxeMBjYT2EzsSMpo%3D,NA,NA,NA,NA,NA,#475328729,"L,M,S,XL",NA,O'Neal,NA,Serie 7 Strain,Cross,NA,1260 g,NA,NA
443, Casco Moto Jetl Mt Avenue Sv Crossroad Azul Mate Scooter ,69.9,NA,1,NA,6,11.650,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-471551958-casco-moto-jetl-mt-avenue-sv-crossroad-azul-mate-scooter-_JM,NA,NA,NA,NA,NA,#471551958,NA,NA,MT,Avenue SV,Crossroad,NA,NA,NA,Rebatible,NA
444, Casco Moto Ls2 Ff352 Gold Negro Gris Plata ,52.99,NA,NA,20,12,4.416,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-481494066-casco-moto-ls2-ff352-gold-negro-gris-plata-_JM,NA,NA,NA,NA,NA,#481494066,Negro/Gris/Plata,"S,M,L,XL",LS2,NA,FF352 Gold,Integral,Unisex,1350 g,NA,NA
445, Motocicleta Adulto Motocross Apagado Carretera Casco Carrera ,12.483,NA,4,196,12,1.040,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CIMAALEGRIACL,https://articulo.mercadolibre.cl/MLC-480558752-motocicleta-adulto-motocross-apagado-carretera-casco-carrera-_JM,NA,NA,NA,NA,NA,#480558752,NA,NA,NA,NA,NA,Cross,NA,1350 g,NA,NA
446, Casco Moto Integral Arex 807 Jyh Gris Amarillo Fluor Mate ,55,NA,1,29,6,9.167,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-457265187-casco-moto-integral-arex-807-jyh-gris-amarillo-fluor-mate-_JM,NA,NA,NA,NA,NA,#457265187,NA,NA,Arex,NA,MR 807,NA,NA,NA,Rebatible,NA
447, Casco Moto Shoei Hornet Adv Navigate Tc3 ,479.99,NA,NA,3,6,79.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-452087089-casco-moto-shoei-hornet-adv-navigate-tc3-_JM?searchVariation=27019039245,NA,NA,NA,NA,NA,#452087089,TC-3,"- - L,TC-3 - M,M,L",Shoei,NA,Hornet Adv,Integral,NA,1.45 g,NA,NA
448, Ilm Visera Doble De La Motocicleta De 10 Colores Casco ,115.99,NA,1,9999,6,19.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MELONCARGO,https://articulo.mercadolibre.cl/MLC-458922008-ilm-visera-doble-de-la-motocicleta-de-10-colores-casco-_JM,NA,NA,NA,NA,NA,#458922008,NA,NA,ILM,NA,NA,NA,NA,NA,Abierto,NA
449, Mica Casco Ahumada Ghb Modelo 626 ,9.99,NA,7,5,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME+STORE,https://articulo.mercadolibre.cl/MLC-470703983-mica-casco-ahumada-ghb-modelo-626-_JM,NA,NA,NA,NA,NA,#470703983,NA,NA,GHB,NA,626,NA,NA,NA,NA,NA
450, Casco Moto Shoei X-spirit 3 Brink Tc2 ,649.99,NA,NA,3,6,108.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-480983299-casco-moto-shoei-x-spirit-3-brink-tc2-_JM?searchVariation=34056835692,NA,NA,NA,NA,NA,#480983299,TC-2,"S,M,L",Shoei,NA,X-Spirit III,Integral,NA,NA,NA,NA
451, Casco Moto 4rs 168 Abatible Con Sun Visor Venom Red ,44.9,NA,2,1,6,7.483,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TREMA_CHILE_TALCA,https://articulo.mercadolibre.cl/MLC-484625551-casco-moto-4rs-168-abatible-con-sun-visor-venom-red-_JM,NA,NA,NA,NA,NA,#484625551,Rojo,XL,4rs,NA,Venom,Rebatible,NA,1450 g,NA,NA
452, Motocicleta Completo Cara Enmascarar Casco Cruz -country Gaf ,6.928,NA,0,2,12,577,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CARMOTORSPORTSCL,https://articulo.mercadolibre.cl/MLC-471085340-motocicleta-completo-cara-enmascarar-casco-cruz-country-gaf-_JM,NA,NA,NA,NA,NA,#471085340,NA,NA,NA,NA,NA,NA,NA,NA,Abierto,NA
453, Casco Moto Shiro Sh-821 Katana Blanco Mate ,49.99,62.990,NA,13,6,8.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-456663650-casco-moto-shiro-sh-821-katana-blanco-mate-_JM?searchVariation=24004715228,NA,NA,NA,NA,NA,#456663650,Blanco,"L,M,S,S,M,L",Shiro,NA,SH-821,Integral,NA,NA,NA,NA
454, Casco Moto Abatible Arex 701 Curve Negro Verde ,40,NA,7,8,6,6.667,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR7_ACCESORIOS,https://articulo.mercadolibre.cl/MLC-446844205-casco-moto-abatible-arex-701-curve-negro-verde-_JM,NA,NA,NA,NA,NA,#446844205,NA,NA,NA,NA,NA,NA,NA,NA,Rebatible,NA
455, Casco Moto Shoei Rf-1200 Negro Mate ,369.99,NA,NA,10,6,61.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-452056630-casco-moto-shoei-rf-1200-negro-mate-_JM?searchVariation=18361882380,NA,NA,NA,NA,NA,#452056630,Negro mate,"Negro Mate - L,Negro Mate - M,Negro Mate - S,Negro Mate - XL,Negro Mate - XXL,S,M,L,XL,XXL",Shoei,NA,RF-1200,Integral,NA,-450 g,NA,NA
456," Bell Custom 500 ace Cafe Open-face Casco De Moto, M Up Shop ",475.99,NA,0,3,12,39.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/UP-SHOP,https://articulo.mercadolibre.cl/MLC-468645165-bell-custom-500ace-cafe-open-face-casco-de-moto-m-up-shop-_JM,NA,NA,NA,NA,NA,#468645165,NA,NA,Bell,NA,Custom 500,NA,NA,4.88 lb,Abierto,NA
457, Casco Moto Ls2 Mx470 Subverter Nimble Negro Azul Naranjo ,144.9,NA,1,5,12,12.075,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-461079154-casco-moto-ls2-mx470-subverter-nimble-negro-azul-naranjo-_JM,NA,NA,NA,NA,NA,#461079154,NA,NA,LS2,NIMBLE,MX470 SUBVERTER,NA,NA,1350 g,MX ENDURO,NA
458, Casco Moto Ls2 Ff323 Arrow Blanco ,149.99,NA,NA,20,12,12.499,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOTOXTREME.CL?brandId=329,https://articulo.mercadolibre.cl/MLC-467365365-casco-moto-ls2-ff323-arrow-blanco-_JM,NA,NA,NA,NA,NA,#467365365,"M,L,XL",,LS2,FIBRA DE VIDRIO,FF323 ARROW,Integral,Unisex,1390 g,NA,NA
