search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
364, Bisagra Conector Accesorio Para Burbuja Casco Retro Vintage ,30,NA,19,1,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MOTOCUSTOM2015,https://articulo.mercadolibre.com.co/MCO-454641463-bisagra-conector-accesorio-para-burbuja-casco-retro-vintage-_JM?searchVariation=18711073166,NA,NA,NA,NA,NA,#454641463,Agua,STANDARD,NA,NA,NA,NA,NA,NA
365, Casco Moto Integral Nolan Italiano + Pinlock Gratis - As ,759.99,800,1,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-447648729-casco-moto-integral-nolan-italiano-pinlock-gratis-as-_JM,NA,NA,NA,NA,NA,#447648729,Varios,XL,Nolan,N60.5 / N64,Integral,NA,NA,NA
366, Casco Integral Grafico Doble Visor Hro512 + Obsequio ,166.25,NA,1,157,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-506565005-casco-integral-grafico-doble-visor-hro512-obsequio-_JM,NA,NA,NA,NA,NA,#506565005,"S,M,L,XL",,HRO,"5 1/2""",Integral,1.42 g,NA,NA
367, Ilm Casco De Moto Integral Modular Plegable Doble Visor ,334.39,NA,2,295,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/VENTAS_ONLINE_COLOMBIA_S.A.S.,https://articulo.mercadolibre.com.co/MCO-464927074-ilm-casco-de-moto-integral-modular-plegable-doble-visor-_JM?searchVariation=20977297081,NA,NA,NA,NA,NA,#464927074,Negro,"M,L,XL",ILM,B01GZSM2F6,Rebatible,NA,NA,NA
368, Casco Integral Caberg Xtrace Doble Proposito Ece2205 ,790,NA,3,7,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ENMOTO.CO,https://articulo.mercadolibre.com.co/MCO-452837697-casco-integral-caberg-xtrace-doble-proposito-ece2205-_JM?searchVariation=23812311436,NA,NA,NA,NA,NA,#452837697,"Blanco,Blanco/Amarillo/Negro,Negro,Negro mate,Negro mate/Gris","XS,S,M,L,XL",Caberg,XTrace,Integral,NA,NA,NA
369, Cascos Moto Cross Certificado Hro Mx330 +obsequio ,167.9,NA,0,23,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-508611524-cascos-moto-cross-certificado-hro-mx330-obsequio-_JM,NA,NA,NA,NA,NA,#508611524,"S,M,L,XL",,HRO,MX330,Integral,NA,MX330,NA
370, Casco Moto Modular Cara Iron Man Avengers Original ,635,NA,0,10,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMPRAYA+ENLINEA,https://articulo.mercadolibre.com.co/MCO-507184084-casco-moto-modular-cara-iron-man-avengers-original-_JM?searchVariation=34236565760,NA,NA,NA,NA,NA,#507184084,CAPITAN AMERICA,NA,Nenki,Iron Man,NA,NA,NA,Abierto con Visera
371, Casco Certificado Abatible Para Moto Ich 3110 Negro ,114.9,NA,28,5,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LARECOMPRA.COM,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=D07D0oFAodPWBFrK3vxf4N06Fv6b2xNoFTBSrA7mU8FqBKyzL8bFaYjxbsgLrRty%2F8ECbM7zUz2Hu4js8r5dAV%2F3PP7OY7N%2Fy0TmpqEocLMV1HP6Yvu2QSRQkf2hhik0iy3TemiMzYqnHOpnxGQ%2FlKHg%2BzPBvHpEv6j1dpO0LBVh5MOfGewRCdLR5B6ByNbzxXQak2MxyxZzNR55%2BUSrcxjcB1R5tQ%2BdVDU3uBe33p2uCIS5OAXK7nWC0YGBvh2hjW96DK1%2F1q2eq6LFsnwSKtwWMcIpSYGmY7IKDtZyPXNPpihAD9SOACUMI5An7xcXecWEI%2BnWvTkO9v8XW2ldJfxSEf1VwKwRX8bam%2F2aRiWjpjq4xmzeYRnfP8HnH8vD%2B65CFvOPV5%2BsNj6%2BHf4uhRB%2FwZwF0RJa20NB02ey1FKeInfq5i6ZU9KTrQYMdZJmXWxa81Dzwt69BdOGClY4%2FR2fBMCeXi9jG8Qt6EWAV1lErZUl8rzmTulUsxv3Vpg0sNUslqw6oojGy4HKgs2tmF8Ah8VpHG8qT1kltm3YmSuwqZbqiNr6Zlffk8R5w76KFfDrD2BLOf5bahFnn1N%2FayRi8dneUNqJrOztn6aQ27IfoJV88sAHy70FXZ2mdjoSXFQGX1gGFf1TQ2W4DSxj5HYzcZasbnzd5QTJQA%2FjaIQLyUrBCmZYlvrgx9Ckrprckf3TyT2BQGq6n1jgeTRGfQuJiUsQfHbSO6NdQ%2BRc2Zjld5X%2Fen%2FLaIV668pqaDjGMgI8bMk%2BBT7%2Bfkw07Vm9FiRvWb6M23%2F54UqZgQ3eIW5oyFC2OlQfv%2Blw%2BDbsuovwMcOgZvBbeF1O04BHKy26HKWNYyHmr01u8KTvC%2Fbj8Ksm%2FqmRezGa4PptAlHOtSmMCGqIEAmElKbsTCk9eHCfcSq%2FkUDovypLqIr9Q6wtHS%2BPef1fKB88P6n6ScqInChqd6r9Kqm8UCufJUDEld%2FD1r6ucup%2FJeAaLnwkQS4NZNTbgVOzNfdIEUze2427gMH3vmMPKjQQUkgMTvTRFkvB2f%2FB00NDyCzLKhPsWCQ11AD4Yo%2BrIXNpl0XT%2FE5NG%2BKuox6mLk9CJeN8YJ0To%2B9ub5QofX2gTTeevlmFYlq07kQEZtnbQ9a9DlIDt29VT6GahTTfsr%2BkWI9Y%2FcT4MMh5aRCkAKDUAqEC%2FU%2BwDuvgVo9HHyEgj%2BT8bqvQ3bsJA5HjoDmDO5UpzW9xwP4fVH3PrmRUTTzjO%2By3PvGYEJoePgRbGPjcs2ZFxs%2BMvHj%2B3IGWnT5Cfzw68H7T1BGln2QAb5oHZXVL%2Fxnp8mkkS4LQsf9M%2FJE2%2BH5XdhyWTuO7eYdtFrZkVLFBlmnwFWf2ji6j81iDT0RBroie%2FMOx8tOLj8%2F7PIjfo%2BIJp4HR1bs8zvMrkuhPyQn0q16RnbFNAFpbI0KDRPtxkrJwIzgve4%2BzhhjT%2BqGW53ZpFchSs5%2FGaeZSN4v9PypAFuZgup1Y2Afe6i4R2iTH75N%2BCVgvPjU5J3DzmOLgDcagYFqwtCG0uytXLNFq%2BX0N1U9rJuCienIY%2BVtM4Y5esK6%2BfzSvFI7iGRX2WCrffjfUNc9fYvJxQqgDgQqmpMMnx3GRyXSylc4xeofZJM5scSC8pnAG6qvOPW3YkqMK5e7nIPwRvj03uxCmnOs0yGPspsNAP9G326Q9ycEICuGcw3h0rXmuv6mjQf7zOBwfkHiV7rO045etavX8LoaCEcfvkACqPwZWA6yKbHFZAa8cWoUtoVhIQbD0i9jLROHBIfFvDs90jTGizBs6DpVTXF16aNkQmbJXdMiO3OkmMGafAJ3wbg%3D%3D,1,0,0,0,0,#487676452,Negro,"M,L",NA,ICH 3110,Rebatible,1000 g,ICH 3110,NA
372, Casco Moto Reglamentario Shaft Sh 586 Estampado Hombre ,302,NA,0,60,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TIENDAUNISEX+ONLINE,https://articulo.mercadolibre.com.co/MCO-508001035-casco-moto-reglamentario-shaft-sh-586-estampado-hombre-_JM?searchVariation=34528139541,NA,NA,NA,NA,NA,#508001035,Negro/Gris,"M,L,XL",Shaft,SH 586,Integral,1.45 g,SH-586,NA
373," Casco Para Motocicleta O Motocross, Color Blanco, Xl ",579.9,NA,0,7,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MASFRESALIMON,https://articulo.mercadolibre.com.co/MCO-506433428-casco-para-motocicleta-o-motocross-color-blanco-xl-_JM,NA,NA,NA,NA,NA,#506433428,NA,NA,NA,NA,NA,NA,NA,Rebatible
