search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
276, Capinha Anime Dbs Goku Bills Jiren - iPhone 8 8 Plus ,33,NA,1,96,6x,6.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JEBR8016912,https://produto.mercadolivre.com.br/MLB-1022122298-capinha-anime-dbs-goku-bills-jiren-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1022122298,Apple,Variados,Capinha 2D,Variados,2D,NA,NA
277, Capa Capinha Case Flamengo iPhone 8 / 8 Plus / iPhone X ,27,NA,2,86,5x,5.50,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/CAROLL41,https://produto.mercadolivre.com.br/MLB-1085224851-capa-capinha-case-flamengo-iphone-8-8-plus-iphone-x-_JM,NA,NA,NA,NA,NA,#1085224851,Outros,Mais de 150 MODELOS,Tudo Celular,Silicone Flexível,Silicone,Silicone,NA
278, Capa Capinha Apple iPhone 8 Plus Maquiagem Makeup Feminina ,24,NA,4,99,4x,6.00,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/SC+ACESSORIOSPARACELULAR,https://produto.mercadolivre.com.br/MLB-1109208217-capa-capinha-apple-iphone-8-plus-maquiagem-makeup-feminina-_JM,NA,NA,NA,NA,NA,#1109208217,Apple,iPhone 8 Plus,SC Acessórios,TPU com estampa UV,TPU com estampa UV,Silicone,NA
279, Capinha De Celular iPhone 7 E iPhone 8 Plus - Silicone Case ,43,NA,NA,2,6x,7.32,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/PISA9687852,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=HNwrBD%2F%2BzCodvrz4w1S2rIdTMmy9Dx330vL0n%2FlGDZnjIyH1pz2YWt7%2FUPBpUov3W4JUEzfu4oA3rRHJTR0Q8MuuGeSNjTa2%2BKE3POvylduxejLuOVgKzXugNJWJ0n9HQNhQLlk6zf%2FiXo3fDNjsr8vSAedqjmwvUOf9IIhTqrf3%2Ba7ITjrqssjjFO934%2BH5VZjjhmD2SRGdZ6kc4iHgvzBhMa8Ajuz2MIs3gK8QEx8YjoTh497WEIW%2FaiH9SIPpoOSP3rLekkHeWo6zB3gs4ryWdFt2%2FDcKwOb3AkhJ%2FvJJE%2FsDYcS%2BQH3oFyeVUZli8g2vVZv2I38rNvBb%2FRJdivy%2BHoKzHjkjV2KzJBV1Ey9%2F2%2F1eQqWp60YUsQFUSojMRGw9YE5%2BhXiv6QAtc5m9jl1eLtjdYckjK0agShyboZkP%2FWHbfq%2Ff0aGkgyAWSXQ00lfqNo4i18O0eQi%2FtcQKt23OjSUAa2G8DpRmk9NprXPpntnRaXv6K1QAM3ANWdvzuKLepk8rY9m2IOcQMWLmdaDNQpdE8QXi5FWr7q4ArexxeapW%2BXUZ8Yu7JJ%2BJZ02ALHx8wHOfm7grgmsE%2FHV5zc8i%2FjBUrUyhuda9mN5zWlkJ%2B4ISrRgPR%2F%2Fp%2FFkCzRN7PvR7mQ6zZ3mNlC94wROQZtLHJvb4dO7PR0YiPt1Syo%2F9RvuwTmf9eFQ%2FLfcXlJlh3rxFwUComAKCyJ5Xm2zDhD1fi3LnbrbeJQeKQd5yjTBrd9%2FUY6G0FrdZBSLTpUzeBPbhr9UfmozohO4nbiZLjHvx5t%2F4rr6DL%2FjahdBjTGwLDVfsUS10FfxYxrC2kaMNuoYkuxfWlaSWqnE1hlKtC7OEaNU0zafub2e0kqobqvObYRt9UG3aIMLJl915EMMzqt8o1ENHhgVdUumbkaeMni7iPNSYmn4SkrhfU8qk4zkunPoWnIV3umVqAqUIIU%2FgeRq07OALEl4PPb3M0HCCdV93Jh1B0mpjC%2FFD%2ByPjLuc5Tw5QqwsHuiy9Nof%2FcOG%2B7YzqFZDgsqH7MAnd4TD6J2zedOnCOCzTUsQhbF5OxAKjsfth3v%2BTBAKcHWDqGdPNYBqATSkOPaWKD5P3E6nPbzEm4lhJQnkXFEifTghCg1wtoms8rqgVebVoS9nCWOmD2hmBNfPqwd3yRwnUTlGDFF5c96Up0p7rpHMJpaeqrPFnGxe0ILVfgcZEt6ELbxpShWMBUBcHJnZpDYmdF4zaWkX%2BzBCBIQT4l03pSeBAOvVCTBlPKpFjxBwDhgGsBaudzKTX4llFSggOoa1sXKutySCyr5ZYO2l8DJawlfUzLKTbVGTK8zzukZsCf70XG6US2QoGhPhVkvi1GX7RFJVeGsmsptH2%2Fw6hsVjmXfaX0%2B8aYwH80gN4K7eL1j6NMDDRjp2Zxqt1Uuc9fRQiKHMVWtFErZ%2FdAd%2B0F5tosDrarG5eWvKQHsphNl7ei%2FNE1Bz9pi6LhJvJfjtwbVpBpjJrBIerGBFDV%2F%2FDZPW%2FvGeP4wl18gcw%2B3%2FDqhJYXSrtkrdMOSbv2Zg4r879sTJSxbhlca7F%2BI6%2FvC6MZ5yBZyucRyhiXQlocZnRVXI%2ByGyO00nEs7WLznNcH5nwFDcrK8gvIya6ajtLaxm6RSUy6vJVHlEp4PDHw9JTtb9U6nv7vOomCSMk60c%3D,NA,NA,NA,NA,NA,#1277708919,iPhone,iPhone 7 e iPhone 8 PLUS,Genérico,Silicone Case,SILICONE,SILICONE CASE,NA
280, Capinha Com Foto Personalizada iPhone 8 Plus ,29,NA,2,98,5x,5.98,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/BENPICSCAPASDECELULARES,https://produto.mercadolivre.com.br/MLB-1011839740-capinha-com-foto-personalizada-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1011839740,Apple,iPHone 8 Plus,Benpics,iPhone 8 Plus,Silicone,Silicone,NA
281, 2 Capinhas Anti Impacto Todos Iphones + Película De Brinde ,26,NA,NA,500,5x,5.91,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/DYEGOTRYNDADE,https://produto.mercadolivre.com.br/MLB-1266912972-2-capinhas-anti-impacto-todos-iphones-pelicula-de-brinde-_JM?searchVariation=39852894644,NA,NA,NA,NA,NA,#1266912972,Apple,Iphone,Marketmix1,Silicone,Silicone,Silicone,NA
282, Capa Capinha Personalizada iPhone 8 Plus Com A Sua Foto ,29,NA,1,96,5x,5.98,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/BENPICSCAPASDECELULAR,https://produto.mercadolivre.com.br/MLB-962452117-capa-capinha-personalizada-iphone-8-plus-com-a-sua-foto-_JM,NA,NA,NA,NA,NA,#962452117,Apple,iPhone 8 Plus,Benpics,iPhone 8 Plus,Silicone,Silicone,NA
283, Capinha Flamengo Fluminense Time - iPhone 8 8 Plus ,33,NA,3,94,6x,6.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JEBR8016912,https://produto.mercadolivre.com.br/MLB-1026933194-capinha-flamengo-fluminense-time-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1026933194,Apple,Variados,Capinha 2D,Variados,2D,NA,NA
284, Capa Capinha Flexivel iPhone 6 7 8 7 Plus X + Pelicula Vidro ,18,NA,2,4999,3x,6.69,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAISVARIEDADESHOP,https://produto.mercadolivre.com.br/MLB-1162446759-capa-capinha-flexivel-iphone-6-7-8-7-plus-x-pelicula-vidro-_JM?searchVariation=31696911465,NA,NA,NA,NA,NA,#1162446759,Apple,Iphone,Importado,Silicone,Silicone,Silicone,NA
285, Capinha Anti Impacto iPhone 6 7 8 Plus X 10 Xs Xr Xs Max ,14,NA,1,85,2x,7.86,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/HEBIN+SUN,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=aaH1wFwB4B133lhHpT5rua1zViqzHzIHdkk02I1ngL0xTKYAtFnRZJn5fEsfoXw9KuBAH3I3P9r5KBUd8INdBkj%2FJhsk60H0gZRkgsfGhyjhT6RCV%2FfXxw5ttRPVR6d8lQrlE4wGaqoJ7HeCMBARAS4d7oTHUhJO154HUkKaOLkXdXIDNUOSEdJwZzsxMC285UjoA71nezjayuwRAWQ%2BNuo1DftaVswRBrop0RILGv0aHgG87wTEunaqTMn8xZF%2BORG3kcufEqiufnbt2SzDAOehG6qrRPTv18OcX%2BL1G6woSLmiXhW9NZimCHrpgCb3yiEIvURkkKjiuT9xaRm8TmksFjThdGR2VVF2O%2FASJA2Lz%2BaRBUs9BQIjHEnHZWMkpDSJwMKWZ%2BWCxNsF%2BFioaAEd%2FR3mx99q78YhXuv121XqXf%2B%2B%2Ff69t4q0mALxEVlMqpWxVKxseTDG3mod6A8SeEQl8EB2n29hve43NBg%2BEpmVjvN4DJMR84J%2Fu5VM5QyGnRSsk0ndKN2un1v3g6yz%2FNEpCQqVyCIqSp3qyYybz04vlSj%2BhL98FkO2oTuKRmWrXM6gfml7%2BxmHFUsE%2Fn1cI2fBZot6IrthUoT82Nq%2BDDQwFryjHMl31EWa1SMEOvFflhpxdLp8IgUTKeGd9eJXXUL%2FP%2FCBIFf2w62hUIY%2B10XXaH%2F%2Bb9R9%2B%2F8LgF8%2BemWaj1QaF53EdtaczbJ1omTm3fyX%2BgSxvxznhGnCOl0Hl4ErglANcFHqG9e0hofghuoia956xx1O9UbW7B09YoKHDTAw9cvkrrNeZYgejc6NM%2Bd9cpGykIZoHwEyM5xt%2BGV9622hv3hBInKMEO0Mr8cGtaGjpk5wEZDFkbkX2SZu93zXHJQRtJrSy1t5ROasuP7tJjaoa9Z9zsUGzIFcPnt0kmSktK3u%2B0ynncMNgDodr9IC3X6wHgE%2Fzot0KhT5D0aFsiiObJiNcdKYK9ISMQOJb9xIToWimlibRjKrIAnFy8vcKZaMjnefW2KsOoMBtB2gkVPU41bDNlUKbrzgpNHqH2iyMYJO3H13aMnZ%2FCeJHkCG4UO%2Fu1%2BB5ER50zbQQrBpP7ZTNmLH2NGizOqQYbQAP7nIFTJk6qJX6IcE7mqqtx9tpMT0vqA%2Ftnvy8z3RlFMQpnsx%2FUt16GLKUplm6HBxX4TDKoZxbXNqcySsHjLOG%2FyAfu%2FRsCVwMfu7OZEjpad76Hs%2Be4G9u8geJsiCV0alTY99Rq3tWNusJHQuWBenE2oq%2BrlRD%2Fs2KkybJ%2BKtYKH0EHY2I4F4A%2BKfhyGKugBrQXM3t5C6T322BDYDAjS3YGm%2F908f3LqKQ56KqWoCOIlIUAV7t2NAFV%2BJTs8E%2BClQr%2FXyB9yTO1y0R4EjtRlIUASUYSQRS5M968HrwedV1NATNBuS59WiX7gDQ1kdWp0O3Q41oVyIO2rR%2B%2BsCBgh1BfD7hX%2BvjDLxO7cc8Q8or9EounhoVnYnp29YvxrTw1ibk%2Fz1k4QYkHJNx9dxcSOVKUZF5VicD%2BBzPRByhsfML%2Ffdt25KcT3Nhei1qvrctr4JkKrdIvvNJB0U%2FgTQ57p9m85fMKdG0nAWVPLWZxpBfqqnRblpjEAlhQ8JjR2C3GYQTRy5R%2BNhw8g52hZhlnOkDHbciXx62nugB2eiGd1Eggejqhiudg%3D%3D,NA,NA,NA,NA,NA,#1279037823,Apple,6 7 8Plus X Xs Xr XsMax,XHFilm,Anti Impacto,Anti Impacto,Silicone,NA
286, Capinha Capa Case Herois Personagens iPhone 8 Plus ,24,NA,NA,990,4x,6.22,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/TAMIRISLENHARO,https://produto.mercadolivre.com.br/MLB-1215898557-capinha-capa-case-herois-personagens-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1215898557,Samsung,Mais de 150 Modelos,Tudo Celular,Silicone,Silicone,Silicone,NA
287, Capinha Anime Death Note L Kira - iPhone 8 8 Plus ,35,NA,1,99,6x,5.96,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JEJO5699786,https://produto.mercadolivre.com.br/MLB-1021388387-capinha-anime-death-note-l-kira-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1021388387,Apple,Variados,Capinha 2D Sublimação,Case,2D,TPU/Policarbonato,NA
288, Capa Capinha Galo Volpi Mg iPhone 7/8 Plus + Pelicula Vidro ,19,NA,1,1,3x,6.63,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/POWER.CELULARES,https://produto.mercadolivre.com.br/MLB-1165246415-capa-capinha-galo-volpi-mg-iphone-78-plus-pelicula-vidro-_JM,NA,NA,NA,NA,NA,#1165246415,iPhone,iPhone 7 Plus iPhone 8 Plus,case power,Silicone,Braçadeira,NA,NA
289, Capa Capinha Case Personagem iPhone 8 / 8 Plus / iPhone X ,27,NA,12,96,5x,5.50,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/CAROLL41,https://produto.mercadolivre.com.br/MLB-1110315756-capa-capinha-case-personagem-iphone-8-8-plus-iphone-x-_JM,NA,NA,NA,NA,NA,#1110315756,OUTROS,Mais de 150 MODELOS,Tudo Celular,Silicone Flexível,Silicone,Silicone,NA
290, Capinha Aerosmith Black Sabbath Rock - iPhone 8 8 Plus ,33,NA,1,99,6x,6.25,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/JEBR8016912,https://produto.mercadolivre.com.br/MLB-1108313901-capinha-aerosmith-black-sabbath-rock-iphone-8-8-plus-_JM,NA,NA,NA,NA,NA,#1108313901,Apple,Variados,Capinha 2D Sublimação,Case,2D,TPU/Policarbonato,NA
291, Capinha Capa Com Nome E Letra iPhone 8 X 8 Plus ,29,NA,1,999,5x,5.98,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MINHACAPINHALOJA,https://produto.mercadolivre.com.br/MLB-1288188705-capinha-capa-com-nome-e-letra-iphone-8-x-8-plus-_JM,NA,NA,NA,NA,NA,#1288188705,Apple,Iphone,Importado,Iphone 8 X 8 Plus,Personalizada,Silicone,NA
292, Capa Capinha Anti Impacto iPhone 8 Plus Apple Envio Fast ,15,NA,NA,150,3x,5.00,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STHEFANIE+CASE,https://produto.mercadolivre.com.br/MLB-1262642380-capa-capinha-anti-impacto-iphone-8-plus-apple-envio-fast-_JM,NA,NA,NA,NA,NA,#1262642380,Apple,iPhone 8 Plus,H REBOS,Anti Impacto,Transparente,Silicone,NA
293, Capinha + Pelicula Vidro Tela Inteira iPhone 8 Plus (5.5) ,18,NA,1,600,3x,6.19,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CONECTACESSORIOS,https://produto.mercadolivre.com.br/MLB-1076860127-capinha-pelicula-vidro-tela-inteira-iphone-8-plus-55-_JM,NA,NA,NA,NA,NA,#1076860127,Apple,Iphone 8 PLUS 5.5,Tpu Silicone,Silicone,NA,Silicone,NA
294, Capa Capinha iPhone 8 Plus / 7 Plus Caseology Coastline Case ,149,NA,1,9,12x,12.50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECASE-BR,https://produto.mercadolivre.com.br/MLB-942375610-capa-capinha-iphone-8-plus-7-plus-caseology-coastline-case-_JM,NA,NA,NA,NA,NA,#942375610,Apple,Iphone 8 Plus / 7 Plus,Caseology,Coastline,NA,TPU/Policarbonato,NA
295, Capa Capinha Case Anti Impacto Silicone iPhone 8 8 Plus ,29,NA,35,865,5x,5.80,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/UNIVERSOMEGASHOPP,https://produto.mercadolivre.com.br/MLB-985871557-capa-capinha-case-anti-impacto-silicone-iphone-8-8-plus-_JM?searchVariation=32765233505,NA,NA,NA,NA,NA,#985871557,Apple,IPHONE,Apple,iPhone,ANTI-IMPACTO,Silicone,NA
296, Capa Capinha Prova D'água iPhone 5 5s Se 6 6s 7 8 Plus X Xs ,74,NA,23,299,12x,7.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.7,3,https://perfil.mercadolivre.com.br/FAVA+STORE,https://produto.mercadolivre.com.br/MLB-907668469-capa-capinha-prova-dagua-iphone-5-5s-se-6-6s-7-8-plus-x-xs-_JM?searchVariation=21675964576,0,2,1,0,0,#907668469,Apple,iPhone,Boss,Waterproof,Impermeável,Emborrachada,NA
297, Capa Capinha Nillkin Luxo iPhone 8 Plus - Eton Frete Grátis ,144,NA,NA,2,12x,12.08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CAPINHASMARTPHONE,https://produto.mercadolivre.com.br/MLB-1136033469-capa-capinha-nillkin-luxo-iphone-8-plus-eton-frete-gratis-_JM,NA,NA,NA,NA,NA,#1136033469,Apple,iPhone 8 Plus,Nillkin,Eton Case,Back Cover,TPU/Policarbonato,NA
298, Capa Carteira Couro Nome Borb Marrom iPhone 8 Plus ,69,NA,1,999,12x,5.82,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/LOJA+CELLWAY,https://produto.mercadolivre.com.br/MLB-1182171777-capa-carteira-couro-nome-borb-marrom-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1182171777,Apple,IPHONE 8 PLUS,CELLWAY,CAPINHA CARTEIRA COM NOME,Carteira,Couro,NA
299, Capa Capinha Manetica 360 Frente Tras Em Vidro iPhone 8 Plus ,118,NA,NA,1000,12x,9.83,NA,Chegará amanhã,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/STORECCS,https://produto.mercadolivre.com.br/MLB-1276442331-capa-capinha-manetica-360-frente-tras-em-vidro-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#1276442331,iPhone,iPhone 7 Plus,Extreme.Deal,Manetica 360 Frente e Verso em vidro,ima,Aluminio e vidro,NA
