search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
523, Afeitadora Electrica Braun 1 190s-1 Htrc3 Ac100-240v ,236.9,NA,0,9,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUROESTADOFISICO,https://articulo.mercadolibre.com.co/MCO-515651906-afeitadora-electrica-braun-1-190s-1-htrc3-ac100-240v-_JM,NA,NA,NA,NA,NA,#515651906,Braun,NA
524, Afeitadora Eléctrica Para Hombres Mojado Máquina De Afeitar ,296,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/APRECIOSDREMATE,https://articulo.mercadolibre.com.co/MCO-471493159-afeitadora-electrica-para-hombres-mojado-maquina-de-afeitar-_JM,NA,NA,NA,NA,NA,#471493159,Surker,NA
525, Braun Afeitadora Eléctrica 7002000 appliance 7 ml De Aceite ,67.9,NA,0,99,12 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/JOSEANTONIOMOCLETON,https://articulo.mercadolibre.com.co/MCO-491023812-braun-afeitadora-electrica-7002000appliance-7ml-de-aceite-_JM,NA,NA,NA,NA,NA,#491023812,Braun,NA
526," Braun Pocket Afeitadora Electrica Para Hombres, Lavable, Azu ",113.29,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CO-ONLINE,https://articulo.mercadolibre.com.co/MCO-505214663-braun-pocket-afeitadora-electrica-para-hombres-lavable-azu-_JM,NA,NA,NA,NA,NA,#505214663,Braun,NA
527, Afeitadora Eléctrica Para El Retiro De Vello Femenino Para ,271,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MAUJA.STORE,https://articulo.mercadolibre.com.co/MCO-519492159-afeitadora-electrica-para-el-retiro-de-vello-femenino-para-_JM,NA,NA,NA,NA,NA,#519492159,CCFADD,NA
528, Gold Rotary 5d Recargable Lavable Afeitadora Eléctrica Inal ,146.144,NA,0,3,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LIZETH.GUERRERO,https://articulo.mercadolibre.com.co/MCO-489466972-gold-rotary-5d-recargable-lavable-afeitadora-electrica-inal-_JM,NA,NA,NA,NA,NA,#489466972,NA,NA
529, Rotary Silver 5d Recargable Lavable Afeitadora Eléctrica De ,145.028,NA,0,3,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LIZETH.GUERRERO,https://articulo.mercadolibre.com.co/MCO-489467239-rotary-silver-5d-recargable-lavable-afeitadora-electrica-de-_JM,NA,NA,NA,NA,NA,#489467239,NA,NA
530, Paladou Afeitadora Eléctrica Profesional Máquina De Afeita ,156.99,NA,0,12,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/GLOBALMARKTRADINGSERVICES,https://articulo.mercadolibre.com.co/MCO-489477456-paladou-afeitadora-electrica-profesional-maquina-de-afeita-_JM,NA,NA,NA,NA,NA,#489477456,PALADOU,NA
531," Afeitadora Eléctrica Philips Norelco 5110 Wet & Dry, S5205 ",602,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MAUJA.STORE,https://articulo.mercadolibre.com.co/MCO-492236063-afeitadora-electrica-philips-norelco-5110-wet-dry-s5205-_JM,NA,NA,NA,NA,NA,#492236063,Philips Norelco,NA
532, Philips Norelco Oneblade Recortadora Y Afeitadora Electrica ,365.29,NA,0,12,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CO-ONLINE,https://articulo.mercadolibre.com.co/MCO-505219124-philips-norelco-oneblade-recortadora-y-afeitadora-electrica-_JM,NA,NA,NA,NA,NA,#505219124,Philips Norelco,NA
