search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo
1347, Eléctrico Depiladora Cabello Máquina De Afeitar Eléctrico De ,27.486,NA,"
			
				Nuevo
			
			
		",(39 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.290
			
		
		 sin interés
		
	

	
		","
				$ 2.290
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/NEWCOORDINATESCL,https://articulo.mercadolibre.cl/MLC-496263266-electrico-depiladora-cabello-maquina-de-afeitar-electrico-de-_JM,NA,NA,NA,NA,NA,#496263266,NEW-0708,MR5248900
1348, Unisex Eléctrico Espalda Cabello Máquina De Afeitar Plegab ,12.461,NA,"
			
				Nuevo
			
			
		",(800 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.038
			
		
		 sin interés
		
	

	
		","
				$ 1.038
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BOQIANGCL,https://articulo.mercadolibre.cl/MLC-496406231-unisex-electrico-espalda-cabello-maquina-de-afeitar-plegab-_JM,NA,NA,NA,NA,NA,#496406231,NA,NA
1349, Usb Duplex Eléctrico Doble Cabeza Bisturí Portátil Eléctrico ,17.625,NA,"
			
				Nuevo
			
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.469
			
		
		 sin interés
		
	

	
		","
				$ 1.469
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/SILINGGYCL,https://articulo.mercadolibre.cl/MLC-496904338-usb-duplex-electrico-doble-cabeza-bisturi-portatil-electrico-_JM,NA,NA,NA,NA,NA,#496904338,SILINGGY,AMZ62900
1350, Usb Duplex Eléctrico Doble Cabeza Bisturí Portátil Eléctrico ,19.620,NA,"
			
				Nuevo
			
			
		",(8 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.635
			
		
		 sin interés
		
	

	
		","
				$ 1.635
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ESIDAICL,https://articulo.mercadolibre.cl/MLC-496981119-usb-duplex-electrico-doble-cabeza-bisturi-portatil-electrico-_JM,NA,NA,NA,NA,NA,#496981119,ESIDAI,AMZ62900
1351, Máquina De Taladro Eléctrico Profesional Pulidor De Archivos ,16.360,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.363
			
		
		 sin interés
		
	

	
		","
				$ 1.363
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CASAFELIZCL,https://articulo.mercadolibre.cl/MLC-497281457-maquina-de-taladro-electrico-profesional-pulidor-de-archivos-_JM,NA,NA,NA,NA,NA,#497281457,No Brand,No Model
1352, Carevas Máquina Recargable Para Aliviar El Dolor Eléctrica ,10.564,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 880
			
		
		 sin interés
		
	

	
		","
				$ 880
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BUENSUERTECL,https://articulo.mercadolibre.cl/MLC-497293519-carevas-maquina-recargable-para-aliviar-el-dolor-electrica-_JM,NA,NA,NA,NA,NA,#497293519,Carevas,No Model
1353, Máquina De Afeitar Eléctrica Flyco Mini Máquina De Afeitar ,8.434,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 703
			
		
		 sin interés
		
	

	
		","
				$ 703
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BUENSUERTECL,https://articulo.mercadolibre.cl/MLC-497297885-maquina-de-afeitar-electrica-flyco-mini-maquina-de-afeitar-_JM,NA,NA,NA,NA,NA,#497297885,Flyco,No Model
1354, Maquinilla De Navaja Eléctrico Xiaomi Smate Original Blanco ,15.129,NA,"
			
				Nuevo
			
			
		",(999 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.261
			
		
		 sin interés
		
	

	
		","
				$ 1.261
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/LOYALMALLCL,https://articulo.mercadolibre.cl/MLC-497312894-maquinilla-de-navaja-electrico-xiaomi-smate-original-blanco-_JM,NA,NA,NA,NA,NA,#497312894,xiaomi,other
1355, Máquina De Afeitar Eléctrica Flyco Mini Máquina De Afeitar ,7.920,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 660
			
		
		 sin interés
		
	

	
		","
				$ 660
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BETTERONECL,https://articulo.mercadolibre.cl/MLC-498002742-maquina-de-afeitar-electrica-flyco-mini-maquina-de-afeitar-_JM,NA,NA,NA,NA,NA,#498002742,Flyco,No Model
1356, Original Xiaomi So Blanco Es03 Eléctrico Afeitarse Navaja 3 ,19.071,NA,"
			
				Nuevo
			
			
		",(200 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.589
			
		
		 sin interés
		
	

	
		","
				$ 1.589
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIDEMOTORCL,https://articulo.mercadolibre.cl/MLC-498292947-original-xiaomi-so-blanco-es03-electrico-afeitarse-navaja-3-_JM,NA,NA,NA,NA,NA,#498292947,Xiaomi,no model
