search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color
14, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,225,245,92,13,18 cuotas,453.75,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=ewaSlzKVmqdB1omm8V3rc44Y8eIjYtu%2FR05ip3jJ%2FXcLaWGIBXR2F5cTtwWa%2Bos2AAw4XBQcFJBvpxZAKWqYgk5e%2F5zYpmMzLmwM%2BREo8M3nLsCNBcqgjVXkCtspYKroYclQ6lUyn8hsGjuLVk08n9iF%2BZBUxVMTNu2ofRL4rPmRAU%2FH859ysj1KZYDLQEhWCIYjM9f%2F2elbLqb8Y%2FTOlEmfifjjC3bLtGnUFnO1XkOvpOOXCotSY4%2BxIerUnEQ8SrBoOqDyQX5vuzO5V67boZFR1DjrL9Qt2o29RIZ497VDNxezW4Yn2Hzck2wAPKdENM2T90oRqyViEX%2F%2FyEfXDrXunLF8Z%2BFRli48hzsnE%2B14s8qdFjIt8afWEOQAZU%2FrxeN9CVCAc81JN63jgUCpkKfTvtvlT8jGwFQK06Lm8mCIqMuNg9TsTVQ5INC5rxjD9n50LVLNfXjZo66vGosaU7ZCrWO9n6S%2BPpZTLUCVRi4N8p4lWeXAVeBC52DLPPo1udr5eHvrXq8NiGzt93vOQi2Ke4ENWsSRPt1wj4uULJlmMEQz8vTsynG6Mkh9ynX6doUtgH9ex7BLgepcphBkz6YvHHRsYpCNBFTwcaJ5m8p44UyPzQwRIAWs8PWGE2qehBNFelb0JzHlohq%2BUtBnBTPJbDQtN57fH5AGkxOWU3rPbIEfKCgLlpWJxBwlXTiitwXD8NCPYtZbdla%2FmPaNCKZnOun09Nih11rwQ2f6egbNRllmHGKTUUpcbDe6hxAt872xkoVSg2KzVJJbMCnBKzpycXFxjFhudMdw4pNq6VWFC8eMGJ%2BHgK1TN5mMtQDLWiP6h4E95T1Za5n55zxP5xLfHT29OFl6Zt0SuhxphmOP3E9isDpad8kWPffBLSat7FiMLWvT4qhAAqCIchXQZivqvccCcalPlaLKMqOBFzXhuL%2BLh6ICb%2FvCDgvNsKy1%2Fsq486mz2Yx7ix60yabao%2BRBUa4gOorZ3AGrtwNMkEoty97ZYlSPWffOv1is6UsRmVS9BPj9DE%2Fx2qQLGT5%2BFLOzi5MtNFm2w4m0WYgUgDIGyBwbtGAHC8duyjrLlYsgnA9BXj382OO%2BkJJxE5ohRre8Kk%2Brsm4OA2eT1joyBQ6EYxf%2F3M%2BEXbmH1QdqvdATWScMS6d3VGAMRsvCMO%2BrpI9PMur7cs9uIxA%2FSTxNRSXmF21Px7%2B8W5RK7zkjTFXLTFoS%2B7r%2BrpnEStTNK4WHFKa7UIS6J6s8bmV0cev2UtA1kPes6k1w%2BI02AZsZCpZarhohgJzTd5pJG2CK%2F9BjmnIgVv3ZVyc9DAV%2FzC00VZ8Ry7bZcb2%2BIwqISvEh3OaSnlsRm7MjdEvPOXh4wfJ%2BltiFyEMot9F4dQGrdb5MszTHHVEEZssb98P0bNv%2BbxyaVDzz3Zyqtm0HjpFrrBVaQtw8LR9hab5wppiLIc4PnJ4HiocJjBqD8X3wotOT%2FWU16BKKhc7R8RBFMFmmighKfjGRkB%2BC%2B9wrIb59wCyB4Mw2d4v8GQWSHXY7mjH4skp8eIE7%2BPDHFcJDuppxn99fY6y4eppNgdrMvcEOH18tPyHefY65ol301GAf%2FiO3g1c%2FHaQfV8qcQSNpYztjYzZBFjvdYUMBhvnrDG6QQ1ixSGB5w1AcaMcqS05Nuth0hyzBCZzSxL0%3D,13,1,2,0,0,#444260918,NA,Thonet & Vander,Kürbis Bluetooth,NA,NA,NA,NA
15, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,187,249,20,3986,18 cuotas,377.12,NA,Envío a todo el país,NA,NA,4.8,45,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM,37,7,0,0,1,#463032205,30 W,JBL,Charge 4,Activo,NA,NA,NA
16, Parlante Bluetooth Jvc Portable 16w Rms Radio Fm En Loi ,57,71,21,2976,18 cuotas,114.95,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463512740-parlante-bluetooth-jvc-portable-16w-rms-radio-fm-en-loi-_JM,0,1,0,0,0,#463512740,16 W,NA,NA,NA,NA,NA,NA
17, Parlante Kolke Fiesta Plus 15 250w Rms Portátil Bat Mic Loi ,89,129,14,9985,18 cuotas,179.48,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464025871-parlante-kolke-fiesta-plus-15-250w-rms-portatil-bat-mic-loi-_JM,0,1,0,0,0,#464025871,NA,Kolke,NA,NA,NA,NA,NA
18, Parlantes Logitech Z337 2.1 80w 40w Rms Subwoofer Bluethoot ,96,NA,6,4,18 cuotas,193.60,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/INFINITTECHNOLOGY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=iZ9UE957gtYjTyRfjjm3lLD41oNghU6q2re%2Fj6Bbk2%2BWgbc1DLGd19PLvTWS47Bn9N%2B2NugmolzNrf0kmPsjbG%2B2bV6gwrIUAE2ihrU6R4A3E2TJBBqaFIQBKhSam4Vb%2FrufgHSQ2imxXOEDM6YEq%2Fs%2F%2F65DUzFvNEFeKSALyegiHttH5kDR9L3yppDo3HjlTB7eIAVXGN3L60z4vzANjE%2FBk3ljrrDl6BtWvLBUwozxHJUd199brdtGqoM9BPQxtatppcVs%2F3iOLZBr%2Fc%2BlRmtnwgaIRYasGEx5aQ7Uf2JMijS7%2BCqgE%2FrCPO1c3q1jTeo9vg%2FhZFfn%2FpYmJmW8bsXlUnWKNbZUbynvcX%2FzPEpfZYMNsu%2BnOebzsyGacjzBYgGVuTtoQsJfQ9qAJ%2B0taU%2FMdbEBCBHCWkFJkGCU1e6CcV%2BwPfF9D21mYUfSOu8ajf1rHZL3vsZlV0vwnPwgxZ%2BjQkymJv75mVqeXEnW9qQNQMTsKKUsypSm6qd8QDCKYxvGItTLlYxIYRPjLIvkEu%2F9DydIrrEcS1%2BQwD2gqJt1o4AoGfMa4ZLGvwvmZU%2FEXSdthmMljRo94UafMa8prnIUffxm6cb4gKMRrHTEaXqw%2B3x1%2BPLuqzylkZUBWkz9mOriu5MSz4mIo9DUmSEqM0OOu2Uuouq5D1BkIaJfN1jhYIZxpjIELzeIi5%2Bry8P8xQ2XLEl4vELiLHIzvmVrxyHrtTbzm20VfuuYmkPJgCgVpawl3Kq88KRF2g0mD0DncxABOv2Tkc5y4ciEG4YpHMraoQ6lU1M5cycMaker%2FHzF%2BPi2hTZQzTurn1oM8Rmd4NsBo3%2FyiD1jU5svEB6WXqdVZNMGY47tPDffJ8EVN1Zj23MMI2Jmzj8%2FhdN3Qja2pzjd25RmkIQhsQMjL1Bumy86XjeB%2FLoIwsl%2BmtY%2BYCPnByb2KJ7TmDFe0YPxA9%2FixdK1%2BcnLe6tukIJ689iHa8VBEV73I4RqyBLoZ7xgiJiYhiuquhB406QH7fz1S7gxPc%2BppB44P0yKIJ6pPn%2Bh4VvzjFSsGuYPMOoI3168TZt4YaT%2FOFo3KnXSYaKTt0m4AOOtSeVmAyIGtyfVGC324ZsS1ScancWqj5SXDTlsiVCkOWDsZsGMoJ%2FIjFMof4RvOjTwNo2%2BGVhkTCCros%2BSMqyNteGA8BWlMj%2FfRFKfEq5FFH6mEMoPfqqvZiUXPKZ0ZOq%2Fq%2Ff97ZkKzYZXc1bk7yS8GpdyVZrFDqqzC5kWhuAShc%2B5noPt9KybWGzUjeWaup3LYfTp0ZOmWpXADDa4hNwZ4mYeJI15P%2BUiwVjzBeIQj%2BhS2TtYrjqJrnabj0k5B8m7dzZRg71aBRbR04xdDGhslNZ2XVHXXLobK6uMg28Ixi4IXsbU4egBeQfnZ9eI8AS5UuklL51%2F3iPl5NP7iXr10Kpk3kdJJP0HnAFHGCEbvJDVaM7xQlN0rdZQ%2Ff6K13PY7xv4F%2F9B%2FrZy616p4MSwMC8fuLDMOaWn82xyNr2Kzy%2BZfQfShDchUn64DPVZcdJvCXHGlTOVoAtRgutq0deNB%2FzVqCCmGBCNUjHAv4eyH7Ay47j%2B6D1arKS2d8XGw34AtX5S43blvX%2FeVgMGeJF7JYjqJWxGZ3r2j1mx3WggXr41p%2BbjPZBBPtApR2CibJGPR5AS,NA,NA,NA,NA,NA,#463354792,NA,Logitech,NA,NA,NA,RCA,NA
19, Parlante Kolke Kpb-160 C/microfono Inalambrico Circuit ,3293,NA,97,48,18 cuotas,182.94,NA,Envío a todo el país,NA,NA,4.7,18,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449889793-parlante-kolke-kpb-160-cmicrofono-inalambrico-circuit-_JM,13,4,1,0,0,#449889793,NA,Kolke,NA,NA,NA,NA,NA
20, Mini Parlante Bluetooth Con Luces Mp3 Recargable 3w Clicshop ,185,NA,28,16,18 cuotas,10.28,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-463556772-mini-parlante-bluetooth-con-luces-mp3-recargable-3w-clicshop-_JM,2,0,0,0,0,#463556772,3 W,NA,NA,NA,NA,NA,NA
21, Parlante 8 Activo Luces Leds Bateria Portatil Dimm ,2179,NA,49,6,18 cuotas,121.06,NA,Envío a todo el país,NA,NA,4.3,8,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-447773265-parlante-8-activo-luces-leds-bateria-portatil-dimm-_JM,5,2,0,0,1,#447773265,NA,Xion,NA,NA,3.4 kg,NA,NA
22, Parlante Portatil Ledstar 6 Bluetooth Bateria Futuro21 Dimm ,1199,NA,24,98,18 cuotas,66.61,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-446606518-parlante-portatil-ledstar-6-bluetooth-bateria-futuro21-dimm-_JM,0,0,1,2,0,#446606518,NA,Bose,NA,NA,NA,NA,NA
23, Parlante Barra De Sonido Bluetooth Tv Potente Calidad Smart® ,1379,NA,30,1770,18 cuotas,76.61,NA,Envío a todo el país,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224414-parlante-barra-de-sonido-bluetooth-tv-potente-calidad-smart-_JM,3,1,0,0,0,#455224414,NA,NA,NA,NA,NA,NA,NA
24, Parlante Jbl Go 2 Bluetooth Resistente Al Agua Oferta Loi ,1260,1899,34,5980,18 cuotas,70.00,NA,Envío a todo el país,NA,NA,4.8,222,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462202467-parlante-jbl-go-2-bluetooth-resistente-al-agua-oferta-loi-_JM,188,30,2,2,0,#462202467,3 W,JBL,GO 2,Activo,NA,USB,NA
25, Parlante 15 Activo Led Bateria Bluetooth + Microfono Dimm ,103,109,1,9,18 cuotas,207.72,NA,Envío a todo el país,NA,NA,NA,NA,NA,https://articulo.mercadolibre.com.uy/MLU-465570256-parlante-15-activo-led-bateria-bluetooth-microfono-dimm-_JM,NA,NA,NA,NA,NA,#465570256,NA,NA,NA,NA,NA,NA,NA
26, Parlante Bluetooth T&g Portátil 10w Resistente Al Agua Loi ,649,713,18,993,18 cuotas,36.06,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462550224-parlante-bluetooth-tg-portatil-10w-resistente-al-agua-loi-_JM,NA,NA,NA,NA,NA,#462550224,10 W,NA,NA,NA,NA,NA,NA
27, Parlante Equipo Audio Sony V81 Alta Potencia Bluetooth Pcm ,859,NA,7,999,18 cuotas,1.732.32,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,https://articulo.mercadolibre.com.uy/MLU-458268876-parlante-equipo-audio-sony-v81-alta-potencia-bluetooth-pcm-_JM,1,0,0,0,0,#458268876,NA,Sony,NA,NA,NA,NA,NA
28, Parlante Bluetooth Resistente Tipo Jbl Charge Buenos Graves ,990,1090,243,88,18 cuotas,55.00,NA,Envío a todo el país,NA,NA,4.2,18,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-450615769-parlante-bluetooth-resistente-tipo-jbl-charge-buenos-graves-_JM,9,4,4,1,0,#450615769,NA,JBL,NA,NA,NA,USB,NA
29, Mini Parlante Portátil Bluetooth Mp3 Sd Recargable Clicshop ,185,NA,58,24,18 cuotas,10.28,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453546717-mini-parlante-portatil-bluetooth-mp3-sd-recargable-clicshop-_JM,NA,NA,NA,NA,NA,#453546717,NA,NA,NA,NA,NA,NA,NA
30, Parlante Bluetooth Jbl Go2 Portátil Calidad Potencia Febo ,1228,NA,124,98927,18 cuotas,68.22,NA,Envío a todo el país,NA,NA,4.8,222,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-458234258-parlante-bluetooth-jbl-go2-portatil-calidad-potencia-febo-_JM,188,30,2,2,0,#458234258,3 W,JBL,GO 2,Activo,184 g,NA,NA
31, Parlante 2.0 Bluetooth Tienda Oficial Thonet & Vander Kürbis ,225,245,92,13,18 cuotas,453.75,NA,Envío gratis a todo el país,NA,NA,4.7,16,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,https://articulo.mercadolibre.com.uy/MLU-444260918-parlante-20-bluetooth-tienda-oficial-thonet-vander-kurbis-_JM,13,1,2,0,0,#444260918,NA,Thonet & Vander,Kürbis Bluetooth,NA,NA,NA,NA
32, Parlante Portatil Bluetooth Jbl Charge 3 Batería Futuro21 ,5590,6249,49,4,18 cuotas,310.56,NA,Envío a todo el país,NA,NA,4.6,23,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-458974093-parlante-portatil-bluetooth-jbl-charge-3-bateria-futuro21-_JM,16,5,2,0,0,#458974093,20 W,JBL,Charge 3,Pasivo,NA,NA,NA
33, Parlante Portatil 15´´ Bluetooth Microfono Con Luces Dimm ,109,NA,11,94,18 cuotas,219.82,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-449928360-parlante-portatil-15-bluetooth-microfono-con-luces-dimm-_JM,NA,NA,NA,NA,NA,#449928360,NA,NA,NA,NA,NA,NA,NA
34, Parlante Portátil Bluetooth 3w Rms Usb Microsd Aux En Loi ,239,257,15,994,18 cuotas,13.28,NA,Envío a todo el país,NA,NA,3,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462660839-parlante-portatil-bluetooth-3w-rms-usb-microsd-aux-en-loi-_JM,0,0,1,0,0,#462660839,3 W,NA,NA,NA,NA,NA,NA
35, Parlantes Edifier R1280db 42w Rms Bluetooth De Madera ,133,NA,10,NA,18 cuotas,268.22,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/INFINITTECHNOLOGY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=cXHwZ8TJqneZ4VGFuV%2FLRCnSvF42ZafeSUejKCryVIXkowhTvjt33luI0OiHwOmE%2FS1ZtkW0wObwK%2Bk3vuIzoj14sB8aWo5AE2dMzDyiqcqw8he0r8GND4NbWyQSEEUH%2BI%2FaeerQMltrNZVFrl95XVEnCnpIRsJAkbJHNTRCLo47zwo8OrJ2LB3jOwPQoL9Jizr7vV8xNzmzfC0YRJWRNSsVI6YvwxinjR9QqbhVQpx4%2FlpUI5aipXFF%2FLNfxi%2F13zeGiijjZaZ9KbpWDQYfcKGd4Rl3igOoZP9x2DHm63PGUlm7bJTC%2BuarTq%2F5k0LN4tPqNcfDvRUjCFrmHIGUJZnbhE35to90f0ChVEqIijNayX4Pso961rLL4VDtHjCphT1XMy7oCeIgqfh4aIZ37czWC1lLxr9WOhtSh2JPmUiAGVFfApdlfrP5Ik%2F6vcVXvOW8NmOHZIWs43mm6nWXokvOyJpXTAU5wU4ocQ9dm%2BKfTK8OHC3NwDYFUIwPCbvZnJYvKrs5i1y4vquh9bjqwtK4IfsG1auWek21Sn%2B3qFkDHvUKeicQwnHT1vnUAqRpI%2F%2BP5D5JG8hqB4o8YU0nzFDyASHTVWO82cXw%2BcAtOFuaqF9mQYo1MqgiJwuv2c2auiekhf8Z7G3IdOFa20dpAVdVaYgUrhjhtjZDUpKqvYLrfa8vQfFYDdTPkJKluCTHCF7QR6MTv8%2BvReqfyMPMu%2FpUcS9uWnLmUjuv5F0t9pWtqdIX1VdXj78ZarK%2BSFpWGHPQpLHxzFFl6ZIU2Dr5lls32ySEtyLEeDWAgZwFlzk5nAn59DgAj5VcR87p8%2FbZb6Liac6XHVozkMyzGiRmf6UbtMVRdI52aWYyR53v0Nt0MUpv8lGqJLVaGld%2F5R3RX7NJ7a%2FrQ4zvmZU4NKfleUT2%2Fyzwt%2B%2BBxCCRUiK0aMmrmOnKLtxEhyLOABnF%2F7kmHngxHi2nlCAR2Zd0QTxeszVeD7IQrW2VdM3pXjT7gSWSjNMU9bfy0%2FR4VMmQYmzQFqucVGywxNGK8tMqwQDeU4846hX2a7scepP7b4he661gpVQ8gu6%2Bq4likQPN51GHDweZEalmwemIEEIgYt2Xq2pGZ2yGmlFBYQYbtVvbgJlPJM7oh4yJxDEyp1zzLWu2ILQRcQ%2BJ9whkFiIGSeTGgwyPN3G6sl10wGRAAuc7AvvSCyV01L725Y%2BhG6u5%2BjhTXdSiOIag8Ym%2BFsEC1M36kZHzO0s7H%2BKdmGobxd%2BLbkD1n60cMq6MhwtA1Mrgv%2BvsPd27HgMNhBbPbYFJyip7Moj%2FiWVs89SbVcz%2BLzNyCuD00yOIA%2F4yZBiF5JjZCgCOaHLsQ%2BC7BR74rG1XolU4hT%2FU%2FDGXUMOb5ld4Mf7m%2BSjTEEun6DGcGQYjGbSv89hDv6F5RETT8M1A93G4brumEJE25D2u2kRnLjok5q2E3FTK8qw9wFC0C2ynkQL7Nc1Nz%2F5jsf6qhu8HyfVymiCeMOfYzpsRhJ%2B9pkMOGX0lZqfTV04qOnKhcO7bS94Ml1kA3YOxry8Pkpr6N5l%2BSYxMAQMUYJzQ0VfnRvT3cC%2BdnwgKHIO%2F20VoCo0cxC8PgAXFYTV5J5QUmEqDboJI8SKnb0grf1tFp9mowtM0YxUx4Wk9btRqdte4uMRz9d%2FUh6sz9g%3D%3D,2,0,0,0,0,#446564901,NA,Edifier,R1280DB,NA,NA,NA,NA
36, Parlante Bluetooth Jbl Charge 4 Directo Del Importador ,6399,NA,15,12,18 cuotas,355.50,NA,Envío a todo el país,NA,NA,4.8,45,http://perfil.mercadolibre.com.uy/URU-MARKET,https://articulo.mercadolibre.com.uy/MLU-460591460-parlante-bluetooth-jbl-charge-4-directo-del-importador-_JM,37,7,0,0,1,#460591460,30 W,JBL,Charge 4,Activo,965 g,NA,Negro
37, Parlante Jbl Flip 4 Original Portátil Bluetooth - Gtia 1 Año ,3689,3899,71,9936,18 cuotas,204.94,NA,Envío a todo el país,NA,NA,4.8,216,http://perfil.mercadolibre.com.uy/BLACKDOGELECTRONICS,https://articulo.mercadolibre.com.uy/MLU-447579883-parlante-jbl-flip-4-original-portatil-bluetooth-gtia-1-ano-_JM,182,28,4,1,1,#447579883,16 W,JBL,Flip 4,Activo,515 g,NA,NA
38, Parlante Portátil Bluetooth Aluminio ,390,NA,34,66,18 cuotas,21.67,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532785-parlante-portatil-bluetooth-aluminio-_JM,NA,NA,NA,NA,NA,#455532785,NA,NA,NA,NA,NA,NA,NA
39, Parlante Portatil Bateria Kolke Bomb Inalambrico Bluetooth ,1490,NA,21,999,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,3.3,3,http://perfil.mercadolibre.com.uy/TODOOFERTAS.UY,https://articulo.mercadolibre.com.uy/MLU-459404638-parlante-portatil-bateria-kolke-bomb-inalambrico-bluetooth-_JM,0,1,2,0,0,#459404638,NA,Kolke,Bomb KPM-222,NA,NA,NA,NA
40, Parlante Tipo Jbl Xtreme Bluetooth Portable Musica Waterpool ,1490,NA,67,933,18 cuotas,82.78,NA,Envío a todo el país,NA,NA,4,10,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-455224472-parlante-tipo-jbl-xtreme-bluetooth-portable-musica-waterpool-_JM,5,3,0,1,1,#455224472,40 W,Xtreme,Xtreme,Pasivo,NA,NA,NA
