search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,Marca,Modelo,Tipo de casco,Línea,Tipo,Edad
21, Cubre Nariz Deflector Casco Moto Hjc Cl-st Fs-15 Cl-16 Cl-y ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(44 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 828
		
		 sin interés
		
	

	
		",28,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-459817226-cubre-nariz-deflector-casco-moto-hjc-cl-st-fs-15-cl-16-cl-y-_JM,NA,NA,NA,NA,NA,#459817226,NA,HJC,NA,NA,NA,Integral,NA
22, Casco Hjc Moto Cs-15 Treague Mc-5sf Terminacion Mate ,109,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(4 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 21261
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449739509-casco-hjc-moto-cs-15-treague-mc-5sf-terminacion-mate-_JM,4,0,0,0,0,#449739509,NA,HJC,Treague,Integral,CS-15,NA,NA
23," Intercomunicador Para Cascos, Con Cable Power Maxx ",1234,NA,"
			
				Nuevo
			
			
				
					 - 
				
				54
				vendidos
			
		",(4 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6856
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,3.8,8,http://perfil.mercadolibre.com.uy/MOTOSHOPSRLMOTOSHOPSRL,https://articulo.mercadolibre.com.uy/MLU-444703050-intercomunicador-para-cascos-con-cable-power-maxx-_JM?searchVariation=38965732355,4,0,2,2,0,#444703050,Negro,NA,NA,Integral,NA,NA,NA
24, Cascos Ls2 Ff352 Single Mono Negro Brilloso ,73,NA,"
			
				Nuevo
			
			
				
					 - 
				
				30
				vendidos
			
		",(7 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 14239
		
		 sin interés
		
	

	
		",39,NA,Envío a todo el país,NA,NA,5.0,3,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-444273158-cascos-ls2-ff352-single-mono-negro-brilloso-_JM,3,0,0,0,0,#444273158,NA,LS2,NA,Integral,NA,NA,NA
25, Cascos Motos Cross Mt Helmets Falcon Negro Brillante ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(95 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 25162
		
		 sin interés
		
	

	
		",62,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-460021960-cascos-motos-cross-mt-helmets-falcon-negro-brillante-_JM,NA,NA,NA,NA,NA,#460021960,NA,MT Helmets,Falcon,Cross,Optimus,NA,NA
26, Cascos Motos Cross Mt Helmets Falcon Naranja 2019 ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(94 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 25162
		
		 sin interés
		
	

	
		",62,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-459580027-cascos-motos-cross-mt-helmets-falcon-naranja-2019-_JM,NA,NA,NA,NA,NA,#459580027,NA,MT Helmets,Falcon,Cross,Weston,NA,Adultos
27, Casco Para Moto Rebatible Con Lentes Safebet ,2090,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 11611
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/GKMOTOS,https://articulo.mercadolibre.com.uy/MLU-459497070-casco-para-moto-rebatible-con-lentes-safebet-_JM,NA,NA,NA,NA,NA,#459497070,NA,NA,NA,Integral,NA,NA,NA
28, Casco Moto Hjc Is-17 Loktar Mc-8 Con Lentes Incl. ,259,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(3 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 50519
		
		 sin interés
		
	

	
		",19,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454978455-casco-moto-hjc-is-17-loktar-mc-8-con-lentes-incl-_JM,NA,NA,NA,NA,NA,#454978455,NA,HJC,LOKTAR,Integral,IS-17,NA,Adultos
29, Cubre Nariz Casco Moto Hjc Original ,18,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(89 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3511
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449754911-cubre-nariz-casco-moto-hjc-original-_JM,NA,NA,NA,NA,NA,#449754911,NA,HJC,NA,NA,NA,Integral,NA
30, Casco Cross Pro Tork + Antiparra Regalo Super Oferta Rojo ,3950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(1 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 21944
		
		 sin interés
		
	

	
		",44,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/INTERNACIONALRACEIMPORT,https://articulo.mercadolibre.com.uy/MLU-455164782-casco-cross-pro-tork-antiparra-regalo-super-oferta-rojo-_JM?searchVariation=41222700963,NA,NA,NA,NA,NA,#455164782,Rojo,Pro Tork,NA,Cross,NA,NA,NA
