search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso,Tiempo de carga
880, Afeitadora Remington ,1600,NA,0,1,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,5,https://perfil.mercadolibre.com.ar/MARCELO+LALLI,https://articulo.mercadolibre.com.ar/MLA-797195259-afeitadora-remington-_JM,4,1,0,0,0,#797195259,Remington,Hyperseries,XR1400,XR1400,NA,Batería,Removibles,NA,NA
881, Repuesto Afeitadora Braun 30b Foil Serie 4000/7000 Blister ,4700,NA,3,NA,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/.MARPEC,https://articulo.mercadolibre.com.ar/MLA-727167847-repuesto-afeitadora-braun-30b-foil-serie-40007000-blister-_JM,NA,NA,NA,NA,NA,#727167847,Braun,NA,NA,NA,NA,NA,NA,NA,NA
882, Combo Remington Afeitadora Pr1335 + Cortadora De Detalles ,2999,NA,4,24,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/0LIMPYA,https://articulo.mercadolibre.com.ar/MLA-789577888-combo-remington-afeitadora-pr1335-cortadora-de-detalles-_JM,NA,NA,NA,NA,NA,#789577888,Remington,Power Series Flez Plus,PR1335,NA,NA,220 V,Flexibles,NA,NA
883, Máquina De Afeitar Eléctrica Remington F2-3800l Negro ,2622,NA,0,100,6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLUBENVIOSAR,https://articulo.mercadolibre.com.ar/MLA-747121779-maquina-de-afeitar-electrica-remington-f2-3800l-negro-_JM,NA,NA,NA,NA,NA,#747121779,Remington,NA,F2-3800L,NA,NA,NA,NA,NA,NA
884, Nueva Afeitadora Braun Series 5 5030s Carga Rapida Lavable ,13465,NA,15,5,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4,1,https://perfil.mercadolibre.com.ar/HIPER-HOGAR,https://articulo.mercadolibre.com.ar/MLA-615235283-nueva-afeitadora-braun-series-5-5030s-carga-rapida-lavable-_JM,0,1,0,0,0,#615235283,Braun,Series 5,MOTION FLEX,5030S,50 MINUTOS,NA,NA,NA,NA
885, Combo Afeitadora Pr1235 Remington + Kit Corte 5 En 1 Pg181 ,1999,NA,1,2,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/0LIMPYA,https://articulo.mercadolibre.com.ar/MLA-778038536-combo-afeitadora-pr1235-remington-kit-corte-5-en-1-pg181-_JM,NA,NA,NA,NA,NA,#778038536,Remington,Flex,Pr1235 + Pg181,NA,NA,220,Flexibles,NA,NA
886, 1 Set Mini Taladro Set Micro Eléctrico Dremel Rotary Energía ,3088,NA,2,14,6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/3CELECTRONICSSTOREAR,https://articulo.mercadolibre.com.ar/MLA-797911443-1-set-mini-taladro-set-micro-electrico-dremel-rotary-energia-_JM,NA,NA,NA,NA,NA,#797911443,NA,NA,NA,NA,NA,NA,NA,NA,NA
887, Afeitadora Eléctrica Philips Recargable S1310/02 ,3099,NA,3,8,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,62,NA,https://articulo.mercadolibre.com.ar/MLA-784292334-afeitadora-electrica-philips-recargable-s131002-_JM,37,17,6,2,0,#784292334,Philips,Series 1000,S1310/02,NA,NA,11100,NA,NA,NA
888, Repuesto Foil Afeitadors Braun Afeitadora 410 Micron ,1300,NA,2,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTRI-LUZ,https://articulo.mercadolibre.com.ar/MLA-743416151-repuesto-foil-afeitadors-braun-afeitadora-410-micron-_JM,NA,NA,NA,NA,NA,#743416151,Braun,NA,NA,NA,NA,NA,NA,NA,NA
889, Eco Hair Shampoo + Kit Viaje Trimmer Wahl Cabello Nasal ,2180,NA,1,99,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/CO+NLINE,https://articulo.mercadolibre.com.ar/MLA-777108956-eco-hair-shampoo-kit-viaje-trimmer-wahl-cabello-nasal-_JM,NA,NA,NA,NA,NA,#777108956,Wahl,HOME,KIT VIAJE,NA,NA,cargador electrico,Removibles,NA,NA
890, Cortabarba Philips Breadtrimmer Pro Skin Bt1000 ,1484,NA,6,16,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FULLONEFULLONESA,https://articulo.mercadolibre.com.ar/MLA-716806687-cortabarba-philips-breadtrimmer-pro-skin-bt1000-_JM,NA,NA,NA,NA,NA,#716806687,Philips,NA,BT1000/15,NA,NA,NA,NA,NA,NA
891, Afeitadora Corta Pelo Barba Braun Bt5050 25 Ajustes. ,3599,NA,24,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.5,2,https://perfil.mercadolibre.com.ar/ALMARAZELEC,https://articulo.mercadolibre.com.ar/MLA-639581274-afeitadora-corta-pelo-barba-braun-bt5050-25-ajustes-_JM,0,1,1,0,0,#639581274,Braun,NA,BT5050,NA,NA,Recargable,NA,NA,NA
892, Afeitadora Cortabarba Philips Series 1000 Bt1000/15 Outlet ,1199,NA,1,4,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTRO-OUTLET,https://articulo.mercadolibre.com.ar/MLA-784856655-afeitadora-cortabarba-philips-series-1000-bt100015-outlet-_JM,NA,NA,NA,NA,NA,#784856655,Philips,Afeitadora,BT1000/15,BT1000/15,NA,NA,Planos,NA,NA
893, Combo Remington Afeitadora Pr1330 + Trimmer Nariz Ne3200 ,2849,NA,1,24,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4,1,https://perfil.mercadolibre.com.ar/0LIMPYA,https://articulo.mercadolibre.com.ar/MLA-790893221-combo-remington-afeitadora-pr1330-trimmer-nariz-ne3200-_JM,0,1,0,0,0,#790893221,Remington,Power,PR1330,NA,NA,220,Flexibles,NA,NA
894, Afeitadora Philips Oneblade Qp2521/10 Recorta Modela Afeita ,1839,NA,1,4,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,753,https://perfil.mercadolibre.com.ar/365+STORE,https://articulo.mercadolibre.com.ar/MLA-760437503-afeitadora-philips-oneblade-qp252110-recorta-modela-afeita-_JM,567,129,42,5,10,#760437503,Philips,OneBlade,Shaver,QP2521/10,45 min,NA,Planos,NA,8 h
895, Afeitadora Corta Barba Pelo Nariz Patillas Recargable 3 En 1 ,1799,NA,2,5,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MOJOJOJO-TIENDA,https://articulo.mercadolibre.com.ar/MLA-774466909-afeitadora-corta-barba-pelo-nariz-patillas-recargable-3-en-1-_JM,NA,NA,NA,NA,NA,#774466909,Surker,Afeitadora - corta pelo - saca pelo nariz,SK-721,NA,45 Minutos/Carga 8 Horas,NA,NA,NA,NA
896, Recortadora De Barba Braun Bt3020 1 A 10mm 20 Posiciones. ,2099,NA,15,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,8,https://perfil.mercadolibre.com.ar/ALMARAZELEC,https://articulo.mercadolibre.com.ar/MLA-639583803-recortadora-de-barba-braun-bt3020-1-a-10mm-20-posiciones-_JM,4,3,0,0,0,#639583803,Braun,Braun,BT3020,NA,30 m,NA,NA,NA,60 m
897, Afeitadora Gama Gsh860 Recargable Inalambrica Precision Cut ,1149,NA,2,3,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,97,https://perfil.mercadolibre.com.ar/LAJUANAMUEBLES2016,https://articulo.mercadolibre.com.ar/MLA-715007173-afeitadora-gama-gsh860-recargable-inalambrica-precision-cut-_JM,47,35,13,2,0,#715007173,GA.MA Italy,AFEITADORA INALAMBRICA,GSH 860,NA,60,Corriente directa,Giratorios,144 g,NA
898," Afeitadora Philips Qp2510 Recorta, Modela Y Afeita ",1490,NA,0,NA,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/SUBIRIJONATAN,https://articulo.mercadolibre.com.ar/MLA-795626866-afeitadora-philips-qp2510-recorta-modela-y-afeita-_JM,NA,NA,NA,NA,NA,#795626866,Philips,OneBlade,Qp2510,NA,NA,Batería,Planos,NA,NA
899, Corta Barba Remington Mb4130 ,1899,NA,1,24,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/0LIMPYA,https://articulo.mercadolibre.com.ar/MLA-785535127-corta-barba-remington-mb4130-_JM,NA,NA,NA,NA,NA,#785535127,Remington,Recortadora de barba,MB4130,NA,NA,220,Removibles,NA,NA
900, Repuesto Afeitadora Braun Foil 260 Original ,1000,NA,1,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/ELECTRI-LUZ,https://articulo.mercadolibre.com.ar/MLA-752837031-repuesto-afeitadora-braun-foil-260-original-_JM,NA,NA,NA,NA,NA,#752837031,Braun,NA,NA,NA,NA,NA,NA,NA,NA
901, Afeitadora Gama Gsh-860 Recargable Inalambrica Cortapatilla ,1551,NA,1,4,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/365+STORE,https://articulo.mercadolibre.com.ar/MLA-785416526-afeitadora-gama-gsh-860-recargable-inalambrica-cortapatilla-_JM,NA,NA,NA,NA,NA,#785416526,GA.MA,NA,NA,NA,NA,NA,NA,144 g,NA
902, Afeitadora Philips Multigroom 8en1 Mg 3730/15 ,2223,NA,0,30,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/LAFRANCO+BUENAVISTA,https://articulo.mercadolibre.com.ar/MLA-765699934-afeitadora-philips-multigroom-8en1-mg-373015-_JM,NA,NA,NA,NA,NA,#765699934,Philips,Series 3000,MG3730/15,MG3730,NA,Batería,Flexibles,NA,NA
903, Cargador Philips Sensotouch 3d Original Y Serie 9000 Envios ,990,NA,6,2,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,7,https://perfil.mercadolibre.com.ar/FUENTESTODAS,https://articulo.mercadolibre.com.ar/MLA-738657583-cargador-philips-sensotouch-3d-original-y-serie-9000-envios-_JM,6,2,0,0,0,#738657583,Philips,BLACK,SensoTouch,RQ1145/17,120,NA,NA,NA,NA
904, Afeitadora Gillette Styler 3 En 1 Recorta Afeita Y Define ,1328,NA,0,1,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,8,https://perfil.mercadolibre.com.ar/PORTE%C3%91APUEYRREDON,https://articulo.mercadolibre.com.ar/MLA-791984743-afeitadora-gillette-styler-3-en-1-recorta-afeita-y-define-_JM,5,2,1,0,0,#791984743,Gillette,Fusion ProGlide,Styler 3 en 1,NA,NA,Batería,Removibles,NA,NA
905, Maquina Afeitadora Profesional Foil Fx02 Babylisspro ,9999,NA,1,999,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/-LASMARGARITAS-?brandId=709,https://articulo.mercadolibre.com.ar/MLA-753516983-maquina-afeitadora-profesional-foil-fx02-babylisspro-_JM,2,0,0,0,0,#753516983,BaBylissPRO,Foil Fx02,FOILFX02,NA,3 horas,Batería,Ergónomicos,NA,NA
906, Afeitadora De Presicion Wahl A Prueba De Agua Recargable ,3822,NA,0,100,6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLUBENVIOSAR,https://articulo.mercadolibre.com.ar/MLA-747123847-afeitadora-de-presicion-wahl-a-prueba-de-agua-recargable-_JM,NA,NA,NA,NA,NA,#747123847,Wahl,NA,7061-100,NA,NA,NA,NA,NA,NA
907, Maquina De Afeitar Recorta Barba Pelos Nariz Afeitadora 3en1 ,2199,NA,20,97,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/MOJOJOJO-TIENDA,https://articulo.mercadolibre.com.ar/MLA-762475210-maquina-de-afeitar-recorta-barba-pelos-nariz-afeitadora-3en1-_JM,1,0,0,0,0,#762475210,Surker,Afeitadora / Corta pelo / Nariz,Afeitadora / Corta pelo,NA,30/40,Recargable,NA,NA,NA
908, Afeitadora Electrica Maquina Barba Patilla Nariz Oido 4 En 1 ,1799,NA,0,30,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/NIXOSHOP,https://articulo.mercadolibre.com.ar/MLA-775972926-afeitadora-electrica-maquina-barba-patilla-nariz-oido-4-en-1-_JM,NA,NA,NA,NA,NA,#775972926,Winco,afeitadora 4 en 1,W814,NA,NA,Corriente directa,Flexibles,NA,NA
909, Afeitadora Shaver Gamma Piu Usb Inalambica Patillera Zero ,6350,NA,11,4,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,44,https://perfil.mercadolibre.com.ar/DIE2215,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=QxzqwGbTHKwr%2FPz9eyq2CEyYRQo2pv5MzVIUXn7sOkdzDd2GceZa4JaScYAxkPzhZABC6YJ2gB88JFSBPxFZ9AbX%2FNCT2dR75XhS00%2BeAOEQRIGRMvJb5ZmVK%2F5dMFREY4iOoxABM4fTZy0oBPns8G0pgwwWRaYP7kx7ABzqr8yJ32wayptZI70QfyqSeHFjndtahv07%2FWKS5oMhmWCPwY%2B%2BUv4qM3eZ2Pmx3yXbz%2BkSoRnkk0D6e%2BawepM44%2Fofd7uLnfuYaw3zzjnD1JVp1uOa9J5EctuB0mQW1rS2sCtsmvetiKZ7DSNm0QPTTd52tzQurJzJiHK2Jxbq3qGRkFCMeBVNk8O8f%2Bjk%2B83D1O1J%2FOhp%2FjyYTYOr9QGJYndNC7hv1R8CaYLXpTMIkPblaVlL3FkEMB2DhIPcRcRx14VW6hLC%2B1t2BMz7jGk2k9wVHpudvnqbxYCtZ5ZgRdbJNnFxi9HTS3cvJHdmC99L6HC213tX%2FToc8cLvHBzCwvtQAENptLp%2FsCgkjEF4m6adw41G50v9CFdJqq4nnJzJAvtqsUT0mS%2Bah7XYPl%2FJrobc3YGpUY%2BcMY1uJQOA9BUAm2wGVFPNkZ5ZnHVoVEXwwt0411gRc37YlOn6AD4OC%2ForyWqTnIMnyhqJrjlDiE9EWffcPxWokHEUJYqArpT79yc1xtoW78I%2F8z2EqUGjfoL0bi7wBFQDSUPK%2B75yJ0ktAfV3vyiFEvjshVQabF5wqbZN81hmxQ8WDoWJlrOxXXOMc6UgT42YYF28TBSX5oPRoMwrO1eaLNBCV4H5fd8HkOxtfQQ1Vz6DoISu9YM0DMV7nHli6Wtvjf109EpSQ4mvky627LJtNrZ9ZC0Mt2RGx6RnxPNUmHwmzPap%2BorFMuTS19WLwCrxO4UZ5yNjunvxdIGC%2Bx6wAJ35ujxLAABjdGJupsMjVlkgj7HLV4G2tQt8dVBPjiQbB8T%2FnTE7kd%2B36QXALtO4VHNkoVSJ5ROB%2FXSbXbgXFVD0j%2BFTne4oECRz5uG6oX%2FZDDyxajJUgKTvvFqS8P3U9Mxhi09eoxYOkbcPJqiUVxq%2FTaaKnwtxHw9q0j%2BVEMWbSoOH%2BfKeXL%2Fsl6DQennG%2FE7ZWg0JDuY5HNu1clKaAIOpqI3JvlQEZJDX9hGemfCez12i87%2FRLovIFg3NY79uf%2FMirPY%2BoQuqf1d50utzhRrfzboXUFV%2BRjiR%2Bg7HPhhHms4s23B6%2Bicnhx6ZJDXhsjMj6ZEjL1MSOl%2Bf6aTPFGOD92v8%2BbXBgm3yAfZAxUo1NXHVH4iwM7adVRrhMHZEJPbjznuRodOxWxJLTozaBegksq4zSlDlyRkpLLEgz7VyKnfIBBPvCVLkxVhnds67hFWSZCM5cTT3ruWkauFTxioLuwcPL%2Bbe9bbMz61gxtuv6DoZZZ2HYJ7URQVSruVFGwaf4372KKxTiipkBLSbpgiio0I%2FTKaEmao14YmD0xftSwjMje2dS4S6lu7lIpOAcbs906Kt2OjzzXEtvnh7TmV6G77yKzJ6yBp3ihjWidoPDm%2BVNMHLwATbaxlnaXr%2Fwt7G6YGODstRMgVjbcBPU0Hnm8HN3iYNwSzusODlzkMb%2FmtYjXjG9Yuiudk88juqe7x5q6UPY2W7t8R8kjC1bq1NbH1OjMHDtKHQ%2Budx1E6vwmRZAhgtcc23z1xZzQ48rIK6Cur4U1Wto8Vfo%2BRaqaLsGzOrf7WhtL8xf3p4ebXeCrOCLOhZb79597kcxvNuhXreufzKaNVISv4dKiE8UHX%2Fsi8xzu9H8qmQX85BoKdxzUZT4P3kcAWgz8QYYLuQ0wehlFLhjGs%3D,38,6,0,0,0,#742120717,Gamma,zero Shaver,Shaver,NA,2 horas,Batería,Planos,140 g,NA
910, Afeitadora Braun Wf2s Waterflex Wet & Dry Apta Ducha Espuma ,7198,NA,1,6,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,14,https://perfil.mercadolibre.com.ar/RADARLP,https://articulo.mercadolibre.com.ar/MLA-635851917-afeitadora-braun-wf2s-waterflex-wet-dry-apta-ducha-espuma-_JM,10,2,1,0,0,#635851917,Braun,Waterflex,Waterflex Wf2s,WF2S,45 minutos,Batería,Pivotantes,NA,NA
911, Afeitadora Corta Pelo Barba Y Patillas A Pilas Oferta! ,499,NA,19,6,12 cuotas,NA,NA,NA,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/MOJOJOJO-TIENDA,https://articulo.mercadolibre.com.ar/MLA-621031628-afeitadora-corta-pelo-barba-y-patillas-a-pilas-oferta-_JM,NA,NA,NA,NA,NA,#621031628,Sitaier,CORTA BARBA,A PILA,NA,A PILA,NA,NA,NA,NA
912, Maquina Afeitadora Profesional Foil Fx01 Babyliss Shaver ,3599,NA,0,5,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,3,https://perfil.mercadolibre.com.ar/BARBERFULL+OFICIAL,https://articulo.mercadolibre.com.ar/MLA-756288529-maquina-afeitadora-profesional-foil-fx01-babyliss-shaver-_JM,1,2,0,0,0,#756288529,BaBylissPRO,Foil,FOILFX01,NA,5 horas,Corriente directa,NA,NA,NA
913, Andis Profoil Lithium Titanium Foil Shaver Afeitadora ,7799,NA,2,15,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,44,https://perfil.mercadolibre.com.ar/E-SHOP+PELUQUERIA,https://articulo.mercadolibre.com.ar/MLA-666316180-andis-profoil-lithium-titanium-foil-shaver-afeitadora-_JM,38,6,0,0,0,#666316180,Andis,Barber,Profoil Lithium Titanium,TS-1,80 min,Eléctrica,Removibles,NA,NA
914, Afeitadora Nueva Eléctrica Philips S1100/02 ,1600,NA,0,NA,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,49,https://perfil.mercadolibre.com.ar/SEDUCTOR+LUNAR,https://articulo.mercadolibre.com.ar/MLA-776855061-afeitadora-nueva-electrica-philips-s110002-_JM,19,19,7,1,2,#776855061,Philips,Series 1000,S1100/02,NA,NA,NA,NA,NA,NA
915, Afeitadora Electrica Braun Lavable Serie 1 130s1n Garantia! ,2159,NA,51,47,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,22,https://perfil.mercadolibre.com.ar/PRONTO+TEC,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=aYbBF4tiD5x8p0fsvBVQVwGwDUm7680EWDsE7XYjC0ZDbmrs3fr7dEGRKNaB%2B6ZZWR8568zgTELIXGi4NztFT7g4nZrXbLQeriKKTp6Alrg40Nzus1BxqAJSPXo0pMtmf244KmuovOYPOhyfjZ2YZ02QKSvLCxxxzErqGbmFk8Wv0NqMNVZjt2w8nXU8Kvn%2Fn9BdgVI53GGTxtpuJXH537JxPo5ayJwGlKUOwhQ0dbTMjiRf2mlH7PGu0ftGJk3ctTNqCE5%2F9U3%2BXDyF0D7mGZWgMueK8CiPM9108DdGk6RsWZiTgtKxzrFMzYNXOMBPj5HXrdPF1wHpipWptF5Fct5xoj7BqpiGlQ%2BxvWYFW9vg7WcbFHQA98sHUIBHwAqlcC2Eq9t%2FcoXAbdODGifBdGnyND4Xl%2BL9mxw%2FVX4EDomhLV15ZYGNRpNj%2Fxq5HOq3KzHVae54xhApGo2%2F4QF9eFz%2B2%2BwvsyYoW7sPOa9%2BpzhB9V%2B5BMNdP%2FpRWK%2BfpJeUpnCU5EQ8Xu6ZYvlvHD4dDqcAhXfMynEOJ1iBdmXaZ7Oh7rhOMpM%2FQ7VA4ZfnNGbejvQFQgMpjf6wY%2FlofkaltoP%2BUQnabIh8VR8HZX5aVK1W4NgOJlS5BuBEW97S3OEawLH6mLlg7neHO26sSGYiwx7ZXyXePVhvhKz3zhvDQT2f6lBFx3U6dETC443PHfesder0WgEfPSGaQnEODx1jSV1%2FI5%2Bvz7588VfP83mTdVT2lSj7ZHWPh%2FNrx6WheHaFDqr0yi%2ByD5FY9UJITbxWHHqaVtfqvBJ9n7502s2HHzSSXbazOozXbW8uT6Z%2FMcfR87inXRr7EmgQ7hvfSlxiGXKV6B1Zeic1G2cHCtMSzLoJRYyBgL4PtI0vNoPJxLS71eZNuzMJXa%2BgyD7fVNh6fwX2Y6zsYXMmqsnns9ze6k4bLaohHq1DYKBYlrca10Ehh8hB16wgEJACDQPqblmnYZWqAVRS%2F%2BfC2zNKhedLIaXju5HgTDbXGpWoOyT8LZhardMHiC1ilH7IsNBAZcnnsU6wQzIFSoEV%2FOTCrICkJYvQMayO5O9b3EjdlHAfvEMI3PjYr5pfvDUDiYrsQgweVp4aM6OfM7VIJ4HsyBbMn2EfhxB7kYQhMLw3P%2BeqRQbV9xQ60Df1iC1rNXRgl2kNm544HY2EWHI%2Fi0nAEryWeaEE3KDp%2F4cBqFBbmW5a0j9IR%2Be8UH3xOQ3VaekeGtpiu5%2BDACzjF5px2JlcrDw7ZJWYlH1X1H0f%2FEQ1YxC30BaIe5tKCHcM8HgX4FEOF5H9dw2Tfdr9iM0ivRogZIsC72HsReSakO4MkFlEJo8gaM4aHtTsE1yj%2F1Prp4PFv3fxUmvRCXswDAf8POVon9DbBz7hNINxw%2FKIGluStI9tb571uNDKBec7%2Fp6v7USIZikcF3lwDROZfZVCemiKQc%2Fq%2BRs7kXoNCZA%2BKKOA30vN1JLH5tQPKSU47PiYmOUAFBgz8SEQJZ5SH7UO6p4o%2FgSACMoAeoL1BqEzKlEyQAdsFmZmQtC%2FtJ6i4jiiY%2F5J0v8i7ujV8c5Z5qH7S0xU8icC33RyiCuDih7%2BofTcFD5MhaHAVTd1X9x%2FUN%2FggWhK3OyvdP2es0SmYbRwgoPUqLSV1xUrOzOjBUtEWWG%2FiakSjgSImifBuk05tb1IK72KPnrtPW2GjY3Mts6QGmGSHM55jZ%2Bc5%2FBtM5G%2BxCf83NgUY9beBeYpvaho1l5vqj7RlsIvM0yMmB%2Byk7ZjXZ%2F%2FaTnRTOL6TOAWJLCTbmFcED33osYlqEx8NhfXSUOztN2POH4CXHETTpR0Bj4d9sTHQcHlxA%3D%3D,14,3,3,0,2,#630266336,Braun,Serie 1,130S1N,NA,NA,Batería,NA,NA,NA
916, Cortabarba Afeitadora Philips Bt5200 Recargable Inoxidable ,2699,NA,11,888,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,26,https://perfil.mercadolibre.com.ar/TRES+MARES,https://articulo.mercadolibre.com.ar/MLA-659167226-cortabarba-afeitadora-philips-bt5200-recargable-inoxidable-_JM,19,6,0,0,0,#659167226,Philips,Beardtrimmer Series 5000,BT5200,BT5200/15,60 min,Recargable,Planos,NA,1 h
917, Cortabarba Beardtrimmer Philips Bt1209/15 Tio Musa ,1299,NA,13,12,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,62,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-722954336-cortabarba-beardtrimmer-philips-bt120915-tio-musa-_JM,39,19,3,0,1,#722954336,Philips,Beartrimmer,BT1209/15,BT1209/15,30,220V,Planos,NA,NA
918, Cortabarba Recargable Braun Bt5050 Ml ,3794,NA,3,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/FULLONEFULLONESA,https://articulo.mercadolibre.com.ar/MLA-767431841-cortabarba-recargable-braun-bt5050-ml-_JM,NA,NA,NA,NA,NA,#767431841,Braun,Bread Trimmer,BT5050,BT5050,NA,NA,NA,NA,NA
919," Philips Norelco Multigroom Serie 7000, Mg7750/49 , Equipo Gr ",5203,NA,0,100,6 cuotas sin interés,NA,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.ar/CLUBENVIOSAR,https://articulo.mercadolibre.com.ar/MLA-792346301-philips-norelco-multigroom-serie-7000-mg775049-equipo-gr-_JM,NA,NA,NA,NA,NA,#792346301,Philips Norelco,NA,MG7750/49,MG7750/49,NA,NA,NA,NA,NA
920, Afeitadora Serie 5 Flexmotiontec Braun 5030sn ,11199,NA,NA,98,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,33,https://perfil.mercadolibre.com.ar/NEW-VENTURES?brandId=1372,https://articulo.mercadolibre.com.ar/MLA-770011949-afeitadora-serie-5-flexmotiontec-braun-5030sn-_JM,27,4,2,0,0,#770011949,Braun,Serie 5,5030SN,NA,NA,NA,NA,NA,NA
