search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Tiempo de funcionamiento,Tipo de alimentación,Tipos de cabezales,Peso,Tiempo de carga
260, Afeitadora Ga.ma Gsh 900 Inalambrica / Recargable ,1937,NA,9,1,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,6,https://perfil.mercadolibre.com.ar/PERFUMERIAS+AILEN,https://articulo.mercadolibre.com.ar/MLA-753922782-afeitadora-gama-gsh-900-inalambrica-recargable-_JM,2,2,1,1,0,#753922782,GA.MA Italy,Afeitadora,GSH 900,NA,70,220,NA,177 g,1 m
261, Recortador De Barba Philips Oneblade Qp2510/10 ,1139,NA,6,13,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,244,https://perfil.mercadolibre.com.ar/BOSAROND_ONLINE,https://articulo.mercadolibre.com.ar/MLA-777292291-recortador-de-barba-philips-oneblade-qp251010-_JM,174,50,12,3,4,#777292291,Philips,OneBlade,QP2510/10,NA,NA,Recargable,Pivotantes,NA,NA
262, Afeitadora Cortabarba Philips Mg7715 Multigroom 11 En 1 ,3449,4311,90,16,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,5,https://perfil.mercadolibre.com.ar/24STORE,https://articulo.mercadolibre.com.ar/MLA-765759899-afeitadora-cortabarba-philips-mg7715-multigroom-11-en-1-_JM,5,0,0,0,0,#765759899,Philips,Series 7000,MG7715,MG7715/15,2 horas,NA,Planos,NA,NA
263, Afeitadora Gama Gsh-860 Recargable Inalambrica Cortapatilla ,1949,NA,7,NA,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,97,https://perfil.mercadolibre.com.ar/CORDONAT+TECHNOLOGY,https://articulo.mercadolibre.com.ar/MLA-723770428-afeitadora-gama-gsh-860-recargable-inalambrica-cortapatilla-_JM,47,35,13,2,0,#723770428,GA.MA Italy,Shavers,GSH 860,QG3320/15,50 MINUTOS,NA,NA,400 g,10 m
264, Afeitadora Electrica Philco Ae5100pn Con Cabezal Flotante ,1299,NA,22,3,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/TIOMUSA,https://articulo.mercadolibre.com.ar/MLA-742758706-afeitadora-electrica-philco-ae5100pn-con-cabezal-flotante-_JM,NA,NA,NA,NA,NA,#742758706,Philco,AFEITADORA,AE5100PN,NA,50 MINUTOS,220V,Giratorios,NA,NA
265, Afeitadora Recortador Philips One Blade Qp2510/10 En Palermo ,1139,NA,100,9,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/LA+PALERMOGRAFICA,https://articulo.mercadolibre.com.ar/MLA-748131101-afeitadora-recortador-philips-one-blade-qp251010-en-palermo-_JM,1,0,0,0,0,#748131101,Philips,OneBlade,OneBlade,NA,30 minutos,Recargable,"Planos, Removibles",NA,NA
266, Maquina De Afeitar Recorta Barba Pelos Nariz Afeitadora 3en1 ,1798,NA,5,6,12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/KIEROUNO,https://articulo.mercadolibre.com.ar/MLA-757827133-maquina-de-afeitar-recorta-barba-pelos-nariz-afeitadora-3en1-_JM,1,0,0,0,0,#757827133,Surker,Afeitadora - corta pelo - saca pelo nariz,SK-721,NA,45 Minutos/Carga 8 Horas,Recargable,NA,NA,NA
267, Afeitadora De Barba Inalambrica Recargable Lavable Garantia Oficial - Recortadora Cortadora Cortabarba - Men - Hombre - ,6500,NA,90,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4,2,https://perfil.mercadolibre.com.ar/COSMETIC+SOLUTIONS,https://articulo.mercadolibre.com.ar/MLA-604989966-afeitadora-de-barba-inalambrica-recargable-lavable-garantia-oficial-recortadora-cortadora-cortabarba-men-hombre--_JM,0,2,0,0,0,#604989966,Philips,StyleShaver,QS6141/32,NA,75 s,NA,NA,400 g,4 m
268, Afeitadora Shaver Gamma Piu Usb Inalambica Patillera Zero ,6350,NA,11,4,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,44,https://perfil.mercadolibre.com.ar/DIE2215,https://articulo.mercadolibre.com.ar/MLA-742120717-afeitadora-shaver-gamma-piu-usb-inalambica-patillera-zero-_JM,38,6,0,0,0,#742120717,Gamma,zero Shaver,Shaver,NA,2 horas,Batería,Planos,140 g,NA
269, Afeitadora Philips Shaver S9031/13 Eléctrica Recargable ,8999,NA,108,40,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,63,https://perfil.mercadolibre.com.ar/TC+SHOP+-+TIENDAS+OFICIALES?brandId=221,https://articulo.mercadolibre.com.ar/MLA-619387481-afeitadora-philips-shaver-s903113-electrica-recargable-_JM,42,12,6,1,2,#619387481,Philips,Series 9000,S9031/13,NA,50,220v,NA,NA,NA
