search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
933, Incipio Design Series Spring Flowera Para iPhone 8 Y 8+ ,10.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 1.667
			
		
		 sin interés
		
	

	
		","
				$ 1.667
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GSM-PHONE,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=G6z4y8uSksjzsAtM%2F8afq%2BLEu4wbITvNgVu3C0WXr%2Bs5PMQuaPobPQd0QOpzKO%2F2WHn0C9qAG8JH2D6FtL8b7SOPIWLNWmHYDF6bwPr1zvTxd0LncWyDrHZYDsrh%2FHrVsXTANqewtkp%2Fl6xfe6LevlO%2FcKUbCyEP5K7AqppwTgJcRh48MJ0%2BTWvHms8QRI8wb5SlgcQbKWuYkZSMqNqERP0Vg9V%2BXzRv4iKXLWAQlpyzYeVvGO6BK8NKP5ujfegz7fexfqhjXK8Y7uT2WPHHEalOtyljeh%2F%2Fp1aEP3uc99er%2FJqX0FV2GHf8Ic1KCiQIZNlegD8fMoXHQjcnDLfiuFLKYkGdTubo3JOWnagGVwn7424BRp02lJUznLb7%2BhXyknTsA8ILq6x%2B7utxJKkW%2FLdrRmp%2B%2BXQeXrqS9vQKgZAIlePseutBtE6nyfFbeX5TNBnuBb6hT0KKQHr5v1%2F6zs15Eg0Dlxk4HNIgAwk75hbSjFnBqwp%2FSGhWr8XrnVyJenvA8qRyDrFEiKHVS3Z3%2BYwEPQhSVIvY9pLfV349%2F5pA7UgiqZB7jwndIn%2B5rWjymaAdB0%2FcsqTXInfFxjt%2F9t3g1K6ChgMH8QBvMC2X0N7XjW%2FYgfcYvAxqpupLjds5Y6VXfieJ%2FPK4tnSP6mdiSgYeVA9qVdTT0WqS2lTGX%2FJj3WXkcO7L5J1vj29t1ae6XtIH5%2BH1PMKCLrazuIdR7QuL%2FQcfSkXCTDIX3tmVM9sTOW3aYr4Ao3px88S3KflI7U2QygdlI8Sr7uWZy7UqABYOc9U%2Bmtl64NeY%2FMu0gbWs6GOYkclhuqwbC7x8K4D%2FRL%2FmbKX5PIw%2B3N2Lzc61WlwrMjfp2tDZl5z3Y5Z5otxNbghvuQzKI9JbwC5xeZasrkQy8DchTD8%2Bv0YqOREdkD2HmBnYmD9ho3VbDufHjuKMcYBNmLon4i9nijgbZ81GBgE8QzN28n1o2wa42%2BJjYeF6LMSvtdrwtrJT20HcAMDJR54b7p1ptVUkESGVbm5CteNsYiB4jIj3lY1DXbmClEXxeH6ie69q3TqCi9FiGMAB0N3k%2FEZZr2gcv3DWgFChp0qBs4MkO%2FPJdxvFdftI5Dqz9R%2F5nFnMA%2BDeqUzMvA90pKm8Yhcf5vEpTZCMexiAUgGHfim5kGzlpbu7x8KN8LAnIj2WGaPP9EW3IIfY2QJCQ%2B8lsXMYEZCe79cddWmw41oYkCJV42GbK75Bw4ToV%2B0qSNSpuNAywjb1IAh%2BceRTeDU%2B3WLYVB9vMizhcmvd11anXBBAf71SaRDeJyES2WcXXg5A7GODhIYf5IYqZy9k4wn%2FYq1W%2FGuWpWkDhbtoxuTUtJul61YdPOcNX41jhOuSTyBFB08HmTQ%2Bhj894yk%2BwHpsykI%2F%2FX9ehVOi2lUneEiXmgsrpoinC9NLtT30FyFDO49ern8Bup0WOry5UqMvhRRo9GlIGdNml%2F4szpB9ZjAYpAFuCwTyYBFOTvbw2tX7nd9uMs2B6tD2vBwjNHpegh5%2BEF4UK5LsxnS02YcRp9SZo43jlWF2kx94gACMJRWznzpb6ZWtc5BZ8PNIzFj65HhOD13NFD6Zwt1hrA%3D%3D,NA,NA,NA,NA,NA,#461241354,Incipio,Apple,NA
934, Dodocool iPhone 8/iPhone 7 Funda With Foldable Kickstand Gri ,34.528,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 2.877
			
		
		 sin interés
		
	

	
		","
				$ 2.877
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485734657-dodocool-iphone-8iphone-7-funda-with-foldable-kickstand-gri-_JM,NA,NA,NA,NA,NA,#485734657,Dodocool,Apple,Carcasa
935," Cofunda Wallet Funda Compatible iPhone 7, iPhone 8, Detachab ",43.504,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.625
			
		
		 sin interés
		
	

	
		","
				$ 3.625
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485735540-cofunda-wallet-funda-compatible-iphone-7-iphone-8-detachab-_JM,NA,NA,NA,NA,NA,#485735540,COCASES,Apple,Flip Cover
936, Funda Para iPhone 7 Eiffel Tower/funda Para iPhone 8/iwone D ,36.696,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.058
			
		
		 sin interés
		
	

	
		","
				$ 3.058
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485736059-funda-para-iphone-7-eiffel-towerfunda-para-iphone-8iwone-d-_JM,NA,NA,NA,NA,NA,#485736059,IWONE,NA,NA
937, Funda Para iPhone 7 Elephant/funda Para iPhone 8/iwone Desig ,29.809,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 2.484
			
		
		 sin interés
		
	

	
		","
				$ 2.484
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485737024-funda-para-iphone-7-elephantfunda-para-iphone-8iwone-desig-_JM,NA,NA,NA,NA,NA,#485737024,IWONE,NA,NA
938," Waterfox Funda Para iPhone 8/iPhone 7, Wallet Leather Funda ",45.296,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.775
			
		
		 sin interés
		
	

	
		","
				$ 3.775
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485737633-waterfox-funda-para-iphone-8iphone-7-wallet-leather-funda-_JM,NA,NA,NA,NA,NA,#485737633,WaterFox,Apple,Carcasa
939," iPhone 7 Wallet Funda, iPhone 8 Wallet Funda, Premium Flip C ",43.504,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.625
			
		
		 sin interés
		
	

	
		","
				$ 3.625
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485741026-iphone-7-wallet-funda-iphone-8-wallet-funda-premium-flip-c-_JM,NA,NA,NA,NA,NA,#485741026,Generic,Apple,Flip Cover
940, iPhone 8 Wood Funda - Premium Finish Unique Funda - Lightwei ,43.504,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.625
			
		
		 sin interés
		
	

	
		","
				$ 3.625
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485741214-iphone-8-wood-funda-premium-finish-unique-funda-lightwei-_JM,NA,NA,NA,NA,NA,#485741214,iCASEIT,Apple,Carcasa
941, iPhone 8 Hybrid Clear Funda - By Mxx Heavy Duty Protective D ,38.055,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.171
			
		
		 sin interés
		
	

	
		","
				$ 3.171
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485744156-iphone-8-hybrid-clear-funda-by-mxx-heavy-duty-protective-d-_JM,NA,NA,NA,NA,NA,#485744156,MXX,NA,NA
942," iPhone 8 Funda, iPhone 7 Funda, Ranvoo Slim Fit Shell Ultra ",38.120,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	","
	
		
			
		
		12 cuotas de
		
			
				$ 3.177
			
		
		 sin interés
		
	

	
		","
				$ 3.177
			",NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-485745091-iphone-8-funda-iphone-7-funda-ranvoo-slim-fit-shell-ultra-_JM,NA,NA,NA,NA,NA,#485745091,RANVOO,Apple,Carcasa
