search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Formato,Marca,Color
23, Auriculares Bluetooth Manos Libres Envio Gratis. ,390,NA,70,110,18 cuotas,21.67,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-457117278-auriculares-bluetooth-manos-libres-envio-gratis-_JM#position=23&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,3,2,0,0,0,#457117278,BT 10,NA,Supreme,NA
24, Auriculares Bluetooth Deportivos Manos Libres Con Cuello Loi ,447,NA,37,992,18 cuotas,24.83,NA,Retiro gratis en tienda de LOi,NA,NA,4.8,5,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462689492-auriculares-bluetooth-deportivos-manos-libres-con-cuello-loi-_JM#position=24&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,4,1,0,0,0,#462689492,NA,In-ear,NA,NA
25, Auriculares Inalambricos Bluetooth Tipo AirPods iPhone Febo ,710,NA,36,99963,18 cuotas,39.44,NA,Envío a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-456789089-auriculares-inalambricos-bluetooth-tipo-airpods-iphone-febo-_JM#position=25&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,21,17,9,1,3,#456789089,AirPods,NA,Apple,NA
26, Auriculares Inalámbricos Stereo Bluetooth Manos Libres Rojo ,299,NA,96,55,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,3.9,12,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,https://articulo.mercadolibre.com.uy/MLU-445603224-auriculares-inalambricos-stereo-bluetooth-manos-libres-rojo-_JM#position=26&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,6,2,1,3,0,#445603224,NA,NA,NA,NA
27, Auriculares Inalámbricos Aiwa Aw2 Pro Bluetooth Amv ,39,NA,19,10,18 cuotas,80.19,NA,Envío a todo el país,NA,NA,5,3,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-459601662-auriculares-inalambricos-aiwa-aw2-pro-bluetooth-amv-_JM#position=27&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,3,0,0,0,0,#459601662,NA,Headset,NA,Blanco azulado
28, Auriculares Bluetooth Extras Graves G1w Havit Carga Inalam.® ,3150,NA,14,4997,18 cuotas,175.00,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-463809412-auriculares-bluetooth-extras-graves-g1w-havit-carga-inalam-_JM#position=28&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,2,0,0,0,0,#463809412,G1W,In-ear,Havit,NA
29, Auriculares Inalábricos Tipo AirPods Bluetooth I7 Tws 2019 ,547,NA,97,1103,18 cuotas,30.39,NA,Entrega a acordar con el vendedor,NA,NA,3.4,12,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-457593956-auriculares-inalabricos-tipo-airpods-bluetooth-i7-tws-2019-_JM#position=29&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,5,3,0,0,4,#457593956,NA,In-ear,NA,NA
30, Auriculares Inalámbricos Bluetooth Tipo AirPods I9xs Tws P M ,17,35,4,46,18 cuotas,34.95,NA,Envío a todo el país,NA,NA,4,51,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,https://articulo.mercadolibre.com.uy/MLU-465594879-auriculares-inalambricos-bluetooth-tipo-airpods-i9xs-tws-p-m-_JM#position=30&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,21,17,9,1,3,#465594879,I9XS TWS,In-ear,Apple,NA
31, Auriculares Bluetooth Simil AirPods iPhone Carga Inalambrica ,2390,NA,9,4998,18 cuotas,132.78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-464015806-auriculares-bluetooth-simil-airpods-iphone-carga-inalambrica-_JM#position=31&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,NA,NA,NA,NA,NA,#464015806,NA,Airpods,NA,NA
32, Auricular Vincha Sport Bluetooth Pc Celular Auriculares ,380,NA,33,1115,18 cuotas,21.11,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-455655455-auricular-vincha-sport-bluetooth-pc-celular-auriculares-_JM#position=32&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,3,1,0,0,0,#455655455,NA,Headset,NA,NA
