search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Conectores de entrada,Peso,Modelo,Tipos de filtros del parlante,Tipos de parlante,Color,Potencia de salida (RMS)
877, Parlante De Sonido 10w X 2 Bluetooth Estéreo Tf 32gb 2019 ,249,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HEINEROSORIO,https://articulo.mercadolibre.com.pe/MPE-436217784-parlante-de-sonido-10w-x-2-bluetooth-estereo-tf-32gb-2019-_JM,NA,NA,NA,NA,NA,#436217784,NA,NA,821 g,NA,NA,NA,NA,10 W
878, Parlante Bluetooth Acuatico Klip Xtreme Bluerain Garantia ,66,NA,"
			
				Nuevo
			
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-431979694-parlante-bluetooth-acuatico-klip-xtreme-bluerain-garantia-_JM,NA,NA,NA,NA,NA,#431979694,NA,NA,NA,NA,NA,NA,NA,NA
879, Sistema De Parlantes Bluetooth Klip Xtreme Kws-751 115w ,479,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-432245884-sistema-de-parlantes-bluetooth-klip-xtreme-kws-751-115w-_JM,NA,NA,NA,NA,NA,#432245884,NA,NA,NA,NA,NA,Subwoofer,NA,115 W
880," Parlante Subwoofer Micronics Dynamic 80w Bluetooth,usb,fm ",175,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FUSITECORP,https://articulo.mercadolibre.com.pe/MPE-425811905-parlante-subwoofer-micronics-dynamic-80w-bluetoothusbfm-_JM,NA,NA,NA,NA,NA,#425811905,NA,NA,NA,NA,NA,NA,NA,80 W
881, Parlante Iblue Bluetooth Foco Led Disco Night ,84,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,https://articulo.mercadolibre.com.pe/MPE-436495099-parlante-iblue-bluetooth-foco-led-disco-night-_JM,NA,NA,NA,NA,NA,#436495099,i-Blue,NA,NA,NA,NA,NA,NA,NA
882, Parlante Bluetooth Super Portátil 2watts ,65,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/NANDOXSM,https://articulo.mercadolibre.com.pe/MPE-436812748-parlante-bluetooth-super-portatil-2watts-_JM,NA,NA,NA,NA,NA,#436812748,NA,NA,NA,NA,NA,NA,NA,2 W
883, Parlante Sony Srs-x11 Inalámbrico Portátil Bluetooth Negro ,139,NA,"
			
				Nuevo
			
			
		",(10 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VEGA.COM+SAC,https://click1.mercadolibre.com.pe/mclics/clicks/external/MPE/count?a=4WSlgFWP9DCT7nIi9ZnSTxToEb6Mkj83eM%2F1PyV3xLyF8ly4bV5pa%2Fv3V4YN2QEx7EdZ2zOgZBulLzvcIjcO%2B2RuG3OA2f2UPV92wrwHV20ceA0NhVisRGfG6TkYNxQvMHhhjwpV0K6tlOWQPFtsKOsq4RkxQIKA%2FQNDSyvca20W4BFJGsRAtSXP5m86nHBxHxVfIbB0cn0zhS86Tb%2BLrJpRzvlOzGvSG25p3wN9NsbX8Jmq1aGsEw0Bepn222oPzlVUUBqLfex40qNRm5iNO4amEOi7L%2FPZZEcvwRdw0FZX9AO06qLuj3E6TlgjpCjXyVtKdrQlvkktdHeOaE3cLtcL1yfLruYpKj4PluBuhF5Hs%2BlHcB423lTWfHCVt87KY8%2FwMsvubuIaKu%2BIB2gdOyoaI1IQvPzOPKnQoDDgj953YVMPU%2BbOCmvQ90UKRNIzJEuUBjNPvY2%2FYTqcvtzu92hVp3Ws3gFqrUiswCuyGm5DJd6gdohmeiz6P6aZV5xKQqa1Jh3JkawJ4sQxzcdBMHnc6KEQ3YaSRWHOius64F7SPH8zw7msrPg1nE55Da54VBwKuaLLSL7PpPO0rCZHzKTEqZY7hp9dFJrsnmSYFSZdOxQiankXgTjorQ76Z8Cj4KuVEdfBazFFXcYDphUc8S6s6Da9EilEgqMqjR0agCpQd%2BvydYwHSXWyvuHkx1bCPDGqSyGHdF1EXxlEkkgErI1OxKu3ZU7huYzAqPfx1IR7WNRxucatknHggeESRBmyPORDx7GiSyiyq28H95S6w3Q7Jzu%2FBtc%2F7mD%2BKgc0p9fCoCDKreEM7c%2BGL%2BwsfoIKuDMdx%2FeUICo68sVO%2FWq1dvKKgUAZRd6t%2FXFgXG1YTX2B%2BzHCWVYOcwlEwpCIu5OFA4NU66CHc354H2jb9AXsNulw2JsCakgXZJM2BZ0khmSUX%2FcxKrNJRxmTwugfOfZ9CmqGUT6Bqe%2BIGVvjE3TY4IhqnSCWZdqbuTQFOW7NE%2Bal4RTQlyFZaYzSFqkFu5%2B7lRqWRdcWAsiNsdJLUO3n2YSkTy7HQSqVoJqsmwgx2fgYZ6suRbDJ%2BYOh4w3c%2Bq9vDF6hX0%2FeDVxWFns4zTrCxVIk80EG%2FU6r2fFtsEdGAW6lXX3fZFZ5mrX481ojlHrX6Ig%2Fj1RrioDsksA1GZNtn1Ltcl3Tx6e49IHnPKIEqba7ezm28u7B8uMRTe6%2B4U8yFsdqZosCElg1sH2SHS5mxf0ADwfCYK51bU7uUnR%2FwirF7qVTj%2BUhFRBHCVv%2Fgrj7qBp85yYn%2Bw4cl3vRHq3BlEL7a877vt0gwjp6J%2Fgv5fmnpERXjnYCP3AsMGzUgzJNBv1k0G2XfBX08vBfeOojvLWGp%2FIVyE5mHj3smlFmk3cIba%2FtwUcJQDBpnmrhyr2Bb3q76RdeG5%2FhfN3kBdWMPttB2Y20SyXujhde%2Fq0hU1L3bykeVcXyyvyR4cRtDEIKJ6W1bwPlcroFcoNoFtRe%2BSrImJkl6w8I%2BjG%2Bt%2B3fa1cv1xdGoyR%2BlkH%2FQxbqjZeSC2bhBTrl2p1S1aHy9lyDOlO6zA4%2FK2ii52mUkyitL5hao%2FPs85XixGOk4WvG6co5vzKApk2zn1uC2mavVqQoV6cCsWZSdxFuaHtAaG714tA%3D,NA,NA,NA,NA,NA,#435373186,Sony,RCA,NA,SRS-X11,Pasivo,NA,NA,10 W
884, Parlante Portátil Anker 20w Premium Stéreo Bluetooth Negro ,219,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/UNALUKA,https://articulo.mercadolibre.com.pe/MPE-437464827-parlante-portatil-anker-20w-premium-stereo-bluetooth-negro-_JM,NA,NA,NA,NA,NA,#437464827,Anker,NA,NA,A3143011,NA,NA,NA,20 W
885, Parlante Portátil Anker Soundcore Ace A1 Bluetooth Negro ,99,NA,"
			
				Nuevo
			
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/UNALUKA,https://articulo.mercadolibre.com.pe/MPE-437479527-parlante-portatil-anker-soundcore-ace-a1-bluetooth-negro-_JM,NA,NA,NA,NA,NA,#437479527,Anker,NA,NA,A3151011,NA,NA,NA,NA
886, Parlantes Micronics Quantum - Mic S7502-2bt ,200,NA,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JUANMANUE+MURAYARIVELA,https://articulo.mercadolibre.com.pe/MPE-433543141-parlantes-micronics-quantum-mic-s7502-2bt-_JM,NA,NA,NA,NA,NA,#433543141,NA,NA,NA,NA,NA,NA,NA,NA
