search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Cor,Potência de saída (RMS),Formato do alto-falante,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Linha,Voltagem,Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Configuração de canais,Quantidade de alto-falantes,Resposta máxima em frequência,Resposta mínima em frequência
11, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,43,NA,4737,4,6x,8.14,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,210,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154024173-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,162,20,16,3,9,#1154024173,Goldenultra,Torre,NA,10 W,Torre,USB,NA,NA,NA,NA,NA,Caixa de Som,NA,Subwoofer,Subwoofer,Portátil,5.1,NA,NA,NA
12, Caixa Som Bluetooth Jbl Potência 16w Ios Android Preto Flip4 ,448,NA,2985,1162,12x,37.33,NA,Envio para todo o país,NA,NA,4.9,524,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-914225881-caixa-som-bluetooth-jbl-potncia-16w-ios-android-preto-flip4-_JM,471,38,7,3,4,#914225881,JBL,Flip 4,NA,16 W,NA,NA,80 dB,175 mm,66 mm,66 mm,NA,Flip Series,NA,NA,Ativo,NA,NA,NA,NA,NA
13, Caixa Som Musica Caixinha Smartphone Android Bluetooth ,39,NA,1731,131,6x,7.31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,111,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-910970810-caixa-som-musica-caixinha-smartphone-android-bluetooth-_JM,101,8,2,0,0,#910970810,Wireless Speaker,HF-Q3,NA,5 W,Caixa,USB,NA,9.5 cm,9.5 cm,10.8 cm,480 g,Portátil,5V,Woofer,Ativo/Passivo,Mesa,2.1,1,NA,NA
14, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,189,NA,323,3,12x,18.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,12,https://perfil.mercadolivre.com.br/123INBOX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=0ljINfqAlXLTc%2Bz62KCGZ0OGofF0LwuwIQVJb8UA2mUEepVc1cWLSd%2FFAfXMcNaExDwAWdIf%2FnnaXPOPIiKwaj3IYOQCmsdXxlo%2F9d%2BDwHtIMiHvrEYZaGAjeqYRZUXrio0oWvFNhIAF%2Ba6ADBNjYz04X5D6kG5vd%2FZPGtr7PYzlbCBcQwJQ6oOv5br7YYMT6ddRIK9KKE3f5PtngaWJ%2BGCSVhlN0lW03XQ2zrK4KL%2FxmFeq%2Fv9znCUSlf04Y7xM4tIEInSaD5pP1p%2FlOKhwKBunjdyRNaROGXXshZ21y%2FKc%2BdaCw6ov%2FsWruM%2BvJOnEC90rSBYrRDJpHZ0C77ZxryF1wfor7NVzEqeXEZJlT5Bc%2FBIxWQTE3caEQHCKG6iRms0ixflXdoAv%2FR1fL0CL4c0oGweUG%2FyLCOOJs25HO31v0YhcnuCdbujG5KrI9w1zmWxkHE3PHnSJKwJAfLT1dgJyD6Vb%2B8j5dlhuU0G8DRsnCUfv3Folyumk%2FsonU0nACYSGgcdFinJ59ng7fgdng68MSkMgabCDeRosat%2BvzIVJHlEfoqlNB7fg7FwfSBk9YGwOrX853Oekg%2FUyrQkCPWm1L3XJkGh49p%2BsZ%2BWCLg%2Fe0ppX9GXaNFMerDBiqGCN2uCB6aCTvSWFpRMVt936UyAuKajY8HL66TtwYw%2Byuf7rGfLxA%2BZeIASHLDkyOWFUbOI6a%2BBT4Z2he2AZR3rc8yN%2F8psaTGbt0TdLE4NJChshgDz8meP7pwuFss0NsyeY0lyL8sQl6I6j%2BrtebXdTlgXd5%2BfFKIkmeFWy8%2FUhsBJj7QKfo9CzjEB4XoyAqGIxi50ob0eHkw9Y%2FOoNduYIJEyVY1f7wz5SPtiFh%2FL%2Fg44u04B%2FtR5vv4SEc1%2FGaopRHg9YY6OScC%2B7%2FSgbTfmyEw96axSuK15VWc2GIScFLndQGua4a%2Fm3VwNvywg74f5Cc3FTE6D3ppDoypqIXXcj0IXdqI%2FLTQNgDZ%2BLjeHPqrjgG3kEfMll9fdwzDgdW2nUiylXMULepBi9nRooxCc%2B42vYkMSfzvW2qfv1ctZkWw7P3zqqMcda6gAhsn9vCQbwr3QFr7Wdk5Kc22AbY7jNoF3E9pyji8EeP1Ni9sVRGhtBwoWz2CKOfdtsnwOjJk5aGjhos3N16YrW9zJBNdlRkIT2YWpaHNdqscwRTxq4P7zjUXpR2Eo%2BJFXwxADSbk7Az%2BoOp30MsmkrfWjxC0bcjw6IZjVQHPgUM0UxcUN1U1YZX6VCe3HSBGeAGN1HGQSrYEg1Necouuv9kU8YAu4YZt7LRomv6ARMsLNFncS0Eac5xxN91YKvOEHf3voLfK2%2F4e1WMdHQDUMuZ%2F3dKQ8OfqehGBBGJQaLHBLwBXo%2BkN%2Ba%2BZsL7oQlg2E%2BK%2B4ruod6CTs2cI5tuK%2BBLRDF8P9rfotiq22nb2Fo6bi3t9YvFqnfp%2FYHkwaY%2Bm3d8YGG%2FDxhy2%2BSv6V%2BK8%2FN6zuuA1a4PzEpIwt8a%2BA0tyXfW0Tm3XWlX1WmOfolUBJsgd%2FngkmFhR5tCyGSX1bjwO2uQE7D611KIq8yUxA8m3UXfBuzn5h9RYqBnQCNMB5a1QpByvDMbyjuGNxJWD3WVoNbbpi%2Flu78rlSXIBk3Splz14C5Z%2BTu0tKZe7ZxpFI9O%2BZgp4gnXVdBl4n%2B1NcR%2BLYd1cDdLx8iWRlNCwemp%2FvaJQYPd3Kr%2FCwHUCl5EIfcjAb4FjvvGqDS6bg%2BigvKCDNgPKr3uls2Hi6dv8iKCWhB754Qg8Nt00YhIBEiLqkdLpazAGvcMVdoanwimN9wGVUg%2B174j%2BSqpDcEl39EDwmklXp97WlsqWZFlRo9z7TCYExF9pjfY8tSNyIi1kyH2d8VE5CIDI0%3D,11,1,0,0,0,#1097047029,IMPORTADO RPC,FBX-103,Preto,25 W,Torre,Entrada para Microfone P2 e P10,NA,NA,NA,NA,2.4 kg,BLIETOOTH,BIVOLT AUTOMÁTICO 110/220V,Subwoofer,AMPLIFICADO,"Festas em Geral, Praia, Sítios, Eventos",BLUETOOTH,NA,NA,NA
15, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,32,NA,1203,26,6x,6.09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,31,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,21,4,5,0,1,#1019314215,Importado,QS-505,NA,8 W,Caixa,USB,80 dB,NA,NA,NA,387 g,NA,NA,NA,NA,NA,NA,1,150 kHz,18 kHz
16, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,27,NA,3084,4,5x,6.13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,103,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,87,12,3,0,1,#1169578372,SPEAKER,MS-302bt,NA,5 W,Redondos,USB,80 dB,NA,NA,NA,318 g,Bluetooth,NA,Subwoofer,Subwoofer,Portátil,2.1,1,1500 Hz,150 Hz
17, Caixa De Som Bluetooth Amplificada Portátil Bateria Usb 700w ,184,NA,1132,77,12x,17.63,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,169,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1139499740-caixa-de-som-bluetooth-amplificada-portatil-bateria-usb-700w-_JM,124,24,9,8,4,#1139499740,Infokit,VC-M31BT,NA,12 W,Torre,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",80 dB,NA,NA,NA,NA,Bluetooth,NA,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",5.1,3,NA,NA
18, Caixa Som Bluetooth Jbl Xtreme 2 40w Preta Jblxtreme2pto ,1039,NA,255,NA,NA,NA.NA,NA,NA,NA,NA,4.6,163,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182693732-caixa-som-bluetooth-jbl-xtreme-2-40w-preta-jblxtreme2pto-_JM,120,26,12,1,3,#1182693732,JBL,Xtreme,NA,40 W,NA,NA,80 dB,136 mm,132 mm,288 mm,NA,NA,NA,NA,Passivo,NA,NA,1,NA,NA
19, Caixa Som Bluetooth Portátil Amplificada Torre Fm Sd Mp3 Usb ,34,NA,1286,3,6x,6.47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,61,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1174117073-caixa-som-bluetooth-portatil-amplificada-torre-fm-sd-mp3-usb-_JM,50,7,2,2,0,#1174117073,Goldenultra,GT-515bt,NA,10 W,Redondos,USB,80 dB,NA,NA,NA,NA,BLUETOOTH,NA,Subwoofer,Subwoofer,Portátil,2.1,2,15000 Hz,150 Hz
20, Caixa De Som Portátil Bluetooth Amplificada Microfone Grátis ,199,NA,469,2,12x,16.67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,168,https://perfil.mercadolivre.com.br/123INBOX,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=IWWEN4cCAn%2FiowrS8jrPna50FHCwYcsLNZRrwS6wic1001Bzip94U4FjIkukv%2FIb4Gk217Cg8kzYfrVYVlIVHoELHJOlT2XQ2fibl3oyhNEfAMCfODsjbUgxsd9cx73Pg0iTuuuWQt5sxhAuJVyUFIslzYf2BZldpj1Q8W43nEN3OaFWadf%2BOfTZQqXfGMPLCc3kM%2FTGA%2BvAXAMz%2Bb0y8xMvneVIFuZeEyTp1McfyzrZzRLCuClQrOzaa9nGCOdIzK03EIusQyaKbk2L4BSUzfvM3MuRtHaD0EwAB7gebdIEroxdWSZnwb8llbIbsAQIA6kKpYlqpbO2HKtBxnwcewowMQP62e9AuCgqtyYmWU5omtNz7fZ0y%2FBTVAqyaLI6nmJ5egPwAUVydprkKAMRaEN6VQlDTuaSp9TVK1idm3Pobk5NRZ19J6fhPQlYSpuMsHnqN2BX1zPVrVB3CHUjJeSHEnXyTKXIU8faSAAh6z6AKX8Kc0n%2BiJxRDFSpolXcGiG%2BkBUGdSA5hYj%2B7ROaHXU7CzNOynPl3maJ1Y5WxV3ULiFDeqTclfkz9XHOnUFe06ckYi7W1Q%2Bq50lEUxw20FE8DObX4ut7JX%2Bl3L34SBj9gUB2dCP%2BnBMoUF79Ezn3%2FVkl88Gum7l46eEI1yxHg7vDji0Tuest9v%2F4a0BQuzz4YqMLnX7tI%2FJB%2BLdPDunfP9%2Ft9bGQIgXTtqnIacJI4hU64%2Fjlqjnqa8IGvqzID%2FrFIYcnl1wsaDEGVPhZyAgH9%2F8UdLSH5Fpi8DIgyBtpRf%2FeMtozRzAsqpnDhgFsWkfFDYszTd%2BjtKn4h3w3IMdM3io4hVYwzFj9tgi6%2FSO0ME3nFhTrl1xa5%2BX6782tCm9p6WLF757UUOKG%2BqU0OYY7wZZGUiSVyKarO%2F%2FzK2iGl6qDBqT%2B60YzPKQlLZS0TZ6TNj6R2%2BuiYbpiGtFJvkyXHe%2FVywXMjnFzxk41Bfjbda568FJpbAJt33TMc1UgzZYqfVWGCjogWjknpLSeps%2BKiAy6Ao968mIGxJw0aFAOz1YkCU2jwbJWRvw6zhAMYaY11MiF7C%2FQhmd8%2BrNx5j2%2F2EAb4r6Mx4pI3dhXzAwYTzes9nF%2B8%2F8soy94ijh0%2Bq9rok54r%2F8iNIOrm%2FS4349zpLXISHwU9zVpzFoyS%2FIZ%2Fi8eQVDdlTwJ4zKY9yxZlcbtdpVox0ka3ce9Z3FFgif7JJH6dxfuCvsDmnnhNqhbg3K5g4l8N9NUPK6C1U4rPf7KXEx9N0RDwfTsWxRIeB%2BusQn%2B4RqPYprjtMbJNaFQ47HCraMpakdLkwkXJkW1AYR79FcNwcNjqEh89vnVw%2FzcuTzSxgQEhHOP2wNGS7%2FfYh6lZ5ngpHvDwf%2BO1BoFSkPxKXTB0DhLyo67ZxATqLmyZwgQPU15n1mDTiaGQwD60sg9aKygWw1N4iK%2F0ysATBrcPxPl%2BbtiakbsuDz0SLfkF8AX0OdnsjQW%2F%2FvAtsDWrTKsVh86YWhvAFibvhIwtK6I1sB9v73uI5EBNj5nG95lWM7pRMDdwQm78qjGsXbv7UEBGhKKYdR89zp9yrnPfow%2FhtiNJvRL%2B1nyqOb1l4zLKs1I5rIlosdWHnI8uHXatBvwD2J%2F1TBZaSRrKrUAa3hVto9FVzuZDI2gVAgNFKAn7vEcG3Q3c%2FHNnmMrBGorH3jku4usnT6wxZM%2BEd93dMgaBBNzoDzvk8kFH4sbKVzbHjYbRXLr7Pd3Lrx3kUhiyS8u0%2FV3PPo%2BxnLcz902aRrN09AyUtIzc60kw5g2sfIkO3K4K0mCdheu41OiDD7Og8%2FpgygNllttB%2F%2FGrLvqpuBDrl7UwQdMV%2B8dKsb%2BXIiP%2FhcA6X3GFXs86a38nPnlNUA%3D,117,27,14,6,4,#1097032335,Briwax,FBX-103,NA,25 W,Torre,Entrada para Microfone P2 e P10,NA,NA,NA,NA,2.4 kg,NA,NA,Subwoofer,AMPLIFICADO,"Festas em Geral, Praia, Sítios, Eventos, Conexões com Vilão",5.1 - Bluetooth,NA,NA,NA
21, Caixa Caixinha Som Portátil Bluetooth Mp3 Pen Drive 200w E83 ,31,NA,7115,10,6x,5.90,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,649,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-755110784-caixa-caixinha-som-portatil-bluetooth-mp3-pen-drive-200w-e83-_JM,424,134,60,12,19,#755110784,Altomex,Não Descrito,NA,6 W,Caixa,USB,NA,NA,NA,NA,300 g,Caixa de Som portátil,Alimentação USB,Subwoofer,Woofer,Casa / Parque / Praia / Viagem / etc,NA,1,NA,NA
22, Caixa De Som Jbl Boombox Original 1 Ano De Garantia Com Nf ,1899,NA,268,180,12x,158.25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,553,https://perfil.mercadolivre.com.br/DIRETOCOMVOCE?brandId=1328,https://produto.mercadolivre.com.br/MLB-1001522471-caixa-de-som-jbl-boombox-original-1-ano-de-garantia-com-nf-_JM,435,47,21,21,29,#1001522471,JBL,Boombox,NA,60 W,Não se aplica, ,80 dB,NA,NA,NA,5.25 kg,Caixa Portátil,Bivolt,Não se aplica,Portátil,Não se aplica,não se aplica,2,20 kHz,20 Hz
23, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,174,NA,806,98,12x,14.58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,30,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,23,5,1,0,1,#1137932763,Google Home Mini,Google Home Mini,NA,3 W,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,"Caixa de som, Speaker, Assistente Pessoal","Caixa de som, Speaker","Mesa, escritorio, sala, quarto",5.1,1,NA,NA
24, Caixa Caixinha Som Portátil Usb Bluetooth P2 Fm Mp3 ,28,NA,717,5,5x,6.35,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,23,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1191652215-caixa-caixinha-som-portatil-usb-bluetooth-p2-fm-mp3-_JM,19,3,0,1,0,#1191652215,Goldenultra,GT-356BT,NA,8 W,Caixa, ,NA,NA,NA,NA,NA,NA, , , , , ,NA,NA,NA
