search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
24,Auricular Bluetooth Radio Tarjeta Cable Colores Futuro21,699,NA,64,9,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-446613169-auricular-bluetooth-radio-tarjeta-cable-colores-futuro21-_JM,2,0,0,0,0,#446613169,NA,NA,Con Vincha
25,Auriculares Inalámbricos AirPods Apple En Stock Garantía,319,NA,4,8,18 cuotas,NA.NA,NA,Envío gratis a todo el país,NA,NA,4,49,http://perfil.mercadolibre.com.uy/RAMAN2013,https://articulo.mercadolibre.com.uy/MLU-461567729-auriculares-inalambricos-airpods-apple-en-stock-garantia-_JM,20,16,9,1,3,#461567729,Apple,AirPods,NA
26,Auriculares Inalámbricos Stereo Bluetooth Manos Libres Rojo,299,NA,91,24,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,3.8,11,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,https://articulo.mercadolibre.com.uy/MLU-445603224-auriculares-inalambricos-stereo-bluetooth-manos-libres-rojo-_JM,5,2,1,3,0,#445603224,NA,NA,NA
27,Auricular Bluetooth Manos Libres $160,160,NA,33,67,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/DISCBOX,https://articulo.mercadolibre.com.uy/MLU-462802945-auricular-bluetooth-manos-libres-160-_JM,0,1,0,0,0,#462802945,NA,NA,NA
28,Auriculares Inalámbricos P15 Bluetooth Radio Fm Mic Sd Loi,497,NA,35,999,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4,3,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462662158-auriculares-inalambricos-p15-bluetooth-radio-fm-mic-sd-loi-_JM,1,1,1,0,0,#462662158,NA,NA,Con Vincha
29,Base De Carga Para Auriculares Bluetooth Inalambricos I7s,270,NA,3,12,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-463183960-base-de-carga-para-auriculares-bluetooth-inalambricos-i7s-_JM,NA,NA,NA,NA,NA,#463183960,Apple,NA,NA
30,Huawei P30 Lite 6' 128/4gb+ Funda+ Auriculares + Lámina ! Pm,395,NA,104,64,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.7,48,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,https://articulo.mercadolibre.com.uy/MLU-461685314-huawei-p30-lite-6-1284gb-funda-auriculares-lamina-pm-_JM,34,13,0,0,0,#461685314,Huawei,P30 lite Dual SIM,NA
31,Auricular Vincha Sport Bluetooth Pc Celular Auriculares,380,NA,27,1121,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-455655455-auricular-vincha-sport-bluetooth-pc-celular-auriculares-_JM,3,1,0,0,0,#455655455,NA,NA,Con Vincha
32,Auricular Manos Libres Bluetooth Celulares Sony Samsung Lg ®,178,NA,258,5e3,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.2,14,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443612911-auricular-manos-libres-bluetooth-celulares-sony-samsung-lg--_JM,7,4,2,1,0,#443612911,NA,NA,NA
33,Auriculares Bluetooth Deportivos Manos Libres Con Cuello Loi,447,NA,24,1e3,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,5,3,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462689492-auriculares-bluetooth-deportivos-manos-libres-con-cuello-loi-_JM,3,0,0,0,0,#462689492,NA,NA,Sin Vincha
