search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Línea,Tipo
1006, Cascos De Moto Y Deportes De Motor Arai 820244 ,2224.8,NA,0,100,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TYV+EXPRESS,https://articulo.mercadolibre.com.co/MCO-506011770-cascos-de-moto-y-deportes-de-motor-arai-820244-_JM#position=2&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#506011770,NA,NA,Arai,NA,Rebatible,NA,NA
1007, Reevu Msx1 Casco De Motocicleta De Vista Trasera Black Matt ,2333,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MAUJA.STORE,https://articulo.mercadolibre.com.co/MCO-524752537-reevu-msx1-casco-de-motocicleta-de-vista-trasera-black-matt-_JM#position=3&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#524752537,NA,NA,Reevu,NA,Cross,NA,NA
1008, Motocicleta Casco Integral Aprobado Por El Dot - Yema Ym-82 ,500.403,NA,0,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TU+PEDIDOMAYORISTA,https://articulo.mercadolibre.com.co/MCO-496621627-motocicleta-casco-integral-aprobado-por-el-dot-yema-ym-82-_JM#position=4&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#496621627,NA,NA,Yema,NA,NA,NA,Rebatible
1009, Casco De Motocicleta Dot Con Doble Vista Para El Sol Ligero ,278.99,NA,0,12,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LOTRAEMOS.,https://articulo.mercadolibre.com.co/MCO-505327076-casco-de-motocicleta-dot-con-doble-vista-para-el-sol-ligero-_JM#position=5&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#505327076,NA,NA,AHR,NA,NA,NA,Cross
1010, Casco Integral Moto Hjc Cl17 Redline Gris Blanco Certificado ,460,NA,0,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-522900727-casco-integral-moto-hjc-cl17-redline-gris-blanco-certificado-_JM?searchVariation=40119899921#position=6&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#522900727,Blanco,L,HJC,Redline,Integral,CL-17,NA
1011, Casco Protección Integral Moto Hjc Fg St Bolt Blanco Negro ,800,NA,0,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-523039825-casco-proteccion-integral-moto-hjc-fg-st-bolt-blanco-negro-_JM?searchVariation=40153449365#position=7&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#523039825,Blanco,M,NA,NA,NA,NA,NA
1012, Bell Mx-9 Adventure Mips - Casco De Motocicleta (tamaño X ,770.9,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKAESCOLOMBIASAS,https://articulo.mercadolibre.com.co/MCO-523432255-bell-mx-9-adventure-mips-casco-de-motocicleta-tamano-x-_JM#position=8&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#523432255,NA,NA,NA,NA,Integral,NA,NA
1013, Scorpion Exo-r420 integral Sólido Street  casco De Moto ,866.9,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKAESCOLOMBIASAS,https://articulo.mercadolibre.com.co/MCO-523433812-scorpion-exo-r420integral-solido-streetcasco-de-moto-_JM#position=9&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#523433812,NA,NA,Scorpion,Solid,Integral,EXO-R420,NA
1014," Scorpion Exo-r420 - Casco De Moto Para Adulto, Color Negr ",866.9,NA,0,NA,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKAESCOLOMBIASAS,https://articulo.mercadolibre.com.co/MCO-523434421-scorpion-exo-r420-casco-de-moto-para-adulto-color-negr-_JM#position=10&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#523434421,NA,NA,NA,NA,NA,NA,NA
1015, Casco De Motocicleta Vintage Vega Helmets ,394.533,NA,0,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/QUEEN.BEE.,https://articulo.mercadolibre.com.co/MCO-478609518-casco-de-motocicleta-vintage-vega-helmets-_JM#position=11&type=item&tracking_id=c6d5b64a-3133-4b88-b682-c6c54bfe5187,NA,NA,NA,NA,NA,#478609518,NA,NA,Vega Helmets,Imppera,NA,NA,NA
