search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Tipo de casco,Tipo de visor,Edad,Modelo,Línea,Materiales del exterior,Tipo
24, Casco Mt Moto Cross Mt Helmets Falcon Negro Brillante ,129,NA,4,NA,18 cuotas,265.31,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-460021960-casco-mt-moto-cross-mt-helmets-falcon-negro-brillante-_JM#position=24&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#460021960,NA,NA,MT Helmets,Cross,NA,Adultos,Falcon,MT Helmets,Resina,NA
25, Cubre Nariz Casco Moto Hjc Original ,18,NA,11,NA,18 cuotas,37.02,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449754911-cubre-nariz-casco-moto-hjc-original-_JM#position=25&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#449754911,NA,NA,HJC,Integral,NA,NA,NA,NA,NA,NA
26, Casco Moto Hjc Fg-70s Luko Retro Bobber Vintage En Keblar ,179,NA,3,NA,18 cuotas,368.14,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449737269-casco-moto-hjc-fg-70s-luko-retro-bobber-vintage-en-keblar-_JM#position=26&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#449737269,NA,NA,HJC,NA,NA,NA,NA,NA,NA,NA
27, Casco Moto Hjc Is-17 Loktar Mc-8 Con Lentes Incl. ,259,NA,1,NA,18 cuotas,532.68,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454978455-casco-moto-hjc-is-17-loktar-mc-8-con-lentes-incl-_JM#position=27&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#454978455,NA,NA,HJC,Integral,Doble,Adultos,LOKTAR,IS-17,Policarbonato,NA
28, Casco Hjc Moto Cs-15 Trion Mc-4f Mate ,109,NA,5,NA,18 cuotas,224.18,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-454979247-casco-hjc-moto-cs-15-trion-mc-4f-mate-_JM#position=28&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#454979247,NA,NA,HJC,Integral,Simple,Adultos,Trion,CS-15,"po, Policarbonato",NA
29," Casco Negro Mate Integral | Ls2, Modelo Ff352, Aprobados ",69,75,4,NA,18 cuotas,141.91,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CAFERACEUY,https://articulo.mercadolibre.com.uy/MLU-463349996-casco-negro-mate-integral-ls2-modelo-ff352-aprobados-_JM#position=29&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#463349996,NA,NA,LS2,Integral,NA,NA,NA,NA,NA,NA
30, Casco Cross Pro Tork + Antiparra Regalo Super Oferta Rojo ,3950,NA,6,NA,18 cuotas,219.44,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/INTERNACIONALRACEIMPORT,https://articulo.mercadolibre.com.uy/MLU-455164782-casco-cross-pro-tork-antiparra-regalo-super-oferta-rojo-_JM?searchVariation=41222700963#position=30&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,0,1,0,0,0,#455164782,Rojo,56,Pro Tork,Cross,NA,NA,NA,NA,NA,NA
31, Casco Moto Hjc Is-33 Niro Negro Mate Lentes Integrados ,159,NA,2,NA,18 cuotas,327.01,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449739169-casco-moto-hjc-is-33-niro-negro-mate-lentes-integrados-_JM#position=31&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#449739169,NA,NA,HJC,Abierto con Visera,Doble,Adultos,Niro,IS-33,Policarbonato,NA
32, Cascos Motos Hjc Cs-15 Treague Mc-5sf Terminacion Mate ,109,NA,3,NA,18 cuotas,224.18,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-449739531-cascos-motos-hjc-cs-15-treague-mc-5sf-terminacion-mate-_JM#position=32&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,4,0,0,0,0,#449739531,NA,NA,HJC,Integral,NA,NA,Treague,CS-15,NA,NA
33, Casco Mt Para Moto Kre Sv (con Lentes De Sol) Intrepid 2019 ,280,NA,1,NA,18 cuotas,575.87,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-460038782-casco-mt-para-moto-kre-sv-con-lentes-de-sol-intrepid-2019-_JM#position=33&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#460038782,NA,NA,MT Helmets,Integral,Doble,Adultos,KRE sv,Intrepid,Tricomposite,NA
34, Casco Mt Para Moto / Mt Helmets Stinger / Affaire Rosa ,86,NA,2,NA,18 cuotas,176.87,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-463060028-casco-mt-para-moto-mt-helmets-stinger-affaire-rosa-_JM#position=34&type=item&tracking_id=978e2d10-110e-4f45-81bd-4e90ea9b7af9,NA,NA,NA,NA,NA,#463060028,NA,NA,MT Helmets,Integral,Simple,Adultos,Stinger,Affaire,Resina,NA
