search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Tipo de visor,Materiales del interior,Materiales del exterior,Edad,Género,Línea,Peso,Usos recomendados,Modelo alfanumérico
11, Casco Punto Extremo Xr650 Rebatible Doble Visor Negro ,2930,3999,336,118,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,891,https://perfil.mercadolibre.com.ar/CYCLES+MOTO,https://articulo.mercadolibre.com.ar/MLA-755651553-casco-rebatible-rs5-hawk-vector-doble-visor-cycles-_JM?searchVariation=41084926794,565,236,56,17,16,#755651553,,"S,M,L,XL",Hawk,RS5,Rebatible,Doble,Cuero sintético,ABS,Adultos,Unisex,Rebatible,NA,Urbana,RS5
12, Casco Moto Abierto Vertigo Vintage Maya. Full. En Gravedadx ,4590,NA,124,17,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,134,https://perfil.mercadolibre.com.ar/MARELLI+SPORTS%21,https://articulo.mercadolibre.com.ar/MLA-684785717-casco-punto-extremo-xr650-rebatible-doble-visor-negro-_JM?searchVariation=29203451786,91,36,5,0,1,#684785717,Negro mate,"S 55-56 cm,XL 61-62 cm,L 59-60 cm,M 57-58 cm",Punto Extremo,XR650,Rebatible,Doble,Goma Espuma forrada,Policarbonato,Adultos,Unisex,XR650,NA,NA,NA
13, Casco Moto Integral Doble Visor Vega Rs1 ,3581,NA,7,5,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,1,https://perfil.mercadolibre.com.ar/MT+HELMETS?brandId=1346,https://articulo.mercadolibre.com.ar/MLA-714158396-casco-moto-mt-stinger-new-gp-d3-amarillo-integral-_JM,1,0,0,0,0,#714158396,Negro Fluo Amarillo Naranja,"M,XL",MT,Torn,Integral,Simple,Poliestireno,Policarbonato,Adultos,Unisex,Thunder,1450 g,NA,NA
14, Casco Motocross Oneal 2 Series Rl 2019 Mx Enduro Atv ,6990,NA,75,14,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,12,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Y4%2B1w%2F6FsVOF0FOHU4QwzVG6IpQdansUs0yFufJ7KfhIpZeeUUDl6GOqH4GcIGhCPnDMpsX1FeIUZz7xsXz%2BTNJfzSmOFc0hNwc9XHDPGSLLa2rpJNYlBRPi8Qv%2FHA4cDtiW%2BcHfgWrvkN5QR1olNl7WjvpJ57EmDhMS8mo8O1yuGJRrApIu2HjEOnW%2FApKNba2dOkoSDRSh3emQd1V7TTjKrk4I3d7gsyFrMD8B5vHQ1Z0Cq3u0ZmBVOWXZnH%2BeGEWqQ0BBZvy1uXaR74FCnDOAZihw7TgtJ8n1THN11L5hNmdBMP9znrj3IBVdEPwhVO%2BG3MfGo9OyAN4gt6fHkC%2BXa7tiyn3HgF6HssFvAPMTx6b45pzFouw3PV%2FVGZAuBJKzEnOHe%2FLiDbelUGDf35Plrt9pVSjkbci8rJb9AyfKAZhSaAcTKAWdp%2BeUCgW6uKUVtds%2BPmBrQIChaxBRRz7CtdLB%2BNMAt0OlSyJ0%2BoDZ86bYRcwAYrXlcW2AAAfLrXcpV8XY4mudM6V8uFqBnVLiPghDkQFnIbD955M9whV9cWSsuEU331U%2F4KW%2BzmQN5jsaPtYXrkvMWqc%2F8YZr0hcYpdzyO9rZHcXmqrUeSkZ5KU7p8LkjZJ2UUBMMUrNHkOjuedVbe0HJvSLhbOtFi0qoyxz%2FFkXViEarSSemix4OZtUnu8GywX8oJMhB%2FZhxBTK1QnHtMgay%2BkCqRMI5hBGUfR00q90wFzn4QRKyyrVYzVA858a%2BiCW1ho2nAf%2FIu6rC5Dcb2FP89e51RX3HBr0O%2BpoOJxTzFivzttXvnhOx3598aG5ndAQbRe%2FjocRqW%2BCaEq9M4Riri7mZkvGnqg7CUgbM2osl%2BSNA%2BUDo%2BKQWEwmVazEMFwG9o7kRewcVtwvQgcCLR3Ek2K%2B0rlfA9VEZ3osCJNHXwXLBL64%2F%2B89nHoFH21OZ48haf6CoSOre9c8WQQiOlaMVJdsci5hhH1H0LqyCRrt6ApvN4JxZwc1DBdJJ6QgJ%2Fa6OyCVD30mZyDHXg1LmTI49cC0Gq2IIiZBH1p2R6vGIAyjZpVa4c2XoJ7LzqrGP2DAK3te9vCTgMNbNhIvfK4ptf%2F3%2BZsyEiwgqo81faEo0mQ%2ByOgUb6QtxG6gugH93gKCM9B6yFpAGMmrdVh0TzuS3V%2BnrNk9sFjtn4xaVU9fFfOaiL3Pqriph%2BQkaIAOA3BmB6AHwkxLvCSxmXBYBee1WyKLm%2FvxNXsgd%2F0ureZ5AoE5hogpIJtiLGzTZmAA%2FpuHh94jUxjcx27j6x9krA7Zc9vyxMt%2FXDqYiCkEXCb%2FtkbidHncg5CdnvUfDvx1S2BKTb%2BSQ73k6nejsQdO769R3RPnUef9AmDIrWi5eeAwM1vPVLatv1AKJzBP3Qj8cOtJJP4wwRnCS3sZeW6%2FPfg7esoxXOcVcgxPgyNjdjuZY%2FGSFREJuSBihLZbAEICsVbCSXCp4%2B06W9jZmUYxbkad2JF8A0irhMX6iILi8w6H0VHDsA42QhIJyYZ7ZDnB2T%2F1vm4a4hPviRX%2B5tCS2bV7dSh%2BiJTXCqzQFhUnD3YtYLLwCwETFHwYZIgUeKz1lD3u2eq51%2FSfbfMPP%2BpDGe6yx0ElHd%2BeuGIrrotwIbPK0d7ek7ayCSJZh9Akum456IyEdJHhynZPmk5rfkwRuMyJ7eBdhUB0lZrr9Kp5Mw3ygXwfXGFs0ho%2Bqjfog011NaJXRKlxJG5WV9n2kh4hfCoeWaSBuaw4pHV6nGimZWc%2F7LsXVVuh8di3eOsKaGb5hUsfP1CT2a9gersVRIX%2FOBrgzLeit%2FDMo3F9Mp081YMC7DAEl7m0IAj7zwIczUmK1fBvi2N71xR6NHLFpEiwR,12,0,0,0,0,#762056680,"SLICK BLACK - Azul,SLICK BLACK - Blue,SLICK BLACK - Gray,SLICK BLACK - Orange,SLICK NEON YELLOW - Black","S,M,L",O'Neal,Slick,Cross,NA,NA,NA,NA,NA,2 Series 2019,NA,NA,NA
15, Casco Integral Hawk Rs1 2019 Sti Motos Envios Full ,2132,NA,776,40,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,105,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-674080413-casco-moto-abierto-vertigo-vintage-maya-full-en-gravedadx-_JM?searchVariation=17140773994,70,28,2,2,3,#674080413,"Beige,Celeste,Negro","XS (54 cm),S (56 cm),M - 58 cm,L (60 cm)",Vértigo,Vintage Maya,Abierto,Simple,Micro Fibra,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
16, Casco Integral Shiro Motegi Sh-821 Rojo Negro Azul Fas Motos ,2990,NA,175,9,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,5,23,https://perfil.mercadolibre.com.ar/MOTOHELMET?brandId=1633,https://articulo.mercadolibre.com.ar/MLA-770829978-casco-moto-integral-doble-visor-vega-rs1-_JM?searchVariation=32988912564,23,0,0,0,0,#770829978,HI-VIZ ORANGE SLINGER MATTE,"M,L",Vega,RS1,Integral,NA,NA,NA,NA,NA,NA,NA,NA,NA
17, Casco Rebatible Rs5 Hawk Vector Doble Visor Cycles ,1999,2999,501,3,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,311,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-636093454-casco-integral-hawk-rs1-2019-sti-motos-envios-full-_JM?searchVariation=25890123643,209,65,32,4,1,#636093454,Negro mate,"S,L,XL",Hawk,RS1,Integral,Simple,NA,ABS PREMIUM,Adultos,Unisex,Integral,NA,Urbana,RS1
18, Casco Moto Abierto Vertigo V10. Full. En Gravedadx ,3499,4898,145,25,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,219,https://perfil.mercadolibre.com.ar/FASMOTOS00,https://articulo.mercadolibre.com.ar/MLA-616362502-casco-integral-shiro-motegi-sh-821-rojo-negro-azul-fas-motos-_JM?searchVariation=34642577572,154,46,12,3,3,#616362502,"Amarillo - Fluo,Negro - Blanco,Negro - Rojo,Rojo - Azul","S,M,L,XL,XXL",Shiro,MOTEGI,Integral,Simple,NA,ABS,Adultos,Unisex,urbano,1390 g,NA,821
19, Casco Moto Mt Stinger New Gp D3 Amarillo Integral ,891,NA,947,26,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,48,https://perfil.mercadolibre.com.ar/GRAVEDADX,https://articulo.mercadolibre.com.ar/MLA-679809834-casco-moto-abierto-vertigo-v10-full-en-gravedadx-_JM?searchVariation=17182066327,30,12,5,1,0,#679809834,Negro,"L (60 cm),XXS (52 cm),XS (54 cm),S (56 cm),M - 58 cm",Vértigo,Basic,Abierto,NA,Set Poliester,Termoplástico,Adultos,Unisex,Vértigo,NA,NA,NA
20, Casco Moto Hawk Zx7 Mx Cross Enduro Negro Mate Oficial ,5995,6595,1,10,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=uzY2biZxkFHD1L5RZ62nppUZev2xW7Dq3QTuAHWo6bGMo9masR%2Bx75aI4OqDYvPW9IgZ4WOVhooYdi1VbZPypsXm7umYc3GRtC7BSLFAc05uu8J89w2BMhajk9VEzJT9FaG8BhpDkg4vuLnKegZwyjGYHjyULLhXwBZuOyw12ZF3JTYD8PqbZAZGjCwes2c5mS1Q7uEyV6ciyc32h1ZEonBhcnb1LcGBcBdhbnHbijcpI0CoyNRBi%2FQJqFG7qdqTOhG8MsRF6Ku3uIPmF8cJ6qltqZilF1P6n6SHCbfLtILPHlLkPDhxJngO4SO4EXwqMBRTkcT3sbbhucFtSTc68%2BvHBGNh%2FG7kcVzFQxq2jrJP%2Bfjsps4nfXUwVGnhQZqlnoVx1iLR5dmVRcwNfP9Ze0ATnM2%2FW5YsXm3RhvS1NQJKO0HIFBk%2BKc5kNZOFxZM7u%2FLteARm6%2BGF28rcJduyGSTBXGqqCranVhlzkhajPHu0%2B7SFOIUiGTsuooRDYEWd4NzlTSFamJknOpDjQy2wFhLwuG14QvUOAMOfK1jYeP0zIPm6AponROtVCx0%2FUZhO9tjmAVG01%2FMW1gUnqStUdtQU0nWnQ%2B6%2BoJK8cNjfKQmWEpOXg5rxlOYs2q0%2FFBUjor7MKi3lR7bjAONh69IIjb0BeJz7f4micAadsBJWNCxu%2FH9vvihwC61caXRlRMLuYnra108I%2F03M9Hsy2OQKDSY6FYcb8dseNR2xN%2B1HCJFuxsJHsDRUy1iBTHgVf6yS8YNuRqjG8gWpM6dNDGJtO9V11kIw5YNVejNd1xt02zszOIfCUmjWG1UT%2BqCTVVNf50tqap1LQ1G1DAS8G3UdTZWQv%2Bwq8opG5%2B63etCjFo2NGI7Ur5ah2uAauGS2f7SbRsJpaJAxtB0fMzi16G%2BkhWAfs9SBG8pE9OawlVWmBfLYJh468CV8MKlyAWSUAYNnQ2nNkmI5nXTPIIqvkYhXM2Z%2FLrqziGSCkH8UwNXkYUhh04XB9X8r2%2FCgxmO37HItq1ZY%2BImx3rVc1gFd%2BkIjGUNB5IRTi6bFpcN%2BeSNpAt%2FynxxBu9qgYlQ3H%2Fqx9J1VN34H6msBs%2Bns7tTjj65d39dmRGhS776k1Hr37HYjHYVmzO75FC16vWYlHvkw%2FmolyKY4b19iMO0dgYo3A7HFJzGfwgXlnDAVYvt82eDoGQGd%2Ff%2B5m%2BqxyIxZfzjN6U6eCQLgB1hMMuVrObcoz8SQZDFv%2B%2BSK036od3OU3CX8Iyq7wUTMotGI5TfJaS2qaF8AV3l5oB8vKUvcPbvSgEGsGO6y5Q17EgPPfbTCr7Ld7JlgWbDyqejRM2CK9jnbjJhXaz5wb39VqETYfE%2FTKtCfbuCDV05StTxuBIW%2FxC%2B7ELy0wYroQ1%2FBDpQdK4m%2F0i%2BAORwTgON2hX6E%2Fk%2Bg6%2FEI%2BgZMVbI5hojxE8MhtuOynnqfwZBCiiILQbDls9zzKYXdbazJKQ9lcAphx2FcsDj7myG5jefl75CK9YRdmO9pqhOz2VG7cIjKxhMsysAbhMlaiLoqeNjnkkAHjgg3W0AMDVV1pJ5LtMUEe09Ds0R7m4SxDfl5JDjYBUKc02%2BuS4Qv%2Bd4sreB90oEIkyihGiXmQ3CG217GLbx3UnvUe5z4ZbIdLm1n%2Ft62p3x4K4rI8WamHJI%2FPPKOKBjwnkNFr1%2BzH2GxNLywvpM5kfZ55YugzKP105oniL0XMBnuqdpIH36axfM4%2B6hqDhVScL4FjYFD%2Fu170xh6Y3PMODwxgBUQlxqn7irX4y8DwnJ1zLLySDFeyyQo9ADEwgy9ltBsPDBmSevUTNbm7WehlE%2Bg%2FVovN1vWHcUFoifzbYsoLSj80ow6PTlA425N%2BiY%3D,NA,NA,NA,NA,NA,#796287611,NERO M,,Hawk,ZX7,Cross,NA,Frontura Hipoalergenico,ABS,Adultos,Unisex,NA,NA,NA,NA
21, Casco Moto Integral Ls2 352 Negro Brillo Single Mono ,3490,3890,208,6,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,221,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-653198003-casco-moto-integral-ls2-352-negro-brillo-single-mono-_JM?searchVariation=27844857694,155,58,6,0,1,#653198003,Negro brillante,"XS,XL",LS2,F352 Rookie Single Mono Negro Brillo,Integral,Simple,Poliestireno,HPTT,Adultos,Unisex,Integral,50 g,NA,FF352
22, Casco Motocross Enduro Just1 Edicion Limitada Chupacabra ,4999,NA,164,43,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,34,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-683981943-casco-motocross-enduro-just1-edicion-limitada-chupacabra-_JM?searchVariation=20998787194,30,3,0,0,0,#683981943,"M,L",,Just1,CHUPACABRA,Cross,NA,Termoplástico inyectado,ABS,NA,NA,J32,NA,Carrera,NA
23, Casco Moto Hawk Rs1 F Integral Naranja Tienda Oficial Full ,1990,NA,123,13,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,311,https://perfil.mercadolibre.com.ar/HAWK+HELMETS?brandId=1746,https://articulo.mercadolibre.com.ar/MLA-786125556-casco-moto-hawk-rs1-f-integral-naranja-tienda-oficial-full-_JM?searchVariation=36950360890,209,65,32,4,1,#786125556,NA FLUO,"S,L,XL",Hawk,RS1F,Integral,Simple,Cuero sintético,ABS,Adultos,Unisex,NA,NA,NA,NA
24, Cascos Moto Integral Ls2 352 Brilliant Negro Mate ,3890,4490,112,1,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,8,https://perfil.mercadolibre.com.ar/LS2-OFICIAL?brandId=157,https://articulo.mercadolibre.com.ar/MLA-662533166-cascos-moto-integral-ls2-352-brilliant-negro-mate-_JM?searchVariation=15407937168,5,2,0,0,0,#662533166,Negro,XXL,LS2,FF 352 Rookie Brilliant,Integral,Simple,Poliestireno,HPTT,Adultos,Unisex,Integral,NA,NA,FF352
25, Casco Motos Integral Halcon H57 Modelo 2019 - Sti Motos Full ,1104,1656,513,64,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,295,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-617071459-casco-motos-integral-halcon-h57-modelo-2019-sti-motos-full-_JM?searchVariation=35322465044,183,66,32,11,2,#617071459,Blanco,"S,M,L,XL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26, Casco Just1 Enduro Motocross Pro Solid Matt Black ,1773,2659,564,103,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,311,https://perfil.mercadolibre.com.ar/STIMOTOS2008,https://articulo.mercadolibre.com.ar/MLA-642846851-casco-moto-integral-hawk-rs1-2019-negro-o-blanco-sti-motos-_JM?searchVariation=26383822678,209,65,32,4,1,#642846851,Negro,"S,M,L,XL",Hawk,RS1,Integral,Simple,Resina termoplástica,ABS PREMIUM,Adultos,Unisex,Integral,NA,Urbana,RS1
27, Casco Moto Integral Mac Gravity Doble Visor Negro Mate ,5200,NA,138,102,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,20,https://perfil.mercadolibre.com.ar/WSTANDARD+GROUP,https://articulo.mercadolibre.com.ar/MLA-688138709-casco-just1-enduro-motocross-pro-solid-matt-black-_JM?searchVariation=35911134536,16,3,0,0,0,#688138709,Matt black,"XS,S,M,L,XL",Fox,JUST 1,Cross,NA,NA,ABS,NA,NA,CROSS,NA,NA,NA
