search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Materiales del interior,Materiales del exterior,Edad,Género,Peso,Tipo de visor,Línea,Tipo
165, Mecanismo / Pivotes Visor Casco Mt ,38,NA,22,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ROME1416,https://articulo.mercadolibre.com.co/MCO-475148151-mecanismo-pivotes-visor-casco-mt-_JM,NA,NA,NA,NA,NA,#475148151,NA,NA,MT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166, Casco Integral Para Moto Alamo Evo Kontrol Certificación Dot ,149,NA,3,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUNTOMOTERO,https://articulo.mercadolibre.com.co/MCO-506260003-casco-integral-para-moto-alamo-evo-kontrol-certificacion-dot-_JM?searchVariation=33905060306,NA,NA,NA,NA,NA,#506260003,Negro,"S,M,XL",Kontrol,Alamo Evo,Integral,Poliestireno,Resina,Adultos,Unisex,NA,Simple,NA,NA
167, Casco Integral Certificado Nexx Sx.100 Toxic ,630,NA,1,9,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-509057201-casco-integral-certificado-nexx-sx100-toxic-_JM,NA,NA,NA,NA,NA,#509057201,NEGRO TITANIO,"S,M,L,XL",Nexx,SX.100 TOXIC,Integral,NA,NA,NA,NA,NA,NA,NA,NA
168, Casco Moto Doble Visor Abatible Ich 3110 Dot + Gratis Placas ,134.5,NA,3,197,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/SITIOVENTAS.COM,https://articulo.mercadolibre.com.co/MCO-493827432-casco-moto-doble-visor-abatible-ich-3110-dot-gratis-placas-_JM?searchVariation=30357839171,NA,NA,NA,NA,NA,#493827432,Rojo,S-M-L-XL,Ich,3110,Rebatible,NA,NA,NA,NA,1000 g,NA,NA,NA
169, Casco Agv K1 Negro Original Certificado ,575,NA,1,19,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CAMILOANDRESPEAURREA,https://articulo.mercadolibre.com.co/MCO-513597949-casco-agv-k1-negro-original-certificado-_JM,NA,NA,NA,NA,NA,#513597949,"XS SM MS ML,LG XL 2XL",,AGV,k1,Integral,NA,NA,NA,NA,NA,NA,K-1,NA
170, Kit Embellecimiento Y Aseo Para Motocicleta Y Casco ,114.9,NA,23,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LARECOMPRA.COM,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=%2F3Il5di8vk%2FWdGQ%2B%2BqDHsOC1tgcG2dfWJfop4ZvUmG4GB10GVgX6wAR%2BRwZBbSaZHgdK4Z%2BNrNTY0Mhr86jRDFCAabEW4nufaIlGIifTBKdOfWBq4Sz8%2BjUnQMgqUAtb2XPtxDd4WKdPhguBdmbb1OvYBj%2BKpAprHoX29PMvVUsGTfu6VZWkRLpH%2BVFtlWXoMIps69ZfQJiGKJkyTnHexiWzQ81BPqr%2F8Mo936fm1bvy7YblkbcCyVZAPUchlkcPZaxF2s2P%2FXpBc%2FDTNcByyzC5yhP6Ck2jXGXdl4XZhiVXcu%2FZxRsVryMQQ2wrUoZ6oWnZPfcrPbIZvFFURzgQeiHXTzji75FwqY%2FXkOLzKmB794U7uOlr5ATqq5bNKQNRhwVBv54BIieTeQyxuGqH4K7OtPIPZwbrrGN1xFLXIGfuQaOx2PdiY6wlRqIRM5AgE2fbHVYHbSDtN6%2F5Pu5l1rhQu%2BpXCR09Lw8gOjAL%2BaZgMaNN2wFvkCy%2FNC5sl0Uj2sJyOHMlFEPXapAGDgoxM7SHkg87EcQX2MyFb2OCAbXekkV5tCikAICrteqU80SWkz9Ei3jvewu%2FhVmIYqpqHBqemlW0Cg%2FoB7WJeciBwkNQ3QRcvMZblxfYkybV5IDfi4IWsjt99nsyvfGwEUMHra8C0R5mayit0AvG9%2FErGZ87ap45MTNlplCjIxQYzu%2FVTMof1pSZKMQsDLh5unxvkMdfytYNcXEkmdp4PEGybcaEqEEVXF6nk3dOr7jDyOACVzfa6uAO7Mqv%2FJi08G%2Fk8QGviPXuUH%2Fy%2B3iQprvZvBJq5eWSGRIACGX%2BIOgvAiBBfyks%2FpOugdGlpiB0LE93C6i6GHQ17WAFufrOtoCe1O5qJL6AYTNSEZkWEzPnKFAdF43JHyrjlj4A0ECWdCxkdXSfok%2BlFvKKYdIxymomuSFk1%2FDjdpr%2BSUgxOzslSD30gxyQ9Ey7L1p1sONBryekNQ5MJhUiGcTZyFlJg4lfHJ9y2wTaZb0luPWduxW6gt2fQERJ4rgaXoWNKtOEsEwNvOdMRHRnDWFo2mDEBX7zpSYFU3cLrALUARtgvthdP5XqhaZtM%2FUTRBjPool0WojlHwpVTMDPqragLlQcejco2xMJCqGuNFnOJobQ8huE8r9xkgVEZzeB8vX9PdHMnsmcsP4A7P9kR4Ig9hyVFO31k0hgz8TRSNXwfrU%2Ba%2B42iWdehRLgl8u%2BtEf77AXkGTQAIAuAyyJDcEWNpPuxB6EpI22h3DCoXsuo3xe%2Bhp5du5yDZswZGz0%2BKKfHkVcJ2psEjknAtRS5%2BH9MRj0zpcbyD777ItuBiSonPU%2BxddvI%2FSOiEZ1tB9o2d4qMybM9KKfYv1vgWoaASu2UgwWfzPk8cAhGXXzn8IoW1r3Taq%2BXlKvObuykrRqnK%2F5%2BBjZlegMi7EF9g2Ax5IRQD7BN2mtMcl8hvdPNvxcl2GCG9zdP9hpwCG0IYLvCULlyskt2F2iBFzbqlrKHkmZMB2LE7NEF%2F4xEBV%2Bj%2FsM0GzK7fi6k85CiZvGD5h%2B9z9IpulfkoeSNplnua654KKlNqni3rxlEkaqRnh0UV1x7e2vMuXhNf74Um%2F9Xeo%2Fxvm9WBN5ac6YZcahr0tDbD1vcfqtZMdqA5RuQ1Fp%2BV84kUygs2DHJJ2oIlFwohLAPMe6jGqE3lC7SdR5f4x21LumZdp8VztxcoiT6YkAhN7cg%2BSWPBvLN%2BnbJrwRqhvsmkTTMZ4pSzebd4BrgmB2WYdMjDS0KhPGs5ja3UNF3VfJPB%2F2T3aYQ%2BZgHls1gbxiHwdd8U2AmG0Afj0LPVvA6TQ%3D%3D,NA,NA,NA,NA,NA,#487676452,Negro,"M,L,XL",NA,ICH 3110,Rebatible,Resina termoplástica,ABS,Niños,Masculino,1000 g,Con lentes internos,ICH 3110,NA
171, Casco Para Moto Certificado Shaft 564 + Obsequio ,79,NA,6,6,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ALIANZA+MUSICAL,https://articulo.mercadolibre.com.co/MCO-453816540-kit-embellecimiento-y-aseo-para-motocicleta-y-casco-_JM?searchVariation=41377775404,NA,NA,NA,NA,NA,#453816540,Negro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172, Cascos Moto Certificados Abatible Ich Norma Dot ,215.9,NA,2,145,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-517722537-casco-para-moto-certificado-shaft-564-obsequio-_JM,NA,NA,NA,NA,NA,#517722537,"S,M,L,XL",,Shaft,564,Integral,NA,NA,NA,NA,1.45 g,NA,NA,NA
173, Casco Para Moto Integral Negro Mate Shox St Tres Certificado ,109.9,159.9,4,118,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-472296183-cascos-moto-certificados-abatible-ich-norma-dot-_JM?searchVariation=24242090454,NA,NA,NA,NA,NA,#472296183,"Rojo,Amarillo neón,Azul,Fucsia,Gris,Naranja,Negro,Rojo,Verde","S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
174, Cascos Moto Crosshro Mx330 Certificado Integral +obsequio ,149,NA,2,99,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=R3LCw8btU5E21QpQ9XgvmNNrCJsNZPnPeWgBK1jZmQOATLiOQWP4r9cs4KSn3cILdkYHBm1p3u%2BDzCM8VjwldAMmzl9UwEahPUvibPiJNZ9f70wVECO3QaMNhN64%2FhzlC4yrHvqGjaQBy8lHuLrCkbVs3C0PbLJBB4n7Z%2BZxwiuWwMY%2Boo12%2FaqEU%2FLO%2F239AHy8iS9Doj977%2BMZF7MdNljC7fMl%2BH%2F5pw9DtVqXE%2B%2FDlVAIfj5bQIeeabGKMzQlvIWUOlV%2F53ghqEwDj%2B0Lq591QmOTdGJV9bJUxVoLGLPmdVdirqe5NXjqNRczsgCYL77WPr5jsvQCAJv8PO0rew9JtjoP0DdhXF9v%2FITATAV%2FiE06NvAMCmW1W0R%2FpBFzD3UoUoR%2F722hBkpIxyid0%2BvQ%2BWm2liAaQDIcbsukFv0W2QxfRoz1mtouHa1U1umnRKjEp6NXgdjgo47%2Bl%2BS8uPgRxxb7HGdoV4TM%2FjKjP9DWekd5qNMcR9MOdbXY2IQ0BbRPsnyZyIZpNOtQuU9fSvDwTNiHlXNTUvA7Dl05xqU2s%2Balj6QdnpC%2FNs%2BUnQtVRPvDbPuMDLx6Kgc%2FxzMNCVwARvF2pegZ8THKLDhGsdOMxDiGb2TKliAUFlvwa8tmP6HXIqweluRFu2ZkkuGzHmIUPB7WAWdRSIwNCe4B7oGY4WwZptB3XP4Ar%2Fn72EOifVZIOWqYo%2B%2BwWSP5BKxfMtvj%2BTVlKIIz0MwRidT%2BPfShDOvBTi8lHWaUSXLwMeDRhj1%2FwDz%2BcSlSO%2FQ7%2FakgZjFPNlR7QbE0n0BvO8poOSBKob5gNNyhb3GL5xRNWi91poSU%2FtiV3S9WnbKgm85JRGCoiZrRbCB%2B4%2FKJ99YTSp09In%2BIBYgZNWgfBr3HdJ8aVLmLXYtt%2FT%2B%2FAocA8BswZ0sV3tTBsYHAatFfNJ32BLoX5rRdsrZSaHFKazpspo5ebV3xELPgW1KjNSin5uPL%2BeJw%2Fa9PxG8VVs3mhSWMaskRw1QXFR1nJijuL5VEvf1s9CfEXLbirQwdXJXxHkDAv6KQaFX2ZBWBIlJDWXF7ab3cvNORdOBzsLvr4qpMipNNsLir4es6aVs5FjtAAbCIg8vz0TAb3zl65J9spdJ5oEnbajGt5pQ8YIBpjyWVZdi%2B6qgreZBkhKKEC7C9F7CLse93DyC1dbJT2LXfmAJyGyHGacdmTyziZtRlpXmIxOURxcbNPyoiR6UZPY4dMYd13S13njxVsq%2BsyG4%2BXRdCWH8VQk64bILo0X67PgcGn912v163rQARQHIcGfdhLDiQLCxwVflNxsASQe6nssfi38Mo9IX7DuKi9zxJeOU3%2BV2r0ogwcGOMx5qyfmwI5rel0LiRQ1I%2FnWc4E%2FHk420Y4x2OPVP9a6o9b1EXpneze9P7gtS1oaApsA3%2Ff973fHgEht8kibEvCaKWE33jj9JR5YkWpe9ptgUiix81dlbmNHAh9GwP%2B9FChQ1yX1bsyfJ9rA7eZMyqQri2i9GipbV7cJH8gUhYufyN2ScwTdBY0AnL%2FlxlSZn5kF6zhO31o0NrJOHdEISelcFihMT9m99LXLFPSvSSDvbykCZxV%2BcQOWn2K2JwbPpkR4Ly1AycjEPgKC0mYc5fLQGotczM1KYihgiICRUev%2Bvrsax%2Bj%2BCD1rxK7f1JTmTE7H0XOJIyKj2tPI%2BrSO%2BErLAC%2BBrG2KEVaYwRpkiJu4iUBcttlICQLsy6r%2BFnvOm2HdT3PWFyuB5g4t1Bk0hiGQuPrAxjNzx03ij%2BQHfRwuBI6%2FAXIvtHsrnYBnr3uy4f5tmDVOMkal1PWwWOHcCwSeoMsA%3D%3D,NA,NA,NA,NA,NA,#516200988,Negro/Gris,"TALLA L,M",KONTROL,ALAMO BUTTON,Integral,icopor y espuma de alto impacto,coraza externa en abs (resina termoplastica de alto impacto ),Adultos,Unisex,NA,Simple,NA,NA
175, Casco Ingeniero Blanco Dielectrico Certificado Barbuquejo 4p ,199.9,NA,3,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/PUNTOMOTERO,https://articulo.mercadolibre.com.co/MCO-483189095-casco-para-moto-integral-negro-mate-shox-st-tres-certificado-_JM?searchVariation=27064977358,NA,NA,NA,NA,NA,#483189095,Negro mate,"M,L,XL",Shox,ST,Integral,Poliestireno,Resina termoplástica de alta resistencia,Adultos,Unisex,NA,Simple,NA,NA
176, Cascos Moto Abatible Ich Certificado Eliminador De Olor ,159.9,NA,2,23,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-506120755-cascos-moto-crosshro-mx330-certificado-integral-obsequio-_JM,NA,NA,NA,NA,NA,#506120755,"S,M,L,XL",,HRO,MX330,Integral,NA,NA,NA,NA,NA,NA,MX330,NA
177, Cascos Moto Certificados Abatible Ich Placas Gratis ,79.9,NA,3,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DOTALOPAMEDELLIN,https://articulo.mercadolibre.com.co/MCO-456997191-casco-ingeniero-blanco-dielectrico-certificado-barbuquejo-4p-_JM,NA,NA,NA,NA,NA,#456997191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178, Casco Proteccion Sebka Moto Motociclista Certificado Pinlock ,109.9,159.9,42,118,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.2,6,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-451628829-cascos-moto-abatible-ich-certificado-eliminador-de-olor-_JM?searchVariation=17562445492,3,1,2,0,0,#451628829,Negro,"S,M,L,XL",ICH,3110,Rebatible,Interior EPS (Poliestireno expandido) de alta densidad.,Coraza Fabricado en ABS (Termoplástico de alta resistencia).,Adultos,Unisex,1000 g,Doble,NA,NA
179, Casco Moto Shoei Rf-1000 Talla S ,109.9,NA,50,399,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,5,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-453409887-cascos-moto-certificados-abatible-ich-placas-gratis-_JM?searchVariation=17212887910,5,0,0,0,0,#453409887,Rojo,"S,M,L,XL",ICH,3110,Rebatible,NA,NA,NA,NA,1000 g,NA,NA,NA
180, Casco Ingeniero Proteccion Steelpro Safety Mountain Medellin ,400,NA,1,23,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,3,https://perfil.mercadolibre.com.co/CASCOLOCO.COM,https://articulo.mercadolibre.com.co/MCO-475999738-casco-proteccion-sebka-moto-motociclista-certificado-pinlock-_JM?searchVariation=25241516944,3,0,0,0,0,#475999738,Rojo,"M,L",HJC,Sebka,Integral,NA,NA,NA,NA,NA,NA,CS-15,NA
181, Casco Integral Italiano Airoh Valor Negro Mate ,590,NA,1,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ICT-4-YOU,https://articulo.mercadolibre.com.co/MCO-513097909-casco-moto-shoei-rf-1000-talla-s-_JM?searchVariation=38048957861,NA,NA,NA,NA,NA,#513097909,Plateado,S,Shoei,RF-1000,Integral,NA,NA,NA,NA,NA,NA,NA,NA
182," Casco, Peluche Colección Motogp - As ",79.9,NA,5,15,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DOTACIONESLABORALES,https://articulo.mercadolibre.com.co/MCO-455801863-casco-ingeniero-proteccion-steelpro-safety-mountain-medellin-_JM,NA,NA,NA,NA,NA,#455801863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183, Casco Integral Certificado Moto Ls2 320 Stream Retake ,519,NA,3,11,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-501432814-casco-integral-italiano-airoh-valor-negro-mate-_JM?searchVariation=32120431929,NA,NA,NA,NA,NA,#501432814,Negro mate,"XS,S,M,L,XL,XXL",Airoh,Valor,Integral,NA,NA,NA,NA,1400 g,NA,Valor,NA
184, Casco Abierto Tipo Jet Nexx Sx.10 Plain Negro Mate ,89.99,110,9,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-463480380-casco-peluche-coleccion-motogp-as-_JM?searchVariation=21899219862,NA,NA,NA,NA,NA,#463480380,Negro mate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Integral
185," Cuerda Elastica Sujetadora De Casco O Equipaje, Pulpo Moto ",319.9,NA,1,21,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-524999069-casco-integral-certificado-moto-ls2-320-stream-retake-_JM?searchVariation=40645394218,NA,NA,NA,NA,NA,#524999069,Gris,"S,L,XL",LS2,STREAM RETAKE,Integral,NA,NA,NA,NA,NA,NA,NA,NA
186, Cascos Certificado Ich Abatible Dot Gratis Placas ,360,NA,4,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-454693377-casco-abierto-tipo-jet-nexx-sx10-plain-negro-mate-_JM?searchVariation=17161879763,NA,NA,NA,NA,NA,#454693377,Negro,"M,XL",Nexx,SX.10 PLAIN,Rebatible,NA,NA,NA,NA,1200 g,NA,SX.10,NA
187, Casco Integral Mt Camuflado Mugello Militar Motociclista ,18.5,NA,12,5,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CHAQUETAMOTOSEGURA.COM,https://articulo.mercadolibre.com.co/MCO-469438309-cuerda-elastica-sujetadora-de-casco-o-equipaje-pulpo-moto-_JM?searchVariation=23228918257,NA,NA,NA,NA,NA,#469438309,Negro,NA,NA,NA,NA,NA,NA,NA,NA,82 g,NA,NA,NA
188, Casco Integral Certificado Dot Moto Proteccion Hro 514 Exces ,109.9,NA,7,17,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LUJOACCESORIOS.,https://articulo.mercadolibre.com.co/MCO-452707641-cascos-certificado-ich-abatible-dot-gratis-placas-_JM,NA,NA,NA,NA,NA,#452707641,Rosado,"M,L",ICH,3110,Rebatible,NA,NA,NA,NA,1000 g,NA,NA,NA
189, Casco Integral Moto Ls2 353 Certific Grid Rapid Blanco Rojo ,254.9,NA,5,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CASCOLOCO.COM,https://articulo.mercadolibre.com.co/MCO-486322013-casco-integral-mt-camuflado-mugello-militar-motociclista-_JM,NA,NA,NA,NA,NA,#486322013,NA,XL,MT,Revenge,Integral,NA,NA,NA,NA,NA,NA,Leopard,NA
190, Mascara Careta Modular Casco Open Face -cafe Racer-harley ,174.9,NA,3,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/CASCOLOCO.COM,https://articulo.mercadolibre.com.co/MCO-492349630-casco-integral-certificado-dot-moto-proteccion-hro-514-exces-_JM?searchVariation=29985345688,1,0,0,0,0,#492349630,Azul/Navy,"L,XL",HRO,Excess,Rebatible,NA,NA,NA,NA,NA,NA,514,NA
191, Casco Integral Moto Certificado Ls2 353 Carrera Black Yellow ,191,NA,0,5,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IMCOVALLE+SAS,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=LSJX62yYQgZj8pecZWlehEs%2FBfZbrxBFUeUjYrwqLVx6BovEp8zcXAlsXl6mI1jDQJej%2FY1Ufyb2ea2BN35%2FAi%2FfkKlOgYz%2FwDc9VCq3x%2Bhtgf72AFOrvctZmjubx9Svy70VsAKvgEaydMDjmqVJGNOBIKeeX%2FJHGk5pKuvu%2FmSCrsxmBR2AAPOLG4NurguGQkyuYM7CF7kO4Q6xkROiKSaWr4cpM0aziOeJWFvQPObKMrsSFHROHVzYAnUXNEu4g%2FHICx%2FgrLF8fNuARayg5fp2NOeP%2BW4bBkP%2FXqoRJya9LQL1duOb5r4jZTSwFIAozXdUkI1GOyxMojigWHD5V4Vsb%2BWJqCb203FxXfIJa7hfd7grD6hlj8mCUHtU05ICldJjnz1cZKUeUg2YY4w3OJToQXoXV90f7chcHA1CXzxF0hDl5Xf8TKARAc1yj2CBNeF39jl8w7EWj4QjN051wuwxXqGG43uxMfQub1f1ckthKfCTXIezgSAL59GBvPBR%2FkYvqQXDN%2BWHy1oiyHNx9NcefkxZVMKih6h7R6kMNydX0V1bb%2Bta32hwaEbkLBa7zOefX5S06if3uozBr%2FSFLrg3dx7zXWPJ3lWdx4sSOC%2FmF4dMSBCvDFRDQvFDlBrVwEn30%2BDj8fYha2U3A78nBLWbD6jgL6znEj%2BIT1dAKs%2BO1jPPxLC2bQBBGdTktCwc44AvcRR0GD6SsLOZhEiczDeRDIbQDrArR6WG%2FMg4OS%2FDX9I4lwDl1YYZwVfbYT8LoZZE1JrnZeQaA5HsKfrR5xEoSMYLtBLPnk3IuvDReitHJCRHyuiJTnCNZiqjVkuCybEn3TxGtTfTpIFp1yj1y9bKCDJJS%2FYyMeqUt8E2qJOn1IWHH2hAi2Ps5%2BPMMXoWcX2FfJfVHsTl%2F%2Bmz894fBh%2BnioG30wH1DTJFHPGeCKrEg1i7HSaJRdFm2IhxNNx0MDONrVu1R5J0rVBAphN6769%2FE%2FiEO8jTNb0ir%2Ff5E5GR2dupi4W2uD3A6MMgi3lM3QuMyMryNxXIA95FkUfE6IC1gu9WF7XkV79GufxPWVPtr1qqzHB89LO8GgfaHqj6tYVFZ7ODYVHGPfpCIwT%2FYitcxPNK%2F7g2aUw4t1CF17aXswTUIVrloxWqrYAZ44iDB7M3l%2Fb13mdLbkzA4OarbQsTsyv287QGQCtSvk0sHlR1CZNEJIgdv5HrO0V88sYzDidxUgmruTdBwrBW9EnTfqAo9vaxuX6FjUU20oy0rI1wm49H9WloO%2FbYCLnBs315jwmBIpGItabhaNUR5NVejFM%2BYf5%2BdtFRjqxA8i2CXsEagm9IxXhsq12wKAFjFWqjf%2FDGJlZcXWOhJkMq5UxanCOrDAUlEiMjjfRaom%2FN4f%2B6PowEvq3JsCzEzVJYE1003CtEkZBRcBFCOaBkgnACvULTJUplAkRZvabcUE60YDhqj4W97OPmMz4cEYeHiFNXAF6pXLd54LuAGbbljjpN524M8OmaaiNgXm%2FMTRTbpVzDSEjBOuqwdDs%2BHjHDsT6%2Fe3iP68Z7suMABsLllV4uDdgi3Kxn0GNv1fhGuI16pQTt8KL94tyqhGeKjtv%2FxKsr3QMzAWg0vfIhrwiZ4JlCwrjZkMzp0TlwsgAFuAewcAbC2j1fvLa9WxX6SxxNckAEYS7ik53DZ5lAmvVCzv8XCqa%2F1ocinU9SMqkjtSb1clmNlrzaaU0R%2BCwTsluCCah4y5L4mqz50e1x%2Fost33vKDHYCk%2F4qfpgSED2LpiQj9OQ9HC0r7jN%2FQUrmDrakNWodxKKMtp3hOH8XlMKYT3lyBSvgW6LUyQ%3D%3D,NA,NA,NA,NA,NA,#515243980,Negro,"TALLA L,M",Shox,Stinger,Integral,icopor y espuma de alto impacto,coraza externa en abs (resina termoplastica de alto impacto ),Adultos,Unisex,NA,Simple,NA,NA
192, Casco Integral Bell Qualifier Flare Gloss Original Americano ,280,NA,1,12,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-523368922-casco-integral-moto-ls2-353-certific-grid-rapid-blanco-rojo-_JM?searchVariation=40245358501,NA,NA,NA,NA,NA,#523368922,Blanco,"L,XL,XXL",LS2,Grid Rapid,Integral,NA,NA,NA,NA,1550 g,NA,NA,NA
193, Casco Moto Integral Agv K1 Negro Mate+pinlock Gratis - As ,80,NA,1,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/EDINSONCARDENAS,https://articulo.mercadolibre.com.co/MCO-489478906-mascara-careta-modular-casco-open-face-cafe-racer-harley-_JM,NA,NA,NA,NA,NA,#489478906,Transparente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194, Casco Moto Integral Hjc Cs15 Certificado Europeo Ece - As ,280,NA,1,25,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AOLMOTO,https://articulo.mercadolibre.com.co/MCO-524596797-casco-integral-moto-certificado-ls2-353-carrera-black-yellow-_JM?searchVariation=40574455198,NA,NA,NA,NA,NA,#524596797,Negro,"M,L,XL,XXL",LS2,353 Carrera,Integral,NA,NA,NA,NA,NA,NA,NA,NA
195, X12 Balaclavas Capucha Pasamontañas Moto Sol Uso Bajo Casco ,365,440,27,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,3,https://perfil.mercadolibre.com.co/MOTOSTOREBOGOTA.COM,https://articulo.mercadolibre.com.co/MCO-461349663-casco-integral-bell-qualifier-flare-gloss-original-americano-_JM?searchVariation=40058256345,2,1,0,0,0,#461349663,Negro,NA,Bell,Qualifier,Integral,NA,NA,NA,NA,NA,Simple,NA,NA
196, Casco Moto Proteccion Shaft 540 Space Commando Envio Gratis ,599.99,NA,1,3,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-526229279-casco-moto-integral-agv-k1-negro-matepinlock-gratis-as-_JM?searchVariation=40934598796,NA,NA,NA,NA,NA,#526229279,Negro mate,NA,AGV,k1,Integral,NA,NA,Adultos,Unisex,NA,NA,K-1,NA
197, Casco Kontrol Certificado Dot/ntc Knt 860 Fury Gris No Shaft ,359.99,390,1,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-466036602-casco-moto-integral-hjc-cs15-certificado-europeo-ece-as-_JM?searchVariation=21903888920,NA,NA,NA,NA,NA,#466036602,Varios,NA,HJC,Songtan,NA,NA,NA,NA,NA,NA,NA,CS-15,Integral
