search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Modelo detalhado,Potência de saída (RMS),Tipos de filtros do alto-falante,Quantidade de alto-falantes,Sensibilidade de entrada,Largura,Altura,Formato do alto-falante,Linha,Tipos de alto-falante,Lugares de colocação,Configuração de canais,Conectores de entrada,Distorção,Peso,Modelo alfanumérico,Voltagem,Ambientes,Resposta máxima em frequência,Resposta mínima em frequência
23, Caixa De Som Speaker Google Home Mini Wi-fi Sem Embalagem ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				201
				vendidos
			
		",(227 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1720
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,9,https://perfil.mercadolivre.com.br/RODOLFOSANTOSMOTTA,https://produto.mercadolivre.com.br/MLB-1245708274-caixa-de-som-speaker-google-home-mini-wi-fi-sem-embalagem-_JM,9,0,0,0,0,#1245708274,Google,Home Mini,NA,3 W,Ativo,1,NA,"3.86 ""","3.86 """,Caixa,NA,NA,NA,mono,NA,NA,350 g,NA,NA,NA,NA,NA
24, Caixa Som Amplificada Bluetooth Canhão 500w Mp3 Fm Usb Sd P2 ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				868
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 526
		
		 sem juros
		
	

	
		",26,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,311,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1191898347-caixa-som-amplificada-bluetooth-canho-500w-mp3-fm-usb-sd-p2-_JM,265,27,12,5,2,#1191898347,Grasep,D-P8,NA,10 W,Subwoofer,NA,NA,NA,NA,Caixa,NA,Subwoofer,Portátil,5.1, ,0.5 %,NA,NA,NA,NA,NA,NA
25, Caixa Som Jbl Party Box 300 Recarregável Jblpartybox300br ,1969,2699,"
			
			
				
				45
				vendidos
			
		",(14 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 18819
		
		 sem juros
		
	

	
		",19,NA,Envio para todo o país,NA,NA,4.9,22,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,https://produto.mercadolivre.com.br/MLB-1182691441-caixa-som-jbl-party-box-300-recarregavel-jblpartybox300br-_JM,20,2,0,0,0,#1182691441,JBL,PartyBox 300,NA,120 W,Ativo,NA,NA,412 mm,805 mm,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				405
				vendidos
			
		",(49 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1499
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,16,https://perfil.mercadolivre.com.br/CLICOU+TELECOM,https://produto.mercadolivre.com.br/MLB-1137990984-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,15,1,0,0,0,#1137990984,Google Home Mini,Google Home Mini,NA,3 W,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27, Caixa De Som Portátil Jbl Wind Moto E Bike Resist. A Água ,160,NA,"
			
				Novo
			
			
				
					 - 
				
				907
				vendidos
			
		",(1186 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1333
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,777,https://perfil.mercadolivre.com.br/DANY+IMPHORTS,https://produto.mercadolivre.com.br/MLB-1106780239-caixa-de-som-portatil-jbl-wind-moto-e-bike-resist-a-agua-_JM,635,101,27,6,8,#1106780239,JBL,Wind,NA,3 W,Ativo,1,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA
28, Kit 2 Caixa Som Bluetooth Portátil Rádio Fm Mp3 Usb Sd 300w ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				428
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 526
		
		 sem juros
		
	

	
		",26,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,18,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175966463-kit-2-caixa-som-bluetooth-portatil-radio-fm-mp3-usb-sd-300w-_JM,12,3,2,0,1,#1175966463,Goldenultra,GT-356BT,NA,8 W,Portátil ,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,"P2, USB,Leitor SD, Auxiliar P2",NA,518 g,NA,Bivolt,NA,NA,NA
29, Caixa Som Amplificada Bluetooth Canhão Mp3 Fm Sd Usb P2 Cel ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				460
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 568
		
		 sem juros
		
	

	
		",68,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,21,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1182685619-caixa-som-amplificada-bluetooth-canho-mp3-fm-sd-usb-p2-cel-_JM,15,5,1,0,0,#1182685619,Altomex,Al-M01,NA,5 W,Ativo/Passivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,(Bivolt),NA,NA,NA
30, Caixa De Som Amplificada Bluetooth 2000w Fortress Sumay ,699,NA,"
			
				Novo
			
			
				
					 - 
				
				790
				vendidos
			
		",(32 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5833
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,70,https://perfil.mercadolivre.com.br/SANBOX-BR,https://produto.mercadolivre.com.br/MLB-919482965-caixa-de-som-amplificada-bluetooth-2000w-fortress-sumay-_JM,62,2,3,0,3,#919482965,JBL,Caixa Amplificada Bluetooh,NA,200 W,Ativo,01,NA,NA,NA,Caixa,NA,NA,NA,NA,USB,NA,NA,Torre,110/220v,NA,NA,NA
31, Caixa Caixinha Som Amplificada Bluetooth Mp3 Usb Cartao 220b ,94,NA,"
			
				Novo
			
			
				
					 - 
				
				433
				vendidos
			
		",(60 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 785
		
		 sem juros
		
	

	
		",85,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,27,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-952633424-caixa-caixinha-som-amplificada-bluetooth-mp3-usb-cartao-220b-_JM,19,3,2,2,1,#952633424,Goldenultra,MS-220BT / GT-259BT / GT-262BT / D-BH1060,Caixa de Som com 3 Auto Falantes e Entrada para Microfone,12 W,Ativo,3,80 dB,NA,NA,NA,Mobile Multimedia Speaker,NA,NA,NA,Auxiliar,80 %,NA,MS-220BT / GT-259BT / GT-262BT / D-BH1060,110V/220V (Bivolt),NA,108 MHz,87.5 MHz
32," Caixa Multiuso Amplificada 50 Rms 8 Bluetooth,usb+sd+fm+cont ",359,NA,"
			
			
				
				2343
				vendidos
			
		",(940 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3441
		
		 sem juros
		
	

	
		",41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,275,https://perfil.mercadolivre.com.br/PIU+SHOP?brandId=1849,https://produto.mercadolivre.com.br/MLB-680896899-caixa-multiuso-amplificada-50-rms-8-bluetoothusbsdfmcont-_JM,187,57,24,3,4,#680896899,Datrel,DMU-8.50 BLUETOOTH,NA,50 W,Caixa,1,NA,NA,NA,Caixa,Multiuso,Woofer,De piso,NA,RCA,NA,NA,NA,110V/220V (Bivolt),NA,NA,NA
33, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,205,NA,"
			
				Novo
			
			
				
					 - 
				
				871
				vendidos
			
		",(219 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1966
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,37,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,26,6,3,1,1,#1114227033,Grasep,D-Q10,NA,30 W,Woofer,3,NA,NA,NA,Caixa,Voxcube,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",5.1,Entrada para Microfone,0.2 %,NA,NA,Bivolt,NA,NA,NA
34, Caixa Som Bluetooth Amplificada 500w Portátil Led Falante 15 ,755,NA,"
			
				Novo
			
			
				
					 - 
				
				72
				vendidos
			
		",(111 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6299
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,135,https://perfil.mercadolivre.com.br/LHCOMERCIO,https://produto.mercadolivre.com.br/MLB-1187377119-caixa-som-bluetooth-amplificada-500w-portatil-led-falante-15-_JM,96,23,10,3,3,#1187377119,AMVOX,ACA 501 NEW PRETO BIVOL,NA,500 W,Ativo,NA,NA,NA,NA,Caixa,NA,Subwoofer e Tweeter,"De piso, De mesa",2.1,NA,NA,13.1 kg,NA,NA,NA,NA,NA
35, Caixa Som Amplificada Bluetooth 500w Portátil Led Falante 15 ,755,NA,"
			
				Novo
			
			
				
					 - 
				
				143
				vendidos
			
		",(111 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6299
		
		 sem juros
		
	

	
		",99,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,135,https://perfil.mercadolivre.com.br/BANANA-SHOP,https://produto.mercadolivre.com.br/MLB-906049245-caixa-som-amplificada-bluetooth-500w-portatil-led-falante-15-_JM,96,23,10,3,3,#906049245,AMVOX,ACA 501 NEW PRETO BIVOL,ACA 501 NEW,500 W,Ativo,1,NA,NA,NA,Caixa,ACA 501 NEW,Subwoofer e Tweeter,"De piso, De mesa",2.1,NA,NA,13.1 kg,ACA 501 NEW,Bivolt,Interno,NA,NA
36, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,159,NA,"
			
				Novo
			
			
				
					 - 
				
				12265
				vendidos
			
		",(33 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1254,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,769,257,122,42,64,#757364044,Infokit,VC-M874BT,NA,12 W,Ativo/Passivo,3,80 dB,17 cm,36.5 cm,Torre,Bluetooth,"Subwoofer, Twitter","Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Bluetooth,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,VC-M874QBT,110/220v ou USB 5v,NA,NA,NA
37, Caixa De Som Bluetooth Com Microfone Mp3 Player Radio Fm 546 ,256,269,"
			
				Novo
			
			
				
					 - 
				
				159
				vendidos
			
		",(24 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2137
		
		 sem juros
		
	

	
		",37,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,1263,https://perfil.mercadolivre.com.br/LOJADEKO,https://produto.mercadolivre.com.br/MLB-1183034170-caixa-de-som-bluetooth-com-microfone-mp3-player-radio-fm-546-_JM,952,243,40,7,21,#1183034170,Multilaser,SP217,NA,80 W,Woofer,NA,NA,NA,NA,Caixa,NA,Redondo,"Sala,quarto,suite,cozinha,festa,balada,escritorio,carro,quintal,sacada,terraço,salão,portatil,usb,fm",Digital,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA
38, Mini Caixa De Som Rádio Fm Am Sw Portátil Mp3 Player Usb Sd ,53,NA,"
			
				Novo
			
			
				
					 - 
				
				221
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 516
		
		 sem juros
		
	

	
		",16,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/PLACECOMPRAS,https://produto.mercadolivre.com.br/MLB-1189229037-mini-caixa-de-som-radio-fm-am-sw-portatil-mp3-player-usb-sd-_JM,6,2,0,0,0,#1189229037,Briwax,BX-667 / BX-670,NA,3 W,Tweeter,1,NA,NA,NA,Caixa,NA,NA,NA,NA,USB,NA,830 g,NA,NA,NA,NA,NA
39, Jbl Go2 Nova Go 2 Original Aprova Da Água ,129,NA,"
			
				Novo
			
			
				
					 - 
				
				394
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1075
		
		 sem juros
		
	

	
		",75,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1439,https://perfil.mercadolivre.com.br/ORIGINAL+E_COMMERCE,https://produto.mercadolivre.com.br/MLB-1165600823-jbl-go2-nova-go-2-original-aprova-da-agua-_JM,1319,95,18,4,3,#1165600823,JBL,GO 2,NA,3 W,Subwoofer,1,NA,NA,NA,Caixa,NA,Subwoofer,De piso,2.1,NA,NA,NA,NA,NA,NA,NA,NA
40, Caixa De Som Speaker Google Home Mini 2019 Em Portugues ,232,NA,"
			
				Novo
			
			
				
					 - 
				
				571
				vendidos
			
		",(9689 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2227
		
		 sem juros
		
	

	
		",27,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,22,https://perfil.mercadolivre.com.br/RODOLFOSANTOSMOTTA,https://produto.mercadolivre.com.br/MLB-1204735042-caixa-de-som-speaker-google-home-mini-2019-em-portugues-_JM,21,1,0,0,0,#1204735042,Google,Home Mini,NA,2 W,Passivo,NA,NA,"3.86 ""","3.86 """,Caixa,NA,caixa,multiplos,mono,USB,NA,350 g,NA,NA,NA,NA,NA
41, Mini Caixa Som Portátil Wireless Bluetooth Mp3 Usb Fm P2 Sd ,18,NA,"
			
				Novo
			
			
				
					 - 
				
				154
				vendidos
			
		",(5 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 513
		
		 sem juros
		
	

	
		",13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,2,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1196105335-mini-caixa-som-portatil-wireless-bluetooth-mp3-usb-fm-p2-sd-_JM,NA,NA,NA,NA,NA,#1196105335,Goldenultra,Ws-887,NA,3 W,Mini tweeter,1,NA,NA,NA,Caixa,NA,Mini tweeter,Portátil,2.1, ,NA,NA,NA,NA,NA,NA,NA
42, Caixa De Som Bluetooth Amplificada Portátil Bateria Usb +nfe ,164,NA,"
			
				Novo
			
			
				
					 - 
				
				995
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1572
		
		 sem juros
		
	

	
		",72,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,145,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1139499740-caixa-de-som-bluetooth-amplificada-portatil-bateria-usb-nfe-_JM,107,20,8,7,3,#1139499740,Infokit,VC-M883BT,NA,12 W,Woofer,3,80 dB,NA,NA,Torre,Bluetooth,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",5.1,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA
43, Caixa De Som Bluetooth Jbl Clip 2 Original Varias Cores 12x ,178,NA,"
			
				Novo
			
			
				
					 - 
				
				84
				vendidos
			
		",(36 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,332,https://perfil.mercadolivre.com.br/MW-DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1205092757-caixa-de-som-bluetooth-jbl-clip-2-original-varias-cores-12x-_JM,299,23,5,1,4,#1205092757,JBL,Clip 2,JBLCLIP2BLK,3 W,Ativo,1,80 dB,143 mm,94 mm,NA,NA,NA,NA,NA,Auxiliar,NA,NA,NA,NA,NA,NA,NA
44," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",139,299,"
			
			
				
				969
				vendidos
			
		",(560 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1158
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.8,70,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1068923654-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,62,5,2,0,1,#1068923654,JBL,28910851,NA,3 W,Ativo,1,NA,NA,NA,Caixa,NA,Woofer,"Moto, bicicleta",0,NA,NA,340 g,NA,NA,NA,NA,NA
45, Kit 10 Caixinha De Som Ws 887 Bluetooth Usb Pendrive Atacado ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				138
				vendidos
			
		",(862 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1416
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/ELLECTRO.COM.BR,https://produto.mercadolivre.com.br/MLB-1190163239-kit-10-caixinha-de-som-ws-887-bluetooth-usb-pendrive-atacado-_JM,NA,NA,NA,NA,NA,#1190163239,WS 887,Ws-887,NA,5 W,NA,NA,NA,NA,NA,Caixa,NA,Mini tweeter,NA,2.1,"Auxiliar, USB",NA,NA,NA,NA,NA,NA,NA
46, Caixa De Som Speaker Google Home Mini Wi-fi Vitrine ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				722
				vendidos
			
		",(49 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1458
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,20,https://perfil.mercadolivre.com.br/CLICOU_TELECOM,https://produto.mercadolivre.com.br/MLB-1137932763-caixa-de-som-speaker-google-home-mini-wi-fi-vitrine-_JM,13,5,1,0,1,#1137932763,Google Home Mini,Google Home Mini,NA,3 W,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47, Caixa De Som Bluetooth Amplificada Com Microfone Mp3 Usb ,189,NA,"
			
				Novo
			
			
				
					 - 
				
				813
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1582
		
		 sem juros
		
	

	
		",82,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,181,https://perfil.mercadolivre.com.br/123INBOX,https://produto.mercadolivre.com.br/MLB-1097049569-caixa-de-som-bluetooth-amplificada-com-microfone-mp3-usb-_JM,129,28,15,6,3,#1097049569,Briwax,FBX-103,NA,25 W,Subwoofer Embutido,NA,NA,NA,NA,Torre,NA,Subwoofer,"Festas em Geral, Praia, Sítios, Eventos Diversos",BLUETOOTH,"Entrada para Microfone P2 e P10, USB",NA,NA,NA,NA,NA,NA,NA
48, Caixa Som Bluetooth Portatil Infokit M604 Microfone Grátis ,178,NA,"
			
				Novo
			
			
				
					 - 
				
				181
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1711
		
		 sem juros
		
	

	
		",11,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/DALI+MODAS,https://produto.mercadolivre.com.br/MLB-1168439844-caixa-som-bluetooth-portatil-infokit-m604-microfone-gratis-_JM,3,0,0,0,0,#1168439844,Infokit,VC-M604QBT,NA,12 W,Ativo/Passivo,NA,NA,NA,NA,Caixa,Voxcube,Subwoofer,"Eventos, Praia, Sítio, TV, Sala, PC",2.1,"USB, Auxiliar, Bluetooth, P2, SD",0.3 %,NA,NA,110v / 220v ou 5V USB,NA,NA,NA
49, Caixa Som Amplificado Bluetooth 290w Portátil Led Falante 12 ,476,NA,"
			
				Novo
			
			
				
					 - 
				
				149
				vendidos
			
		",(90 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4554
		
		 sem juros
		
	

	
		",54,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,144,https://perfil.mercadolivre.com.br/MCACESSORIO,https://produto.mercadolivre.com.br/MLB-1178843183-caixa-som-amplificado-bluetooth-290w-portatil-led-falante-12-_JM,111,22,8,1,2,#1178843183,AMVOX,ACA 292 NEW PRETO BIVOL,NA,290 W,Ativo,NA,NA,NA,NA,Caixa,NA,Subwoofer e Tweeter,"De piso, De mesa",2.1,NA,NA,7.6 kg,NA,NA,NA,NA,NA
50, Mini Caixa Caixinha Som Portátil Bluetooth Mp3 Fm Sd Usb Hi ,25,NA,"
			
				Novo
			
			
				
					 - 
				
				5700
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 558
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,206,https://perfil.mercadolivre.com.br/ESPA%C3%87O+VENDASS,https://produto.mercadolivre.com.br/MLB-765932866-mini-caixa-caixinha-som-portatil-bluetooth-mp3-fm-sd-usb-hi-_JM,131,42,18,6,9,#765932866,Mini Speaker,Ws-887,NA,3 W,Ativo/Passivo,1,NA,NA,NA,Caixa,Ws-887,Tweeter,"Mesa, Casa, Na Rua, Praia, Etc...",2.1,Auxiliar,NA,NA,NA,0,NA,NA,NA
51, Caixa Caixinha Som Portátil Bluetooth Mp3 Pen Drive 200w E83 ,31,NA,"
			
				Novo
			
			
				
					 - 
				
				6985
				vendidos
			
		",(10 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 590
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,642,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-755110784-caixa-caixinha-som-portatil-bluetooth-mp3-pen-drive-200w-e83-_JM,418,134,59,12,19,#755110784,Altomex,Não Descrito,NA,5 W,Woofer,1,NA,NA,NA,Caixa,Caixa de Som portátil,Subwoofer,Casa / Parque / Praia / Viagem / etc,NA,USB,NA,300 g,NA,Alimentação USB,NA,NA,NA
52, Caixinha Som Canhão Portatil Usb Mp3 Mic Micro Sd Rádio Fm ,51,NA,"
			
				Novo
			
			
				
					 - 
				
				932
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 591
		
		 sem juros
		
	

	
		",91,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,311,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://produto.mercadolivre.com.br/MLB-1197507217-caixinha-som-canho-portatil-usb-mp3-mic-micro-sd-radio-fm-_JM,265,27,12,5,2,#1197507217,Grasep,D-P8,NA,10 W,Ativo/Passivo,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,0.5 %,700 g,NA,110V/220V (Bivolt),NA,NA,NA
53, Caixa Amplificada Churrasco Festa Som Portátil Amvox ,249,NA,"
			
				Novo
			
			
				
					 - 
				
				350
				vendidos
			
		",(17 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,4,https://perfil.mercadolivre.com.br/NETUNO.WEB,https://produto.mercadolivre.com.br/MLB-1131066259-caixa-som-bluetooth-amplificada-1800w-pmpo-karaok-mp3-fm-sd-_JM,2,1,1,0,0,#1131066259,Briwax,FBX-108,NA,40 W,Subwoofer,2,NA,NA,NA,Torre,NA,Woofer,De piso,2.1,Entrada para Microfone,1 %,NA,NA,Bivolt,Interno,80 kHz,18 kHz
54, Caixa Som Bluetooth Amplificada 1800w Pmpo Karaokê Mp3 Fm Sd ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				882
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1720
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,86,https://perfil.mercadolivre.com.br/NETUNO.WEB,https://produto.mercadolivre.com.br/MLB-998492307-caixa-som-bluetooth-amplificada-65w-rms-mp3-fm-usb-microfone-_JM,58,17,4,2,5,#998492307,Briwax,FBX-105,NA,65 W,Ativo/Passivo,NA,NA,NA,NA,Caixa,Premium+,Woofer,De piso,5.1,"Pendrive, Microfone, MicroSD, P2, Auxiliar, P10",1 %,NA,NA,NA,Interno,NA,NA
55, Caixa Som Bluetooth Fm Auxiliar Compre 1 E Leve 2 ,254,NA,"
			
				Novo
			
			
				
					 - 
				
				394
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2125
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,28,https://perfil.mercadolivre.com.br/DLVIRTUA,https://produto.mercadolivre.com.br/MLB-1125728627-caixa-de-som-portatil-bluetooth-21-mp3-fm-pc-micro-system-_JM,21,5,0,0,2,#1125728627,Briwax,KFX-1771,NA,25 W,Subwoofer,NA,NA,NA,NA,NA,Micro System,Subwoofer,NA,2.1,NA,NA,NA,NA,110V/220V,NA,NA,NA
56, Caixa De Som Portatil Bluetooth 2.1 Mp3 Fm Pc Micro System ,549,NA,"
			
				Novo
			
			
				
					 - 
				
				159
				vendidos
			
		",(122 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 5247
		
		 sem juros
		
	

	
		",47,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,2288,https://perfil.mercadolivre.com.br/MW-DISTRIBUIDORA,https://produto.mercadolivre.com.br/MLB-1204607628-caixa-som-jbl-charge-3-100-original-lacrada-nota-_JM,1717,318,131,50,72,#1204607628,JBL,Charge 3,NA,20 W,Passivo,2,80 dB,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 kHz,65 Hz
57, Caixa De Som Jbl Xtreme 2 Preto 40w Original C/ Nota Fiscal ,479,NA,"
			
				Novo
			
			
				
					 - 
				
				196
				vendidos
			
		",(28 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3992
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,34,https://perfil.mercadolivre.com.br/RPGROUPBRASIL,https://produto.mercadolivre.com.br/MLB-1103713915-caixa-som-amplificada-bluetooth-150w-bateria-recarregavel-_JM,21,5,4,3,1,#1103713915,AMVOX,ACA 768,NA,150 W,Tweeter,NA,NA,NA,NA,Caixa,ACA,NA,NA,5.1,NA,NA,4800 kg,NA,Bivolt,NA,NA,NA
