search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Tipos de parlante,Voltaje,Altura
219, Parlante Jbl Go 2 Nuevo Lanzamiento Original Usa ,2421,2690,165,21,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,761,https://perfil.mercadolibre.com.ar/IGFSTORE,https://articulo.mercadolibre.com.ar/MLA-731082043-parlante-jbl-go-2-nuevo-lanzamiento-original-usa-_JM,633,118,9,0,1,#731082043,JBL,NA,GO 2,3 W,NA,NA,Caja,NA,Auxiliar,186 g,NA,NA,NA
220, Parlante Bluetooth Jbl Clip 2 - Altavoz Portatil Sumergible ,2999,NA,0,3,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,90,https://perfil.mercadolibre.com.ar/PHONECITYELECTRONICS,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=EcIKXg28CSwBNUTZq6tZLKFvQjEF1Fk46mv1g0KJMYyrNWY%2BQ02%2BEtVX%2Bu9HlwbjYRa3ziWPK2%2FZ8eLHyhEik0m%2B6lvMSYLB%2FG2dXvCbQ3x5mGkIXSWtzWuWZ5qdfZpjWbcskI4xOgveR%2BS2Ox1koOeqyicPmIybTD6IUMDASQSLki%2BYof1hYSrIlUyfubnmbuSHGh3LNezzdevKlgsCj%2F%2Fsxi%2BgK%2F7ZyOWjo4jOB7AlxMymneNP7xu5nm0Ml6jCvtKnTggeWW%2BEchLq%2B1srwYIed5FyCoENMRjF3vdutqhEpFunAiFAZOMpuwz8LYARTX25EwloxbqMLkITESkIpDggkA2im5QpPamVSUF7n0sVGF%2FTg73tXZAB7lz3%2F3iRALva64FYv7bbRmL%2Flt17Nh0MHy4MqGBXa0zBhyuVOpI1H2SSUewpMKqVmGtPAOHrzSUdx%2BWHJtMzycGOlUAcaE4zsbqMT0X06KbeKrPQ7th2g52dxHugI9zBOY3cWxDgK9z1l2kuVmN%2FFMZOVoWE%2BAB4Qnu0KlrTc7VEYcCEcSdJYNtFX3pVapYlx3aKUGRTjUfTgDkFpGLZnoho8QxpAgedmWcLtMXufEO0obmIhlDy2W%2FewmLa383jtajYb%2F99ZsgENe5E3J8isQGX%2FnNrOZsL1e6rRk36VqkBhY%2B6%2FnI2PuAx2pv3HjF61hXZe6Lg4vknTGGqFnUgFt%2FkPkuzuu%2B1SDtWLB33gLPVGUBhfe98gCqWPZ5uFBMnsexvHIWEpRTjpgBhiOco9yiaQ1FT%2BOF0QiVrIHOwOaM3rv9nAQR8Z54ZefbVed1MI1piX5%2BiX9hkaZMmbHT%2F32RgeLKCw0TFuLUM1WJ9vx1SHtUwzVhufhvkxwgNFegUlAj4z9HYfs%2FGSuIZsAlb6FaSC5ADI8kye8zbFtyTzb%2FlzzUvicFKS8md6rWP4zv8OagHjne%2Bg1f7OiGjFIS9CeyTFGJXDX8DK6%2BMgKxPShGUmoKBhldboDsBh4b%2FQ3%2B37v722PGQbEffEkkRtoEm%2BrMlA%2FslblE%2F9AOR%2BpwUIP4sc0taaLSLZAetGT8CJVkqSccLl2lM2YXvwpw%2FmKjNafSHSFQtmTpgVulLfx9abZhEdjbwLbDRPfJqGIVFRDiX2zBNq4oLV0cjMEjkQ0C%2FPrICL0egXYshkFFhD3g8BohLXkh42O%2FViSMkBjvYGq%2Fl39UNMKiH5V3yujWZnnoQzmVAftHFOYfhbOpHQOjOu0KlCIOY7Yzhi%2BzguZgndND7FKWNSSbU0cA4P%2FWN0eaHnq821X1dMmDAegpqW89Qhixgl9O46rAZTfJCfKx6TD2apiFsZfSu2M6dg3RJvgutt1Xu2F5CoQ%2Fm4UlWe%2Fxay07uonbOH57%2B26MRsXMHoo9CL7kIOL2vKhwTGU10DOhE7n7on79IIfGFFuC10xq70s%2FtMDWsCaQaAEkxrKxOS0tjWm5bFSVs%2Bw2ebs0A3LRlbMTMz5SRwxjgJ0VndJUyZcKKjv2DNf6X27Q5ecQ7dUgEwcZvkdnXnrHiIdf%2BmkhikQU71QJpXn%2FWAGTUnufef6pYWfjbiKWlk4QzP3gluCIPGdfEQ2Yqzd9YoKpOKiXasljbQLwG8Xknyjj96vrWGGFxgnpc4lZQr1UU%2BuUbYAFdfv4R0TpCFPvRYXnlt7H3NOcKajqnCKTj,71,15,4,0,0,#781772360,JBL,NA,Clip 2,3 W,PORTATIL BLUETOTH,universal,REDONDO,NA,NA,184 g,NA,NA,NA
221, Parlante Portatil Bluetoooth Frei Varios Colores 8 Horas Uso ,2698,NA,31,438,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,308,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-776903433-parlante-portatil-bluetoooth-frei-varios-colores-8-horas-uso-_JM,190,83,25,6,4,#776903433,Thonet & Vander,NA,Frei,16 W,Parlante,Living,Caja,1.0,"USB, bluetooth, 3.5"" stereo",NA,NA,NA,NA
222, Parlante Sony Extra Bass Linea 2018 Srs-xb31 Refurbished A ,9990,NA,35,6,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.com.ar/AURICULARESCOM,https://articulo.mercadolibre.com.ar/MLA-744658385-parlante-sony-extra-bass-linea-2018-srs-xb31-refurbished-a-_JM,5,1,0,0,0,#744658385,Sony,EXTRA BASS,SRS-XB31,30 W,Activo,NA,NA,NA,NA,NA,NA,NA,NA
223, Parlantes Jbl Flip 4 Bluetooth ,5200,NA,85,2,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,1875,https://perfil.mercadolibre.com.ar/MISIONESCOMPRAS2008,https://articulo.mercadolibre.com.ar/MLA-701648547-parlantes-jbl-flip-4-bluetooth-_JM,1597,238,29,6,5,#701648547,JBL,Flip Series,Flip 4,16 W,Pasivo,NA,NA,NA,NA,NA,NA,NA,NA
224, Parlante Bluetooth Panacom Sp 3418 Bt Luces Mic Inalambrico ,5690,NA,39,9959,6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.8,4,https://perfil.mercadolibre.com.ar/XHARDSRLXHARD,https://articulo.mercadolibre.com.ar/MLA-716801512-parlante-bluetooth-panacom-sp-3418-bt-luces-mic-inalambrico-_JM,1,2,0,1,0,#716801512,Panacom,NA,SP 3418,3500 W,Activo,De piso,Caja,NA,USB,NA,Subwoofer,NA,NA
225, Parlante 10 Portatil Bateria 5000w 300rms Bluetooth Usb Mic ,9999,NA,68,479,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,6,https://perfil.mercadolibre.com.ar/BLUEWAYBLUE,https://articulo.mercadolibre.com.ar/MLA-612109448-parlante-10-portatil-bateria-5000w-300rms-bluetooth-usb-mic-_JM,2,3,1,0,0,#612109448,Winco,Bateria Portatil,23010,250 W,Woofer,Centro,Caja,FM Usb,NA,NA,Woofer,220V,NA
226, Parlante Bluetooth River Plate Wsb-rp008 (producto Oficial). ,1599,NA,4,2996,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/WSB+TECH,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=05eCtNbMOY2lMFwYBN6lc09O4a8RFUouTk%2Fqtt8NzsBCv8Fi8zzsDtzojiG459E74EU62A9d7mKmJF32mWgolNCK523MJJhR5P0UHs2Dt1%2Bi2ehl2edF8zHGRzQBZyJB4RLv4hFxq8p%2BIqrIZNF%2FwmlLek3aKkucjuyY%2B190RftVhbpAlPrZvQuMHIp%2BqQlSAx%2Bv2H%2FDXy%2FJMCGR%2FRi29vUsyZYmMCYfy09ZT2%2Bf43s2dOweNa8mFcsYO%2Bi5dQ%2B%2FlFZO%2BGbVnCM2NrpOmHYiinb1hCi4OzEVjtPYiO3IYtjO5sXUKXI90rdbbXLOANH0I%2BOrAbgyL2gNQi1yJ4CJb1r%2FNGIr%2B6kMKAcTbbyk%2FRBifoUvdGc7Ulpe0nwtmDgHrptTpWoLzcW8fMeEvkojd30KbhkH5u6NDp%2BFKsAIjeXtRNi8J0VgmKRjom%2Be9Omr63qwWIYflyfV%2FY%2Bh4NDxc2YInwHTMmeozfCuKsAb%2Fof11DVXUcOHQoJ1aR26Cdr%2FlkdCEPqQRXqHNTDOUVGkZJKx8Xg5rGNJDNI6jnIkwTxSJCWyyyb2YBAPj4vOj5PaTxH%2BmD191Eyhlrt%2BZwirq4eJ%2FRAHZ9Xpj4MENo9hCTgt0eztrmiVtHVy53fl6PyYumztsx6S8S0vsbacikmAmqwNCX0uOmJ27ifwhxFLc4ttBzraJuemTAKDbIo4DDssALfXkmIJZExx8oh%2BAsH13Uj0LnI%2BAtzAMT4V3mK9HtWZ14Bg%2BaEqkCwjyAiXjjhVH%2Fct12QFoGrPHY0vIBDbyhPr8V5gMx%2FsKVDv6lfjre47sx3pRl5R2jfDqSqIZC8%2Feiadl77oX%2BzRbHV%2BQTIK%2BVPceO%2BsLlpWiWJOJHqSP8AFpeh0Gt%2BzNywzieJPXKCDqfmBt7ipl3bTqYHS0cQciRpLleclVIrV2ubmuSDSd0ytO9xy3XuacdGiOPIzgM9PSYOGw12rx%2Bnc6CcVDAmjHpPBDeoPtIxlfY6h1Asu93yBaDtPIr8NLnGEAzN05wdDrRwVO8kZ25JKHKbkVd9vIc1y6cl2sDsOdZrZKoRml%2FZ7eIkGUCBxinI7EuAOF1gbAGIazQ83bPj3jdX9zlNLqOQklk0APt4gXl2auT3YaDKkgBOSHEKl%2FtTSPvisVTuTHubdiyxTaWgz8oTTn%2Bfjffv3%2FGGMFfgTHwUk3AyLIYP4jUgbuFwKhBCziyCDwNrJcH10jDRAqSlctTfM0Yq00cEyWDCtkMvSIuoHvcUeWQM14kg6XszdtYRLzQkbGRNdz9wf8KBlNeyhX9e0qKJJt26xK8qKPrgKoXo4%2BAn2ydRP%2B0HJN8Xn2VPc3WTSe6%2BuUoINaGqD0J3w4cwqwaIJYot6n7nEP2pMdLpHoBz79JQo4YCw6VLE8J2lY6kDxLLwgSC4fYH07zKAqHHMHvp2mnIPg55R63DzDsav%2BZ55IloViczsb4rLkLEnm%2B4Ixj0EOWOX4fa%2B9CO1%2BbhdH%2BI2HL%2BznZD2IjZZDFOvP5vFwe2dqm%2BT7lXrkmZ3dlsEs%2FH1HFu1Sh4ZmiFiY2E93I4SeRI8IaQpM7xMhmzfXTZivrBth1KuNtZ0y2Qr1xaJebOONKRUFLoCEpjGbGbJGZzdHiZAhjHthVM2Ps3JnFkT4zbVIK77YiF3EMdYMHN%2FzJgBpbxkuCFKnKA5qpIL8SnaS9p5MQ%3D%3D,NA,NA,NA,NA,NA,#761617622,WSB Tech,NA,WSB-RP008,3 W,NA,NA,NA,NA,NA,NA,NA,DC 3.7V,NA
227, Parlante Logitech Ue Boom 2 Sonido 360° Hace1click 1 ,5999,NA,58,4,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/HACE1CLICK,https://articulo.mercadolibre.com.ar/MLA-752484896-parlante-logitech-ue-boom-2-sonido-360-hace1click-1-_JM,3,0,0,0,0,#752484896,Logitech,UE,Ue Boom2,15 W,portatil,todo uso,bluetooth,no,NA,NA,portatil,"5,1 V",NA
228, Parlante Panacom Sp-3050 2500w Bluetooth Microfono Luz Radio ,2499,NA,164,11,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,19,https://perfil.mercadolibre.com.ar/0LIMPYA,https://articulo.mercadolibre.com.ar/MLA-705302728-parlante-panacom-sp-3050-2500w-bluetooth-microfono-luz-radio-_JM,11,8,0,0,0,#705302728,Panacom,NA,SP-3050CM,25 W,Portátil,No,No,2.1,Entrada para Micrófono,NA,PORTATIL,NA,36 cm
