search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Peso,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante
260, Parlante Klip Xtreme Bluetooth Batería 6w Kws-210bk ,79,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-435503334-parlante-klip-xtreme-bluetooth-bateria-6w-kws-210bk-_JM,NA,NA,NA,NA,NA,#435503334,NA,NA,NA,NA,NA
261, Parlante Bose Soundtouch 20 Serie Iii Bluetooth Wifi Nuevo ,1459,1721,"
			
				Nuevo
			
			
		",(100 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TECHNOW+1,https://articulo.mercadolibre.com.pe/MPE-436450672-parlante-bose-soundtouch-20-serie-iii-bluetooth-wifi-nuevo-_JM,NA,NA,NA,NA,NA,#436450672,Bose,NA,20 Series III,NA,Activo
262, Parlantes Bluetooth Calavera Bass Reflex Envío Internacional ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(53 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PKIMPORTS+TIENDAVIRTUAL,https://articulo.mercadolibre.com.pe/MPE-427047900-parlantes-bluetooth-calavera-bass-reflex-envio-internacional-_JM,NA,NA,NA,NA,NA,#427047900,NA,NA,NA,NA,NA
263, Parlante Altavoz Portatil Con Microfono Vincha Bluet Usb Fm ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(99 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/AHORAONUNCA1978,https://articulo.mercadolibre.com.pe/MPE-436520007-parlante-altavoz-portatil-con-microfono-vincha-bluet-usb-fm-_JM,NA,NA,NA,NA,NA,#436520007,NA,NA,NA,NA,NA
264, Parlante Amplificador Activo Recargable Bluetooth Karaoke ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(20 disponibles),NA,NA,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/CIROXELECTRONIC,https://articulo.mercadolibre.com.pe/MPE-428843458-parlante-amplificador-activo-recargable-bluetooth-karaoke-_JM,NA,NA,NA,NA,NA,#428843458,Cafini,16 kg,cn-s2471fm/bt,NA,NA
265, Parlante Bluetooth ,1,NA,"
			
				Nuevo
			
			
		","
		
			¡Único disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/LMBL7,https://articulo.mercadolibre.com.pe/MPE-433570286-parlante-bluetooth-_JM,NA,NA,NA,NA,NA,#433570286,NA,NA,NA,NA,NA
266, Parlante Bluetooth 2000w Bateria Inalambrico Kls-875 Microfo ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-432246207-parlante-bluetooth-2000w-bateria-inalambrico-kls-875-microfo-_JM,NA,NA,NA,NA,NA,#432246207,NA,17.56 kg,NA,200 W,NA
267, Receptor Bluetooth Para Parlantes/auto/etc ,17,NA,"
			
				Nuevo
			
			
				
					 - 
				
				9
				vendidos
			
		",(31 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,3,http://perfil.mercadolibre.com.pe/TECNOLIFEPE,https://articulo.mercadolibre.com.pe/MPE-424296832-receptor-bluetooth-para-parlantesautoetc-_JM,3,0,0,0,0,#424296832,NA,NA,NA,NA,NA
268, Parlante Amplificador De Sonido Con Bluetooth Karaoke ,449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				47
				vendidos
			
		",(38 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.pe/CIROXELECTRONIC,https://articulo.mercadolibre.com.pe/MPE-426114113-parlante-amplificador-de-sonido-con-bluetooth-karaoke-_JM,3,1,0,0,0,#426114113,NA,18 kg,NA,NA,NA
269, Parlante Xertmt Inalambrico Bluetooth Jbf Resistente Al Agua ,89,NA,"
			
				Nuevo
			
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ALAI+FASHION,https://articulo.mercadolibre.com.pe/MPE-436873286-parlante-xertmt-inalambrico-bluetooth-jbf-resistente-al-agua-_JM,NA,NA,NA,NA,NA,#436873286,NA,NA,NA,NA,NA
