search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Tipo,Tipo de casco,Tipo de visor,Edad,Género,Modelo,Materiales del exterior,Línea
1018, Casco Moto Cross Evs T5 Ecto ,195,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 39791
		
		 sin interés
		
	

	
		",91,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/AMERICANDREAM+URUGUAY,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=C%2FJA0oPvbx%2F13A0e4ZsoDO8d%2B%2B6qpVywrBKsjSLwS7UVmwPwC%2BQ3Saax1ptMedty5ze4p5yy9qpGs9YalTz%2FwcYInOV0Sfq6PMBpqIqHvUMWTE3ErMEUtYKIPfVIKbW17wIdxJPOLBxmJmr3HnbOB9Zl4Y2fOhAWYjPVMPsTCSRIFv4xRWyI2OMusLqRUtfriGw3JqAdobivyfqAzL0nv3gWKs4CvOdrCNVqFqUIaM7U2vRC2vugYtUeWRJLvy7IFA%2BCoN4ymos3T08bfK11z06xrkKbg3yhpl9lyPqQQQkhpUx1U5EAR%2FUFv89WoD%2FJViUtfoFQA8DyWROtisR86lSSJiSk2Ur%2FMJQNR50omp1GOSPz%2Bv52R8SM8OpfoUIiyWAZgMivmgoCX9AXfp2yHOqFWl03xVENONSGltETJDKSi297gr3sE5wOQyT1uQgC%2BsTkTb2Ilxy7WreRnhzbcjBHlR2umZUltniUlk6wu4IxaQoD%2B0MVBJHKRLbuwZTCdSJurSma0rVH2bTWx6Vink0nZSlK1dLekYHSxuB17tioHKfmDVlz6opa2JbMvRfb7NMVPUmJeO8ITFiiMZFY40oDcQ3zP2j%2FUnpTWI%2FjZEL3QkrL85DW0i5BTBkKIgbHjaKjcVLeh7kHpcXcSZemu2h2ToQBsEawGUSpsLzu0X4sDU%2Fr0p9hxx8GhbFQsZDXpmNvAujfo04RHP1UPkAvMTyWQFfj2h2WRhKTk1ppGA6eXpEIKX87Jr0BKZluho614f4ESt%2F5SNtD1eKVbOEWW0PATLIlXARIaS5Clq9NrDdr6vgZYYjwVMwASTj%2BC4WGTr%2Bg0dbs2lddIxqTKOCZSa2YFOdSHZKoBpVn%2Bw437N0XyQZf51XTUWtqOPoxYHiifuvnP1tEPZXyhKCQkRKDZkU7T3TDqf%2F%2B386MlKr7bzfDppXp64BZRpg%2FUWDGlRjVR%2FTteY8nUn%2BpihNh8%2FzaI6O8PhWLZdWBYiC09XkX%2BbDCbi6kPvHOxxKtsR5jv9kZxlm6VsGM3X%2F1UOZ3SszzrRvQgKXObM0DqkIwW%2F1MXARdTTYX29%2BLtQ3ONKH%2F9sg60q70srYt0CbSA57TKAg1KGP8qS6TgcHEwYyI3RtUXRfz%2BoG3wuN07VafmxK5FCf6ud3vAiEMEEQFN7mSY00dDJHrPupWEi%2BYrNpRR%2BY2CTYZ5qeXvhRwrrGm46WePVZYSTN54cEWU4Cnt349%2BMOjwr0RyiPuBc727xmK8id%2FWgYOSvA8Z57cTQtLJ49IY5XLdEnQNOOSOJxxriCReJjFfZN97tAQ%2ByfBdyiZZTbx3iYohrbxPgD1VQW0e5XWNIxD9JUKUGHAcG5vwa3lA4i0LBPgdV0kHgx1N0%2B%2FUOs96NH2V%2F4W9Qdp%2FSQilRqnCZgknfxr8DD33VmJ%2BIkhjRHjHssnTUvIIitkq3Ul0dDBG7%2FydlVIpLgI2ndyOjIsuwxHD%2FOW1EaCzjT9bpl1lzwaQvMNclm6TeJ%2B5XaG5eUVscGxc%2BekGgLAp3pC763Jh7AzvSokpvk9wJ0CXmDU77AZN15cGUt5hapFqCry4MjcInhpYj8xGdCAiVm63B8YtzPjI08T3I9yoXUjOUVFsBJ84mdb%2Fog4lZIwYrrZJt9B0%2BHmLOvnNCyUb08ghMP4PxgwUm3nTCVn5buO0o7%2F9pqp2%2BwdGSwuwJKkBVe%2B9tqrwYE%2Blvp0fd8QW8JQBHjQq4CtiYlHztqfTL%2FFvIx5i7QCHvtlNvQBuFls3BxDB5iflm0v4wmoF1%2FTF2yPj7qkJ1x0qeddcTZWOYOZdEnotrrIxXxvp6MpBlrEjIqMVKls%2Bt9nSBAZ3JPe0FeAXlpE1aXFiG81WGoUbPW1%2Fw%3D%3D,NA,NA,NA,NA,NA,#450229468,Amarillo,"XS,M,L",EVS,NA,Cross,Simple,Adultos,Unisex,T5 ECTO,Policarbonato ligero,NA
1019, Casco Para Niños 2019 Aprobado Wild Garden ,109,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 22242
		
		 sin interés
		
	

	
		",42,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-460295522-casco-para-ninos-2019-aprobado-wild-garden-_JM,NA,NA,NA,NA,NA,#460295522,NA,NA,MT Helmets,NA,Integral,NA,NA,NA,Wild Garden,NA,Thunder 3
1020, Casco Agv Balloon K-3 Sv ,350,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 71419
		
		 sin interés
		
	

	
		",19,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/URURACER,https://articulo.mercadolibre.com.uy/MLU-452495864-casco-agv-balloon-k-3-sv-_JM,NA,NA,NA,NA,NA,#452495864,NA,NA,AGV,NA,Integral,NA,NA,NA,K-3 SV,NA,K-3 SV
1021, Casco Cross Negro Y Rojo Power Máx Homologado-- ,1820,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 10111
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VAIMACAMOTOS,https://articulo.mercadolibre.com.uy/MLU-463860910-casco-cross-negro-y-rojo-power-max-homologado--_JM,NA,NA,NA,NA,NA,#463860910,NA,NA,Max,Cross,NA,NA,NA,NA,NA,NA,NA
1022, Casco Moto Hjc Cs-15 Faren Mc1 Pintura Mate ,109,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 22242
		
		 sin interés
		
	

	
		",42,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=eNywGZWxSVDRELndHJedLY9HkBFXuENe%2FGg5Mdlm%2BXuUFsqyA0Mo5tstNMfORIDOEpUr1mnbhXVRU2yq3rXyvCjHpwf5XKy7H3MhhhDSQBDS3lCKZt5%2BYtIUfED1G7zuYo0lJslgEQ17gUIU%2BS8oqcv6cm2dvF%2BnThU5DH2Gpqcc%2BKvXpvxPilWsdOKfuXhNuJwkqc%2F48Om9LvpNuVeci7yADTgzQJSxi3kFKgwf8E%2FlMXi3NjhRgCbXip8avyXnmISRzadgVrbhgF45WOnrBUa83VyGIA9qfCtsg42DyPBKo9BVHJAs64MBjnBbpF9MnOnjm%2BMIW8BEUWtN85deDJcBDTPynOHmJTyIUQHEG%2FpAVxJsdoMC8YQ0AyQOmZqVNFqH2PPL34wREL2Kgp3gHRdPMn7vCmsE6q7sbJzijcJL9SfWjBHaNFtO%2BjUFPKVd51HN9gevfgUS2b%2FEMp25l%2F4YPJ0i6rpvNzFXzpfmwBxKWOMDG7HywPT0TJPyzlYcQtbbxjj24h3UYRh9Sg8l%2FmQdifaCqS%2Bb5uj9ONnbh8ZKiOnhDVPpn4bF7MfDh5OmlFhZSwPknoI8fNgrfWfQtJuBtE1uLcyJIYfmSplVmO%2Bjosf4RTh3wZS7iV4rhB4oEX9rD1GxFgZR5ubcj3jxtswo1Cqt2Zx7BZLNECfo8039WAzCDrND9B8H7QfDOvaKZ517VN8Ex%2B2AJtOLJUVPQyNEOTPyJxG18chATuWllL0Yy35efQXYxr2lTB0qC3HtJS7hRtKJsFGrpE%2B9cKoG1tb5bw211ADVXr5nLteZrBlKcXdd%2BkKOW4eO2JWZfX9zwUtBtEX1EYqAe6gqEkMGzlgUceGYxYn9qLObJvCGTtJLjyyxjbncBKZPvl7fhfQaYZxdO0z4XbJZL%2BTx2Zlpx5oyJK4MejaFWxrCO7Nr23Neh9ORdLpKCYaXO6bpHnOywExS7p7i4jo22gvCHLwCZVUxISyU5P5ZZm6linC1T1nwpV2QmyvWqFX1LJc9PNDUGxgaXZnxqfh5bVp6iv0RRxPMQR5MTE255WCwvq2sgX3H7CXlNhBJOw%2B597YMWD1jv%2FPoT%2FmzYYpjM5P0Yq%2F1BsvIx5nV7sRkjB%2BnIPGfN0xEVtkXrBmmJ0FX3KMnVZKbnGhjCTGSacW0MtSaGcU9wD1qRBHk3ZhiV7rTmYXy3bkbZY75UkqUIP98VQOCam0VKTFwwncS77t26Te65cqa97hjL6wanQvoJNROYDuPKvg9LfRS2yA3M%2F4Nu1XwL%2Fn8XqPzsjNALPeji4KNl5dk%2FIurnyo5R2omORHEvQdCx5%2Fo6bVBy%2Fe1hnZ6C%2FI6VjZcnRZ98vCDCwU7dRZcuPdDmbcB5sF0IgWmTLmgwVZv99l9%2FIMpzKlWWxMVw%2FU291rzEWLraVADSHPJTI%2FenKHFcLgpNIh7zxoHashphVhoIVIzo0vxM5JU7ESh3RK6WkpF3BU8pNz54NoaM75VRocAnfZwdOw%2FCU1%2FKazEb6VRhghiiBnoT%2BkZffpJII4uqvLdQOcZCvSi7MhtOwEmnAcI%2FmUfLfr00Ew8LtoR2tx1lHDIYUIgnUKDogsiKzuGLRoSseEVL0xTR37XajH1ZjDgcY%2Bi%2FxBReHLxLclju3oGAXyB9GfV%2FBQcV05177ZbxfdnFgnj0kS4jYK32RM4SwZBDf%2BubNwiZ%2B4jHre2yteQp%2Fpg5N54PUGGgBu7pvNIZ1AmXXoMOl%2F%2BEBiuhe%2B8%2BF6ppKhBfEHGpZqmlT%2BjaWrAXMIzbxEU8AteejZVGCeUODk1LLxpDZNnIMULyApdbEpsjSVyHedvTIlIlpd80fDOQN6os%2FuZwuzp9BcE7C%2BwnGv20EMVHWlSJTk9MHYkV2xD3KazOFwxBYLsdg%3D%3D,NA,NA,NA,NA,NA,#460324612,Rojo,NA,HJC,NA,Integral,Simple,Adultos,Unisex,FAREN,Policarbonato,CS-15
1023, Casco Cross Airoh Twist Avanger Grey Matt Nolan/hjc/ls2 ,273,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 55707
		
		 sin interés
		
	

	
		",07,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/POCHOMOTOSPB,https://articulo.mercadolibre.com.uy/MLU-453174666-casco-cross-airoh-twist-avanger-grey-matt-nolanhjcls2-_JM,NA,NA,NA,NA,NA,#453174666,NA,NA,NA,Integral,NA,NA,NA,NA,NA,NA,NA
1024, Cascos Hjc ,3490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 19389
		
		 sin interés
		
	

	
		",89,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MAAR_126,https://articulo.mercadolibre.com.uy/MLU-452729719-cascos-hjc-_JM,NA,NA,NA,NA,NA,#452729719,NA,NA,HJC,NA,NA,NA,NA,NA,NA,NA,NA
1025, Casco Ls2 Ff323 Arrow Carbono Sting Rojo Amarillo Flúo ,489,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 99783
		
		 sin interés
		
	

	
		",83,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/ALLROADURUGUAY,https://articulo.mercadolibre.com.uy/MLU-459639348-casco-ls2-ff323-arrow-carbono-sting-rojo-amarillo-fluo-_JM,NA,NA,NA,NA,NA,#459639348,NA,NA,LS2,NA,Integral,NA,NA,NA,NA,NA,NA
1026, Casco Hjc Rpha 70 Gadivo Mc5 Fibras Compuestas Con Lentes ,629,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.28351
		
		 sin interés
		
	

	
		",51,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/MOTO_TORRE,https://articulo.mercadolibre.com.uy/MLU-460326762-casco-hjc-rpha-70-gadivo-mc5-fibras-compuestas-con-lentes-_JM,NA,NA,NA,NA,NA,#460326762,NA,NA,HJC,Integral,NA,NA,NA,NA,NA,NA,RPHA 70
1027, Casco Cross Fox V4 2017 Negro C/blanco Talle M Unico 20% Off ,488,NA,"
			
				Nuevo
			
			
		",NA,"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 99579
		
		 sin interés
		
	

	
		",79,NA,Envío gratis a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/RSMOTOS,https://articulo.mercadolibre.com.uy/MLU-450447171-casco-cross-fox-v4-2017-negro-cblanco-talle-m-unico-20-off-_JM,NA,NA,NA,NA,NA,#450447171,NA,NA,NA,Cross,NA,NA,NA,NA,NA,NA,NA
