search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Línea,Modelo,Tipo de casco,Género,Peso,Tipo
892, Casco Nuevo Motocicleta Ghb Talla Xl ,72.99,NA,NA,29,6,12.165,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/YAMAHA+OFICIAL?brandId=146,https://articulo.mercadolibre.cl/MLC-478981822-casco-moto-shiro-sh-881-phoenix-blanco-_JM?searchVariation=33448856582,NA,NA,NA,NA,NA,#478981822,Blanco,"S,M,L,XL",Shiro,NA,SH-881,Integral,NA,1.39 g,NA
893, Casco Moto Airoh Valor Eclipse Amarillo (talla L) ,49.99,NA,0,NA,6,8.332,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,https://perfil.mercadolibre.cl/KILPUE2014,https://articulo.mercadolibre.cl/MLC-442240901-casco-nuevo-motocicleta-ghb-talla-xl-_JM,NA,NA,NA,NA,NA,#442240901,NA,NA,NA,NA,NA,NA,NA,NA,Integral
894, Motocicleta Bicicleta Adulto Bicicleta Motocross Casco. ,118.9,NA,0,2,6,19.817,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FULLPACIFICO.CL,https://articulo.mercadolibre.cl/MLC-461197584-casco-moto-airoh-valor-eclipse-amarillo-talla-l-_JM,NA,NA,NA,NA,NA,#461197584,NA,NA,Airoh,Valor,NA,Integral,NA,NA,NA
895, Motocicleta Completo Cara Casco Visera Para Hjc Hj -09 Cl -1 ,42.013,NA,0,300,12,3.501,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MI3CDIGITALSTORECL,https://articulo.mercadolibre.cl/MLC-473480895-motocicleta-bicicleta-adulto-bicicleta-motocross-casco-_JM,NA,NA,NA,NA,NA,#473480895,NA,NA,NA,NA,NA,NA,NA,NA,Cross
896, Casco Tipo Alem?n Para Motocicleta ,7.385,NA,0,43,12,615,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CARMOTORSPORTSCL,https://articulo.mercadolibre.cl/MLC-473708259-motocicleta-completo-cara-casco-visera-para-hjc-hj-09-cl-1-_JM,NA,NA,NA,NA,NA,#473708259,NA,NA,NA,NA,NA,NA,NA,NA,Integral
897, Cascos De Moto Safe Doble Visor Motorcycle Moto Helmet Black ,5.607,NA,0,63,12,467,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRATECHCL,https://articulo.mercadolibre.cl/MLC-479954670-casco-tipo-alemn-para-motocicleta-_JM,NA,NA,NA,NA,NA,#479954670,NA,NA,NA,NA,Matte Black Color,Abierto,NA,415 g,NA
898, Casco Motos Ajustable Visor Anti-raya 72856 / Fernapet ,18.252,NA,0,6,12,1.521,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMPRATECHCL,https://articulo.mercadolibre.cl/MLC-484214350-cascos-de-moto-safe-doble-visor-motorcycle-moto-helmet-black-_JM,NA,NA,NA,NA,NA,#484214350,NA,NA,Jiekai,NA,NA,Rebatible,NA,NA,NA
899, Casco De Motocicleta Hjc Helmets Rph11 Deadpool 2 Mens Stree ,27.99,NA,0,40,6,4.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/FERNAPET,https://articulo.mercadolibre.cl/MLC-444669792-casco-motos-ajustable-visor-anti-raya-72856-fernapet-_JM,NA,NA,NA,NA,NA,#444669792,NA,NA,NA,NA,NA,NA,NA,1.5 kg,NA
900, Casco De Motocicleta Vespa (red) 946 Vj1 Helmet - S ,758.736,NA,0,99,6,126.456,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478241620-casco-de-motocicleta-hjc-helmets-rph11-deadpool-2-mens-stree-_JM,NA,NA,NA,NA,NA,#478241620,NA,NA,HJC,NA,Deadpool,NA,NA,NA,NA
901, Casco De Motocicleta Vespa (red) 946 Vj1 Helmet - S ,421.502,NA,0,99,6,70.250,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIMOSPA,https://articulo.mercadolibre.cl/MLC-478244065-casco-de-motocicleta-vespa-red-946-vj1-helmet-s-_JM,NA,NA,NA,NA,NA,#478244065,NA,NA,Vespa,NA,NA,NA,NA,NA,NA
