search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Linha,Modelo,Tipo de capacete,Tipo de visor,Materiais do exterior,Idade,Gênero,Materiais do interior,Peso,Posição da ventilação,Tipo de fechamento,Certificado de segurança,Usos recomendados
11, Capacete Pro Tork Fechado Automatico Sport Moto 788 ,60,NA,"
			
				Novo
			
			
				
					 - 
				
				586
				vendidos
			
		",(90 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 573
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.1,42,https://perfil.mercadolivre.com.br/BEE-STORE,https://produto.mercadolivre.com.br/MLB-852374852-capacete-protork-coquinho-moto-custom-couro-boulevard-harley-_JM?searchVariation=22590316605,22,10,6,2,2,#852374852,Preto,Grande/58cm,Pro Tork,Custom,Coquinho,Aberto,NA,Revestimento em Napa,Adultos,Unissex,NA,NA,NA,NA,NA,NA
12, Capacete Moto Feminino Fechado Ebf Varias Cores E Tamanho ,164,189,"
			
			
				
				4528
				vendidos
			
		",(494 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1374
		
		 sem juros
		
	

	
		",74,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,1782,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1172406260-capacete-moto-robocop-escamoteavel-pro-tork-v-pro-jet-3-_JM?searchVariation=32456491659,1282,348,96,25,30,#1172406260,"Azul,Amarelo,Azul,Azul-claro,Gris,Laranja,Rosa,Verde,Vermelho","58,60,62",Pro Tork,Capacete,V-Pro Jet 3,Integral,Simple,"ABS, Policarbonato",Adultos,Unissex,Nylon Pluma,NA,NA,NA,NA,NA
13, Capacete Sport Moto 788 Automatico Pro Tork San Marino ,99,NA,"
			
			
				
				187
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,4,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798336971-capacete-moto-ebf-aberto-unissex-varias-corestamanho-_JM?searchVariation=27796449325,4,0,0,0,0,#798336971,Preto-brilho - Rosa,"56,58,60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14, Capacete Moto Axxis By Mt Snake Preto Cinza Fosco Serpente ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				99
				vendidos
			
		",(13 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,25,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=30qTKi6I2s4MD9JGrzsRD%2FlIN6HsB71uv%2BSGVm6h5F9tIf0m1q4qd7Izblpx8vrbD9FBZM%2Fnf9l9TJG%2FCarF9PGTY7CRzLrktH3V8YjGVVWU8tXAEpRz7Zuhvm%2Fp7ZXASULX06WFtgeupMPHCV86FI2bDV6%2BSPVeISqv270uFIzoPrFH3duiRb9AKLoarsg%2FMUzrppTGzRZyNExL3m%2Bx7nArDOA9%2BMRNyNZojK%2FaYjLkweyMAPCZaF1LzH6KJgTEH8Wt6YGKlh%2FAB0pf%2FzqjWzhErh74N5E%2FBWtN%2FAFd2onHJjuhKASeSdrRqdtjsKchuldIIz62pmZa09kFVF1r4wwXEIsi5cdxH4TJDVisF62W4mLcDKE1HyU5uR30w0dqgN9ajW%2FsRRZawRlgTeQ13%2BNs6Jqltssnw8RZqY%2FrnQNHM13MaCJ5HJEj%2F%2F7LA8cFX5q33x6xQ%2Bpqyf30Hoa983c7ncGoY5739vFdMuwhgaKW5ZwhUltnLpF7RkKzcTU0iKkiYdyTwO8mGc0TT7aZicQwv%2FIuiTEAvmIooBPQauxoEpTW08vuZ1TqpfhKTmzUy7UugULbBl6ibT5qIyGY4T248PdeQrnrTRh%2FCXYOc%2By2wSknnvSz5QdhSVI7FyeJnwwK0GBVtxcRhUlVH%2Bi8Md3IEJ%2FH7EmlN4DIoG1Np%2BRPDJpHuxmX6P4YtLNnGwb76yD3a3rC0p1G0qCrI4%2F5vCKyvSpxzc9ZNjJlq7bwNC6vk17Pw%2FsC%2Bsu4HGq0JmCHHvo4azgPjJL6mejozzAc%2FzGd6dKG4NSI2tT7TZWhp%2FlZozUbswtMaK9xiBuyUEOnAv00j8th2pgF3FoQcawfyCgyLWionS%2FPEJCUMeRevd%2Bx4ZFHdKGA7uMCGETGwtK%2FuDC5nucAKND440wh%2FEKCHQMnPkuwKW52vtouTpNJR2vk5CQeT6Gqrm%2BiKHPkkrDbI0IM9JRXAwivlhTuvFtuO8CyWsiWCK2vW%2FWgj0A14%2Flabl1MSYNEPMOAvUM6LiwiOXlT422nVh%2BffmAavga7vg6a6nKruuHK9fEYsF5fhqZDEjRxi8SV6fy9qY6EC%2FPHtVzBLzgcGCcaaBcH6bo85qUS0gnJFOvh3isx%2F1rG2ClE0EOe4069hAJ%2BbGqOzmpHqsIFP313rubIhNT2QxtG83LWp3kPT9A%2Fl3zLkA3olB8MyMMFzpR%2BoirFahe81p5F39SIdE5xnh%2F0oMC6LXBp36YPEfrTuGS5d5EWXNnTSvSJ9X%2FDIVytQIt1fHgn50mRtRgFhACstU7DpYYG9%2B40zJA3FyAAcWajdMfCPIyQ0hx3gah7eRzEe5%2FasL%2F0yRGOjSQPJ8WkRzg59BuoCkOsLP%2BNpj86j%2FruALOBtRJFdWi2glqenBT2f9%2FIBAHiS8jF4lBFCwm9SWcxmMYNre1RX2bJiyvD87h0ALBFDqIMHRSOzcEl9n87TXBYKsrfuE6KYwJd7jWZTuPxzzsOPkZmxAkjEd1Pnv5Suw8YWmzBbWIAzClQFNmNaLt%2BC64fomTSn6xj8FmkZsLIVkoDNqecXgGL%2FpKZ%2BTJeizksQnou0at2QFQEAVo9jjrHr4ZBBb8qXMY%2FeV1UPzGYw%2BZ6V5Pfex1bM1vKk7%2B6hIzjWAOLJ6%2FmYzjaxnVWWXjWL6lSIG6wPHoVWRkj8ZsEgVqaxm6wYceaYUPPaY96XWs%2B6zgfotpDXFGFf5VpkdH9rIMdA3aTCpIQVotZsczOxm5Em3S0QGrh7CptMi3%2Fbo8VYHfpwxa2cs3sEXvhIOzCllya96lZPcoMLoC776ANs8sjnbLvRgTDFU6hSh7TYI7%2BiMMXy7FbOp4FrGvjn4bFcacNZ6AMXNqma%2B8nsSzPFo%2Bu5kfWQu%2BzSR6AZMtUxGfzZC0FJv465AQ%3D,22,2,0,0,0,#795252109,Preto - Cinza Snake Fosco,"56,58,60,62",Axxis,Axxis,Snake,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
15, Capacete Moto Protork Evolution 3g Noscity Preto Dourado Loi ,149,NA,"
			
			
				
				1482
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1250
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,226,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-798271820-capacete-moto-ebf-articuladoescamoteavel-robocop-varios-tc-_JM?searchVariation=25735834139,148,46,18,6,8,#798271820,Preto-fosco,"56,60,61",EBF,Robocop,EBF E08,Aberto,Simple,ABS,Adultos,Unissex,NA,1.8 kg,NA,NA,NA,NA
16, Capacete Moto Pro Tork R8 Fechado ,134,NA,"
			
			
				
				915
				vendidos
			
		",(2523 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1117
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,49,https://perfil.mercadolivre.com.br/SPORTBAY+2?brandId=721,https://produto.mercadolivre.com.br/MLB-969334380-capacete-pro-tork-moto-evolution-nos-_JM,42,3,3,0,1,#969334380,Dourado (City),"56,58,60",Pro Tork,Capacete,Nos,Integral,Simple,ABS,Adultos,Unissex,Nylon Pluma,1.47 kg,NA,NA,NA,NA
17, Capacete Moto Aberto Pro Tork New Liberty 3 Three ,185,NA,"
			
			
				
				373
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1550
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,15,https://perfil.mercadolivre.com.br/QUALITY+SP?brandId=515,https://produto.mercadolivre.com.br/MLB-803341736-capacete-moto-fechado-ebf-masculino-varias-corestamanhos-_JM?searchVariation=27796982450,9,4,1,0,1,#803341736,"Preto-fosco - Azul e Vermelho,Branco - Azul e Vermelho,Preto-fosco - Amarelo,Preto-fosco - Azul e Vermelho,Preto-fosco - Prata,Preto-fosco - Rosa,Preto-fosco - Verde e Vermelho,Preto-fosco - Vermelho","56,58,60,61",EBF,EOX,Frost,Aberto,Simple,NA,Adultos,Unissex,NA,1400 kg,NA,NA,NA,NA
18, Capacete Protork Coquinho Moto Custom Couro Boulevard Harley ,199,NA,"
			
			
				
				343
				vendidos
			
		",(2607 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1658
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,654,https://perfil.mercadolivre.com.br/SPORTBAY+PLUS?brandId=2047,https://produto.mercadolivre.com.br/MLB-1182548689-capacete-moto-cross-c-viseira-pro-tork-varias-corestamanho-_JM?searchVariation=33240848583,478,99,44,17,15,#1182548689,"Azul,Amarelo,Azul,Bordô,Cinza,Laranja,Verde,Vermelho","56,58,60",Pro Tork,NA,Adventure,Cross,Simple,ABS,Adultos,Unissex,Material antimofo,NA,NA,NA,NA,NA
19, Capacete Moto Pro Tork Evolution G4 Las Vegas + Viseira Extr ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				133
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,34,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://produto.mercadolivre.com.br/MLB-1188744116-capacete-moto-axxis-by-mt-skull-caveira-azul-lancamento-_JM?searchVariation=33693186315,31,2,1,0,0,#1188744116,Azul,"56,62",MT,Eagle,Axxis,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
20, Capacete Moto Axxis Eagle Preto Fosco Lançamento ,399,NA,"
			
				Novo
			
			
				
					 - 
				
				201
				vendidos
			
		",(9 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 3325
		
		 sem juros
		
	

	
		",25,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,31,https://perfil.mercadolivre.com.br/COMPETIZIONEMR,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=bAQyjKUY0RET8HheFrAv7G%2FkP5Q7shmTe0ifWUtU2V%2BubhryD873jDLUuwrFkCj2xmzex7NYljAiMbOGbiA1Xx922ev8tQmqb33%2FT6zx%2BUSCYdGC%2F1UCtdPuHjIuS4f41QvQ4WFfOFFvKQazuPYM40HU3mZe02lJEkpPmG1kb8MPn74%2B5S7KuEGK1sqxgeQMBH7oAdr3QN9FJM48ZyLI293klcksbvlXbD7owIj4KRgmJoPcTOdM2YA2TnQadwBZcXrrkZ3uIVs44KGXgAuesce3MI27Derp3oG9C74nHoM6hcGFDhR5pUN4pYIIMkLWysFX8h4EfhgM2B2BMaqOMFgXnmVyYHOYo38fKCxriKhyE79NwKHGQ2swQOo%2B92MXmvCO26%2Fa7btiMfQx48oTKqu9z6wNNAyIucSIk93%2FQT48YO3Lgb%2FGS5YVgjCxdrL%2BMnsTIBIijpoRPjmdBYVrHsTU0CLTTXYfgTvMRfMh4h1s88Kltq0b3Jb3useABtJwKWjvDtihHMgRsnoTlhOXmC76ayY3iFxrr%2BDfmGxJ8sKy7cAinq1vP7URWhr2WGyaP7HYUOhMjlTFuHD2zv1b%2Bp0zA%2BSTtnFF5jE6PFcE%2Fh1fEWZ2xIgXbNeQYur1KKKPXGFAcF2OJkHsAs94zxar9ftR8yUrhTLdHQbMHaHdh0b6Yoh2QqV81NEdU8JLlj4OM3y7BIpQVKgdnrZjslmKRMpnAse%2FbZo2hHQYHOIKkmS47UwyVXolUrac4AkFY1a2nUMuh5CLn4%2BC%2Fv9%2BWDe8CMO8LJtidIod%2F5TaZqqWuMVQ2gZmdFBMMJdXXFMJRaiddtR6ETGYmPXZSckFTyONx91q6Qmhw6pd2njtOySO9BEjhmuq%2FB74viO02yjNJFrwscgqD17Xfbt1o%2F7WFvTz9xmEBaqBOvIGhphgymm2RCyU%2FnveS%2BC2GNWT45oCai0jK63IedLMWBPktIjBKe5K7GNSG5U9B76JhP2bTxyhLRjCCcppmd%2BMsN1alf030xjSPohC7rpn%2F9mGtEjWv8ftq6itx7pN%2FZVPOLT01WkddtCJ69e6IO5s3HXevHtSo9JRK%2B9Gt4cSmhanjYeJJiMK5t%2Fdkcx%2BJC98sDYDrCszji5BI69sl%2FAceapckIjVoSW152N5rNyRYUDw2bs%2B2UFjBMc3tV5HZH7QAP8pLDqThFFlZkNgKbeUxw0xl7QWWFTKzA9oNoKuF3PG8PfbmkvplCQ9N%2BoqXvkAF6TwSdsgAbssYitFl2ItB0AAYp%2F9CfY6YBI4xfWTn4gUHvVjmATkRzLi9E1kbgkinsDVeI3oMZvNDNlyc%2FHZadjS24iw8kggSsdhVkIV7K%2BRVb%2FaaWpEiqx17UZ29Wr6tbzjWbzU%2FQgYhg%2Fy%2FyVR6yR%2BEKmoGty3%2BmKbglNCBncczCi929ORHV74iIocmrPTqsNyJCZObsI66hvZKMP5kkRxyXI9033E0nBD91SvJYvY2oCL23JtFhSQAir8xylakVPe6x2F1CM8MRhjEhTSe%2FY722z15l5CMeaAVOlN%2BLwDLhKD3JprWWSCprICl0b9CAOL6Gb8xQK1JsQybpBso6hFdTu52pWpXiFCqa0a29jewD%2BG7ps5GNjEov%2Bef1BDW1GCepLWwXeITqxAXQPZ3tsctE3riT3ObDa9t2%2FfL9wn8NYnJbz%2F9bTSMVolZOxKu%2Bw9p486pCk2J%2B8ioDOjFSHNAJznSEETD%2Fx6X2kB%2F%2ByIue1scSNQiqSAN5FHxORLhBxSeBEQPeDHBSePRs8CyAqPoy4pS%2Bxzgakj%2Bwiol%2BKHVKghgm2en9ZfsLpLC1olU62GxdGN0kjwxK2cBhQdI8fuYPND7sRCW5Wpvy11LFM%2F6%2F6f8456Lq3czlySdCQdQS0x,22,8,0,1,0,#1107073421,Preto - Fosco,"60,62",Axxis,Axxis,Eagle,Integral,Simple,ABS,Adultos,Unissex,NA,NA,NA,NA,NA,NA
