search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,color,size,Marca,Modelo,Tipo de casco,Peso,Línea,Tipo
64, Casco Certificado Abatible Para Moto Ich 3110 Negro ,114.9,NA,0,400,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/FOXCOL+TIENDA,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=51DAkP9lv9ilADdZgAndYiRMFUJR4Lu4C7rz7CMY9xaKPtCBg3fuqrCHyReAdS1Gz3FGPRM%2Fz6Hcuz5cUp%2BIC9BgJrak8MdjOv5YES5geiIBaz1fNArJHJveJv0snvUT6L1y5t1huTs28cp7wsXx7fDTpaBGi7eNCgreZkIykZQAXG6wDpUTEB%2B2%2FadLkM2pxRmQMlEbbPn6wtDaHolvSBSW%2Boyh2hgbrz43hWNilphi%2FgkgL928pl3B6YU45kSXu11g8OyCIi47BRuGrImJ8k9K70ymK2Rg9NGDUztVoZwqrXv%2F0KOAKVMejJFfWlLisEKc0PT%2Fe%2BIkxm6G%2BjHb9v7JsySb3aq3WD7vJmIqk6FP%2FbKrhiXn1P8QeF1w0vQVqZ1gj8jSsrzue710a%2FQd%2BbmDvvfIqXrkE04D20KLk7NfiW9KbUP7YdR71%2B3H2eX4WM4UfLnqmBDDNBiVZNKnLL2TZcinS2HFveYW4%2FU6mCzCAPonPXcSMvOXBfX7%2BaCvu4FXfKx6BDStWO26dnkTDJ%2FUkouN4K6R59WuosHeU9qSfFl%2BmdtwwRCjoUecpgy8ExHEvUzF1ch2q3MVrV82afuLM1TYdGRJ0zn3BBfW9QKeHROXAPWa1rbe6gMs0R8W%2Fz1fsyYM6oVItQRq%2B7%2FbjYi%2FRddGY%2FeTp5gFB4DspkrWLkUuYgawRQ2HOn2faav6HObbBgsLsJlBojRoEOEmcJL%2BNCApEQfcefwqWzsiQ0VfOlkFFHNxENZnAzj2m5cpL%2Br8eOtUsZG3d1hRB1i8989nRJHMA82FzZZv%2FQHpxOY5E98V%2FDlQlV69Zr4NOYAftVOq65ytUzS8bxJQIPusICxkObkvEpvug3IJRQb%2F6JH6Wjfv8%2FtanHr2JOjRhBihaAVPAg5qwiGnrcV88mhHsZjBul8KPLUcM06Q%2FYU7IGfRCOhagXn%2BGIZbByE7TQy1ywpMkfyz0m6bv7I%2BtfeN4e5k38nSoKawGRJh0CZfeFWdsIzgaYJIPVYP80rj%2F%2F1rpzchjoc%2FIhnSyjd4MKp9tEX3AWJrVfdH6aDO8DXqfS2fXkhWzOZVbBSYDv9fhsujkCSpQoKWdgMuW0tpSzWD9scp6BeqiV79erWAEp4KI79TPnGGkHeZW4fkC1k60lU%2B4PZY1gYH7WP9tdqEfJZl4T29UtcGKsFbkUcUgrIGtUeJ0nbdhedHWYzxmSio6ChvV%2F5GgzPe5Wq6zYoCkTqRiZ0I3kab0Su3evhiSAyO9%2B5fb%2FMqSqiwkUgAXnwc20BXZP%2BQ9bCsbQKlyyGwBrLM%2FAhC5FaYfn4NHP1GTjVtc%2FsUZ%2BpzKxbtEAhpttUdpypPvEMqNedNrSljIBZY%2FpvdTMt9hNeZCzhNoBq8BBIiRhi50n22vBJSaJBynpv3ncqFiNKWN0eINLYOgiNC1vH59o4ITxl8TS5Oz7EZrEidJfxQrg7STFyIgxgn%2BACUgYcjDjrGq07cG9BQngMIcibINh7ZWfInKy%2BSKys7tr9QrmGebFKeXuM%2BAuu8hVJrKOtmoB08z%2BghVXbpO6IsZA5TkarDZcNDvJ%2FJOneBNEMAJKwC6c6Yv9yyc80%2B8aXWKNfX8x913xALfTNy1%2BFMVQGmMIRVkdkoiEY6F8l4RJ67VlAAZ%2FIRKQNq35JJlCzvzMKbnd4ZFseMEDIOm%2Bo9iOxHU01InbUoylwzExPRonvKwaq%2B0P%2FQM4jpcwIeK75%2FrZW8TsZtxn6H9xXtEfKV1yy2Tf1xDQ2b8y5gDt59l3%2B0SdUi9XKT4IAAYe2HJnvxxr1zEDU9KwnUm3sj29nWQhtlAmUYGkkBfQo8KcRg2Q%3D%3D,NA,NA,NA,NA,NA,#508796134,Negro,"S,M,L,XL",ICH,3110,Rebatible,1000 g,NA,NA
65, Soporte Para Casco Moto Doble ,35,NA,33,15,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,4.5,2,https://perfil.mercadolibre.com.co/WAGNERPARTS,https://articulo.mercadolibre.com.co/MCO-498445648-soporte-para-casco-moto-doble-_JM?searchVariation=32461741565,1,1,0,0,0,#498445648,Negro,NA,NA,NA,NA,NA,NA,NA
66, Hro 514 Casco Integral ,166.25,NA,21,139,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4,1,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-456132235-hro-514-casco-integral-_JM,0,1,0,0,0,#456132235,"S,M,L,XL",,HRO,514,Integral,1.55 g,NA,NA
67, Casco Moto Integral Mt Thunder 3 Doble Visor Certficado - As ,327.99,360,8,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-467198216-casco-moto-integral-mt-thunder-3-doble-visor-certficado-as-_JM,NA,NA,NA,NA,NA,#467198216,Varios,L - XL,MT,Thunder 3 SV,Integral,NA,Thunder 3,NA
68, Pivotes O Mecanismo Casco Icon. Distribuidor Autorizado - As ,114.9,NA,29,4,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,5,1,https://perfil.mercadolibre.com.co/LARECOMPRA.COM,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=bxvjs%2F8LWooyVdiin1XOGaitS3ptUdyh3%2BwwqGU5n7wLAlyhJ5NDigICWsNK0tjF%2BfZguR%2FalOcgIHVl13wYjw3nKtf3muQ3MyLjPrskkN0dcJxkGoo5aWm38geygoAEYUyzvFx7Go6AKfhMb5dSO7e3yULezRdFny77K0bzNaxuiquhId22LgrOio0nDGGE5B%2FeR1DR49WtKJLppobYJF%2FbkSkZ1lOc6GO2opz%2BNG9cIRDN8PLqHm5aAVN93hW1ba2v5iUbAhhH52MXIUCacX0uzf1AIigvWzwuNOB9o%2FsVF8r1TOmiUyezIFyLs2Jdv5sPVTeSJS0MGn8hQlgD6jkCYDRDcRRmyni0w1Op%2Ba%2FrruV8%2F6sn6PKIWrQhWJzJgWDr%2FjznVSD8kzasmTfmfMbP%2B4XO0HA6g1CLnvS%2FXse4iVsUe0BvY0B9Nyw9ffIDqZOQULjcL5490V3V6Kxv09LADdyXBSPJY%2BHYPi%2FR44yzbHUekRTn7Y3X7bogWSCqMG6KePjaWZ2ZcN%2B0zasvqv3Uia8%2Bzo68TqyvuZ9xVsDUanc%2BSAV3bMX32mTFDlKPcoHw3LtyUDSmdl8FLwNRUY2jJqu4bJKI5smXm1MDnzFhMREYKShwWTNKM1YIgKbtIr8NllM1mWHa83hmmD20f4F6JdWHg%2BrLxyy22MdNyV1VFHcNCNKyQjlcVVQ7nKHwo1VInhICs0ilItM2zC%2F7CAxqvQ62Oxo6vfydNLE%2BhF952UnlVso7%2F9BLsPUlcZUFHmFHlKXXLTPM7UtlNPc%2B24uf%2FXc6bxuZFdWUOQBo3afx3N5kpA0uT5RsH49TuuTzVQSswliZwos9Dr6tJD7LyKmWnisGxlz7ovsq1zJUC87v1aBmWkjJlR8gdYwNRhe0atPTwFp8hyf3YOUFHV74DdMbU%2FZ2cyq7zQftKk33NRoudDVAdDDhNoAtHP%2Br9RT0VzuEk333ZsVrXyd85s0Z2ildojD%2BS6kZuHrKrpIl9JKLJGOwKQN1R4hB7Kkwyz86EOWuoeQk6z7ZhsF8YozcHvsduFLfnZrxAJZgDqt1aMQpCXdPIiEQyLePT3QbIBneIhSu26TNUPyzYaERz6EFxorS%2BtzlmB%2BwcnvTf%2BjRWlscEDMjllo7oomGodb3XaMAjF6zKPcA4YZLycNfuqZ4mEDF0F6qWD0yeoe11oq%2BH4mGoq5gZoOxKyUX9lZo4eNNmPI9ZGrov0%2B7h22a6IRrkLuPvZMF9akXmyHca3apP8eVNqCUuzH9sSRoAnmNXL4ZYWiyQIVol2fQX8uAHyv4ZhwVwgVazMAj6%2BYvn17%2BY%2FGeUmt3qTmHkdul2Aj%2BAw%2BzC5XuVujE4gVWIjUimRJgzHzEVt6RhxIWV8TO966WlJWFb0YQ2Hj3iOZ0nK0JUh%2BME%2FjFqO9%2Fu9PSK0Q%2B22sxR4bZv%2B9OA486Pv5YisUvAbRNLDj4voyPHjTA4RtnldkUy023%2FIJpPsGnNCKA2J7xV%2FswopdsuZ6QLmhN79oE7hfzymt6AVH%2FjY2drZWKhKVSpFG33NEw0Ku6gJm5MML13B51Vnasf9O70DNvesBJUBo0ModIVx5egi2V%2F%2FxD7l0eM9qyhwViDVzezbiU7zAA4rvBmwE2WADA5dcJwsUrj%2BYgc4U3GBKXXhYixQoO4QhepxwpNMHngCpMI%2BwHqp%2FlIckJo4o4jOydQr7vprc%2BdNz%2FzYde5236wekY%2FfzYkmKA0pZ0N6BwidEQaQKlA2RJNKGOhev5L%2BvD7d339v6smq5PM9U9ZOyZfB82sDbPEmqUtUvwviS4BXvNu0R8nHKNjov%2FwA%3D%3D,1,0,0,0,0,#487676452,Negro,"M,L",NA,ICH 3110,Rebatible,1000 g,ICH 3110,NA
69, Cascos Para Moto Certificado Shaft Pro 600 Integral +obsequi ,39.99,45,113,11,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,5,4,https://perfil.mercadolibre.com.co/ADRIAN%60S+STORE,https://articulo.mercadolibre.com.co/MCO-450438524-pivotes-o-mecanismo-casco-icon-distribuidor-autorizado-as-_JM?searchVariation=20976926213,4,0,0,0,0,#450438524,Negro,NA,Icon,NA,Integral,NA,NA,NA
70, Visor Casco Kontrol / Z Line Original ,289.9,NA,4,34,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-510800083-cascos-para-moto-certificado-shaft-pro-600-integral-obsequi-_JM,NA,NA,NA,NA,NA,#510800083,"S,M,L,XL",,Shaft,PRO 579,Integral,NA,NA,NA
71, Casco Doble Visor Certificado Hro514 ,28,NA,28,19,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/ROME1416,https://articulo.mercadolibre.com.co/MCO-482129615-visor-casco-kontrol-z-line-original-_JM,NA,NA,NA,NA,NA,#482129615,Transparente,Kontrol,Kontrol,Z-line /  KNT-01,Integral,NA,NA,NA
72, Casco Moto Integral Para Niña ,166.25,NA,6,154,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AFMPUNTO2,https://articulo.mercadolibre.com.co/MCO-456132075-casco-doble-visor-certificado-hro514-_JM,NA,NA,NA,NA,NA,#456132075,"S,M,L,XL",,HRO,514,Integral,1.55 g,NA,NA
73, Casco Kontrol Certificación Dot/ntc/ Knt Button No Shaft ,45,NA,12,3,36 cuotas,NA,NA,Envío a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/LUJOACCESORIOS,https://articulo.mercadolibre.com.co/MCO-466387475-casco-moto-integral-para-nina-_JM,NA,NA,NA,NA,NA,#466387475,Morado,para niña de 4-9 años,KRM,NA,Integral,NA,NA,NA
