search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material
22, Funda iPhone 7/8/7 Plus/8 Plus/ X 3 En 1 Case Carcasa ,17,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11
				vendidos
			
		",(63 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-431223060-funda-iphone-787-plus8-plus-x-3-en-1-case-carcasa-_JM,NA,NA,NA,NA,NA,#431223060,Apple,NA,NA
23, Funda Protector Case Uag Monarch Note 8 iPhone 7 8 Xs Max ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				112
				vendidos
			
		",(75 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,4.0,2,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-420085642-funda-protector-case-uag-monarch-note-8-iphone-7-8-xs-max-_JM,NA,NA,NA,NA,NA,#420085642,Apple,NA,NA
24, Protector Case Funda De Silicona iPhone 6/6s 7/8 Plus ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(3 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,https://articulo.mercadolibre.com.pe/MPE-431846795-protector-case-funda-de-silicona-iphone-66s-78-plus-_JM,NA,NA,NA,NA,NA,#431846795,Apple,NA,NA
25, Case iPhone 7/8 / 7/8 Plus X De Cuero Louis Vuitton Y Gucci ,65,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(493 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MALUPHONE,https://articulo.mercadolibre.com.pe/MPE-433215134-case-iphone-78-78-plus-x-de-cuero-louis-vuitton-y-gucci-_JM,NA,NA,NA,NA,NA,#433215134,Apple,NA,Cuero
26, iPhone Case Fibra Carbono 8 7 Plus X Protector Funda Cover ,24,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(17 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,https://articulo.mercadolibre.com.pe/MPE-433924614-iphone-case-fibra-carbono-8-7-plus-x-protector-funda-cover-_JM,NA,NA,NA,NA,NA,#433924614,Apple,NA,NA
27, Funda Case Protector Aluminio iPhone 7/8/plus/x Delgado+glas ,109,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(75 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-422979846-funda-case-protector-aluminio-iphone-78plusx-delgadoglas-_JM,NA,NA,NA,NA,NA,#422979846,Apple,NA,NA
28, Funda Case Protector Aluminio iPhone 6s /6 / 7 /8 Magnetico ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(82 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERUIMPORTA.,https://articulo.mercadolibre.com.pe/MPE-433356222-funda-case-protector-aluminio-iphone-6s-6-7-8-magnetico-_JM,NA,NA,NA,NA,NA,#433356222,Apple,NA,Aluminio
29, Funda Protector iPhone 7/8/plus/x Delgado Original ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(84 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425414808-funda-protector-iphone-78plusx-delgado-original-_JM,NA,NA,NA,NA,NA,#425414808,Apple,NA,NA
30, Funda Case Protector Delgado Mate iPhone 7/8/plus/x ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				18
				vendidos
			
		",(32 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-425119317-funda-case-protector-delgado-mate-iphone-78plusx-_JM,NA,NA,NA,NA,NA,#425119317,Apple,NA,NA
31, Funda Otterbox Defender iPhone 8 Apple Estuche Case Armor ,95,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1
				vendido
			
		",(2 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,https://articulo.mercadolibre.com.pe/MPE-435619794-funda-otterbox-defender-iphone-8-apple-estuche-case-armor-_JM,NA,NA,NA,NA,NA,#435619794,Apple,NA,NA
