search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Peso,Tipos de filtros del parlante,Conectores de entrada
11, Parlante Bluetooth Karaoke Mlab 60w 8 + 2 Microfonos ,39.99,NA,200,41,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.9,11,https://perfil.mercadolibre.cl/MMSMIKE1,https://articulo.mercadolibre.cl/MLC-465278552-parlante-bluetooth-karaoke-mlab-60w-8-2-microfonos-_JM,10,1,0,0,0,#465278552,MLAB,7806,60 W,5.8 kg,NA,NA
12, Micrófono Karaoke Bluetooth Con Parlantes Inalámbrico Usb ,5.99,6.990,132,168,12,499,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/HDFACTORY,https://articulo.mercadolibre.cl/MLC-457050245-microfono-karaoke-bluetooth-con-parlantes-inalambrico-usb-_JM,1,0,0,0,0,#457050245,NA,NA,NA,NA,NA,NA
13, Parlante Portátil Bluetooth Bose Soundlink Revolve ,199.99,NA,40,5,6,33.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471014399-parlante-portatil-bluetooth-bose-soundlink-revolve-_JM,NA,NA,NA,NA,NA,#471014399,Bose,Revolve,NA,NA,Activo,Auxiliar
14, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,29.99,49.990,311,10,6,4.998,NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=AJ1mmpE0EnpJrSIU6seJ0ZQayx4X95uJ2gDpxYldnbsQLIp23DCbCHCTvSMAizn5aWLjvBhRnen%2Ff0feK%2Fbr2xhwwUYdUGb0nlUF2btXEVASqSwRoSvLJXnV55zRCf7tIqBviSYcylXuo%2FUg%2BHFtgv70PWrSs3jmixLpk1HPas%2Fcgn9FPprmLtOBZBrdzV2UMZjgYpinK6E%2Fc4lcSzhCT%2FhkeOMwUebPvwoL%2BkbNgg8AktHCc5wehtZ6Dp783mykx1%2BIazKRmCHRtUSygK7Z3uaIZDkakRVAmzWP5xK3awT%2F8Ir%2FPzTRgZZGhmh3YuAFoO4N54SsiGOoPR9TwVCvnW7cUay9EkwMc6l%2BbHO3LvB3mby5QQ6L%2BvvFimK0NxkkE%2FHKR0bV%2FgxRyBrHobM5d3CDsNHwvNeAdglGtr058TyN7jcohx20cFQWThUhCppVCo2S%2BXuz9mNHiHbLGKvHrhGlARnvUCAobQ3NU7srbJ9vvrr3MBYIv8wl7kyQNw3BXsBIoivNUdfO99bsOwyad6e8HDRtaCOh1W%2FmdOcr3gSvyr2IP68wJAxjT4vuOu4rpRtJj3IS%2FW3hajx9RXxD0OIsPWtqPr8Dg1IRT6tduKuYsSdlmuJVOAGa8HJK%2Fj9YVYlUqYbKM0C0NvQLShCX3u9%2Fcb0HS0ny9ZiL%2BbDQYpKbwp9LEnHvBZdIFh9pqrcNJV1UK9c8YhW4JI%2FoYcjg8U3eu4rpNsRtdjJSYzqtVDeRv6Z4cZ3PCgqz82KdTXLI8U9dAyRmKWOZK3qVGwaN35wT%2BS%2Fvgkva3RH4Ry7%2FvRB4Edml3l3KVpCLhskyxgrUp6FCDadHu3ilg%2BBrNh3JqK5ii51bWYKDIsIk0MNPsb%2FcVNDXETaslc9mSBc0M0qbdDgGAK4anql6QwX1R1N1cUYB3tEr2Yt1wNExG1fxupyOeRSubF0hNOnbDGM6qJhDq36j7NHyY7e%2F6TMd6yrg1LAjvC%2Fn21sQeVK2TZXgU9VRenbDC6H7yKDrL94sDgfhjBzz%2BnBgqT8t8b5mOqMG1HLXCcicdkwjhJcuMp6pCvp9OfhVw%2FjipLVKbiqD5xFOgOxgGsPIsupqaGu9RF2v%2BLrRPGx6yf9SrU2cIP7so0%2B9uTgg4jLxV%2FPPiDz0CDI0FgMdcOkvziFAqECsIoM%2FSRvzTE%2BG4p9ncgxWDISz2OzwCrhk1J0KWxq5sS7F7RiejBkLBE5KOSnOQRL%2FYtMC1o5ha3kO%2FtSvyu582c7zY9Jm2opO3PG4Ksu%2Baw7iMtApaXp7EZKqbOWc5DAAcNa405T6X6lGW6EJ7xjlcW3YOMyWJVn%2BXcG6InoU5MeFvT0NCmb24iPFR2tQeSl39PVpxtUiF8Sj9dQWB8wMLZISDqzbyN6kVl%2FnAOkCXSk%2FqZmia8KDnB54JjPps1WGv84gYq4CHvBTp2LVltFQuzWZDYJk6epa0OjkLQcvgl2TVXxxiCt3w8BuE1KdrumeZj26QN8YvvDDkZD0%2FlBSvDqV63g1UMyPiEVIFiX23QDhUQ97nEjXHxr%2FPOY%2F%2BB3wW%2BIaXfuKDdYD9Xzazs4%2FCDQT,9,6,4,1,7,#461986096,Fiddler,FD-PKBTD6,10 W,NA,NA,Auxiliar
15, Parlante Bluetooth Soundcore Motion Q ,31.99,49.990,100,5,6,5.332,NA,Envío gratis a todo el país,NA,NA,5,7,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-467409330-parlante-bluetooth-soundcore-motion-q-_JM,7,0,0,0,0,#467409330,Anker,NA,NA,NA,NA,Auxiliar
16, Mini Parlante Bluetooth Usb Sd Con Luces Led ,2.59,3.990,66,34,12,216,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-486318322-mini-parlante-bluetooth-usb-sd-con-luces-led-_JM,1,0,0,0,0,#486318322,NA,NA,NA,NA,NA,NA
17, Ld Systems Maui5 - Line Array Audio Portatil Activo Parlante ,439,NA,4,10,12,36.583,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-ld-systems-maui5-line-array-audio-portatil-activo-parlante-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,MAUI 5,NA,NA,NA,NA
18," Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led ",19.99,29.990,239,34,6,3.332,NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=U%2Fel0HC7LXzIZDDIK%2F7yRh0yfS0Xc6%2FtyChlKzdQhNQWwCnWcUR1SRdm%2BTFSdrGvrXRHGoASJnM5GeqhWU56wqxP1gFDQo2SL2jICge%2BLBsfTLojsgzoRU7zk5XVdR2BQ%2Bcd%2B%2Fcomq6fQfFnlc3BrSyABClnLNZpuybcbjaDES4Rvu4vdQr%2B2WbvalUhKsOrd3zQCELAPscNe2FZ7UK2stEZhLIHAUxD56%2B4kh%2FZcpwLBEXa0AzuoVRIGE1KhtS94n3U8EUHFADAd7T1ZB9dzVtadQR6hq3NNszARnYuUbyzFWdILMCdqfxDncHcfIuxmRqLUwmIaxaKm8%2BBNJAxcO1SWbbK82Ni5Kiwq6HvG%2BdO%2FRL5ocyj1oVb0m3%2BFLGrTJiWJC2gZLuonLNQwln54aLlCc7%2Bl2glpRT9MLAVLxF%2F90o7WtsBQZjGVcxmM%2B9eCzNv4sBM0Ay7nvlxCv3GMlGRbETk8mJgo07YxdmeKfC2N6289pOCMTyt8tYOaDGSy4nlsGP88G77%2BsRya6c1UZ8EZ0tM7BUmTCePfUa9naoMYDFEjMzV9KGCGLoflMOyUZiGdfCNkDmlS8pSkZurt3NuFPcem4%2BFsbxpwioPeHA6%2FduQDgKdnFLCmtT1k%2FOdEHFUHxjww88ZaaEh1JPN4Bka0tEv61elyURligIGkAms4K3yDyb0wCMNAbksm%2B1uDa7JenqE%2Bm6OFST6%2FMMjyPYHBwr97LvxBu42e3oKDPlEogjpDVQ4Nrc4ZTI%2B3sD54xh0cqHHWJhcHEPzpIRHj3M29Ax0TqOy251bxIIIhTOSBXqKQx%2B9dFTz3ZnrXi9DA7iHfP2aSeTUVJBbsOwxCXww4Ss%2BzHX5%2F4EWGorRUut6GkwS05eXGKUMUp%2FVIKC55pepEFYOa352SeDelYU8I4Pj80K8XYjVEgrMRNnbIAgG6Z7%2FikXsGmMvThAb0c%2BEHJkep%2BIbLKUlfg5H%2BD3xCUI9EaAKt9vDklX94oUe3efEu7hND3g2J8fqj2CGmnEUE9s7kPAmlSwUOtKzeA%2FPDxMScO3EyoSV9RJrysGvXZomWtdsrW4Gs5yWIGgIC%2FauX%2F5llD4gxCCrxS%2FBUD6ZLzaEaUzJ2Z7eDwIp8mSqVNzRhqC7CW5kLYRdNofhb9jQbe9cAFlqOZabAUMxO1atxgRcamQD9qZNqMNgDGES%2Fhyd0iQzuQZQ%2F0MoYiyy9Wl2vtnW7H5XFVyCLT1ncFwmcvaO7NN798iykqoiIN8YO5z2CE8k7FlmpKYIec144wE6OTmF8qtNAiXNMS5cWZqAGL103fM4T3gHCHSS6mSTiZbeJRzyZInlN44ZR5Bb6075GF0abyUBAH730KhO%2FG1wjNHRKQlS1nlV94ke6y9UAosYvbVE1ZquG%2F6LMo1hCs292v%2FiGEQRO47lhKjvN4MoNH1vLAPAql1uA%2FfWxAUSiBCeCpwXIlHLg3MbGQWb7QjQotUoxh%2FNEyuSMAiXTgJUFi9srUTHloKAX7i2xBBuNkhwfgaCcl3IgSY8jPfFqkztDQ08S9HrkhCkMFhN77uMZ0QGVJRfKFULFHQ%2F,8,3,0,0,1,#462984847,Fiddler,FD-PKBT61,10 W,2.8 kg,NA,NA
19, Amazon Echo Dot 3 Parlante Inteligente Alexa Español ,34.99,64.990,45,13,6,5.832,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-484950082-amazon-echo-dot-3-parlante-inteligente-alexa-espanol-_JM,NA,NA,NA,NA,NA,#484950082,Amazon,NA,NA,NA,NA,NA
20, Mlab Parlante Karaoke Bluetooth Funky Disco + Micrófono ,29.99,34.990,45,6,6,4.998,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-484827689-mlab-parlante-karaoke-bluetooth-funky-disco-microfono-_JM,1,0,0,0,0,#484827689,Mlab,Funky Disco + Micrófono,3000 W,NA,No aplica,NA
21, Par Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,620,800.000,10,NA,6,103.333,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487403975-par-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,3,0,0,0,0,#487403975,JBL,EON615,NA,NA,NA,NA
22, Parlante Jbl Go2 Nuevo Elige Tu Color Paga En 6cuotas ,21.88,NA,81,3,6,3.647,NA,Envío gratis a todo el país,NA,NA,4.8,45,https://perfil.mercadolibre.cl/VIJAYBHOJ,https://articulo.mercadolibre.cl/MLC-488142891-parlante-jbl-go2-nuevo-elige-tu-color-paga-en-6cuotas-_JM,38,6,0,1,0,#488142891,JBL,GO 2,3 W,184 g,Activo,NA
23, Parlante Bluetooth Inalambrico Impermeable Ducha Agua ,3.99,4.990,675,318,6,665,NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434759217-parlante-bluetooth-inalambrico-impermeable-ducha-agua-_JM,4,1,2,0,0,#434759217,NA,NA,NA,NA,NA,NA
24, Parlante Bluetooth Bose Soundtouch 30 ,375.99,465.990,16,3,6,62.665,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472184462-parlante-bluetooth-bose-soundtouch-30-_JM,1,0,0,0,0,#472184462,Bose,NA,NA,NA,NA,Auxiliar
25, Parlante Bluetooth Outdoor Powerbass3 10w Ipx6 Njoytech ,19.99,24.990,102,98,12,1.666,NA,Envío gratis a todo el país,NA,NA,4.6,7,https://perfil.mercadolibre.cl/NJOYTECH+CHILE,https://articulo.mercadolibre.cl/MLC-464586508-parlante-bluetooth-outdoor-powerbass3-10w-ipx6-njoytech-_JM,5,1,1,0,0,#464586508,NA,NA,10 W,287 g,NA,NA
26, Parlante Harman Kardon Aura Studio 2 Sistema De Altavoces ,129.99,249.990,53,15,6,21.665,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-451893220-parlante-harman-kardon-aura-studio-2-sistema-de-altavoces-_JM,2,0,0,0,0,#451893220,Harman Kardon,Aura Studio 2,NA,NA,Activo,NA
27, Home Theater Mp3 Bluetooth/fm/puerto Usb/ Sd Aiwa Awa-299bt ,39.9,NA,6,4,12,3.325,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PARO1305168,https://articulo.mercadolibre.cl/MLC-477322523-home-theater-mp3-bluetoothfmpuerto-usb-sd-aiwa-awa-299bt-_JM,NA,NA,NA,NA,NA,#477322523,Aiwa,NA,NA,NA,NA,NA
28, Sony Parlante Bluetooth Inalámbrico Portatil Srs-xb10 Rojo ,32.99,NA,222,19,6,5.498,NA,Envío gratis a todo el país,NA,NA,4.6,15,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-448165798-sony-parlante-bluetooth-inalambrico-portatil-srs-xb10-rojo-_JM,11,2,0,1,0,#448165798,Sony,SRS-XB10,NA,260 g,Activo,NA
29, Parlante Karaoke Bluetooth Master G Spbyf7 Doble Bocina ,34.99,39.990,151,6,6,5.832,NA,Envío gratis a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376689-parlante-karaoke-bluetooth-master-g-spbyf7-doble-bocina-_JM,0,0,2,0,0,#472376689,Master-G,SPBYF7,20 W,3.13 kg,Activo,Auxiliar
30, Jbl Flip 4 Parlante Portátil Bluetooth Inalámbrico ,59.99,99.990,198,20,6,9.998,NA,Envío gratis a todo el país,NA,NA,4.7,85,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-457910644-jbl-flip-4-parlante-portatil-bluetooth-inalambrico-_JM,70,11,2,1,1,#457910644,JBL,Flip 4,16 W,NA,Activo,NA
31, Pendrive Receptor Transmisor Bluetooth Usb Parlantes Auto ,3.99,NA,1225,78,6,665,NA,Envío a todo el país,NA,NA,3.5,50,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-435146526-pendrive-receptor-transmisor-bluetooth-usb-parlantes-auto-_JM,24,6,3,6,11,#435146526,Importado,Pendrive,NA,NA,NA,NA
32, Parlante Soundbar Irt Bluetooth 24w Rms Nuevo Envío Gratis ,24.99,29.990,33,NA,6,4.165,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/TECNOBEST+CHILE,https://articulo.mercadolibre.cl/MLC-453169030-parlante-soundbar-irt-bluetooth-24w-rms-nuevo-envio-gratis-_JM,3,0,0,0,0,#453169030,NA,NA,NA,NA,NA,NA
33, Sony Parlante Portátil Extra Bass Con Bluetooth Xb41 Azul ,129.99,149.990,102,11,12,10.832,NA,Envío gratis a todo el país,NA,NA,5,6,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-463377316-sony-parlante-portatil-extra-bass-con-bluetooth-xb41-azul-_JM,6,0,0,0,0,#463377316,Sony,NA,NA,1500 g,NA,USB
34, Parlante Karaoke Portátil Aiwa-166bt Microfono De Regalo ,22.99,NA,27,73,6,3.832,NA,Envío gratis a todo el país,NA,NA,4,2,https://perfil.mercadolibre.cl/TECNOCENTERCURICOSPA,https://articulo.mercadolibre.cl/MLC-476888160-parlante-karaoke-portatil-aiwa-166bt-microfono-de-regalo-_JM,0,2,0,0,0,#476888160,Aiwa,NA,NA,NA,NA,Auxiliar
35, Parlantes Cajas Activas Bluetooth Tws Fiddler Con Trípode ,59.99,99.990,25,3,6,9.998,NA,Envío gratis a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=YXy4x18LmCDCHKCtNRDsyNUkqaoIz%2BqjyfLhtUZlivSaoNIp2TcI3ZxekKVrZCFTAcRDLv7TJpFOsmzl8L8CzwmMN2FnRdVwr6je%2FWRlLIoqhbAYJDvp%2B3U0DS8GjZaN%2BJvydjWWxuAZtddshM0T7Zd7ItcytalbkWNv%2F2X6OGExvYLHXy8%2F1EiC%2Bkedn65plZmFjIjLrER8b5wlhlaKOrxJ9YiIXpsvEUS%2B3hT23MBb9cB5hhNvy1ID8iLVW%2B8EgUQV7qqSz5Tb8z4vinKKfvQUsh9HPXUwIMz9qgiwFqljXvyr7wvxr6216aMudKJwGw8%2FGl%2Bf6AUGy2YkqCnpEddjv9YCa%2BavG02yvtKBWcCVI3oKZC4usNj52u0IBzphAyofH8kVzvHFU2mnnb8y5rsstnmDdI3rz7a2xtvZGRZ8k3dE7cMYLLypb75pNErR1gnWeXUpzMFC4r2uh3qoV%2F%2B5gKdzGzs%2FY84MOX3gVkvFfs0EgmIcrd3D%2F8OUiWHPaXg%2FGOV%2FdNBjTjVgo0fTsRG1tWbmAbtAz%2F01NXbnv97Du5n8SEqMXSba7uB8vDkLIjm2HH7xLO0%2F%2FyT3SStooQHEdQRM%2F7K3miM6wDCFPHreTY2LZxGzUkfiNV1GDh2D3c6KapMjCKV%2FovL95u5TtvaOajxgwE18eynIBEr3pM4FFoLFUJmrablyxXJTYlK3Y67qIRCHISexiu5bDm0k6%2B7a43lUC1lpWP4lOzTFqWKDW%2B6aJri1%2BU0xsmCu8AUE6T9ikP7xLM4QvVNC6nHK7c1U9rHO%2BHBUMPgsgoKpQ0pT6ezBRM%2Bt1DqVk7XflMYd8%2FP6CvTzRGHgUaTj47jOwMGcGcVFRV4lHrmcJJdA03ucO26ScZq4waZO1PC%2FEGiBXx3aWHTFWAct3fYeyNNXXTlRmu90F2Mar%2Fmz7gJrFYLgXQpSadVp90yEhKBo3YCaqqmV4DkWuTiTGQcmYby9DKCMzCEmmrEd8124Mtkrcd%2FnqBfKeLYQgN4QwKtT%2BhQudmJSL2LmRKzSjWpM1mAA5qhMOidd1k83WOtGLnyYT7f3ThyK7%2FqoZ4uxf6Ui9jZgev0SP%2Ber2CBbqN0VTmY%2B44rlThMdXyy5%2FRVfRo2bFdXYCyeYWhH8OvdUUXhTCv1yLHHEkgrjBCYV92plsjicGLYhy3RSm5KzEYPwgJayuEHB%2BbX6HooZQju%2Bvtv7Kf1B0HJDKotH3EjsnjF3b8kdfw9zZ9bylXeF1Fp6I5%2Bel0wkWGXPc%2Bi53YNI9TVdyaeWO9DQhEmIAkwRZuLrz2%2BBUr7UEI21wQFZ9DHfVGAYUy9tkO8oZBorXwh6h5uJq47Y20wYjXRlG2cT5YRCY2CAhWfkVK9VhR6bFrF7PL8KdsZZgXjM%2Fu0dEebCFQNdHimNAe%2FtSU5b%2BBj9w6S2b1EZKpAtTkT%2B%2Fm5ifbK8id0zkHOpiaQbARuixrWKiPxQ%2B1ul4Gj%2BljNQ21aQV0uvVKMCY%2Bko1MzwXfQCCRbAWewWV2QY7MfszfFL%2BryYxFWMxk3%2B64hv0e0xmPn6f0ACg2i44YmBIc7hzZH0x%2FiiLvc%3D,0,0,2,0,0,#486139169,Fiddler,FD-PKBTDUAL8,NA,NA,NA,NA
36, Jbl Flip 4 Negro Parlante Portátil Bluetooth Inalámbrico ,64.99,79.990,29,2,6,10.832,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-469200539-jbl-flip-4-negro-parlante-portatil-bluetooth-inalambrico-_JM,3,0,0,0,0,#469200539,JBL,JBL Flip 4,8 W,515 g,No aplica,NA
37, Parlante Karaoke Bluetooth Fiddler Negro + Micrófono ,39.99,NA,130,6,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.6,5,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-434130507-parlante-karaoke-bluetooth-fiddler-negro-microfono-_JM,3,2,0,0,0,#434130507,Fiddler,PACK,NA,NA,NA,NA
38, Parlante Portátil Karaoke Bluetooth Master G ,44.99,NA,39,7,6,7.498,NA,Envío gratis a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,https://articulo.mercadolibre.cl/MLC-472376947-parlante-portatil-karaoke-bluetooth-master-g-_JM,1,1,0,0,0,#472376947,Master-G,SPBT5W,30 W,NA,Activo,NA
39, Parlante Portátil Bluetooth Bose Soundlink Micro ,79.99,99.990,41,11,6,13.332,NA,Envío gratis a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-471020818-parlante-portatil-bluetooth-bose-soundlink-micro-_JM,2,0,0,0,0,#471020818,Bose,Micro,NA,NA,Activo,NA
40, Parlante Caja Acústica 15 Eon615 Jbl - Envío Gratis ,320,400.000,12,NA,6,53.333,NA,Envío gratis a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/ARTECNOINSTRUMENTOS,https://articulo.mercadolibre.cl/MLC-487386671-parlante-caja-acustica-15-eon615-jbl-envio-gratis-_JM,3,0,0,0,0,#487386671,JBL,EON615,NA,NA,NA,NA
41, Parlante Bluetooth Bose Soundtouch 10 ,149.99,189.990,21,3,6,24.998,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472177219-parlante-bluetooth-bose-soundtouch-10-_JM,1,0,0,0,0,#472177219,Bose,10,NA,NA,Activo,Auxiliar
42, Parlante Bluetooth Mic Manos Libres Impermeable Ducha 4 Colo ,3.25,NA,53,6,12,271,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIAMISTORE2014,https://articulo.mercadolibre.cl/MLC-433763402-parlante-bluetooth-mic-manos-libres-impermeable-ducha-4-colo-_JM,NA,NA,NA,NA,NA,#433763402,NA,NA,NA,NA,NA,NA
43, Parlante Portátil Jbl Boombox Bluetooth 20.000mah Original ,319.99,449.990,6,99,12,26.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,https://articulo.mercadolibre.cl/MLC-488716694-parlante-portatil-jbl-boombox-bluetooth-20000mah-original-_JM,NA,NA,NA,NA,NA,#488716694,JBL,Boombox,NA,5.25 kg,Activo,NA
