search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Formato,Marca,Modelo
25, Auriculares Bluetooth Simil AirPods iPhone + Caja I9s-tws ® ,1190,NA,16,5000,18 cuotas,66.11,NA,Envío a todo el país,NA,NA,5,1,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-462391301-auriculares-bluetooth-simil-airpods-iphone-caja-i9s-tws--_JM,1,0,0,0,0,#462391301,NA,NA,NA
26, Auriculares Inalambricos Bluetooth Tipo AirPods iPhone Febo ,710,NA,34,99965,18 cuotas,39.44,NA,Envío a todo el país,NA,NA,4,49,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-456789089-auriculares-inalambricos-bluetooth-tipo-airpods-iphone-febo-_JM,20,16,9,1,3,#456789089,NA,Apple,AirPods
27, Auricular Bluetooth Manos Libres ,160,NA,37,63,18 cuotas,8.89,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/DISCBOX,https://articulo.mercadolibre.com.uy/MLU-462802945-auricular-bluetooth-manos-libres-_JM,1,1,0,0,0,#462802945,NA,NA,NA
28, Auricular Vincha Sport Bluetooth Pc Celular Auriculares ,380,NA,27,1121,18 cuotas,21.11,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-455655455-auricular-vincha-sport-bluetooth-pc-celular-auriculares-_JM,3,1,0,0,0,#455655455,Con Vincha,NA,NA
29, Auriculares Bluetooth Deportivos Manos Libres Con Cuello Loi ,447,NA,34,993,18 cuotas,24.83,NA,Envío a todo el país,NA,NA,5,3,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462689492-auriculares-bluetooth-deportivos-manos-libres-con-cuello-loi-_JM,3,0,0,0,0,#462689492,Sin Vincha,NA,NA
30, Auriculares Inalámbricos Stereo Bluetooth Manos Libres Rojo ,299,NA,92,23,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,3.8,11,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,https://articulo.mercadolibre.com.uy/MLU-445603224-auriculares-inalambricos-stereo-bluetooth-manos-libres-rojo-_JM,5,2,1,3,0,#445603224,NA,NA,NA
31, Auriculares Inalámbricos AirPods Apple En Stock Garantía ,319,NA,4,8,18 cuotas,643.32,NA,Envío gratis a todo el país,NA,NA,4,49,http://perfil.mercadolibre.com.uy/RAMAN2013,https://articulo.mercadolibre.com.uy/MLU-461567729-auriculares-inalambricos-airpods-apple-en-stock-garantia-_JM,20,16,9,1,3,#461567729,NA,Apple,AirPods
32, Huawei P30 Lite 6' 128/4gb + Regalo + Auriculares + Lámina ,394,NA,72,99,18 cuotas,794.57,NA,Envío a todo el país,NA,NA,4.7,49,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,https://articulo.mercadolibre.com.uy/MLU-461643878-huawei-p30-lite-6-1284gb-regalo-auriculares-lamina-_JM,36,13,0,0,0,#461643878,NA,Huawei,P30 lite Dual SIM
33, Auriculares Jbl Bluetooth T110 Bt - Otec ,1699,NA,21,2,18 cuotas,94.39,NA,Entrega a acordar con el vendedor,NA,NA,4.5,6,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-460366220-auriculares-jbl-bluetooth-t110-bt-otec-_JM,4,1,1,0,0,#460366220,Con Vincha,JBL,T110BT
34, Auriculares Acson As 440 Para Tv Cable 5 Mts Control De Vol ,279,NA,213,786,18 cuotas,15.50,NA,Entrega a acordar con el vendedor,NA,NA,5,3,http://perfil.mercadolibre.com.uy/LSTURUGUAY,https://articulo.mercadolibre.com.uy/MLU-444675531-auriculares-acson-as-440-para-tv-cable-5-mts-control-de-vol-_JM,3,0,0,0,0,#444675531,NA,NA,NA
35, Auriculares Inalambricos Manos Libres Bluetooth Verde ,299,NA,3,4,18 cuotas,16.61,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://click1.mercadolibre.com.uy/mclics/clicks/external/MLU/count?a=BsN8Uw%2B7I%2B2zj2GqbT3HVVUewQRXPDVabFZTyjBsSWpcIJpXYJqlyB7lwv8jXvN1hcRM1fmvcvRVIXf4L%2FYW7xKE%2BlZdAePriX5dL9asjJ6z3tHHWNQ4XNNPeu3uBekAFE264BoHStFR2UOy5BlLshofOhbilhOxmkTMEQgnrdL%2FfL1F%2FcqNYbxLCPenTfqILgwOEhYtpuBXEOT%2BDpcBiuv4U56Nn5TIRxyELpizpWOPyRvmRXvO5W%2BJnsrXnsh0bfdFKlQ0nNChon8LvsZhAsaGcpRqZpTPyeb6tQS6s3VKcS6grfQjtgSknp787tBXTawPjfI4DEYkgMxIK7r5e1cSMBgHWFWjmfRWWITk2Kmhcfee%2BaTELeeuQ%2BpZYb8eqU%2FoeuPhs2bEmLQp7jXGzmc7t2XESFiUNOR9rTa3zRfptNNZ37Vhhb2Kt6%2F08aJmfKa89nseoPkDV5WjKOVZ22jLCrePdFjZFbZZt%2F8qg6J5UgJR%2B3GwZuv57NFbG3ckyiOPhRajeaIJSnjFwfAod97CzkYO25uaSNWD8MotPTW8UD1FSoPvDxXF8mH9IIsbS5NkgmZlrDPpsgEQtH6PZOdg4tBb07xnr53or5CBPGmjod%2BdrGC2j8FTGuMueoeXLrK8fpkZuKKtdsw%2BAV72v0U%2F871g6fNjjlApmhYB1ND8fqhHL66yxzCE9Q0SD%2BKdU5jQB1kGfd5qHciwff676WKi0Iz%2FuXReoXCkyImBRWpfmyQLsw7wnuYJbhPg4kwZVAi6VttRjxcrIjfOxG0UmOB267N09YymCKvx3ZqucWNQj0dirP7W8sfOfM6Hzi1XmErX18XQqZuxSOWTCVYZwRWeX6ER0U2LA89Q7PxTitAfpNo9oZmxLOp51UNyIExVW84MUgprzH1DKh%2F3%2Bsy9ixAyoEfokdEXa8IvNc%2BGuGN7uo1P%2Fgj4VczJI9vLXkWPRXcXamW%2BbP9b4ayggB0Hq29%2BBj%2BBTrvQjrBT7ZrZeLhVsn9iHhy1vZPInxJHcvKAh4%2Ft9Zq5Lym8xuur%2F5vGdoOrjT8wnzUk8Ol3Nh6i68MNFFViRuYqA6QQf73epuGUlce62wVcEN1Gadd26Ym%2B%2Bs0ic403EvA7Lbrsmi%2F%2F0jW23P4yB42o8P8WsSuAyoG%2BK%2ByKMvyjQvB22LsLibWfumOR678l9Dp10MiRVfvg8ZlDCa9jnCLbs1A%2BbVG5cZbpzERn7gm1uhvNAjtfBgv8ZuzllQ0vDm6YVbg7pBuh%2F8BFGj%2F%2FOVwvICTO7pGlDm0qUiOkW5BcDEOJGbk0lZ4hZLnOeiDXwncZZxh3XeM32Xz9k0eZO3H8w6RwfMBu%2FhqZJZM5bptT%2F15g%2BjLzxxwOdqkJSsvUU2CRTRztHzRzG6aMHOwcXvZi5VKbk%2FMdBRJZA95rSAlTr2mA9DDgf2NEqXPhoZLcnxAnLmWDyWemkDSF%2Fhp0zdDJWSNOzRhktoWIfBG4TvjQB5wHkJ9s6zODoGtYs3YsI%2BFg1wE1Y55TTFCE3N1ny3%2FQJU7PNdkxH6fPsc2ZwIiVGMBu5jnup9W36dXpv8d1PIXE1SeN8Xhif7OFQER748MMnnrbSNd2Mntat5nghVLWG%2B%2FoOpNguf5jKg8E%2B40GyFMq1S0NJcN0Tc3edNIRZEmEVdKF3l3Z2c2AHrlTEA%3D%3D,NA,NA,NA,NA,NA,#449477897,NA,NA,NA
36, Auriculares Samsung Galaxy Buds 2019 Bluetooth Futuro21 Dimm ,195,NA,10,2,18 cuotas,393.25,NA,Envío a todo el país,NA,NA,4.7,7,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-463176507-auriculares-samsung-galaxy-buds-2019-bluetooth-futuro21-dimm-_JM,6,0,1,0,0,#463176507,In-ear,Samsung,Buds
37, Auriculares Jbl Manos Libres T110 Bluetooth Celular Febo ,1698,NA,110,99889,18 cuotas,94.33,NA,Envío a todo el país,NA,NA,4.4,58,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-451102841-auriculares-jbl-manos-libres-t110-bluetooth-celular-febo-_JM,39,12,3,0,4,#451102841,Sin Vincha,JBL,T110
38, Auricular Bluetooth Mini Sport Manos Libre Auto Running S530 ,499,NA,12,6,18 cuotas,27.72,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/VIKEI+SA,https://articulo.mercadolibre.com.uy/MLU-462252840-auricular-bluetooth-mini-sport-manos-libre-auto-running-s530-_JM,NA,NA,NA,NA,NA,#462252840,NA,NA,NA
